Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V70	0.60831	0.03427	0.16908	0.03788	0	0.03569	0.04853	0.00085	0.06539	0
V71	0	0.03174	0.02705	0	0.01373	0.02614	0.17452	0.64605	0.08077	0
V72	0.15952	0.06263	0.13413	0.24231	0.10478	0	0.04857	0.01082	0.07393	0.1633
V73	0	0.18616	0	0	0.59463	0	0.04239	0.01152	0.1653	0
V74	0	0	0.08542	0.21914	0	0.00451	0.07658	0.01225	0	0.6021
V75	0	0.09917	0.25497	0.36421	0.00345	0	0.07128	0.01748	0.18944	0
V76	0	0.05718	0.0366	0	0.00171	0.69811	0.17301	0.03339	0	0
V77	0	0.02645	0.11212	0.2508	0.00679	0.18794	0.34896	0.03769	0.02926	0
V78	0	0.45775	0.03034	0.03042	0.02484	0	0.34436	0.03094	0.08134	0
V79	0	0.06103	0.12784	0.22921	0.01815	0.18792	0.12446	0.02811	0.22328	0
V80	0.36415	0.01409	0.07571	0.03888	0	0	0.07619	0.0078	0	0.42318
V81	0	0.07907	0.06274	0.1261	0.11147	0.42721	0.12933	0.02209	0.04197	0
V82	0	0.49338	0.09135	0.22306	0	0	0.06833	0.05279	0.07108	0
V83	0	0.07452	0.17569	0.37959	0	0	0.09923	0.20258	0.06839	0
V84	0	0.05581	0.05462	0.03519	0.09053	0.39885	0.30028	0.0383	0.02643	0
V85	0.17425	0.00073	0.45145	0.09626	0	0.00244	0.02772	0	0	0.24716
V86	0.22754	0.01084	0.35617	0.34451	0	0.00452	0.03339	0	0.02302	0
V87	0	0.08059	0.07166	0	0.11403	0	0.09562	0.0447	0.5934	0
V88	0	0.31298	0.1482	0.42552	0	0	0.06105	0	0.05225	0
V89	0	0.01157	0.04669	0.05391	0.04402	0	0.68181	0.13315	0.02886	0
V90	0	0.07179	0.38216	0.08739	0	0.00897	0.05926	0.00067	0	0.38975
V91	0.02046	0.01502	0.75732	0.129	0	0.00986	0.01457	0	0.05074	0.00303
V92	0	0.01875	0.04623	0.02961	0.04976	0	0.73126	0.07053	0.05386	0
V93	0	0.07882	0.10614	0.01263	0.06839	0	0.2854	0.06002	0.38861	0
V94	0.7647	0.01017	0.11036	0.03453	0	0.03701	0.02739	0.01583	0	0
V95	0	0.02798	0.02879	0.02024	0.04088	0	0.54872	0.27932	0.05408	0
V96	0	0.12	0.37807	0.36526	0	0.00393	0.05695	0.00944	0.06635	0
V97	0	0.00863	0.04832	0.03201	0.04712	0	0.71266	0.07025	0.02779	0.05323
V98	0	0.29945	0.02734	0.0505	0.13745	0.00035	0.12689	0.09847	0.22391	0.03564
V99	0.42192	0.04509	0.12123	0.01733	0.03336	0.00563	0.10815	0.02066	0.22663	0
V100	0.1007	0.0592	0.14323	0.18414	0.02437	0.2278	0.1112	0.01897	0.1304	0
V101	0	0.00412	0.02542	0.03586	0	0.04827	0.25738	0.06424	0	0.56469
V102	0	0.24295	0.03175	0.01521	0.06659	0.22957	0.23459	0.1163	0.06304	0
V103	0	0.07098	0.11568	0	0.08601	0	0.09221	0.05024	0.58488	0
V104	0.02078	0.00839	0.76523	0.12675	0	0.00802	0.01228	0	0.05855	0
V105	0.215	0.04044	0.15421	0.0285	0.00389	0.1282	0.10063	0.27121	0.05792	0
V106	0	0.668	0.16742	0.04074	0	0.00089	0.05028	0	0.07267	0
V107	0.14025	0.25719	0.07216	0.00845	0.21174	0.00539	0.05846	0.03954	0.2068	0
V108	0	0.03933	0.08439	0.14294	0	0.31133	0.13712	0.0459	0.01317	0.22582
V109	0	0.07615	0.03956	0.00453	0.01102	0.65805	0.1769	0.0338	0	0
V110	0	0.17329	0	0	0.56455	0	0.03473	0.06578	0.16164	0
V111	0	0.02469	0.03637	0.03535	0.11135	0	0.68812	0.06486	0.03926	0
V112	0	0.02337	0.04941	0.02923	0.03785	0	0.60113	0.06488	0.05886	0.13527
V113	0	0.05315	0.07745	0	0.07179	0.02866	0.13056	0.06715	0.49147	0.07977
V114	0	0.06561	0.08715	0	0.09244	0	0.09816	0.05286	0.60378	0
V115	0	0.86484	0	0	0	0	0.061	0	0.07416	0
V116	0.30564	0.11601	0.08677	0.01174	6e-05	0.0253	0.09574	0.29992	0.05882	0
V117	0	0.00695	0.0505	0.0322	0.0486	0	0.77201	0.07234	0.01739	0
V118	0	0.05053	0.04923	0	0.00182	0.68154	0.17699	0.0399	0	0
V119	0	0.05055	0.17502	0.41708	0	0.12501	0.11819	0.01659	0.09755	0
V120	0.56857	0.01138	0.26634	0.05526	0	0.08642	0.01203	0	0	0
V121	0	0.11392	0.25458	0.06654	0.02142	0.08629	0.349	0.0432	0.06246	0.0026
V122	0	0.06588	0.15312	0.01639	0.06591	0.02954	0.21095	0.04247	0.41574	0
V123	0	0.09924	0	0	0.2879	0.0027	0.11271	0.34685	0.1506	0
V124	0.58413	0.06828	0.07688	0.02365	0	0.01853	0.04892	0.16611	0.01348	0
V125	0	0.18005	0.08708	0.03041	0.00529	0.10143	0.15166	0.36267	0.08142	0
V126	0	0.21286	0	0	0.52481	0	0.03492	0.05284	0.17458	0
V127	0	0.03053	0.50163	0.08637	0.00362	0	0.23583	0.01427	0.12775	0
V128	0	0.22304	0.3438	0.05638	0.19339	0.03474	0.03978	0	0.10887	0
V129	0	0.11503	0.13502	0.17313	0.0923	0	0.08203	0.02725	0.37524	0
V130	0	0.02676	0.39734	0.06475	0	0.0178	0.09667	0.32391	0.07277	0
V131	0	0.37158	0.37049	0.12721	0	0	0.04395	0	0.08677	0
V132	0.02291	0.02895	0.08116	0.03436	0.0798	0	0.58961	0.12232	0.04089	0
