Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.01453	0	0.06962	0	0.34136	0	0	0	0	0.57449
V2	0.6842	0	0	0	0	0.31194	0.00386	0	0	0
V3	0.12998	0.00627	0.15784	0	0.46895	0.01795	0.04503	0.17398	0	0
V4	0.02421	0.08245	0.03049	0	0.01587	0.05564	0.00816	0	0.67605	0.10714
V5	0	0.10076	0.10214	0.07537	0.13302	0.05742	0	0	0	0.53129
V6	0.03352	0	0.28437	0	0.64356	0.0067	0	0.03185	0	0
V7	0.02603	0.47169	0.07642	0	0.34555	0.00421	0.01636	0.05974	0	0
V8	0.02324	0.50683	0.10871	0	0.00733	0	0	0.35389	0	0
V9	0	0	0.09078	0.1275	0	0.01369	0.12244	0.64559	0	0
V10	0.03577	0	0.03545	0	0.74242	0.04958	0	0.13678	0	0
V11	0.02792	0.52035	0.07156	0	0.03318	0	0	0.34441	0	0.00258
V12	0	0.00687	0.17557	0.63432	0	0.02455	0.07531	0	0	0.08337
V13	0.07906	0.04314	0.14235	0	0	0.26122	0.32157	0.0014	0.15126	0
V14	0.07691	0.4442	0.26329	0.01664	0.03259	0.08252	0.08387	0	0	0
V15	0.2133	0	0.04916	0.71605	0	0.0146	0.0069	0	0	0
V16	0	0.03481	0.19629	0.68632	0	0.04578	0.0143	0	0.0225	0
V17	0.01504	0.11981	0.06258	0	0.17644	0.08343	0.00879	0	0	0.5339
V18	0.05372	0.06076	0.08742	0.40683	0.01524	0	0	0	0	0.37604
V19	0	0	0.06136	0.06887	0.09177	0.07027	0	0	0	0.70774
V20	0	0.27509	0.05873	0	0	0.1552	0.40493	0.05585	0	0.0502
V21	0.10942	0.40768	0.06566	0	0.01525	0.38215	0.00921	0.01063	0	0
V22	0	0	0.01675	0	0.04883	0	0	0.39635	0	0.53807
V23	0.27634	0	0.67803	0	0	0	0	0	0	0.04563
V24	0.03548	0.61141	0.13522	0	0.0764	0	0.0428	0.09214	0.00656	0
V25	0.02083	0.10211	0.08915	0	0.16593	0.13154	0.01551	0	0.15793	0.317
V26	0	0	0	0	0	0	0	1	0	0
V27	0.01711	0	0.03705	0	0.58088	0	0	0	0	0.36495
V28	0.31563	0	0.0365	0	0.04148	0	0	0.02606	0	0.58034
V29	0.02821	0.66202	0.08439	0	0.08205	0.0873	0	0	0	0.05602
V30	0.00075	0.01791	0.1097	0	0	0.38745	0.21784	0	0.26635	0
V31	0.02509	0.2829	0.28093	0	0.03525	0	0	0.37583	0	0
V32	0.51865	0.00988	0.04133	0	0.30437	0.04667	0.02021	0	0.0589	0
V33	0.00083	0	0.21582	0.58584	0	0.05223	0.14528	0	0	0
V34	0.00397	0	0.04918	0	0.43449	0	0	0	0	0.51236
V35	0.036	0.81308	0.08138	0	0.06953	0	0	0	0	0
