B_cells	NK_cells	T_cells_CD4.	Monocytes
V145	0.01594	0.69376	0.2903	0
V146	0.16438	0.00961	0.10516	0.72085
V147	0.85776	0.02008	0.07292	0.04924
V148	0.17444	0.07924	0.60155	0.14477
V149	0.28206	0.45623	0.26171	0
V150	0.12992	0.23534	0.59993	0.03481
V151	0.24479	0.59182	0.0807	0.0827
V152	0.26464	0.41268	0.26992	0.05276
V153	0.15218	0.70767	0.0672	0.07295
V154	0.26973	0.41372	0.31655	0
V155	0.47948	0.1355	0.32517	0.05985
V156	0.07587	0.1488	0.69782	0.07751
V157	0.33552	0.15247	0.35313	0.15888
V158	0.12314	0	0.12788	0.74898
V159	0.86479	0.07076	0.00944	0.05501
V160	0.69985	0	0.11115	0.189
V161	0.29385	0	0.08567	0.62047
V162	0.1143	0.31498	0.12942	0.4413
V163	0.13632	0.47432	0.22182	0.16755
V164	0.37382	0.3013	0.14401	0.18088
V165	0.06662	0.30252	0	0.63086
V166	0.06353	0.124	0.13329	0.67918
V167	0.41731	0	0.04617	0.53652
V168	0.31616	0.52738	0.13428	0.02218
V169	0.26792	0.06059	0.08316	0.58833
V170	0.15814	0.02663	0.5639	0.25133
V171	0.1719	0.23277	0.59533	0
V172	0.69092	0	0.30908	0
V173	0.08957	0.17099	0.08797	0.65148
V174	0.0678	0.18784	0.13143	0.61293
V175	0.11701	0.01633	0.78901	0.07765
V176	0.04778	0.72081	0.2314	0
V177	0.06588	0.89905	0.02362	0.01145
V178	0.05023	0.737	0.05996	0.15281
V179	0.21744	0.00874	0.43574	0.33808
V180	0.07143	0.78342	0.14514	0
V181	0.20329	0.13487	0.55851	0.10333
V182	0.3242	0.17516	0.48227	0.01837
V183	0.21459	0.72759	0.05782	0
V184	0.90504	0	0.09496	0
V185	0.57027	0.3685	0.06123	0
V186	0.15735	0.45137	0.3138	0.07748
V187	0.87885	0.00267	0.10389	0.01459
V188	0.12028	0.26766	0	0.61205
V189	0.8023	0.00966	0.06487	0.12317
V190	0.6368	0.00692	0.35628	0
V191	0.2219	0.20203	0.57608	0
V192	0.33624	0.44569	0.09085	0.12722
V193	0.60225	0.02168	0.28482	0.09125
V194	0.09183	0.84384	0.05552	0.00881
V195	0.07742	0.05583	0.86379	0.00296
V196	0.078	0.11725	0.05013	0.75462
V197	0.4703	0.04343	0.06257	0.4237
V198	0.10783	0.46654	0.4112	0.01443
V199	0.23455	0.02017	0.24121	0.50407
V200	0.17117	0.55543	0.05706	0.21634
V201	0.13514	0.52361	0.2448	0.09644
V202	0.06864	0.04063	0.77695	0.11378
V203	0.1948	0.38713	0.41807	0
V204	0.05272	0.53921	0.04886	0.35921
V205	0.07659	0.08083	0.84081	0.00177
V206	0.09527	0.10666	0.79808	0
V207	0.19862	0.2102	0.08827	0.5029
V208	0.2737	0.07007	0.65624	0
V209	0.33475	0.44523	0.11051	0.10951
V210	0.13015	0.69562	0.1575	0.01674
V211	0.47886	0.00178	0.08156	0.4378
V212	0.50441	0.03876	0.45683	0
V213	0.64573	0.01594	0.16288	0.17545
V214	0.36793	0.1613	0.21123	0.25955
V215	0.35817	0.10714	0.04297	0.49173
V216	0.15299	0	0.10611	0.7409
V217	0.08088	0.47495	0.28792	0.15625
V218	0.13669	0.43945	0.21932	0.20454
V219	0.14946	0.62068	0.05141	0.17845
V220	0.05142	0.78409	0.06371	0.10077
V221	0.80247	0	0.0471	0.15043
V222	0.34197	0.13278	0.40096	0.12429
V223	0.04895	0.15225	0.75797	0.04084
V224	0.89684	0	0.10316	0
V225	0.10291	0.77087	0.12622	0
V226	0.32273	0.08402	0.59325	0
V227	0.75441	0	0.24167	0.00392
V228	0.75036	0.05594	0.11696	0.07674
V229	0.08005	0.0473	0.85831	0.01434
V230	0.09907	0.05963	0.0977	0.74361
V231	0.05489	0.30127	0.16313	0.48071
V232	0.09322	0.66312	0.00787	0.23579
V233	0.56587	0.08143	0.24684	0.10585
V234	0.08929	0.80966	0.10106	0
V235	0.39027	0.06346	0.54545	0.00082
V236	0.09518	0.08777	0.77488	0.04217
V237	0.24837	0	0.09257	0.65907
V238	0.16852	0.50904	0.31569	0.00675
V239	0.11515	0.41738	0.05252	0.41495
V240	0.49089	0.03684	0.45215	0.02012
V241	0.07508	0.02019	0.8657	0.03903
V242	0.16581	0.67979	0.1544	0
V243	0.27244	0.04968	0.63793	0.03994
V244	0.24559	0	0.70548	0.04893
V245	0.59803	0.27327	0.0965	0.0322
V246	0.10275	0.15685	0.74039	0
V247	0.1937	0.03513	0.77117	0
V248	0.10718	0.05444	0.12248	0.71591
V249	0.02752	0.07188	0.86011	0.04049
V250	0.73433	0	0.26567	0
V251	0.88831	0.04915	0.0517	0.01085
V252	0.0476	0.74078	0.21162	0
V253	0.40601	0.06585	0.21366	0.31448
V254	0.0571	0.81634	0.12656	0
V255	0.09947	0.86014	0.01874	0.02164
V256	0.21157	0.21053	0.53413	0.04377
V257	0.44404	0.09702	0.27976	0.17918
V258	0.21209	0.25644	0.45372	0.07775
V259	0.08111	0.28405	0.63393	0.00091
V260	0.02128	0.27417	0.70455	0
V261	0.61565	0.01812	0.24954	0.11669
V262	0.18886	0.08273	0.04631	0.68209
V263	0.07438	0.88721	0.0244	0.01401
V264	0.21207	0.03944	0.47534	0.27315
V265	0.11277	0	0.21222	0.67501
V266	0.64167	0.30461	0.05372	0
V267	0.02223	0.19914	0.34708	0.43155
V268	0.43264	0.00938	0.19753	0.36045
V269	0.04411	0.51497	0.43322	0.00771
V270	0.63335	0.01357	0.29326	0.05982
V271	0.77897	0.05753	0.07721	0.08629
V272	0.10074	0.77248	0.06108	0.0657
V273	0.15549	0.03128	0.10764	0.70559
V274	0.68763	0	0.22822	0.08415
V275	0.03565	0.06376	0.89015	0.01043
V276	0.52226	0.32054	0.04314	0.11406
V277	0.08124	0.22497	0.21843	0.47536
V278	0.09419	0.06838	0.35227	0.48515
V279	0.67955	0.04598	0.16319	0.11128
V280	0.12314	0	0.12788	0.74898
V281	0.56438	0.01731	0.19221	0.2261
V282	0.10634	0.0874	0.77712	0.02913
V283	0.24609	0.54666	0.10745	0.0998
V284	0.07615	0.7933	0.13055	0
V285	0.11708	0.0188	0.86411	0
V286	0.27637	0.50781	0.16045	0.05537
V287	0.14658	0.78732	0.06606	4e-05
V288	0.05247	0.28123	0.46863	0.19767
V289	0.30476	0.21275	0.44719	0.03531
V290	0.80375	0.13252	0.06373	0
V291	0.4813	0.06408	0.45463	0
V292	0.90976	0.01243	0.00942	0.0684
V293	0.3197	0.02317	0.6475	0.00963
V294	0.14098	0.39709	0	0.46193
V295	0.06087	0.19456	0.25157	0.493
V296	0.21282	0.12686	0.61385	0.04646
V297	0.16965	0	0.14627	0.68408
V298	0.31308	0.1013	0.58562	0
V299	0.12354	0.29965	0.03721	0.5396
V300	0.03701	0.04477	0.3066	0.61162
V301	0.1633	0.12161	0.6451	0.06999
V302	0.66347	0.31651	0.01952	5e-04
V303	0.02342	0.55167	0.4249	0
V304	0.10506	0.04325	0.74356	0.10813
V305	0.16188	0.16631	0.4908	0.18101
V306	0.77464	0.08323	0.10102	0.04111
