Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.02145	0.04362	0	0	0.16678	0.00133	0.03545	0	0.04229	0.68909
V2	0.5901	0.01405	0.0526	0	0.04335	0.2425	0.04534	0	0.01104	0.00103
V3	0.09793	0.09522	0.08709	0.01658	0.40153	0.00782	0.09575	0.08485	0.04165	0.07158
V4	0.01875	0.0953	0.0305	0.01781	0.04566	0.09098	0.01073	0.00632	0.49931	0.18464
V5	0.02175	0.13244	0	0.0463	0.01536	0.06735	0.03778	0	0.04384	0.63517
V6	0	0.12473	0.16447	0.02621	0.53563	0.02337	0.01714	0.01626	0.02132	0.07087
V7	0	0.5418	0.0108	0.02265	0.25995	0.00176	0.07795	0.02756	0.04298	0.01455
V8	0	0.58178	0.05721	0.02427	0.01181	0.01878	0.03847	0.18996	0.07772	0
V9	0.02767	0	0.074	0.11847	0.04422	0.01501	0.22335	0.38878	0.09248	0.01602
V10	0	0.13828	0	0.00113	0.61044	0.05847	0.02624	0.07763	0.02566	0.06214
V11	0.00392	0.57541	0.01839	0.01984	0.01281	0.04473	0.03772	0.17382	0.10762	0.00575
V12	0.06031	0.03263	0.14738	0.41767	0.0497	0	0.10459	0	0.03962	0.1481
V13	0.09338	0.01105	0.12784	0.0242	0.06173	0.11034	0.39892	0	0.13672	0.03582
V14	0.06794	0.45393	0.14589	0.06983	0.04174	0.03818	0.13547	0	0.04601	0.001
V15	0.30129	0.0118	0.11669	0.45727	0.02894	0.01131	0.03824	0	0.03445	0
V16	0.06222	0.06349	0.19018	0.46734	0.04066	0.04269	0.01026	0	0.12317	0
V17	0.01924	0.1431	0	0	0.02976	0.07404	0.06133	0	0.05259	0.61995
V18	0.10673	0.09206	0.02622	0.23143	0	0.00633	0.02632	0	0.04294	0.46797
V19	0.01515	0	0	0.02349	0	0.08438	0.03626	0	0.04795	0.79277
V20	0	0.23678	0.0166	0.02436	0.02693	0	0.51414	0.02435	0.04995	0.10688
V21	0.08478	0.43652	0.03554	0.01447	0.01864	0.31957	0.0422	0.00036	0.04794	0
V22	0.00725	0.00151	0	0	0	0.01861	0.03857	0.20355	0.10204	0.62847
V23	0.25293	0.02893	0.47013	0.04537	0.0102	0.00536	0.01691	0	0.02308	0.14708
V24	0.01209	0.62867	0.06145	0.02562	0.02057	0	0.09317	0.03033	0.12811	0
V25	0.03521	0.1255	0.00313	0.01598	0.07362	0.11999	0.04229	0	0.16722	0.41705
V26	0.02541	0	0.05288	0.01364	0.02496	0.02787	0.05584	0.67973	0.10565	0.01402
V27	0	0.09163	0	0	0.35313	0	0.0407	0	0.03207	0.48247
V28	0.27321	0	0	0	0	0.02064	0.05159	0.01626	0.0356	0.60269
V29	0	0.69456	0.01549	0.02407	0.01276	0.08837	0.0404	0	0.04897	0.07538
V30	0.00955	0.00928	0.10875	0.03135	0.03847	0.27728	0.25783	0	0.23886	0.02861
V31	0.0112	0.35981	0.19971	0.03303	0.0687	0.00518	0.03305	0.20251	0.0634	0.02343
V32	0.42805	0.05935	0.05025	8e-04	0.25184	0.03624	0.04098	0	0.08616	0.04634
V33	0.08077	0.01637	0.21315	0.42695	0.03358	0	0.19415	0	0.03503	0
V34	0	0.07715	0	0	0.20936	0.00225	0.03414	0	0.07378	0.60332
V35	0	0.84297	0.02229	0.02492	0.0097	0	0.04584	0	0.05428	0
V36	0.04941	0.01307	0.03076	0.01887	0.0616	0	0.73938	0.01886	0.04569	0.02234
V37	0	0.56632	0.02061	0.02365	0.03719	0	0.28567	0.00102	0.05861	0.00694
V38	0.142	0	0.0674	0.15425	0.04652	0	0.53559	0	0.04384	0.0104
V39	0.09206	0.00396	0.07026	0.1499	0.08222	0	0.52474	0.00607	0.04498	0.0258
V40	0.10515	0.03436	0.59147	0.06517	0.09489	0	0.01201	0	0.01974	0.07721
V41	0.56088	0.0668	0.08316	0.00578	0.02737	0.00794	0.01886	0	0.20864	0.02058
V42	0	0.60657	0.0083	0.01774	0.24974	0	0.02511	0	0.04023	0.0523
V43	0.13203	0.05207	0.11591	0.07507	0.20925	0.03047	0.20771	0.00371	0.14404	0.02974
V44	0.04032	9e-05	0.52129	0.05928	0.01538	0.0091	0.02614	0.22465	0.05626	0.04749
V45	0.01702	0.01105	0.04756	0.03311	0.0433	0.0097	0.24315	0	0.53231	0.06282
V46	0.19452	0.10599	0.0385	0.1732	0.03208	0	0.02599	0.00096	0.03884	0.38992
V47	0	0	0.03114	0.02123	0.03982	0	0.81837	0	0.05239	0.03703
V48	0.01554	0.02328	0	0	0	0.00459	0.03878	0	0.12435	0.79347
V49	0.21011	0	0.01356	0.0109	0.02569	0.02322	0.04213	0.59045	0.08394	0
V50	0.27945	0.16898	0.04467	0.00553	0.03927	0.41476	0.02253	0	0.02482	0
V51	0.15697	0.02147	0.52096	0.05427	0.07725	0.00211	0.02196	0.00934	0.0651	0.07056
V52	0.0403	0.00041	0.18915	0.30011	0.03769	0	0.38053	0	0.04649	0.00532
V53	0.42338	0.01407	0.10783	0.06878	0.02517	0.00358	0.03101	0.09047	0.03464	0.20109
V54	0	0.0445	0.00903	0.00641	0.20422	0.6763	0.02326	0	0.01691	0.01938
V55	0.07101	0.0277	0.11594	0.61407	0.09398	0.00158	0.03944	0	0.03627	0
V56	0.14126	0.02777	0.46535	0.06356	0.08309	0.12435	0.01433	0	0.01842	0.06186
V57	0.04943	0.00933	0.51637	0.20781	0.01992	0.00861	0.01868	0	0.10271	0.06712
V58	0.01954	0.18894	0.08099	0.12564	0.03505	0.48159	0.03561	0	0.03263	0
V59	0.02235	0.05426	0.03166	0.02115	0.04372	0	0.75774	0	0.04825	0.02087
V60	0.66757	0.02501	0.06859	0	0.08024	0.00528	0.01423	0	0.12251	0.01658
V61	0	0	0.04516	0.02898	0.03956	0.824	0.02891	0	0.02014	0.01325
V62	0.033	0	0	0.00909	0.02137	0	0.3996	0.00315	0.07691	0.45689
V63	0	0.24327	0.02576	0.01107	0.16729	0.45993	0.02998	0	0.02987	0.03283
V64	0.10952	0.00311	0.28863	0.22575	0.02192	0.01429	0.02528	0.19144	0.04982	0.07022
V65	0.11009	0.02374	0.08847	0.30174	0.03306	0.00628	0.07885	0.19603	0.14457	0.01717
V66	0	0.14249	0	0	0.54601	0.02183	0.03578	0	0.04046	0.21343
V67	0.03344	0.16781	0.43389	0.08639	0.02707	0.03423	0.08533	0	0.07308	0.05876
V68	0.03377	0.02295	0.03687	0.02232	0.05443	0.03047	0.01436	0.2631	0.51761	0.0041
V69	0.03392	0.01593	0.72768	0.09467	0.01523	0	0.01021	0	0.02036	0.08199
V70	0.66013	0.01646	0.13814	0.00495	0.02413	0.02773	0.04177	0	0.08046	0.00623
V71	0.04652	0	0	0.01255	0.02437	0.02901	0.05005	0.69947	0.10813	0.0299
V72	0.2448	0.04456	0.04764	0.19313	0.17498	0	0.01982	0	0.03605	0.23901
V73	0.00286	0.1767	0.00834	0.00989	0.67397	0.01284	0.02016	0	0.01702	0.07821
V74	0.05021	0	0	0.13776	0	0.03905	0.03166	0.00149	0.04688	0.69293
V75	0.05511	0.08609	0.21006	0.38659	0.04796	0.01115	0.00907	0	0.19398	0
V76	0	0.00444	0.01686	0.01059	0.03582	0.87672	0.03162	0	0.02293	0.00102
V77	0.02934	0	0.06215	0.2711	0.03848	0.26965	0.29162	0	0.0339	0.00375
V78	0	0.46559	0.04845	0.02324	0.04104	0	0.29407	0	0.04623	0.08136
V79	0.03587	0.02828	0.07729	0.24916	0.03772	0.28028	0.01911	0	0.25009	0.02219
V80	0.39196	0.00533	0.00782	0	0.00235	0.00273	0.05083	0	0.07852	0.46047
V81	0.00688	0.04141	0.03406	0.13044	0.18053	0.55885	0.02025	0	0.01931	0.00829
V82	0.0708	0.51318	0.06578	0.21653	0.02221	0.01086	0.02783	0.02619	0.04661	0
V83	0.08184	0.05923	0.1047	0.41354	0.05189	0.00465	0.02336	0.20638	0.05441	0
V84	0.01843	0.0166	0.03053	0.03372	0.1385	0.52592	0.19875	0	0.02178	0.01578
V85	0.20642	0.00569	0.38306	0.03961	0.00195	5e-05	0.02057	0	0.02961	0.31303
V86	0.31032	0.01215	0.30303	0.29242	0.02554	0.00431	0.01354	0	0.02403	0.01466
V87	0.01752	0.05025	0.06136	0.0391	0.07842	0.02862	0	0	0.71759	0.00714
V88	0.04378	0.34034	0.1043	0.42758	0.02122	0	0.02197	0	0.04082	0
V89	0.00383	0	0.03058	0.04851	0.04737	0	0.71923	0.0784	0.05382	0.01827
V90	0.03657	0.06106	0.31769	0.03355	0	0.02032	0.02459	0	0.03668	0.46954
V91	0.04289	0.00954	0.71329	0.08682	0.02145	0	0.01089	0	0.02607	0.08905
V92	0	0.00095	0.03354	0.02254	0.04644	0	0.77448	0	0.09916	0.02289
V93	0.01648	0.05391	0.10614	0.03213	0.05157	0.00867	0.21915	0.00749	0.48779	0.01667
V94	0.77021	0.00884	0.08763	0	0.02211	0.02557	0.03524	0.01479	0.01879	0.01683
V95	0.0069	0.00091	0.01635	0.01688	0.05494	0	0.54105	0.27108	0.07624	0.01566
V96	0.06499	0.12098	0.35007	0.34534	0.02552	0.01227	0.01476	0	0.05278	0.01329
V97	0.00173	0	0.01955	0.01593	0.02987	0	0.72664	0	0.05585	0.15043
V98	0.00457	0.29592	0.0196	0.05347	0.17852	0.0203	0.05598	0.05656	0.17643	0.13866
V99	0.54502	0.01267	0.07541	0.00549	0.03689	0.00599	0.07518	0	0.2281	0.01524
V100	0.20991	0.01882	0.07363	0.16932	0.0565	0.30579	0.02828	0	0.12423	0.01352
V101	0.00072	0	0	0	0	0.07422	0.1727	0.02325	0.04578	0.68333
V102	0.03675	0.2236	0.01683	0.01016	0.10826	0.30769	0.14881	0.07595	0.04422	0.02772
V103	0.0918	0.03085	0.06376	0.03526	0.04343	0.0283	0	0.00473	0.68516	0.01671
V104	0.04277	0.00701	0.72329	0.08436	0.00964	0	0.00989	0	0.04192	0.08112
V105	0.34011	0	0.12093	0.01534	0.02954	0.14813	0.02965	0.26126	0.04847	0.00657
V106	0.0065	0.63389	0.21248	0.04004	0.00925	0.01389	0.02745	0	0.04337	0.01313
V107	0.23505	0.22801	0.04491	0.01432	0.269	0.01836	0.02355	0.00867	0.13402	0.02411
V108	0.02432	0	0.00852	0.11459	0.01508	0.40574	0.02759	0.0108	0.03955	0.35382
V109	0	0.02456	0.01771	0.01593	0.04288	0.83401	0.0361	0	0.02853	0.00029
V110	0	0.17495	0.00063	0.00531	0.67023	0.00084	0.01827	0.02773	0.02279	0.07926
V111	0	0.01251	0.02486	0.02555	0.14096	0	0.70804	0	0.04391	0.04418
V112	0.00694	0	0.00924	0.01134	0.02637	0	0.58755	0	0.09733	0.26123
V113	0.03439	0.01459	0.0355	0.01957	0.03292	0.07777	0.02	0.01767	0.57257	0.17504
V114	0.03162	0.0317	0.07106	0.03297	0.04428	0.02981	0	0.00581	0.73595	0.0168
V115	0	0.82232	0.02837	0.02669	0.01149	0	0.04668	0	0.06445	0
V116	0.43693	0.08063	0.05211	0.00349	0.02858	0.01733	0.0424	0.2913	0.04722	0
V117	0.01097	0	0.03381	0.02105	0.04048	0	0.81832	0	0.05163	0.02374
V118	0.01711	0	0.01957	0.00824	0.03282	0.86411	0.03704	0	0.0211	0
V119	0.05654	0.02992	0.09953	0.453	0.04094	0.18734	0.03261	0	0.10011	0
V120	0.58815	0.00812	0.23658	0.01492	0.01977	0.07837	0.01751	0	0.0126	0.02398
V121	0.05109	0.09413	0.24845	0.03985	0.04332	0.10418	0.2981	0	0.03958	0.08131
V122	0.02079	0.03441	0.15046	0.0346	0.04791	0.06858	0.11918	0	0.49339	0.03068
V123	0.01268	0.08244	0	0.01179	0.39441	0.01434	0.02989	0.33175	0.08325	0.03944
V124	0.66021	0.04752	0.054	0	0.02096	0.00572	0.03061	0.1515	0.02949	0
V125	0.01447	0.16223	0.09929	0.03815	0.03829	0.14027	0.05127	0.37837	0.07485	0.00282
V126	0	0.21111	0.00528	0.00766	0.62982	0.0011	0.01765	0.01528	0.04775	0.06436
V127	0.0346	0.01158	0.5158	0.06161	0.0217	0	0.18583	0	0.10652	0.06236
V128	0.01209	0.19802	0.35417	0.04255	0.26027	0.04061	0.01597	0	0.02253	0.05379
V129	0.04407	0.09333	0.09729	0.19822	0.11193	0.02233	0.00459	0	0.40308	0.02517
V130	0.03837	0.00628	0.44049	0.05098	0.01674	0.01233	0.02998	0.3072	0.05905	0.03858
V131	0.04127	0.35589	0.38154	0.10146	0.01467	0.00202	0.02465	0	0.05705	0.02145
V132	0.11134	0.00454	0.03674	0.01543	0.10603	0	0.58973	0.06902	0.04201	0.02517
V133	0.03033	0.02345	0.03073	0.16438	0.03552	0.13678	0.09397	0.41371	0.07113	0
V134	0.0285	0.07507	0.17402	0.05376	0.22661	0	0.15827	0	0.04332	0.24044
V135	0.0175	0.19169	0.19053	0.04148	0.04127	0.01561	0.01868	0	0.46747	0.01578
V136	0.00587	0.5893	0.0314	0.13546	0.01241	0	0.02781	0	0.04934	0.14841
V137	0	0.00777	0.03508	0.02407	0.0667	0.327	0.43908	0	0.08466	0.01564
V138	0.01925	0.02316	0.01166	0.00925	0.03721	0	0.51356	0	0.07929	0.30664
V139	0.54284	0.03103	0.07047	0.00733	0.08703	0.07722	0.01329	0	0.16334	0.00745
V140	0.08161	0.01768	0.32868	0.39762	0.05735	0.04468	0.01845	0	0.02916	0.02478
V141	0.0891	0.01726	0.12276	0.64662	0.0439	0.02121	0.01254	0	0.03817	0.00843
V142	0.02283	0	0.06685	0.20971	0.03847	0	0.58679	0	0.04335	0.03199
V143	0	0.7844	0.02799	0.0653	0.0183	0	0.02973	0	0.07428	0
V144	0	0	0.02476	0.02318	0.03673	0.34458	0.51046	0.00904	0.03844	0.0128
V145	0.09363	0.09655	0.0914	0.43495	0.03525	0.02821	0.0212	0.14372	0.05509	0
V146	0.04331	0.00218	0.41175	0.03943	0.0108	0.01719	0.06024	0.0653	0.04644	0.30337
V147	0.01779	0.04332	0.02449	0.02072	0.15594	0.02023	0.00906	0.01314	0.46465	0.23065
V148	0.03006	0.03976	0.05822	0.03047	0.04523	0.07389	0.0261	0	0.69176	0.00451
