Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.02203	0.05696	0	0	0.2582	0	0.05018	0	0.06031	0.55232
V2	0.532	0.01051	0.04796	0.01577	0.05901	0.23515	0.04574	0	0.01537	0.03849
V3	0.06192	0.08527	0.09318	0.03205	0.44484	0	0.08392	0.08728	0.04558	0.06596
V4	0.00638	0.11057	0.03866	0.0506	0.03977	0.11797	0	0.04526	0.5165	0.07429
V5	0.02593	0.15526	0	0.0488	0.06307	0.06264	0.05467	0	0.06647	0.52317
V6	0	0.10446	0.16164	0.03929	0.57438	0.01155	0.02161	0	0.01626	0.07083
V7	0	0.49491	0.03131	0.02986	0.29875	0	0.07456	0.0162	0.03931	0.01511
V8	0	0.51926	0.06816	0.03636	0.01134	0.00612	0.0303	0.22503	0.08161	0.02181
V9	0.02304	0	0.06024	0.11737	0.0377	0.00254	0.15725	0.46492	0.10987	0.02707
V10	0	0.11603	0.00239	0.01813	0.65062	0.04104	0.02559	0.08439	0.02384	0.03797
V11	0	0.5225	0.03016	0.03319	0.01234	0.03278	0.02877	0.21365	0.11319	0.01342
V12	0.03872	0.03703	0.16964	0.41774	0.08328	0	0.11126	0	0.05015	0.09217
V13	0.0627	0.01826	0.14664	0.04328	0.06361	0.10261	0.35426	0	0.16065	0.04799
V14	0.03233	0.43653	0.17024	0.07925	0.05058	0.02249	0.12989	0	0.04627	0.03243
V15	0.27634	0.01117	0.11612	0.45998	0.04765	3e-05	0.04805	0	0.04067	0
V16	0.03746	0.06604	0.20066	0.45591	0.05216	0.03815	0.01375	0	0.13586	0
V17	0.02154	0.1707	0	0	0.08371	0.07196	0.07744	0	0.08106	0.49359
V18	0.10432	0.10839	0.03509	0.24075	0.04	0	0.04348	0	0.06186	0.36611
V19	0.02463	0.01538	0	0.01676	0.02568	0.0877	0.05606	0	0.08409	0.6897
V20	0	0.24617	0.03606	0.02862	0.03222	0	0.48535	0.00788	0.06561	0.09809
V21	0.06024	0.42591	0.05013	0.03085	0.02491	0.29294	0.04222	0	0.05359	0.0192
V22	0.01372	0.01848	0	0	0.02833	0.01619	0.03509	0.28647	0.14579	0.45594
V23	0.16366	0.02335	0.49357	0.06386	0.0171	0	0.0198	0	0.02131	0.19735
