CD56NK	CD4MemoryT	CD19B	CD14
V1	0.54358	0.00426	0.12814	0.32402
V2	0.12306	0.04641	0.03019	0.80034
V3	0.04695	0.57289	0.00403	0.37613
V4	0.87877	0.09881	0	0.02242
V5	0.1066	0.46256	0.22114	0.2097
V6	0.07066	0.89402	0.01219	0.02313
V7	0.13061	0.30455	0.05497	0.50987
V8	0.14275	0.0103	0.80579	0.04116
V9	0.21534	0.17983	0.0205	0.58434
V10	0.01844	0.0121	0.90104	0.06843
V11	0.2313	0.35686	0.40794	0.0039
V12	0.02314	0.61949	0.34393	0.01344
V13	0.27111	0.70542	0.00114	0.02232
V14	0.06158	0.93069	0.00257	0.00517
V15	0.11403	0.59324	0.09124	0.2015
V16	0.92198	0.03539	0.01048	0.03215
V17	0.08046	0.89013	0.0063	0.02311
V18	0.60349	0.32617	0.02734	0.04299
V19	0.15876	0.82642	0.00151	0.01331
V20	0.15217	0.40902	0.00856	0.43025
V21	0.14295	0.03436	0.78248	0.04021
V22	0.01408	0.04922	0.15037	0.78632
V23	0.43099	0.02712	0.53659	0.0053
V24	0.94743	0.03289	0.01937	0.00031
V25	0.34495	0.19168	0.09449	0.36888
V26	0.39302	0.34785	0.00858	0.25055
V27	0.07767	0.02356	0.0122	0.88657
V28	0.00823	0.03851	0.95213	0.00113
V29	0.48977	0.01613	0.45846	0.03564
V30	0.0913	0.16343	0.22572	0.51954
V31	0.20053	0.14935	0.24924	0.40089
V32	0.062	0.00617	0.0194	0.91243
V33	0.04181	0.50341	0.32699	0.12779
V34	0.14237	0.01999	0.79726	0.04037
V35	0.16214	0.74547	0.05857	0.03382
V36	0.00605	0.01397	0.39918	0.5808
V37	0.53679	0.04395	0.0649	0.35436
V38	0.40424	0	0.12742	0.46834
V39	0.16577	0.55937	0.09986	0.175
V40	0.09679	0.84564	0.05757	0
V41	0.00433	0.64009	0.0272	0.32837
V42	0.20151	0.01026	0.1566	0.63164
V43	0.14157	0.33622	0.48503	0.03717
V44	0.01473	0.04571	0.7118	0.22776
V45	0.09487	0.60418	0.19037	0.11059
V46	0.8417	0.0606	0.09317	0.00453
V47	0.50014	0.16075	0.28104	0.05807
V48	0.82521	0.1524	0.00074	0.02165
V49	0.74426	0.16197	0	0.09377
V50	0.06168	0.87149	0.06261	0.00422
V51	0.34039	0.39806	0.22723	0.03432
V52	0.02737	0.08355	0.84734	0.04175
V53	0.77134	0.10659	0.12207	0
V54	0.47544	0.16696	0.33413	0.02347
V55	0.20221	0.08505	0.19284	0.51989
V56	0.03386	9e-04	0.05535	0.90989
V57	0.09259	0.88186	0.01238	0.01317
V58	0.61237	0.00262	0.02459	0.36042
V59	0.4648	0.39865	0.08077	0.05579
V60	0.12478	0.10734	0.27341	0.49447
V61	0.82131	0.08118	0.00396	0.09354
V62	0.90967	0.02991	0.04729	0.01314
V63	0.01313	0.86872	0.09488	0.02327
V64	0.0052	0.83698	0	0.15783
V65	0.01251	0	0.06679	0.9207
V66	0.21607	0.6951	0.01022	0.07861
V67	0.16871	0.32643	0.49122	0.01363
V68	0.13294	0.09472	0.01209	0.76025
V69	0.02404	0.30128	0.61001	0.06467
V70	0.57972	0.11846	0.14795	0.15387
V71	0.15749	0.03975	0.31719	0.48558
V72	0.59806	0.12198	0.06719	0.21276
V73	0.15402	0.62663	0.11079	0.10856
V74	0.06207	0.21579	0.72213	0
V75	0.73533	0.00431	0.15333	0.10704
V76	0.00167	0.11566	0.13545	0.74722
V77	0.03081	0.22445	0.00341	0.74133
V78	0.29903	0.07533	0.14297	0.48266
V79	0.00802	0.06966	0.80178	0.12054
V80	0.38435	0.00959	0.49616	0.10989
V81	0.06107	0.14086	0.79199	0.00608
V82	0.00437	0.05282	0.93411	0.0087
V83	0.11481	0.12263	0.04867	0.71389
V84	0.37982	0.02411	0.12196	0.47412
V85	0.10976	0.29071	0.37013	0.2294
