Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-BLUEPRINT	B Cells	G	0.0171	0.159	0.1419	0.02013561
Cibersort-BLUEPRINT	Monocytes	G	0.27426	0.319	0.04474	0.0020016676
Cibersort-BLUEPRINT	NK	G	0.0	0.016	0.016	0.000256
Cibersort-BLUEPRINT	Neutrophils	G	0.37985	0.395	0.01515	0.0002295225
Cibersort-BLUEPRINT	T Cells	G	0.32879	0.112	0.21679	0.0469979041
Cibersort-BLUEPRINT	B Cells	H	0.07348	0.1	0.02652	0.0007033104
Cibersort-BLUEPRINT	Monocytes	H	0.52982	0.813	0.28318	0.0801909124
Cibersort-BLUEPRINT	NK	H	0.0	0.01	0.01	0.0001
Cibersort-BLUEPRINT	Neutrophils	H	0.04468	0.001	0.04368	0.0019079424
Cibersort-BLUEPRINT	T Cells	H	0.35202	0.075	0.27702	0.0767400804
Cibersort-BLUEPRINT	B Cells	I	0.08511	0.1	0.01489	0.0002217121
Cibersort-BLUEPRINT	Monocytes	I	0.55729	0.813	0.25571	0.0653876041
Cibersort-BLUEPRINT	NK	I	0.0	0.01	0.01	0.0001
Cibersort-BLUEPRINT	Neutrophils	I	0.02835	0.001	0.02735	0.0007480225
Cibersort-BLUEPRINT	T Cells	I	0.32924	0.075	0.25424	0.0646379776
Cibersort-BLUEPRINT	B Cells	J	0.0	0.0	0.0	0.0
Cibersort-BLUEPRINT	Monocytes	J	0.07943	0.0	0.07943	0.0063091249
Cibersort-BLUEPRINT	NK	J	0.0	0.0	0.0	0.0
Cibersort-BLUEPRINT	Neutrophils	J	0.0	0.0	0.0	0.0
Cibersort-BLUEPRINT	T Cells	J	0.92057	1.0	0.07943	0.0063091249
Cibersort-BLUEPRINT	B Cells	K	0.0	0.0	0.0	0.0
Cibersort-BLUEPRINT	Monocytes	K	0.01493	0.0	0.01493	0.0002229049
Cibersort-BLUEPRINT	NK	K	0.0	0.0	0.0	0.0
Cibersort-BLUEPRINT	Neutrophils	K	0.0	0.0	0.0	0.0
Cibersort-BLUEPRINT	T Cells	K	0.98507	1.0	0.01493	0.0002229049
Cibersort-BLUEPRINT	B Cells	L	0.0	0.0	0.0	0.0
Cibersort-BLUEPRINT	Monocytes	L	0.24405	0.0	0.24405	0.0595604025
Cibersort-BLUEPRINT	NK	L	0.0	0.0	0.0	0.0
Cibersort-BLUEPRINT	Neutrophils	L	0.04904	0.0	0.04904	0.0024049216
Cibersort-BLUEPRINT	T Cells	L	0.70691	1.0	0.29309	0.0859017481
Cibersort-HPCA	B Cells	A	0.02009	0.194	0.17391	0.0302446881
Cibersort-HPCA	Monocytes	A	0.46293	0.194	0.26893	0.0723233449
Cibersort-HPCA	NK	A	0.1394	0.194	0.0546	0.00298116
Cibersort-HPCA	Neutrophils	A	0.02028	0.03	0.00972	9.44784e-05
