B_cells	NK_cells	T_cells_CD4.	Monocytes
V162	0.05066	0.36218	0.01379	0.57337
V163	0.05556	0.58278	0.13815	0.22351
V164	0.35227	0.36417	0.05565	0.2279
V165	0	0.24636	0	0.75364
V166	0.00748	0.10394	0	0.88858
V167	0.37657	0	0	0.62343
V168	0.27114	0.66375	0.03959	0.02552
V169	0.21845	0.02617	0	0.75538
V170	0.07036	0.02891	0.54067	0.36007
V171	0.06421	0.30329	0.61666	0.01583
V172	0.76928	0	0.23072	0
V173	0.02694	0.14077	0	0.83229
V174	0.00953	0.19535	0	0.79512
V175	0	0.01518	0.86336	0.12146
V176	0	0.87745	0.12255	0
V177	0	1	0	0
V178	0	0.83358	0	0.16642
V179	0.15609	0.00584	0.37235	0.46572
V180	0	0.97781	0.02219	0
V181	0.12103	0.17103	0.55567	0.15226
V182	0.27746	0.22567	0.46256	0.03431
V183	0.11691	0.88309	0	0
V184	1	0	0	0
V185	0.57775	0.42225	0	0
V186	0.06957	0.57223	0.24923	0.10896
V187	1	0	0	0
V188	0.05112	0.21047	0	0.73841
V189	0.8914	0	0	0.1086
V190	0.6987	0.00129	0.3	0
V191	0.13368	0.26199	0.58944	0.01489
V192	0.30175	0.54148	0	0.15677
V193	0.65564	0.03197	0.20933	0.10306
V194	0	1	0	0
V195	0	0.04007	0.95993	0
V196	0.019	0.0286	0	0.9524
V197	0.46508	0.01091	0	0.52401
V198	0	0.60058	0.36978	0.02964
V199	0.18481	0.02239	0.12074	0.67206
V200	0.1015	0.62969	0	0.26881
V201	0.04637	0.65549	0.16761	0.13053
V202	0	0.03456	0.81249	0.15295
V203	0.10286	0.50832	0.38882	0
V204	0	0.57117	0	0.42883
V205	0	0.07401	0.92599	0
V206	0	0.11795	0.88205	0
V207	0.13984	0.21322	0	0.64693
V208	0.20371	0.08654	0.70975	0
V209	0.29965	0.54707	0.0175	0.13577
V210	0.02595	0.89646	0.06175	0.01585
V211	0.4696	0	0	0.5304
V212	0.52421	0.04505	0.43073	0
V213	0.70887	0.02515	0.05805	0.20793
V214	0.34866	0.1939	0.11811	0.33932
V215	0.32285	0.06755	0	0.6096
V216	0.047	0	0	0.953
V217	0	0.58501	0.20853	0.20646
V218	0.05978	0.53368	0.13482	0.27172
V219	0.0697	0.70907	0	0.22123
V220	0	0.90116	0	0.09884
V221	0.86817	0	0	0.13183
V222	0.3115	0.16963	0.35093	0.16795
V223	0	0.17899	0.79084	0.03017
V224	1	0	0	0
V225	0	0.98916	0.01084	0
V226	0.27331	0.10502	0.62167	0
V227	0.85891	0	0.14109	0
