Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V68	0.04105	0	0.01484	0.02154	0.03706	0	0.00441	0.40417	0.47694	0
V69	0.06044	0	0.92817	0	0.01138	0	0	0	0	0
V70	0.78051	0	0.07213	0	0	0.03434	0.02017	0.01005	0.0828	0
V71	0.01953	0	0	0.03331	0.00707	0	0	0.92601	0	0.01408
V72	0.21897	0	0.04812	0.29149	0.27429	0	0.00573	0.00664	0	0.15476
V73	0.02321	0.00232	0.03535	0	0.91232	0.01477	0.00455	0.00528	0	0.0022
V74	0.00476	0.00213	0.08313	0.22844	0.13207	0.03397	0.00488	0.00753	0	0.50308
V75	0.01167	0.05139	0.18493	0.46631	0.05598	0.00345	0.02027	0.00494	0.20106	0
V76	0.00111	0.00382	0.00056	0.00409	0.0047	0.85951	0.07433	0.00326	0.04387	0.00476
V77	0	0.02172	0.03341	0.34463	0	0.32328	0.23291	0.00018	0.03213	0.01174
V78	0.01183	0.43412	0.05371	0	0.17931	0.04906	0.21566	0	0	0.05631
V79	0.01223	0.01104	0.04902	0.30706	0.02692	0.25464	0.0393	0	0.28124	0.01855
V80	0.45174	0	0.02388	0.00539	0.09601	0.00121	0.01686	0	0.05162	0.35328
V81	0	0.00088	0.01866	0.16071	0.19025	0.56642	0.04695	0	0.01393	0.00219
V82	0.0545	0.39892	0.03766	0.2587	0.15254	0.00388	0.00635	0.08745	0	0
V83	0.01404	0.03166	0.06501	0.48233	0.04618	0	0.01394	0.34685	0	0
V84	0.02004	0.00762	0.02172	0.02924	0.12461	0.58895	0.1768	0.00129	0.02412	0.00562
V85	0.2256	0	0.52218	0	0.04724	0	0	0	0	0.20498
V86	0.2847	0	0.32191	0.36564	0.00706	0.00512	0.01169	0	0.00036	0.00351
V87	0.04594	0.00398	0.0283	0.0288	0.08224	0	0.01363	0	0.79711	0
V88	0	0.26556	0.06954	0.5376	0.10515	0	0.02215	0	0	0
V89	0	0.05513	0.02485	0.0445	0	0.11965	0.54898	0.15608	0.04095	0.00986
V90	0.02508	0.05109	0.47754	0	0.10407	0.01756	0	0	0	0.32468
V91	0.07003	0	0.9034	0	0.0169	0	0	0.00431	0.00161	0.00375
V92	0.0019	0.07269	0.02912	0.00304	0	0.14578	0.61152	0.00671	0.11881	0.01042
V93	0.03824	0.04003	0.08984	0.00798	0.03703	0.03128	0.16187	0.02132	0.57241	0
V94	0.8954	0	0.00362	0	0	0.03023	0.00817	0.05577	0	0.00682
V95	0.00196	0.04089	0.01288	0.01194	0.00256	0.07408	0.35069	0.46896	0.02844	0.00761
V96	0.02276	0.09012	0.37582	0.3967	0.04336	0.01172	0.01473	0.01746	0.02274	0.00459
V97	0	0.06556	0.03534	0.00077	0	0.13199	0.60081	0.00676	0.05791	0.10086
