Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V131	0.18386	0	0.24671	0	0.56943	0
V132	0.01883	0.48662	0.49455	0	0	0
V133	0.20664	0.04697	0.74639	0	0	0
V134	0.1967	0.78856	0.01474	0	0	0
V135	0.1966	0	0.8034	0	0	0
V136	0.0221	0.93332	0.04457	0	0	0
V137	0.16169	0	0.77026	0	0.06805	0
V138	0.24811	0	0.09585	0.21083	0.0933	0.35191
V139	0.25717	0	0.30987	0	0.28551	0.14745
V140	0.78813	0.16407	0.0478	0	0	0
V141	0.43467	0.23579	0.23908	0.03353	0.05693	0
V142	0.06384	0.93616	0	0	0	0
V143	0.1868	0	0.79654	0	0.01667	0
V144	0.22614	0.08615	0.01398	0	0	0.67373
V145	0.11919	0	0.0847	0.74803	0.04809	0
V146	0.22478	0	0.28961	0	0.48561	0
V147	0.75299	0	0.09055	0	0	0.15647
V148	0.13537	0	0.86463	0	0	0
V149	0	0.56132	0	0	0	0.43868
V150	0.09532	0	0.06941	0.75737	0.07791	0
V151	0.04674	0.40916	0	0	0	0.5441
V152	0.24203	0.11309	0.61515	0	0.02973	0
V153	0.11581	0	0.81299	0	0.0712	0
V154	0.56715	0.16805	0	0	0	0.26479
V155	0.16733	0.29469	0.23821	0	0.29977	0
V156	0	0.51419	0.11314	0	0.37267	0
V157	0.22335	0.02468	0.08646	0.09025	0.02349	0.55177
V158	0.05069	0	0.94931	0	0	0
V159	0.33245	0.15668	0.48154	0	0.02933	0
V160	0.08615	0	0.91385	0	0	0
V161	0.00471	0.63475	0.03799	0.17186	0.15069	0
V162	0.0511	0.65866	0.06879	0	0.22145	0
V163	0.01531	0	0.98469	0	0	0
V164	0.09717	0.30569	0.53848	0	0.05866	0
V165	0.15752	0	0.26131	0	0.58116	0
V166	0.25652	0	0.14908	0.00197	0.40157	0.19086
V167	0.12236	0	0.57951	0.24785	0.05027	0
V168	0.87744	0	0.12256	0	0	0
V169	0.12718	0	0.8624	0	0.01042	0
V170	0.64489	0	0.26234	0.0629	0.02986	0
V171	0.12519	0.51073	0	0	0	0.36408
V172	0.30508	0	0.69492	0	0	0
