CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V95	0.06975	0.01661	0.2864	0.08459	0.50867	0.03398
V96	0.16205	0.24575	0.07822	0.04396	0.36352	0.10651
V97	0.06958	0.01977	0.07016	0.06094	0.7428	0.03675
V98	0.1138	0.05551	0.04585	0.50756	0.23874	0.03854
V99	0.09532	0.01503	0.04127	0.62514	0.18914	0.0341
V100	0.08516	0.01382	0.39468	0.18495	0.26802	0.05337
V101	0.12078	0.23449	0.36918	0.06722	0.16368	0.04464
V102	0.54093	0.0442	0.15803	0.01681	0.1491	0.09093
V103	0.46117	0.04455	0.08784	0.12271	0.19024	0.09348
V104	0.10476	0.00453	0.20514	0.46265	0.18184	0.04107
V105	0.2655	0.0231	0.1356	0.01683	0.18262	0.37635
V106	0.1418	0.01359	0.50603	0	0.16699	0.17159
V107	0.18295	0.37857	0.22574	0.00756	0.16163	0.04354
V108	0.21697	0.04179	0.09874	0.02118	0.3291	0.29221
V109	0.2285	0.02876	0.08199	0.01645	0.31949	0.32481
V110	0.11984	0.11528	0.55333	0	0.15938	0.05217
V111	0.07579	0.02164	0.69282	0.00068	0.17241	0.03666
V112	0.13775	0.20635	0.04758	0.38957	0.17851	0.04024
V113	0.09477	0.07002	0.51438	0.0192	0.26069	0.04093
V114	0.16467	0.01216	0.52688	0.09454	0.15623	0.04553
V115	0.36563	0.06782	0.09013	0.03319	0.25832	0.18491
V116	0.56822	0.03955	0.09443	0.05152	0.15125	0.09502
V117	0.39352	0.036	0.07353	0.07806	0.34403	0.07487
V118	0.16141	0.3974	0.14386	0.03368	0.21174	0.05191
V119	0.17566	0.46371	0.08813	0.04179	0.17344	0.05726
V120	0.15841	0.13794	0.1264	0.2901	0.23146	0.0557
V121	0.31401	0.02848	0.07114	0.2079	0.16731	0.21116
V122	0.26384	0.02849	0.05566	0.40543	0.19298	0.05361
V123	0.33026	0.03307	0.07587	0.04958	0.27347	0.23776
V124	0.07344	0.01205	0.27819	0.0113	0.58616	0.03887
V125	0.11089	0.10973	0.51823	0.03821	0.15766	0.06527
V126	0.23041	0.18731	0.113	0.02042	0.18021	0.26864
V127	0.10156	0.00944	0.6277	0.05672	0.16548	0.0391
V128	0.29219	0.17734	0.14215	0.11583	0.20498	0.06752
V129	0.07827	0.02113	0.6519	0.0425	0.16653	0.03967
V130	0.38746	0.10186	0.07454	0.1793	0.17961	0.07723
V131	0.10897	0.0153	0.08378	0.02605	0.6693	0.0966
V132	0.13765	0.29193	0.33478	0.00137	0.19262	0.04165
V133	0.12886	0.13492	0.44996	0.05364	0.19254	0.04008
V134	0.23485	0.37635	0.08296	0.02007	0.2214	0.06437
V135	0.12463	0.01801	0.57745	0	0.1941	0.08581
V136	0.19761	0.41068	0.12477	0.02411	0.19028	0.05255
V137	0.10986	0.11651	0.44693	0.00876	0.28242	0.03552
V138	0.1912	0.01365	0.06636	0.29598	0.23835	0.19447
V139	0.13886	0.05009	0.17387	0.01496	0.4618	0.16041
V140	0.42108	0.16417	0.10993	0.06091	0.16014	0.08378
V141	0.24554	0.17978	0.14869	0.18021	0.18176	0.06403
V142	0.21653	0.40812	0.08698	0.05267	0.16557	0.07013
V143	0.12428	0.05147	0.49826	0.04753	0.22785	0.05062
V144	0.23626	0.13188	0.08138	0.1014	0.17956	0.26952
V145	0.09886	0.00293	0.04701	0.62949	0.17786	0.04386
V146	0.15003	0.02413	0.11813	0.01704	0.61592	0.07475
V147	0.38237	0.07414	0.15704	0.04332	0.16076	0.18235
V148	0.10024	0.12598	0.5803	0	0.15341	0.04008
V149	0.21481	0.31098	0.07437	0.03304	0.17079	0.196
V150	0.09865	0.00314	0.03559	0.6258	0.20207	0.03476
V151	0.22485	0.26631	0.07482	0.0218	0.18887	0.22334
V152	0.13939	0.16226	0.35865	0.02434	0.25086	0.0645
V153	0.08075	0.03336	0.49952	0.17055	0.18027	0.03555
V154	0.3695	0.16019	0.08797	0.01413	0.165	0.20322
V155	0.14368	0.23848	0.12711	0.00989	0.41917	0.06166
V156	0.12698	0.30205	0.07496	0.01428	0.44202	0.0397
V157	0.19498	0.08961	0.09095	0.20437	0.18414	0.23595
V158	0.09182	0.04838	0.66545	0	0.15375	0.0406
V159	0.18508	0.16245	0.2876	0.11842	0.18771	0.05875
V160	0.09225	0.00941	0.67559	0	0.15766	0.0651
V161	0.14048	0.30416	0.05851	0.22414	0.23349	0.03921
V162	0.15227	0.33108	0.06581	0.09469	0.30436	0.05179
V163	0.08508	0.00871	0.7104	0	0.15507	0.04074
V164	0.12206	0.22972	0.31173	0.07589	0.2182	0.0424
V165	0.10319	0.02821	0.08985	0.02552	0.67069	0.08255
V166	0.14653	0.02183	0.06008	0.11777	0.48542	0.16837
V167	0.08726	0.00512	0.34615	0.34196	0.18336	0.03614
V168	0.46792	0.03765	0.07915	0.17559	0.15236	0.08733
V169	0.09162	0.01389	0.54763	0.13569	0.16733	0.04384
V170	0.3376	0.04233	0.13429	0.21002	0.20576	0.07
V171	0.23757	0.2958	0.08762	0.01433	0.17934	0.18534
V172	0.14012	0.05821	0.43468	0.1188	0.16577	0.08242
V173	0.10142	0.02292	0.61686	0	0.16948	0.08932
V174	0.43492	0.09539	0.08671	0.01857	0.28633	0.07809
V175	0.18308	0.39114	0.15707	0.02229	0.19989	0.04653
V176	0.07291	0.00867	0.71105	0	0.17084	0.03653
V177	0.18413	0.07147	0.29327	0.02201	0.28599	0.14312
V178	0.08662	0.04054	0.09055	0.01277	0.72184	0.04768
V179	0.11952	0.00699	0.07407	0.44392	0.25023	0.10527
V180	0.24816	0.02238	0.18949	0.27674	0.15952	0.10371
V181	0.3878	0.09963	0.12056	0.05588	0.20647	0.12966
V182	0.09488	0.06889	0.59478	0.03614	0.15822	0.04709
V183	0.10434	0.00303	0.04075	0.64	0.17671	0.03517
V184	0.32052	0.25894	0.08374	0.03111	0.23778	0.06791
V185	0.20137	0.32533	0.09022	0.01901	0.25541	0.10867
V186	0.07646	0.00587	0.48883	0.22754	0.16914	0.03215
V187	0.27752	0.30374	0.07753	0.02572	0.25581	0.05967
V188	0.22337	0.35708	0.08195	0.03232	0.16832	0.13696
V189	0.10406	0.06057	0.19015	0.0267	0.527	0.09152
V190	0.12528	0.13194	0.07009	0.02573	0.54017	0.10678
V191	0.20464	0.35697	0.07592	0.02091	0.17989	0.16167
V192	0.38765	0.16385	0.14031	0.02842	0.195	0.08477
V193	0.25729	0.10296	0.08463	0.02426	0.18802	0.34284
V194	0.0818	0.02585	0.07987	0.09317	0.67275	0.04656
V195	0.07802	0.00882	0.57166	0.0596	0.245	0.0369
V196	0.09362	0.00306	0.05451	0.60314	0.20827	0.03739
V197	0.19707	0.02029	0.08683	0.0185	0.62054	0.05677
V198	0.18037	0.25669	0.09318	0.10815	0.30825	0.05337
V199	0.11155	0.15895	0.13516	0.07961	0.4719	0.04283
