Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V120	0.0207	0.00772	0.81607	0.1031	0.0524
V121	0.17174	0.74933	0.00621	0.00422	0.0685
V122	0.04266	0.37699	0.08315	0.22938	0.26782
V123	0.51896	0.01583	0.07415	0.18206	0.20901
V124	0.23228	0.08571	0.05758	0.21651	0.40791
V125	0.03308	0.46146	0.4933	0	0.01216
V126	0.1702	0.16241	0.21905	0.1077	0.34065
V127	0.29742	0	0.65518	0.03264	0.01476
V128	0.17784	0.78794	0.01466	0	0.01956
V129	0.29222	0.00996	0.27098	0.1651	0.26174
V130	0.03282	0.501	0.0415	0.22243	0.20226
V131	0.04243	0	0.21451	0.68283	0.06024
V132	0.36942	0	0	0.33185	0.29874
V133	0.02069	0.03877	0.55061	0.08129	0.30864
V134	0.08342	0.0226	0.78662	0.00961	0.09775
V135	0.03137	0.09772	0.72949	0.01404	0.12738
V136	0.95191	0.01908	0.00663	0	0.02239
V137	0.9047	0.0351	0.00494	0.01223	0.04302
V138	0.26511	0.11934	0.07616	0.12853	0.41087
V139	0.14204	0	0.14331	0.65255	0.06211
V140	0.04824	0	0.14189	0.03308	0.77679
V141	0.0222	0.21835	0.64933	0.08953	0.02059
V142	0.23089	0	0.32361	0.11836	0.32714
V143	0.03052	0.18103	0.48551	0.13717	0.16577
V144	0.51632	0.2077	0.06993	0.10992	0.09613
V145	0.00606	0.03969	0.91946	0.00344	0.03134
V146	0.04675	0.33331	0.00366	0.30778	0.3085
V147	0.1093	0.0574	0.69068	0.09642	0.0462
V148	0.13236	0.80459	0.01485	0.02628	0.02193
V149	0.04304	0	0	0.8311	0.12586
V150	0.14939	0.18348	0.5884	0	0.07874
V151	0.45199	0	0.00437	0.39547	0.14817
V152	0.04437	0	0.0989	0.72324	0.13349
V153	0.1839	0.16728	0.467	0.03781	0.14401
V154	0.1089	0.60101	0.02601	0.02823	0.23584
V155	0.06368	0	0.11843	0.74508	0.07281
V156	0.12159	0.00458	0.40079	0.1448	0.32822
V157	0.11791	0.01533	0.16397	0.27276	0.43003
V158	0.21435	0	0.4425	0.03544	0.30771
V159	0.12955	0.20309	0.01015	0.57517	0.08204
V160	0.47392	0.14276	0.09491	0.03364	0.25477
V161	0.23497	0	0.05264	0.02366	0.68873
V162	0.00522	0.04938	0.93224	0	0.01317
V163	0.07657	0	0.00138	0.06807	0.85399
V164	0.91019	0.06397	0.01377	0	0.01206
V165	0.61532	0.20801	0.0862	0.03636	0.05412
V166	0.07863	0	0.22475	0.56846	0.12817
V167	0.03033	0.65234	0.01981	0.12803	0.16949
V168	0.00522	0.04938	0.93224	0	0.01317
V169	0.04187	0.70127	0.15969	0.07387	0.02331
V170	0.24885	0.3776	0.05617	0.18568	0.13171
V171	0.33526	0.05891	0.37102	0.16882	0.06599
V172	0.19063	0.20334	0.06742	0.02941	0.5092
V173	0.23446	0.07791	0.08663	0.39708	0.20392
V174	0.23193	0	0.34868	0.19017	0.22922
V175	0.09531	0.12041	0.11452	0.17774	0.49201
V176	0.38571	0	0	0.56396	0.05033
V177	0.21723	0.01503	0.57744	0.16668	0.02363
V178	0.30629	0.01941	0.47108	0.10361	0.09962
V179	0.11797	0	0	0.0396	0.84243
V180	0.04646	0	0.33961	0.01837	0.59557
V181	0.07576	0.26247	0	0.06909	0.59269
V182	0.56515	0.22444	0.00455	0.14977	0.05609
V183	0.04537	0.92955	0.01017	3e-05	0.01487
V184	0.3419	0	0.29389	0.31427	0.04994
V185	0.10297	0.4797	0.02346	0.14163	0.25224
V186	0.15205	0.16062	0.02393	0.24824	0.41516
V187	0.06815	0.69562	0.00566	0.20334	0.02722
V188	0.85247	0.0224	0.03328	0.07097	0.02088
V189	0.46276	0.22791	0.03618	0.24357	0.02958
