Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V69	0	0	0.97262	0	0.00963	0.0041	0.00438	0.00927	0	0
V70	0.78732	0	0.06183	0	0	0.03309	0.02327	0.00636	0.08813	0
V71	0.01702	0	0	0.03371	0	0	0	0.9371	0	0.01218
V72	0.21521	0	0.04348	0.33646	0.25994	0	0	0.0053	0.00119	0.13843
V73	0.0506	0	0.02572	0.00775	0.90073	0.00931	0	0.0059	0	0
V74	0.0038	0.0014	0.08771	0.2677	0.12704	0.03562	0.00014	0.00825	0.0092	0.45913
V75	0	0.06535	0.18495	0.52872	0.0163	0.00912	0.00116	0.00437	0.19003	0
V76	0.0022	0.00383	0.00378	0.01212	0.01004	0.86637	0.06807	0.00568	0.02592	0.00199
V77	0	0.0432	0.03986	0.40072	0	0.3009	0.18883	0.00045	0.01847	0.00758
V78	0.01417	0.45028	0.09864	0	0.14079	0.04001	0.2002	0	0.00516	0.05076
V79	0.00101	0.02561	0.04228	0.3633	0	0.25147	0.0208	0	0.27759	0.01793
V80	0.45738	0	0.02304	0	0.08492	0	0.02187	0	0.08133	0.33146
V81	0.00124	0.00165	0.02003	0.19892	0.19276	0.55399	0.0314	0	0	0
V82	0.05231	0.38416	0.0658	0.30311	0.09742	0.00605	0	0.09115	0	0
V83	0.0093	0.03534	0.05718	0.52745	0.01662	0	0	0.35336	0	0.00074
V84	0.02619	0.01671	0.02111	0.04537	0.13335	0.58339	0.15677	0.00428	0.01236	0.00046
V85	0.19285	0	0.56905	0	0.0474	0	0.00103	0.00089	0	0.18878
V86	0.24563	0.00561	0.31459	0.42105	0	0.01012	0.00122	0	0	0.00178
V87	0.03019	0.0295	0.01756	0.03081	0.01594	0	0.00892	0	0.86495	0.00212
V88	0	0.25303	0.09718	0.58915	0.05603	0	0.00283	0	0	0.00178
V89	0.00567	0.09884	0.02653	0.0627	0	0.09411	0.49105	0.17436	0.04303	0.00371
V90	0	0.04668	0.52849	0	0.10241	0.02054	0.00157	5e-04	0	0.29981
V91	0.006	0	0.9515	0	0.01593	0.00286	0.00312	0.02059	0	0
V92	0.00852	0.12593	0.03421	0.01395	0	0.11648	0.56074	0.00882	0.12768	0.00368
