cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V137	0.67934	0.03316	0.25725	0.03025
V138	0.29489	0.39055	0.21886	0.0957
V139	0.44148	0.20242	0.24232	0.11378
V140	0.08067	0.1519	0.11675	0.65067
V141	0.10737	0.1429	0.63687	0.11285
V142	0.81792	0.00643	0.17564	1e-05
V143	0.52199	0.26986	0.09416	0.11399
V144	0.292	0.17973	0.25327	0.275
V145	0.00203	0.72983	0.26389	0.00424
V146	0.13873	0.03034	0.06862	0.76231
V147	0.93645	0.02636	0.02104	0.01614
V148	0.18512	0.05969	0.65683	0.09836
V149	0.3171	0.44698	0.2322	0.00372
V150	0.12265	0.20845	0.62979	0.0391
V151	0.28643	0.60213	0.04865	0.06278
V152	0.29599	0.40805	0.24845	0.04751
V153	0.16596	0.74578	0.02977	0.05849
V154	0.29015	0.40138	0.29233	0.01615
V155	0.50488	0.13134	0.3161	0.04768
V156	0.05898	0.11771	0.76079	0.06253
V157	0.38133	0.14784	0.36775	0.10308
V158	0.0372	0.01617	0.06064	0.886
V159	0.90426	0.07305	0	0.02269
V160	0.79609	0.0126	0.08484	0.10647
V161	0.41608	0.02022	0.06491	0.49879
V162	0.14113	0.39491	0.14323	0.32073
V163	0.15785	0.50465	0.22092	0.11658
V164	0.4389	0.30826	0.13913	0.11371
V165	0.02695	0.43158	0.00755	0.53392
V166	0.02932	0.17033	0.15654	0.64381
V167	0.59705	0.00814	0.01489	0.37992
V168	0.34572	0.52733	0.09715	0.0298
V169	0.3696	0.08067	0.07685	0.47288
V170	0.16793	0.01703	0.64895	0.16609
V171	0.16618	0.20321	0.60997	0.02064
V172	0.72817	0.00704	0.26155	0.00323
V173	0.07665	0.23975	0.09172	0.59188
V174	0.04936	0.25956	0.15674	0.53434
V175	0.09746	0.00307	0.8389	0.06058
V176	0.01621	0.77932	0.20022	0.00425
V177	0.01763	0.97082	0.00265	0.00889
V178	0.01827	0.85085	0.01169	0.11919
V179	0.25865	0.01006	0.51041	0.22088
V180	0.04472	0.86097	0.09412	0.00019
V181	0.22122	0.11434	0.58935	0.07509
V182	0.34255	0.15433	0.47417	0.02895
V183	0.23586	0.74996	0.01016	0.00402
V184	0.98231	0.01039	0.00725	4e-05
V185	0.62465	0.35591	0.01598	0.00346
V186	0.17917	0.45268	0.30471	0.06344
V187	0.95357	0.01494	0.02852	0.00297
V188	0.13773	0.3605	0.00652	0.49525
V189	0.87625	0.02962	0.02489	0.06924
V190	0.67695	0.01283	0.30696	0.00326
V191	0.22436	0.17355	0.58174	0.02034
V192	0.38486	0.45894	0.07049	0.08572
V193	0.65043	0.03309	0.25786	0.05862
V194	0.06073	0.91483	0.01131	0.01313
V195	0.01407	0.01452	0.96725	0.00416
V196	0.03355	0.14163	0.03265	0.79217
V197	0.60585	0.06271	0.0455	0.28594
V198	0.10094	0.46221	0.40569	0.03117
V199	0.31126	0.03441	0.2901	0.36423
V200	0.21373	0.60961	0.03152	0.14514
V201	0.1537	0.53988	0.23234	0.07408
V202	0.02932	0.00975	0.87409	0.08685
V203	0.21116	0.37413	0.40276	0.01196
V204	0.02085	0.69	0.01426	0.27488
V205	0.02742	0.03796	0.92648	0.00813
V206	0.06725	0.0715	0.85733	0.00392
V207	0.26224	0.26224	0.10081	0.3747
V208	0.29289	0.04946	0.65027	0.00738
V209	0.38008	0.45286	0.0909	0.07616
V210	0.13117	0.72911	0.11356	0.02616
V211	0.62405	0.02342	0.05898	0.29355
V212	0.5396	0.03269	0.41711	0.0106
V213	0.73014	0.03511	0.13608	0.09867
V214	0.44784	0.1686	0.21764	0.16592
V215	0.48567	0.13135	0.03878	0.34421
V216	0.09419	0.01564	0.05696	0.83322
V217	0.08212	0.50621	0.29734	0.11433
V218	0.15903	0.47226	0.22697	0.14173
V219	0.17521	0.68232	0.0208	0.12167
V220	0.01784	0.88629	0.01138	0.08449
V221	0.89235	0.01486	0.0076	0.08519
V222	0.38134	0.12529	0.41131	0.08207
V223	0.01402	0.11729	0.82914	0.03955
V224	0.96777	0.01006	0.02213	3e-05
V225	0.08715	0.83681	0.07184	0.0042
V226	0.35118	0.06449	0.57708	0.00725
V227	0.81321	0.00532	0.17541	0.00605
V228	0.80552	0.06958	0.08068	0.04422
V229	0.02734	0.0125	0.94789	0.01226
V230	0.0353	0.05617	0.05691	0.85161
V231	0.04306	0.38653	0.19904	0.37136
V232	0.08777	0.74759	0.00264	0.162
V233	0.63273	0.08188	0.21993	0.06546
V234	0.06001	0.88964	0.0418	0.00856
V235	0.40562	0.04878	0.53054	0.01506
V236	0.0699	0.0512	0.84057	0.03834
V237	0.34512	0.02207	0.07046	0.56234
V238	0.18014	0.50377	0.29015	0.02594
V239	0.13934	0.52197	0.03943	0.29925
V240	0.51858	0.03278	0.4253	0.02334
V241	0.02784	0.00401	0.93411	0.03404
V242	0.17872	0.70324	0.10994	0.0081
V243	0.28459	0.03215	0.64622	0.03704
V244	0.25018	0.00333	0.70554	0.04094
V245	0.64026	0.27045	0.0618	0.02749
V246	0.0807	0.1232	0.78393	0.01218
V247	0.19765	0.01306	0.78919	0.00011
V248	0.06142	0.06484	0.11256	0.76118
V249	0.00057	0.02811	0.93684	0.03449
V250	0.79871	0.00539	0.19305	0.00284
V251	0.9484	0.04207	0.00654	0.00299
V252	0.01648	0.80505	0.17829	0.00018
V253	0.49593	0.07756	0.22544	0.20107
V254	0.01702	0.91461	0.064	0.00437
V255	0.07511	0.90076	0.0021	0.02203
V256	0.22117	0.18747	0.54814	0.04322
V257	0.49439	0.1011	0.29059	0.11393
V258	0.23137	0.24095	0.46538	0.06229
V259	0.05596	0.25558	0.66751	0.02095
V260	0.00091	0.24903	0.74603	0.00403
V261	0.67455	0.03367	0.22268	0.06909
V262	0.23099	0.09987	0.04124	0.62789
V263	0.03213	0.95212	0.00246	0.01328
V264	0.24922	0.03477	0.53875	0.17726
V265	0.07992	0.01013	0.28887	0.62107
V266	0.67878	0.31279	0.00836	7e-05
V267	0.00199	0.22663	0.45205	0.31934
V268	0.53735	0.02969	0.20526	0.2277
V269	0.01522	0.52279	0.43562	0.02638
V270	0.67766	0.02534	0.25842	0.03858
V271	0.83458	0.07163	0.04389	0.0499
V272	0.09337	0.82998	0.02045	0.05619
V273	0.13847	0.04549	0.08729	0.72875
V274	0.74661	0.00539	0.19743	0.05056
V275	7e-04	0.01551	0.97954	0.00425
V276	0.57874	0.33149	0.01683	0.07295
V277	0.08477	0.27863	0.27421	0.36239
V278	0.08252	0.07019	0.47416	0.37313
V279	0.74747	0.0586	0.12904	0.06489
V280	0.0372	0.01617	0.06064	0.886
V281	0.65144	0.03539	0.17828	0.13489
V282	0.08112	0.05117	0.83839	0.02932
V283	0.28784	0.55895	0.08063	0.07258
V284	0.0448	0.87746	0.07344	0.00429
V285	0.09207	0.00635	0.90144	0.00015
V286	0.3102	0.50966	0.13177	0.04836
V287	0.14183	0.82533	0.02012	0.01273
V288	0.03275	0.28545	0.53723	0.14457
V289	0.32842	0.19309	0.44014	0.03835
V290	0.82828	0.15504	0.01664	5e-05
V291	0.51964	0.05563	0.41776	0.00697
V292	0.96309	0.01393	0	0.02298
V293	0.32605	0.01035	0.64394	0.01965
V294	0.18088	0.49	0.00412	0.325
V295	0.04304	0.24105	0.32974	0.38617
V296	0.21743	0.10213	0.63816	0.04228
V297	0.17842	0.01068	0.15112	0.65977
V298	0.33863	0.08095	0.57313	0.00729
V299	0.15294	0.39691	0.0309	0.41925
V300	0.00301	0.04501	0.43788	0.51411
V301	0.16322	0.09463	0.68531	0.05684
V302	0.68281	0.30961	0.00028	0.00729
V303	0.00147	0.55985	0.42138	0.0173
V304	0.08554	0.01668	0.81735	0.08043
V305	0.18623	0.15127	0.5389	0.1236
V306	0.82303	0.09421	0.0602	0.02255
V307	0.03191	0.93726	0.02207	0.00876
V308	0.31148	0.22223	0.35162	0.11468
V309	0.4529	0.33855	0.04136	0.16719
V310	0.14819	0.37251	0.22684	0.25247
V311	0.57084	0.41742	0.00816	0.00358
V312	0.13981	0.68448	0.16316	0.01254
V313	0.00498	0.20448	0.04843	0.74211
V314	0.03741	0.56595	0.17178	0.22487
V315	0.1919	0.64527	0.05289	0.10995
V316	0.36708	0.12422	0.4297	0.07901
V317	0.13984	0.7111	0.06365	0.08541
V318	0.07409	0.67191	0.02454	0.22947
V319	0.0797	0.04362	0.86062	0.01607
V320	0.1151	0.12482	0.69864	0.06143
V321	0.67027	0.32131	0.00836	7e-05
V322	0.31066	0.36407	0.10892	0.21635
V323	0.13081	0.03842	0.1925	0.63826
V324	0.68236	0.22834	0.07838	0.01091
V325	0.36706	0.56455	0.06465	0.00374
V326	0.0023	0.65883	0.14167	0.1972
V327	0.04868	0.22462	0.207	0.5197
V328	0.07355	0.0168	0.8247	0.08496
V329	0.29599	0.13765	0.26371	0.30265
V330	0.46869	0.00989	0.3965	0.12492
V331	0.52901	0.10792	0.07175	0.29132
V332	0.02644	0.07519	0.36174	0.53663
V333	0.45346	0.06779	0.42212	0.05663
V334	0.44168	0.00957	0.41889	0.12986
V335	0.04514	0.31569	0.57507	0.0641
V336	0.23667	0.68046	0.02868	0.05419
V337	0.32237	0.35271	0.30887	0.01605
V338	0.00311	0.97944	0.01292	0.00453
V339	0.1485	0.00511	0.84254	0.00385
V340	0.09192	0.2147	0.60135	0.09203
V341	0.05908	0.06071	0.14754	0.73267
V342	0.29286	0.00309	0.64055	0.0635
V343	0.96765	0.02254	0.00678	0.00303
V344	0.69216	0.12844	0.17938	3e-05
V345	0.01446	0.01676	0.96861	0.00017
V346	0.33277	0.11693	0.36557	0.18473
V347	0.10368	0.02259	0.26425	0.60948
V348	0.093	0.65366	0.17835	0.07498
V349	0.38939	0.1483	0.41023	0.05208
V350	0.04439	0.75846	0.19698	0.00017
V351	0.03907	0.0331	0.60513	0.32269
V352	0.0693	0.01005	0.88262	0.03803
V353	0.8942	0.03096	0.04346	0.03138
V354	0.07309	0.6509	0.2542	0.02181
V355	0.3348	0.06736	0.512	0.08584
V356	0.0826	0.04024	0.21826	0.6589
V357	0.17343	0.33773	0.34859	0.14026
V358	0.65846	0.11649	0.07254	0.15251
V359	0.70298	0.0675	0.05119	0.17833
V360	0.5915	0.37621	0.02499	0.0073
V361	0.00118	0.40498	0.5898	0.00404
V362	0.00304	0.96941	0.02305	0.00449
V363	0.23688	0.1087	0.54077	0.11365
V364	0.20048	0.0491	0.70416	0.04626
V365	0.46601	0.04209	0.03083	0.46107
V366	0.1228	0.68732	0.10844	0.08144
V367	0.68731	0.15722	0.00876	0.14672
V368	0.13618	0.70921	0.10464	0.04996
V369	0.02814	0.35508	0.61283	0.00395
V370	0.3285	0.23734	0.41829	0.01588
V371	0.24644	0.68039	0.03836	0.03482
V372	0.30431	0.07407	0.21142	0.4102
V373	0.12712	0.1367	0.58169	0.1545
V374	0.80247	0.01195	0.18557	0
V375	0.09844	0.06063	0.28518	0.55576
V376	0.08169	0.05451	0.21507	0.64873
V377	0.87473	0.00804	0.01693	0.1003
V378	0.02015	0.03349	0.62385	0.32251
V379	0.50002	0.22968	0.02149	0.24881
V380	0.26747	0.08982	0.31371	0.329
V381	0.79103	0.01991	0.11228	0.07678
V382	0.10612	0.02055	0.86943	0.0039
V383	0.86731	0.01409	0.06185	0.05674
V384	0.6478	0.07858	0.16245	0.11117
V385	0.8829	0.0176	0.07631	0.02319
V386	0.4653	0.0214	0.21784	0.29545
V387	0.62243	0.13291	0.20525	0.03941
V388	0.43367	0.31562	0.17591	0.0748
V389	0.46437	0.48483	0.01721	0.0336
V390	0.33651	0.21005	0.4499	0.00354
V391	0.57937	0.13045	0.03355	0.25663
V392	0.48227	0.21999	0.20285	0.09488
V393	0.33449	0.20998	0.38494	0.07059
V394	0.18081	0.30016	0.1895	0.32953
V395	0.29241	0.37783	0.24	0.08977
V396	0.0174	0.95739	0.01189	0.01332
V397	0.78463	0.08314	0.11361	0.01862
V398	0.5487	0.15012	0.13427	0.16691
V399	0.24948	0.51976	0.1769	0.05387
V400	0.0024	0.69032	0.10146	0.20582
V401	0.05673	0.13402	0.77038	0.03887
V402	0.79865	0.15947	0.04184	4e-05
V403	0.05884	0.04477	0.16722	0.72917
V404	0.12442	0.17086	0.65757	0.04715
V405	0.36343	0.04362	0.26339	0.32956
V406	0.68357	0.24097	0.02487	0.05059
V407	0.00311	0.97944	0.01292	0.00453
V408	0.14	0.24389	0.48286	0.13325
V409	0.00584	0.04318	0.06124	0.88974
V410	0.12858	0.8186	0.04007	0.01275
V411	0.66114	0.01651	0.00332	0.31903
V412	0.22661	0.07027	0.57694	0.12619
V413	0.09995	0.51302	0.24372	0.14332
V414	0.06157	0.48768	0.38537	0.06538
V415	0.52666	0.03524	0.29277	0.14533
V416	0.01424	0.05838	0.92722	0.00016
V417	0.44401	0.5435	0.00877	0.00371
V418	0.15421	0.1488	0.2592	0.43779
V419	0.03596	0.0156	0.07945	0.86899
V420	0.00273	0.92342	0.02175	0.0521
V421	0.1997	0.03215	0.71247	0.05568
V422	0.11442	0.11697	0.03011	0.73849
V423	0.1068	0.01132	0.86994	0.01193
V424	0.00095	0.04682	0.78323	0.169
V425	0.08629	0.21329	0.6462	0.05422
V426	0.11959	0.0335	0.81348	0.03342
V427	0.11996	0.43459	0.26526	0.1802
V428	0.13615	0.74582	0.07249	0.04555
V429	0.03481	0.01502	0.09762	0.85255
V430	0.77463	0.16531	0.02441	0.03565
V431	0.26052	0.02513	0.55103	0.16331
V432	0.23177	0.14499	0.0997	0.52354
V433	0.09885	0.78452	0.0022	0.11443
V434	0.51316	0.09798	0.08633	0.30252
V435	0.63408	0.01987	0.16695	0.1791
V436	0.5436	0.02144	0.17242	0.26253
V437	0.37306	0.29416	0.01313	0.31964
V438	0.68151	0.17107	0.04756	0.09986
V439	0.08523	0.18264	0.02831	0.70382
V440	0.65135	0.05114	0.05546	0.24205
V441	0.10413	0.119	0.68119	0.09568
V442	0.38853	0.33807	0.17232	0.10107
V443	0.79812	0.01278	0.1124	0.0767
V444	0.01446	0.01676	0.96861	0.00017
V445	0.63242	0.01806	0.33531	0.01421
V446	0.06252	0.82158	0.07428	0.04162
V447	0.66877	0.0895	0.19297	0.04875
V448	0.04736	0.09768	0.35998	0.49497
V449	0.60337	0.03913	0.30915	0.04835
V450	0.18887	0.7904	0.02056	0.00017
V451	0.94121	0.04927	0	0.00952
V452	0.08511	0.02798	0.16554	0.72137
V453	0.81383	0.07862	0.08033	0.02722
V454	0.00273	0.92421	0.06431	0.00876
V455	0.62307	0.03247	0.31387	0.0306
V456	0.37687	0.11439	0.42975	0.079
V457	0.00593	0.06287	0.03978	0.89142
V458	0.41875	0.28362	0.01227	0.28536
V459	0.03194	0.79525	0.12087	0.05194
V460	0.94953	0.01468	0.02953	0.00626
V461	0.14337	0.0659	0.03151	0.75922
V462	0.49778	0.28321	0.002	0.21701
V463	0.31333	0.44208	0.18581	0.05878
V464	0.65906	0.12332	0.00995	0.20767
V465	0.47146	0.41743	0.03696	0.07416
V466	0.66706	0.2072	0.00847	0.11727
V467	0.36019	0.52272	0.09633	0.02076
V468	0.54364	0.36541	0.06281	0.02815
V469	0.03934	0.21975	0.44023	0.30068
V470	0.59714	0.12247	0.20891	0.07149
V471	0.4333	0.14443	0.06637	0.3559
V472	0.45396	0.36137	0.00168	0.18298
V473	0.13553	0.48961	0.36244	0.01242
V474	0.26048	0.00815	0.20242	0.52895
V475	0.28206	0.43134	0.11563	0.17097
V476	0.33258	0.03158	0.11497	0.52087
V477	0.65297	0.041	0.23324	0.0728
V478	0.21419	0.6308	0.01048	0.14453
V479	0.02806	0.0706	0.8577	0.04364
V480	0.16597	0.41379	0.08475	0.33549
V481	0.16919	0.01145	0.8117	0.00766
V482	0.71528	0.14583	0.12061	0.01828
V483	0.25489	0.16214	0.14078	0.44218
V484	0.05975	0.13319	0.06843	0.73863
V485	0.17832	0.73265	0.01965	0.06937
V486	0.37624	0.28263	0.17286	0.16827
V487	0.169	0.07662	0.17843	0.57595
V488	0.00068	0.00432	0.94164	0.05337
V489	0.24104	0.08379	0.66762	0.00755
V490	0.43837	0.32822	0.09661	0.1368
V491	0.48266	0.43759	0.04603	0.03371
V492	0.04434	0.79455	0.15691	0.0042
V493	0.04088	0.01885	0.01557	0.9247
V494	0.23837	0.14169	0.55833	0.06161
V495	0.2749	0.55684	0.15624	0.01203
V496	0.33268	0.64109	0.00107	0.02515
V497	0.0142	0.00591	0.97569	0.0042
V498	0.48688	0.13266	0.08604	0.29442
V499	0.63809	0.22934	0.1292	0.00337
V500	0.1314	0.10317	0.74514	0.02029
V501	0.00575	0.01636	0.10236	0.87553
V502	0.59262	0.23623	0.15657	0.01458
V503	0.32074	0.11791	0.29237	0.26898
V504	0.2923	0.65498	0.01821	0.03451
V505	0.29057	0.22389	0.3235	0.16204
V506	0.1334	0.24469	0.52493	0.09698
V507	0.67406	0.10334	0.14403	0.07857
V508	0.76894	0.15846	0.0502	0.02241
V509	0.29169	0.05868	0.55777	0.09186
V510	0.27057	0.45139	0.27429	0.00375
V511	0.09746	0.53264	0.08062	0.28929
V512	0.41008	0.07145	0.14161	0.37686
V513	0.11549	0.60397	0.24493	0.03561
V514	0.03458	0.12868	0.01324	0.8235
V515	0.80461	0.06989	0.06295	0.06255
V516	0.90913	0.08741	6e-05	0.0034
V517	0.08888	0.03848	0.43554	0.4371
