mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V112	0.15708	0.0916	0.10916	0.47563	0.16653
V113	0.20898	0.1113	0.11143	0.18508	0.38321
V114	0.46069	0.15829	0.06062	0.22045	0.09996
V115	0.68142	0.10737	0.02353	0.09073	0.09694
V116	0.02325	0.09079	0.02324	0.09535	0.76736
V117	0.04233	0.2311	0.57929	0.11666	0.03062
V118	0.0437	0.05544	0.01514	0.85765	0.02807
V119	0.25175	0.17145	0.30682	0.25679	0.01319
V120	0.01192	0.22449	0.58751	0.1393	0.03678
V121	0.17845	0.64339	0.02589	0.08082	0.07146
V122	0.03304	0.38818	0.09664	0.27547	0.20666
V123	0.40128	0.1364	0.082	0.2304	0.14992
V124	0.18676	0.17858	0.07514	0.25428	0.30523
V125	0.03677	0.47335	0.40442	0.0635	0.02196
V126	0.13256	0.26106	0.20307	0.15208	0.25123
V127	0.20975	0.20499	0.46839	0.09771	0.01916
V128	0.18763	0.67117	0.03401	0.07493	0.03227
V129	0.21621	0.16531	0.23455	0.20167	0.18227
V130	0.02932	0.47321	0.05918	0.27792	0.16036
V131	0.01863	0.10929	0.19998	0.65986	0.01223
V132	0.30541	0.09399	0.01611	0.36955	0.21493
V133	0.00789	0.21776	0.44398	0.1178	0.21257
V134	0.05854	0.23447	0.56581	0.06956	0.07161
V135	0.02255	0.27342	0.54097	0.07101	0.09205
V136	0.73668	0.11571	0.02577	0.09355	0.02829
V137	0.69218	0.13117	0.02398	0.11117	0.0415
V138	0.21465	0.20951	0.08996	0.17662	0.30926
V139	0.10627	0.09275	0.14504	0.63808	0.01785
V140	0.03251	0.11443	0.15896	0.07308	0.62102
V141	0.01889	0.33182	0.49202	0.13714	0.02014
V142	0.17419	0.15003	0.2815	0.16084	0.23345
V143	0.01939	0.29867	0.39404	0.17163	0.11627
V144	0.41095	0.2607	0.07696	0.17601	0.07538
V145	0.00495	0.25348	0.64897	0.0651	0.02749
V146	0.03467	0.34074	0.02809	0.35541	0.24109
V147	0.0771	0.24429	0.503	0.13981	0.0358
V148	0.14335	0.68674	0.03394	0.10422	0.03176
V149	0.01783	0.05483	0.01579	0.86173	0.04981
V150	0.11639	0.31544	0.44795	0.05357	0.06665
V151	0.36209	0.09149	0.02775	0.42273	0.09595
V152	0.02073	0.07694	0.1111	0.72529	0.06595
V153	0.13842	0.2907	0.36812	0.09609	0.10668
V154	0.10806	0.54999	0.04559	0.09257	0.20378
V155	0.03748	0.08796	0.12487	0.73128	0.0184
V156	0.08449	0.17886	0.33376	0.17547	0.22742
V157	0.08411	0.1452	0.1626	0.29455	0.31355
V158	0.15911	0.17349	0.36014	0.09003	0.21723
V159	0.10273	0.23066	0.03108	0.59613	0.0394
V160	0.37612	0.22828	0.09927	0.10289	0.19343
V161	0.19268	0.11871	0.07582	0.0743	0.53849
V162	0.00556	0.26017	0.66379	0.0533	0.01717
V163	0.05789	0.09082	0.03615	0.11023	0.70491
V164	0.70591	0.14677	0.03105	0.09484	0.02143
V165	0.48329	0.26144	0.08867	0.11673	0.04986
V166	0.05115	0.11101	0.2108	0.55701	0.07003
V167	0.03521	0.5853	0.03911	0.1938	0.14658
V168	0.00556	0.26017	0.66379	0.0533	0.01717
V169	0.05059	0.61808	0.16067	0.14199	0.02868
V170	0.21109	0.37832	0.06937	0.24009	0.10113
V171	0.24172	0.20992	0.29308	0.20763	0.04766
V172	0.16102	0.27196	0.08574	0.08439	0.39689
V173	0.18177	0.16998	0.09558	0.41502	0.13764
V174	0.17302	0.15185	0.29514	0.22139	0.1586
V175	0.07154	0.21495	0.12597	0.21346	0.37407
V176	0.30885	0.08273	0.02131	0.57274	0.01438
V177	0.15296	0.20532	0.42452	0.1987	0.01851
V178	0.21743	0.20093	0.35757	0.15232	0.07175
V179	0.09629	0.09786	0.02817	0.08485	0.69283
V180	0.02747	0.1658	0.30468	0.06257	0.43949
V181	0.06348	0.29971	0.02201	0.1168	0.498
V182	0.45879	0.25474	0.02423	0.21708	0.04515
V183	0.06865	0.79581	0.02981	0.07766	0.02807
V184	0.25215	0.144	0.24583	0.32843	0.02959
V185	0.09424	0.45729	0.04394	0.19873	0.2058
V186	0.12283	0.22279	0.04724	0.28701	0.32013
V187	0.07425	0.60037	0.02438	0.2775	0.02349
V188	0.64292	0.1312	0.04614	0.1569	0.02284
V189	0.37286	0.261	0.05017	0.29519	0.02079
V190	0.33538	0.18365	0.19349	0.07697	0.21052
V191	0.18883	0.23867	0.02454	0.44588	0.10208
V192	0.2666	0.24657	0.12515	0.2494	0.11229
V193	0.06012	0.31418	0.41636	0.08811	0.12122
V194	0.23041	0.14501	0.09647	0.15369	0.37442
V195	0.44211	0.25736	0.20128	0.07818	0.02108
V196	0.01887	0.09265	0.07613	0.10892	0.70342
V197	0.06616	0.77022	0.02878	0.10802	0.02682
V198	0.20086	0.2588	0.05376	0.24582	0.24076
V199	0.58023	0.15074	0.18154	0.07065	0.01685
V200	0.6061	0.10661	0.04607	0.09568	0.14555
V201	0.04115	0.05861	0.03656	0.70901	0.15467
V202	0.7071	0.14958	0.01967	0.09637	0.02728
V203	0.43946	0.28061	0.04402	0.12062	0.11528
V204	0.29681	0.15862	0.05251	0.07416	0.4179
V205	0.10604	0.13399	0.12386	0.1242	0.51192
V206	0.04521	0.12862	0.01595	0.76956	0.04067
V207	0.02681	0.0687	0.01555	0.86715	0.02179
V208	0.12954	0.31438	0.38024	0.09567	0.08017
V209	0.14343	0.12475	0.10668	0.09401	0.53113
V210	0.00492	0.2521	0.66162	0.05905	0.02231
V211	0.13808	0.14783	0.19231	0.08746	0.43432
V212	0.05631	0.67976	0.09346	0.10623	0.06424
V213	0.09773	0.08608	0.07637	0.28965	0.45017
V214	0.02456	0.53236	0.33567	0.07284	0.03458
V215	0.21267	0.27712	0.13599	0.13223	0.24199
V216	0.05296	0.17662	0.28941	0.08994	0.39107
V217	0.01573	0.05431	0.03719	0.81682	0.07595
V218	0.06523	0.25968	0.24968	0.34767	0.07774
V219	0.10763	0.32942	0.31722	0.22654	0.01919
V220	0.1743	0.64698	0.07619	0.07812	0.02441
V221	0.0408	0.2191	0.40658	0.06246	0.27106
V222	0.03132	0.09113	0.03014	0.09955	0.74785
V223	0.39959	0.15737	0.25151	0.16719	0.02434
V224	0.04121	0.51499	0.04591	0.14222	0.25567
V225	0.55191	0.23544	0.11768	0.07243	0.02253
V226	0.39698	0.47488	0.02393	0.07839	0.02583
V227	0.0858	0.25975	0.02488	0.58959	0.03998
V228	0.44375	0.16578	0.22155	0.12778	0.04113
V229	0.22085	0.40792	0.23008	0.10283	0.03831
V230	0.03137	0.08402	0.03035	0.10056	0.7537
V231	0.05932	0.55115	0.07505	0.23026	0.08422
V232	0.60409	0.14424	0.15634	0.07827	0.01706
V233	0.05879	0.13122	0.14931	0.14074	0.51993
V234	0.02078	0.3796	0.19596	0.37114	0.03252
V235	0.72825	0.11764	0.01969	0.11174	0.02268
V236	0.06793	0.20072	0.47695	0.20702	0.04738
V237	0.10772	0.1854	0.23281	0.32422	0.14986
V238	0.01905	0.07749	0.02695	0.32647	0.55006
V239	0.06249	0.39999	0.06569	0.22417	0.24766
V240	0.06353	0.74512	0.03523	0.08882	0.06729
V241	0.0509	0.81187	0.03039	0.07837	0.02848
V242	0.03402	0.35279	0.25851	0.29665	0.05803
V243	0.37132	0.16317	0.26451	0.08624	0.11476
V244	0.03142	0.41778	0.18523	0.13205	0.23352
V245	0.04737	0.78154	0.05198	0.09918	0.01993
V246	0.49654	0.29102	0.04401	0.08023	0.0882
V247	0.15342	0.25646	0.45529	0.09892	0.03592
V248	0.09005	0.55861	0.04614	0.07752	0.22767
V249	0.21265	0.17731	0.18876	0.14449	0.27679
V250	0.02155	0.22161	0.49675	0.07958	0.18051
V251	0.18387	0.10535	0.09206	0.56863	0.05008
V252	0.02439	0.25816	0.43413	0.17595	0.10737
V253	0.25468	0.51268	0.09261	0.11152	0.02852
V254	0.43386	0.36301	0.0206	0.15319	0.02934
V255	0.63798	0.16189	0.01824	0.10131	0.08059
V256	0.04028	0.68605	0.04134	0.07841	0.15392
V257	0.36063	0.32868	0.13574	0.09963	0.07533
V258	0.14098	0.31422	0.06095	0.4638	0.02005
V259	0.42206	0.31391	0.15821	0.0733	0.03252
V260	0.22822	0.13489	0.11118	0.13708	0.38863
V261	0.02227	0.18253	0.40549	0.2889	0.10082
V262	0.68655	0.13474	0.0591	0.09514	0.02447
V263	0.61355	0.16071	0.02909	0.17873	0.01791
V264	0.06549	0.76317	0.036	0.11562	0.01972
V265	0.626	0.17719	0.07797	0.09575	0.02308
V266	0.02654	0.09851	0.09843	0.09603	0.68049
V267	0.05684	0.08315	0.02705	0.20967	0.62328
V268	0.1697	0.41471	0.13804	0.22574	0.05181
V269	0.07605	0.36266	0.29995	0.22355	0.03779
V270	0.05017	0.06355	0.04321	0.82976	0.01332
V271	0.20411	0.62398	0.03249	0.09572	0.04369
V272	0.09805	0.71389	0.049	0.087	0.05205
V273	0.23944	0.1271	0.16091	0.33952	0.13303
V274	0.09183	0.1184	0.0551	0.24104	0.49362
V275	0.04214	0.6248	0.15361	0.15062	0.02883
V276	0.01293	0.20641	0.51222	0.23783	0.03061
V277	0.27615	0.19969	0.42739	0.06146	0.03531
V278	0.00968	0.16062	0.28568	0.43931	0.10471
V279	0.13083	0.06618	0.02809	0.72261	0.0523
V280	0.16903	0.09068	0.04906	0.60497	0.08625
V281	0.02915	0.23095	0.05347	0.66663	0.0198
V282	0.05996	0.80364	0.03003	0.07807	0.02829
V283	0.30795	0.11968	0.11484	0.09038	0.36715
V284	0.02565	0.26707	0.42677	0.05466	0.22585
V285	0.42991	0.41823	0.02212	0.10488	0.02485
V286	0.06546	0.24327	0.58825	0.08298	0.02004
V287	0.20549	0.16231	0.15666	0.31084	0.1647
V288	0.1591	0.208	0.46549	0.0593	0.10811
V289	0.13812	0.23331	0.03778	0.57098	0.01981
V290	0.35279	0.43022	0.13024	0.06939	0.01736
V291	0.33818	0.22841	0.02386	0.38863	0.02092
V292	0.102	0.18485	0.33789	0.08542	0.28985
V293	0.00759	0.28941	0.58465	0.09192	0.02644
V294	0.02237	0.0923	0.03096	0.09317	0.7612
V295	0.01719	0.14947	0.27466	0.48876	0.06992
V296	0.66004	0.18142	0.01914	0.09763	0.04176
V297	0.0199	0.22231	0.56114	0.15425	0.04239
V298	0.25164	0.07491	0.02153	0.55294	0.09898
