Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V68	3e-05	0.00083	0.01106	0.0468	0.07218	0	0.00303	0.36598	0.5001	0
V69	0.04296	0	0.92504	0	0.01744	0	0	0	0.01456	0
V70	0.7525	0.00834	0.04226	0	0.02448	0.03566	0.02374	0.01644	0.09566	0.00092
V71	0	0	0	0.0938	0.00965	0.00269	0	0.89026	0	0.0036
V72	0.19226	0.02034	0.09503	0.26141	0.25507	0.00385	0.00511	0.01487	0.00524	0.14683
V73	0.0229	0.03967	0.05875	0	0.85129	0.02268	0.00471	0	0	0
V74	0	0.02284	0.12169	0.19732	0.12904	0.0384	0.00665	0.01338	0.00845	0.46221
V75	0	0.06049	0.21755	0.42229	0.06209	0.0087	0.01573	0.00419	0.20895	0
V76	0	0	0	0.02918	0.01825	0.78435	0.11268	0.00426	0.0453	0.00598
V77	0	0.02808	0.04812	0.30904	0.00387	0.31069	0.24362	0.02276	0.03131	0.00251
V78	0.00369	0.39408	0.07156	0	0.17617	0.06174	0.22306	0.0206	0.0067	0.0424
V79	0	0.01647	0.06057	0.28635	0.04718	0.2449	0.04993	0	0.28609	0.00851
V80	0.40352	0.01786	0.0319	0	0.11297	0.00367	0.02014	0.0059	0.0777	0.32634
V81	0	0.0017	0.02895	0.16454	0.17654	0.53751	0.07243	0	0.01723	0.00111
V82	0.04445	0.38069	0.06854	0.25089	0.15549	0.01102	0.00512	0.0838	0	0
V83	0	0.03854	0.09325	0.4845	0.0444	0.00508	0.00531	0.32891	0	0
V84	0.00042	0.00852	0.03405	0.04079	0.12025	0.54884	0.20305	0.01383	0.02765	0.00259
V85	0.20321	0	0.52444	0	0.06878	0	0	0	0.00697	0.1966
V86	0.25829	0.00736	0.37184	0.32287	0.01425	0.01018	0.00866	0.00408	0.00248	0
V87	0	0.01717	0.03346	0.01716	0.11871	0	0.01195	0	0.80155	0
V88	0	0.26176	0.11236	0.49951	0.10509	0.00169	0.01889	0.00072	0	0
V89	0	0.06454	0.02082	0.04218	0	0.13193	0.51927	0.177	0.04425	0
V90	0	0.0605	0.49425	0	0.11551	0.01507	0	0	0.00975	0.30492
V91	0.05071	0	0.90426	0	0.02254	0	0	0	0.02163	0.00085
V92	0	0.08231	0.02263	0	0	0.14723	0.57101	0.05912	0.1177	0
V93	0	0.05182	0.09023	0	0.06748	0.03454	0.16801	0.02553	0.56239	0
V94	0.86982	0	0	0	0.01676	0.03288	0.0092	0.05996	0	0.01139
V95	0	0.04607	0	0.03953	0.01128	0.09456	0.34633	0.43172	0.03051	0
V96	0	0.09249	0.42628	0.35529	0.04689	0.01624	0.01171	0.02001	0.03108	0
V97	0	0.07786	0.03032	0	0.00366	0.13776	0.55791	0.0582	0.06549	0.06879
