Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V74	0	0	0.10141	0.21366	0.09783	0.03299	0	0.00786	0	0.54624
V75	0.01771	0.05782	0.22099	0.45648	0.00288	0.00642	0.00984	0.01211	0.21575	0
V76	0	0	0.01032	0	0	0.92821	0.0441	0	0.01736	0
V77	0	0.00539	0.04001	0.34486	0	0.35556	0.25085	0	5e-04	0.00283
V78	0.00926	0.40483	0.04906	0	0.14618	0.07605	0.25981	0.00259	0	0.05223
V79	0.00786	0.01214	0.07017	0.3078	0	0.26822	0.02017	0	0.30171	0.01193
V80	0.43299	0	0.02713	0	0.0712	0.00089	0.01661	0.00157	0.01857	0.43104
V81	0	0.00378	0.04337	0.1639	0.16663	0.59687	0.02545	0	0	0
V82	0.05159	0.40029	0.0666	0.27128	0.10789	0.0049	0.00037	0.09707	0	0
V83	0.02734	0.04146	0.11145	0.47043	0.00545	0	0	0.34387	0	0
V84	0.0172	0	0.04248	0.01471	0.10977	0.62901	0.1858	0	0.00103	0
V85	0.21034	0	0.56095	0	0.01257	0	0	0.00402	0	0.21211
V86	0.26317	0	0.40846	0.31386	0	0.00546	0.00357	0.00547	0	0
V87	0.03895	0.01307	0.03791	0.00848	0.01916	0.00318	0.00037	0.00033	0.87855	0
V88	0.00105	0.26902	0.08644	0.57146	0.05384	0	0.01792	0.00027	0	0
V89	0.01258	0.01488	0.017	0.01713	0	0.16717	0.61639	0.15485	0	0
V90	0.03179	0.02986	0.50644	0	0.07927	0.01185	0	0.00402	0	0.33677
V91	0.08707	0	0.89184	0	0	0	0	0.02109	0	0
V92	0.00937	0.02262	0	0	0	0.20453	0.68649	0.00445	0.07253	0
V93	0.03462	0.02844	0.09022	0	0	0.04611	0.16662	0.02472	0.60927	0
V94	0.87967	0	0	0	0	0.03617	0.00588	0.06555	0	0.01273
V95	0.02305	0.01562	0.00933	0	0	0.09295	0.39057	0.46848	0	0
V96	0.03636	0.09215	0.44228	0.36299	0.00138	0.01243	0.00863	0.02726	0.01652	0
V97	0.00747	0.01697	0	0	0	0.18981	0.68119	0.00441	0.00555	0.0946
V98	0.01199	0.19993	0.06988	0.0355	0.27443	0.01014	0.02008	0.14293	0.15591	0.07921
V99	0.56515	0	0.00146	0	0	0.01613	0.0539	0.01485	0.34803	0.00048
V100	0.16934	0.00817	0.07961	0.21717	0.0039	0.33956	0.02282	0	0.15267	0.00676
V101	0	0	0.03589	0	0.10691	0.12484	0.1311	0.05931	0	0.54196
V102	0.0426	0.15968	0.01492	0	0.13541	0.3601	0.10959	0.16898	0	0.00871
V103	0.09116	0.00012	0.04057	0	0	0.00199	0	0.01118	0.85498	0
V104	0.08699	0	0.89063	0	0	0	0	0.0098	0.01258	0
V105	0.29347	0	0.10748	0	0	0.09233	0	0.50672	0	0
V106	0.03462	0.5242	0.25741	0	0.16382	0.01681	0.00011	0.00291	0	0.00012
V107	0.24357	0.1332	0.04468	0	0.37148	0.00935	0	0.06039	0.13734	0
V108	0	0	0.0575	0.16123	0.04174	0.44883	0.01083	0.02421	0	0.25567
V109	0	0.01498	0.01762	0.00146	0.00401	0.88791	0.04764	0	0.02638	0
V110	0.00473	0.00225	0.06335	0	0.82412	0	0	0.10553	0	0
V111	0.00781	0.0229	0.0087	0	0.09746	0.18473	0.66358	0.00529	0.00115	0.00837
V112	0.00778	0.01937	0.01117	0	0.01468	0.15246	0.5515	0.0048	0.06049	0.17775
V113	0.03995	0	0.04112	0	0.00241	0.0527	0.00886	0.03238	0.72891	0.09367
V114	0.04974	0.00081	0.0462	0	0	0.00257	0	0.01162	0.88906	0
V115	0.00986	0.70836	0.02633	0	0.2298	0	0.01935	0.00075	0	0.00555
V116	0.37226	0.04402	0.01328	0	0.00576	0	0	0.56468	0	0
