B_cells	NK_cells	T_cells_CD4.	Monocytes
V145	0.01114	0.6914	0.29746	0
V146	0.14888	0	0.09917	0.75195
V147	0.86169	0	0.07499	0.06331
V148	0.16506	0.05825	0.60902	0.16767
V149	0.28768	0.44612	0.2662	0
V150	0.11908	0.21979	0.6092	0.05193
V151	0.25133	0.57213	0.07868	0.09786
V152	0.2657	0.39468	0.27018	0.06945
V153	0.15467	0.69243	0.06647	0.08642
V154	0.27419	0.40315	0.32266	0
V155	0.48504	0.11255	0.32463	0.07778
V156	0.06128	0.13263	0.71016	0.09593
V157	0.33655	0.12806	0.35441	0.18097
V158	0.10481	0	0.1189	0.77629
V159	0.87528	0.04354	0.01051	0.07067
V160	0.69814	0	0.09999	0.20187
V161	0.28296	0	0.0741	0.64294
V162	0.1164	0.28194	0.13015	0.47151
V163	0.13577	0.45468	0.22115	0.18839
V164	0.38017	0.27567	0.14163	0.20253
V165	0.06638	0.26311	0	0.6705
V166	0.05838	0.08223	0.13894	0.72044
V167	0.4102	0	0.03773	0.55207
V168	0.3224	0.50948	0.1328	0.03532
V169	0.26528	0.02412	0.08741	0.62319
V170	0.14831	0.0029	0.57041	0.27838
V171	0.16294	0.2182	0.60439	0.01447
V172	0.69238	0	0.29847	0.00916
V173	0.08982	0.12893	0.09239	0.68885
V174	0.06528	0.14874	0.13534	0.65065
V175	0.10123	0.00208	0.80022	0.09647
V176	0.04199	0.71859	0.23942	0
V177	0.06422	0.89273	0.02011	0.02294
V178	0.04685	0.72185	0.0599	0.1714
V179	0.20872	0	0.42876	0.36252
V180	0.06611	0.78251	0.15138	0
V181	0.1965	0.11468	0.56522	0.1236
V182	0.32291	0.15602	0.48558	0.03549
V183	0.22139	0.71869	0.05992	0
V184	0.90473	0	0.09527	0
V185	0.58673	0.34811	0.06406	0.00109
V186	0.15456	0.43541	0.31544	0.09459
V187	0.87407	0	0.09972	0.02621
V188	0.12432	0.2277	0	0.64798
V189	0.80432	0	0.06028	0.1354
V190	0.64089	0	0.34913	0.00997
V191	0.21597	0.18619	0.58329	0.01454
V192	0.34292	0.42211	0.08924	0.14574
V193	0.60836	0.00018	0.28202	0.10944
V194	0.08695	0.83654	0.05587	0.02065
V195	0.05726	0.0416	0.8814	0.01975
V196	0.0795	0.07114	0.05737	0.79198
V197	0.47602	0.01026	0.06391	0.44981
V198	0.10062	0.4552	0.41667	0.0275
V199	0.22886	0	0.2379	0.53324
V200	0.17712	0.53075	0.05492	0.2372
V201	0.13423	0.50721	0.24485	0.11371
V202	0.0508	0.02163	0.79241	0.13516
V203	0.19447	0.37809	0.42744	0
V204	0.0507	0.5132	0.0489	0.3872
V205	0.05686	0.06695	0.85755	0.01864
V206	0.08133	0.09675	0.82192	0
V207	0.19907	0.17487	0.08981	0.53624
V208	0.2723	0.05747	0.67022	0
V209	0.34108	0.42245	0.10869	0.12778
V210	0.12867	0.68421	0.15854	0.02858
V211	0.47574	0	0.06987	0.45439
V212	0.50841	0.0193	0.45754	0.01474
V213	0.64999	0	0.1573	0.19271
V214	0.37177	0.13295	0.21089	0.28439
V215	0.36134	0.07146	0.04626	0.52094
V216	0.13421	0	0.09677	0.76903
V217	0.07677	0.45726	0.28922	0.17675
V218	0.13627	0.41836	0.21803	0.22733
V219	0.15491	0.59805	0.04962	0.19742
V220	0.04834	0.77201	0.06401	0.11564
V221	0.79972	0	0.03927	0.16102
V222	0.34271	0.1098	0.40257	0.14492
V223	0.0303	0.13793	0.77397	0.0578
V224	0.89699	0	0.10301	0
V225	0.10007	0.76833	0.13161	0
V226	0.32491	0.07011	0.60498	0
V227	0.75335	0	0.23124	0.01541
V228	0.75936	0.03114	0.11696	0.09253
V229	0.06003	0.03253	0.87625	0.0312
V230	0.09148	0.01984	0.10621	0.78246
V231	0.0549	0.26768	0.16432	0.5131
V232	0.09408	0.64455	0.00233	0.25904
V233	0.57325	0.05745	0.24513	0.12417
V234	0.08434	0.80499	0.10416	0.00651
V235	0.39043	0.04508	0.54864	0.01585
