Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.00859	0.01467	0.04212	0.00824	0.07806	0.00021	0.03421	0	0.01343	0.80047
V2	0.63268	0.0091	0.04719	0.00223	0.03058	0.23107	0.04716	0	0	0
V3	0.12327	0.09641	0.11188	0.02106	0.34869	0.00712	0.12385	0.11556	0.01469	0.03748
V4	0.00469	0.08452	0.04821	0.00863	0.03722	0.07584	0.02638	0.00815	0.43544	0.27093
V5	0	0.09167	0.03698	0.06039	0	0.05364	0.02733	0	0.00905	0.72093
V6	0.00644	0.13428	0.21571	0.03437	0.49358	0.02404	0.0272	0.04816	0.00237	0.01385
V7	0	0.58967	0.01755	0.02002	0.21661	0.00801	0.07726	0.05486	0.00324	0.01278
V8	0.0011	0.60694	0.04835	0.01543	0.0212	0.0239	0.02611	0.2148	0.0196	0.02258
V9	0.00926	0	0.09534	0.12386	0.05693	0.01946	0.25363	0.38999	0.03704	0.01449
V10	0	0.15174	0.02484	0.01003	0.57397	0.06819	0.04215	0.11952	0.00012	0.00944
V11	0.01011	0.59609	0.01152	0.01173	0.02014	0.04787	0.0254	0.19586	0.04521	0.03608
V12	0.00416	0.02676	0.19535	0.41351	0.03844	0	0.10546	0.00203	0.01381	0.20046
V13	0.09833	0.00817	0.1274	0.0149	0.07565	0.11175	0.43892	0.0016	0.10158	0.02168
V14	0.07204	0.47218	0.13866	0.06624	0.04673	0.0441	0.13189	0.00625	0.01066	0.01127
V15	0.23915	0.01336	0.1736	0.46368	0.03356	0.01489	0.04502	0.0023	0.01445	0
V16	0.00761	0.06289	0.23982	0.48106	0.04397	0.04146	0.01676	0	0.08529	0.02115
V17	0.01402	0.10478	0.01181	0.00953	0	0.06119	0.04884	0.00236	0.01605	0.73142
V18	0.05352	0.06069	0.07855	0.22438	0	0.00622	0.0213	0	0.01048	0.54487
V19	0	0	0.02391	0.04722	0	0.06097	0.02563	0.0019	0.01137	0.829
V20	0	0.22561	0.02418	0.01507	0.04456	0	0.5211	0.02892	0.01364	0.12691
V21	0.09982	0.45533	0.02391	0.01168	0.02074	0.31251	0.02519	0.02137	0.01025	0.0192
V22	0	0	0.00839	0.00129	0	0.01205	0.03565	0.17406	0.04222	0.72634
V23	0.26137	0.02913	0.46176	0.04318	0.01637	0.00387	0.01904	0	0.01092	0.15436
V24	0.02159	0.64937	0.05048	0.01613	0.03361	0.00155	0.08668	0.05466	0.07212	0.01383
V25	0.01918	0.10433	0.03272	0.02414	0.0336	0.10463	0.04078	0	0.11257	0.52804
V26	0.01712	0	0.06696	0.00947	0.04255	0.0295	0.08112	0.71383	0.02984	0.00961
V27	0	0.06662	0.01929	0.00731	0.23632	0	0.04595	0	0.00888	0.61563
V28	0.22503	0	0.02596	0.00066	0	0.01439	0.04288	0.01359	0.00573	0.67175
V29	0.00461	0.69192	0.01183	0.01947	0.01462	0.09112	0.0187	0.01298	0.00376	0.13099
V30	0.00564	0.00567	0.11396	0.02305	0.05623	0.27712	0.29413	0	0.19822	0.02598
V31	0.00982	0.38973	0.19524	0.02609	0.06543	0.0075	0.02867	0.23769	0.01609	0.02375
V32	0.50173	0.05177	0.05987	0.00513	0.20156	0.03382	0.05582	0	0.06409	0.02622
V33	0.03151	0.01931	0.24837	0.42944	0.04643	0	0.20477	0	0.01469	0.00549
V34	0	0.04648	0.01851	0.00615	0.11253	0.00032	0.0345	0.00636	0.03775	0.7374
V35	0.00584	0.86729	0.01604	0.01767	0.02358	0.00985	0.02581	0.01347	0.00669	0.01377
V36	0.05385	0.01182	0.03739	0.00726	0.08531	0	0.76644	0.01668	0.01766	0.00359
V37	0	0.5684	0.01728	0.01299	0.0484	0	0.29358	0.02043	0.01435	0.02457
V38	0.12647	0	0.08489	0.14858	0.06492	0	0.5536	0	0.01949	0.00205
V39	0.07796	0.00288	0.08975	0.14651	0.0895	0	0.54804	0.00833	0.01942	0.01761
V40	0.1207	0.04091	0.61658	0.06048	0.10161	0	0.01698	0	0.01364	0.0291
V41	0.60787	0.06063	0.07968	0.00485	0.02192	0.00097	0.03092	0.00027	0.16784	0.02506
V42	0	0.66943	0.01758	0.01558	0.20684	0.00023	0.01686	0	0.00427	0.06919
V43	0.1414	0.04725	0.13478	0.08107	0.1852	0.03038	0.24643	0.01356	0.1117	0.00822
V44	0.03177	0.00739	0.52825	0.05089	0.03588	0.00723	0.03374	0.26949	0.02491	0.01046
V45	0.00667	0	0.06113	0.01658	0.05884	0	0.30234	0	0.46715	0.0873
V46	0.14703	0.08164	0.07867	0.17783	0.00227	0.00083	0.02237	0.00698	0.00896	0.47343
V47	0.0029	0	0.04062	0.00855	0.07492	0	0.8308	0	0.02253	0.01968
V48	0.00672	0	0.01942	0.00394	0	0.00051	0.03348	0	0.06639	0.86955
V49	0.22228	0	0.02198	0.00909	0.03122	0.02257	0.06068	0.61342	0.01876	0
V50	0.31495	0.17948	0.0357	0.00808	0.03184	0.41334	0.0141	0	0.00252	0
V51	0.1672	0.02253	0.52652	0.04945	0.07958	0	0.02679	0.0408	0.04767	0.03947
V52	0.00806	0.00307	0.21004	0.2968	0.05653	0	0.39563	0.00184	0.02191	0.00613
V53	0.40703	0.00591	0.11686	0.07816	0.0082	0.0026	0.03352	0.09202	0.00684	0.24886
V54	0	0.04422	0.02085	0.0123	0.17837	0.72607	0.01645	0	0	0.00175
V55	0.00383	0.02621	0.19071	0.60432	0.07655	0.0086	0.04588	0	0.01383	0.03007
V56	0.14887	0.03064	0.48407	0.06557	0.08236	0.12877	0.01513	0	0.00772	0.03686
V57	0.02583	0.01226	0.52262	0.21792	0.03634	0.00642	0.02427	0.01777	0.08073	0.05584
V58	0.01097	0.2009	0.09405	0.1402	0.03846	0.47775	0.0258	0	0.0075	0.00438
V59	0.02763	0.05139	0.03724	0.00843	0.07395	0	0.77732	0	0.01911	0.00493
V60	0.72307	0.01631	0.06924	0.00298	0.05946	0.00033	0.02675	0	0.09387	0.008
V61	0	0	0.05396	0.03627	0.04537	0.83074	0.01649	0.00169	0.0013	0.01418
V62	0.01911	0	0.02498	0.01536	0.01009	0	0.37769	0.00244	0.03735	0.51297
V63	0	0.26685	0.03141	0.01321	0.14246	0.48662	0.02051	0	0.00455	0.03439
V64	0.07406	0.00576	0.30436	0.23884	0.02608	0.01382	0.0305	0.20398	0.01507	0.08752
V65	0.06823	0.02365	0.13077	0.31881	0.03489	0.00657	0.08974	0.19267	0.08825	0.04642
V66	0	0.14219	0.03251	0.00974	0.46382	0.02146	0.04954	0.01039	0.01885	0.2515
V67	0.01905	0.18237	0.43785	0.08521	0.03997	0.03546	0.0906	0.00457	0.04789	0.05704
V68	0.02581	0.01706	0.05071	0.00743	0.06406	0.0149	0.04524	0.29077	0.47071	0.01332
