Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01063	0.03141	0.02478	0.01424	0.08646	0	0.0322	0	0.00368	0.7966
V2	0.61978	0.01291	0.04417	0.0035	0.02267	0.23406	0.05467	0.00522	0.003	0
V3	0.11619	0.09649	0.09679	0.01675	0.37573	0.01126	0.10678	0.107	0.01488	0.05814
V4	0.00925	0.0917	0.04448	0.0018	0.01956	0.08159	0.02584	0.00868	0.45918	0.25791
V5	0.00258	0.1029	0.02302	0.07313	0	0.05573	0.0315	0	0.0022	0.70893
V6	0.00365	0.12839	0.18659	0.02385	0.5237	0.02954	0.01634	0.04172	0.00325	0.04296
V7	0	0.58507	0	0.01378	0.23261	0.01177	0.0731	0.05373	0.01281	0.01714
V8	0.00226	0.62801	0.03631	0.01384	0.00126	0.02483	0.02849	0.2188	0.03636	0.00985
V9	0.01595	0.00255	0.09053	0.13583	0.03486	0.01855	0.24748	0.3937	0.04096	0.01958
V10	0	0.1431	0	0	0.60799	0.06951	0.0313	0.10447	0	0.04363
V11	0.0101	0.61599	0	0.00878	0.00055	0.05032	0.02955	0.19957	0.06241	0.02272
V12	0.02316	0.03047	0.18285	0.44466	0.01632	0	0.09286	0.00373	0.01211	0.19383
V13	0.10111	0.01342	0.12143	0.02005	0.04454	0.12231	0.43542	0.00252	0.10418	0.03502
V14	0.07778	0.47796	0.13098	0.06873	0.02473	0.04961	0.13269	0.00847	0.02252	0.00653
V15	0.26321	0.01236	0.15534	0.48661	0.01387	0.01419	0.0303	0.00756	0.01655	0
V16	0.02881	0.06274	0.22736	0.50337	0.02226	0.04353	0.00451	0	0.0904	0.01702
V17	0.01628	0.11933	0	0.01549	0	0.06434	0.0558	0.00035	0.0098	0.71862
V18	0.06964	0.06234	0.06444	0.25217	0	0.00283	0.01687	0	0.00495	0.52676
V19	0.00161	0	0.00779	0.06266	0	0.06426	0.03157	0	0	0.8321
V20	0	0.24266	0.00364	0.02622	0.00708	0.00404	0.53216	0.03026	0.01589	0.13806
V21	0.10091	0.4556	0.01251	0.00788	0.00286	0.32441	0.04369	0.02267	0.02079	0.00868
V22	0.00199	0	0	0.00815	0	0.00753	0.03763	0.18306	0.03742	0.72421
V23	0.26844	0.03191	0.47581	0.04407	0	0.00681	0.01441	0	0.01887	0.13969
V24	0.02341	0.66965	0.03579	0.01457	0.01076	0.00376	0.0882	0.05766	0.09227	0.00394
V25	0.0235	0.12004	0.02269	0.02655	0.02423	0.1115	0.04578	0	0.11495	0.51075
V26	0.01885	0	0.06666	0.01093	0.02844	0.02408	0.0757	0.73005	0.03746	0.00783
V27	0	0.08021	0	0.00721	0.27431	0	0.04028	0	0	0.598
V28	0.24343	0	0.01642	0.00953	0	0.01208	0.04545	0.01542	0	0.65769
V29	0.00262	0.71214	0	0.01621	0	0.09805	0.02788	0.01443	0.0169	0.11178
V30	0.00894	0.01003	0.10765	0.02202	0.02525	0.29185	0.30102	0	0.20119	0.03204
V31	0.01311	0.39584	0.19714	0.02369	0.054	0.00833	0.02612	0.2356	0.02898	0.0172
V32	0.48588	0.05318	0.04977	0.00329	0.21983	0.03628	0.04805	0	0.06727	0.03644
V33	0.0513	0.02004	0.2375	0.45783	0.01749	0	0.18995	0	0.01653	0.00936
V34	0	0.06341	0	0.00989	0.12965	0	0.03221	0.004	0.03044	0.73039
V35	0.00229	0.89793	0	0.01338	0.00068	0.012	0.03029	0.01637	0.02706	0
V36	0.05503	0.01975	0.01505	0.02231	0.04557	0.00221	0.77406	0.01854	0.01753	0.02994
V37	0	0.59322	0	0.01505	0.02073	0	0.29846	0.02246	0.02623	0.02385
V38	0.13776	0.00171	0.06786	0.17108	0.03057	0	0.55071	0	0.01981	0.02049
V39	0.08633	0.00783	0.07246	0.16698	0.05873	0	0.54163	0.01035	0.01893	0.03676
V40	0.12493	0.04336	0.62109	0.05666	0.08715	0.00198	0.00986	0	0.02392	0.03105
V41	0.61165	0.06179	0.07787	0.0045	0.01088	0.00136	0.02504	0.00879	0.17814	0.01998
V42	0	0.6681	0	0.00747	0.22437	0.00333	0.01576	0	0.0145	0.06647
V43	0.14374	0.0499	0.12479	0.08213	0.18241	0.03554	0.23033	0.01473	0.11304	0.0234
V44	0.03998	0.01014	0.5491	0.04912	0.01111	0.00919	0.0262	0.26103	0.03585	0.00828
V45	0.01056	0	0.0553	0.0146	0.02898	0.00238	0.29973	0	0.49474	0.09372
