Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0	0	0.08432	0	0.35905	0	0	0	0	0.55663
V2	0.6664	0	0	0	0	0.3336	0	0	0	0
V3	0.08805	0.03629	0.14908	0	0.46218	0.03443	0.04808	0.18188	0	0
V4	0	0.10107	0.02972	0	0.06884	0.04614	0	0.01067	0.66129	0.08226
V5	0	0.12231	0.12464	0.03469	0.15537	0.05742	0	0	0	0.50556
V6	0.00079	0.01271	0.27902	0	0.63834	0.01813	0	0.051	0	0
V7	0.01237	0.47023	0.05331	0	0.34758	0.02622	0.02728	0.063	0	0
V8	0.01588	0.52599	0.07986	0	0.04395	0	0	0.33431	0	0
V9	0	0.00922	0.09326	0.10311	0	0.03693	0.11588	0.6416	0	0
V10	0	0.00096	0.05685	0	0.72771	0.06429	0	0.15018	0	0
V11	0.01656	0.53192	0.04596	0	0.07533	0.00427	0	0.32596	0	0
V12	0	0.06499	0.17369	0.58045	0	0.04297	0.05654	0.00011	0	0.08126
V13	0.04416	0.06589	0.10859	0	0	0.27319	0.29198	0.02332	0.19287	0
V14	0.06992	0.45229	0.22058	0	0.05805	0.10425	0.0895	0.0054	0	0
V15	0.24125	0	0.02911	0.70878	0	0.02086	0	0	0	0
V16	0	0.09668	0.20165	0.63564	0	0.0513	0	0	0.01473	0
V17	0	0.12897	0.06643	0	0.21241	0.08595	0.00646	0.00107	0	0.4987
V18	0.04528	0.10532	0.11195	0.34651	0.02355	0	0	0	0	0.3674
V19	0	0	0.10068	0.02381	0.12094	0.06076	0	0	0	0.69381
V20	0	0.27163	0.00724	0	0.02782	0.18206	0.38126	0.07653	0.01598	0.03747
V21	0.10402	0.40428	0.03207	0	0.06367	0.38012	0.00346	0.01238	0	0
V22	0	0	0.01767	0	0.10335	0	0	0.3656	0	0.51337
V23	0.27934	0.01766	0.66291	0	0	0	0	0	0	0.04009
V24	0.02494	0.60478	0.09223	0	0.12399	0.0136	0.04986	0.09062	0	0
V25	0	0.11598	0.08574	0	0.20702	0.13207	0.00653	0	0.16538	0.28728
V26	0	0	0	0	0	0	0	1	0	0
V27	0	0	0.06348	0	0.59437	0	0	0	0	0.34214
V28	0.27507	0	0.04689	0	0.08652	0	0	0.0323	0	0.55923
V29	0.03474	0.64698	0.04903	0	0.11827	0.10457	0	0	0	0.04641
V30	0	0.03863	0.076	0	0	0.3846	0.19109	0	0.30969	0
V31	0.01473	0.3143	0.24608	0	0.06812	0	0	0.35676	0	0
V32	0.44407	0.0364	0.05116	0	0.33273	0.06474	0.01749	0.00178	0.05163	0
V33	0.00586	0.03447	0.20162	0.55327	0	0.08237	0.12241	0	0	0
V34	0	0.009	0.05634	0	0.45577	0	0	0.00225	0	0.47665
V35	0.04374	0.80614	0.0447	0	0.10542	0	0	0	0	0
V36	0	0.09618	0	0	0	0.2573	0.53067	0.06253	0.05332	0
V37	0	0.54634	0.02911	0	0.08428	0.09664	0.2117	0.03192	0	0
V38	0.0575	0.07825	0.06207	0.14384	0	0.19915	0.40346	0.02794	0.0278	0
V39	0.01837	0.08969	0.08815	0.12935	0	0.18978	0.39362	0.04836	0.04268	0
V40	0.10588	0.01121	0.81392	0	0.06899	0	0	0	0	0
V41	0.61804	0.08243	0.00214	0	0	0	0	0	0.29739	0
V42	0.02923	0.53508	0.04607	0	0.38963	0	0	0	0	0
