Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V126	0.14604	0.25018	0.21341	0.18228	0.20808
V127	0.22711	0.07265	0.64332	0.05691	0
V128	0.2077	0.78017	0	0	0.01213
V129	0.24033	0.10907	0.2613	0.2392	0.15009
V130	0.03524	0.55455	0.01199	0.24607	0.15216
V131	0	0.0203	0.2205	0.71699	0.04221
V132	0.34974	0.04837	0	0.40932	0.19257
V133	0	0.11682	0.55716	0.15981	0.16621
V134	0.01192	0.1124	0.78665	0.06349	0.02555
V135	0	0.16929	0.72026	0.0642	0.04625
V136	1	0	0	0	0
V137	0.9724	0.0276	0	0	0
V138	0.25157	0.21286	0.06237	0.2139	0.2593
V139	0.09877	0.01892	0.14477	0.69092	0.04661
V140	0.01558	0.08424	0.18051	0.19316	0.52651
V141	0	0.26712	0.62853	0.10435	0
V142	0.19082	0.07384	0.33495	0.21218	0.18822
V143	0	0.24843	0.47468	0.18611	0.09077
V144	0.52454	0.27285	0.02205	0.12661	0.05396
V145	0	0.07867	0.8938	0.02753	0
V146	0.03384	0.37964	0	0.36434	0.22218
V147	0.04857	0.13823	0.67632	0.13487	0.002
V148	0.15712	0.81016	0	0	0.03272
V149	0	0	0	0.90737	0.09263
V150	0.10413	0.26397	0.58783	0.01847	0.02561
V151	0.4286	0.03756	0	0.43942	0.09442
V152	0	0.00694	0.10027	0.79482	0.09797
V153	0.14081	0.25114	0.45328	0.08239	0.07238
V154	0.13138	0.65671	0	0.03703	0.17489
V155	0.01164	0.01907	0.1182	0.79365	0.05744
V156	0.0743	0.10214	0.40413	0.23228	0.18715
V157	0.08014	0.1068	0.1712	0.36979	0.27208
V158	0.16886	0.08073	0.46078	0.12211	0.16752
V159	0.10498	0.22837	0	0.59708	0.06958
V160	0.47507	0.2326	0.0588	0.08324	0.15029
V161	0.22218	0.10967	0.05495	0.15987	0.45333
V162	0	0.07787	0.92213	0	0
V163	0.05152	0.08612	0.01045	0.24525	0.60666
V164	0.97088	0.02912	0	0	0
V165	0.65224	0.26346	0.02869	0.04038	0.01524
V166	0.02942	0.02788	0.23851	0.61871	0.08548
V167	0.04179	0.69605	0	0.1264	0.13575
V168	0	0.07787	0.92213	0	0
V169	0.04932	0.74123	0.12321	0.04999	0.03626
V170	0.24447	0.4298	0.02406	0.20301	0.09866
V171	0.27249	0.14548	0.34973	0.20408	0.02821
V172	0.19053	0.30394	0.0567	0.11766	0.33117
V173	0.20442	0.14608	0.07133	0.44494	0.13324
V174	0.18289	0.06798	0.35293	0.26629	0.1299
V175	0.0714	0.21186	0.11809	0.27834	0.3203
V176	0.35501	0.01902	0	0.58953	0.03644
V177	0.1492	0.09736	0.55906	0.19439	0
V178	0.24386	0.11231	0.45293	0.1508	0.0401
V179	0.10157	0.09568	0	0.20616	0.59659
V180	0	0.10542	0.37807	0.14343	0.37309
V181	0.07205	0.34772	0	0.16937	0.41086
V182	0.58724	0.24009	0	0.14655	0.02612
V183	0.07147	0.91721	0	0	0.01132
V184	0.28032	0.06819	0.28094	0.34604	0.02451
V185	0.11563	0.53272	0	0.16944	0.18222
V186	0.13842	0.24019	0.00745	0.33612	0.27782
V187	0.0835	0.70074	0	0.17399	0.04176
