CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V96	0.14125	0.26174	0.06621	0.08259	0.32196	0.12625
V97	0.0626	0.00736	0.04941	0.0987	0.7392	0.04272
V98	0.08897	0.07329	0.02919	0.53917	0.21754	0.05183
V99	0.06711	0.03206	0.02341	0.66105	0.16627	0.05011
V100	0.06296	0.01186	0.38795	0.23148	0.22581	0.07994
V101	0.08712	0.27056	0.36654	0.11712	0.10072	0.05795
V102	0.56539	0.04012	0.15122	0.06356	0.06127	0.11844
V103	0.47722	0.04033	0.07926	0.16437	0.11995	0.11888
V104	0.07924	0.01291	0.19623	0.50308	0.14575	0.06279
V105	0.25222	0	0.13751	0.04882	0.07545	0.486
V106	0.12357	0	0.51012	0.04433	0.08505	0.23693
V107	0.14981	0.44015	0.21798	0.05475	0.09148	0.04584
V108	0.21621	0.00233	0.09631	0.05633	0.25685	0.37198
V109	0.22014	0	0.08036	0.04904	0.23849	0.41197
V110	0.09396	0.1287	0.56142	0.04713	0.09011	0.07868
V111	0.0465	0.0234	0.70022	0.06202	0.10074	0.06712
V112	0.10717	0.24787	0.0319	0.42457	0.14144	0.04704
V113	0.07033	0.07402	0.5107	0.07479	0.20735	0.06281
V114	0.14817	0.01052	0.53022	0.14992	0.08771	0.07346
V115	0.37278	0.04961	0.08367	0.07214	0.18431	0.2375
V116	0.59624	0.03503	0.08636	0.09638	0.06385	0.12214
V117	0.40383	0.02637	0.0615	0.11892	0.29616	0.09321
V118	0.12584	0.45761	0.13303	0.07711	0.15321	0.05321
V119	0.13744	0.53796	0.07627	0.08426	0.10747	0.0566
V120	0.13761	0.15823	0.11422	0.32764	0.1926	0.06969
V121	0.31879	0.00654	0.06633	0.24044	0.08978	0.27812
V122	0.25983	0.03499	0.04225	0.44016	0.15183	0.07094
V123	0.33697	0.00134	0.07148	0.08508	0.1968	0.30833
V124	0.06139	0.00077	0.25788	0.05877	0.5689	0.05229
V125	0.08418	0.11988	0.52208	0.09208	0.08831	0.09347
V126	0.2198	0.17987	0.11196	0.05675	0.08914	0.34248
V127	0.07637	0.00923	0.63338	0.11548	0.09655	0.069
V128	0.28498	0.19916	0.13186	0.15848	0.14446	0.08105
V129	0.0495	0.02288	0.65848	0.10192	0.09703	0.0702
V130	0.39364	0.11211	0.06415	0.21932	0.11541	0.09537
V131	0.10261	0	0.06674	0.06498	0.64748	0.11818
V132	0.1035	0.33776	0.32896	0.05151	0.12887	0.04939
V133	0.10251	0.15225	0.44823	0.10694	0.13231	0.05776
V134	0.21104	0.42714	0.07114	0.06259	0.1597	0.06838
V135	0.10709	0.00872	0.58361	0.04735	0.12518	0.12806
V136	0.16559	0.47526	0.11385	0.06786	0.12575	0.05169
V137	0.08546	0.12613	0.44078	0.06231	0.234	0.05131
V138	0.18141	0	0.05956	0.32164	0.18248	0.25492
V139	0.13287	0.0253	0.1629	0.05634	0.42131	0.20128
V140	0.42685	0.18224	0.10081	0.10444	0.08275	0.10291
V141	0.23162	0.20563	0.13875	0.22175	0.12466	0.07759
V142	0.18651	0.47067	0.07613	0.0944	0.09647	0.07582
V143	0.10342	0.05198	0.49585	0.10211	0.17035	0.07629
V144	0.2305	0.11609	0.08012	0.13448	0.09444	0.34438
V145	0.07066	0.01635	0.03018	0.6662	0.1522	0.0644
V146	0.14751	0.00571	0.10112	0.05903	0.59606	0.09056
V147	0.39107	0.06024	0.15307	0.08431	0.07207	0.23925
V148	0.07083	0.1435	0.58992	0.04758	0.08473	0.06344
V149	0.19416	0.33752	0.06966	0.07044	0.08851	0.2397
V150	0.0709	0.01786	0.01764	0.66137	0.18101	0.05121
V151	0.20944	0.27773	0.07149	0.05892	0.10495	0.27747
V152	0.11656	0.17641	0.35294	0.07447	0.19572	0.08391
V153	0.05243	0.03924	0.50068	0.22298	0.12447	0.0602
V154	0.37499	0.15926	0.08391	0.05366	0.0737	0.25447
V155	0.1225	0.25601	0.11282	0.05253	0.3879	0.06823
V156	0.09907	0.33706	0.05797	0.05505	0.41549	0.03535
V157	0.18688	0.07369	0.08799	0.23753	0.11293	0.30098
V158	0.0641	0.0545	0.67929	0.04767	0.08362	0.07082
V159	0.16536	0.18247	0.28183	0.16524	0.12858	0.07652
V160	0.06699	0.00495	0.68584	0.05385	0.08284	0.10553
V161	0.10665	0.3573	0.04275	0.26192	0.19346	0.03792
V162	0.12164	0.37642	0.05134	0.13355	0.26488	0.05216
V163	0.05711	0.00972	0.72564	0.04826	0.08411	0.07517
V164	0.09092	0.26186	0.30514	0.12434	0.16553	0.05221
V165	0.09939	0.00891	0.07218	0.06594	0.65398	0.0996
V166	0.14053	0	0.04926	0.14918	0.45147	0.20956
V167	0.06024	0.01135	0.34232	0.3866	0.14014	0.05935
V168	0.48523	0.03565	0.07005	0.21688	0.07973	0.11246
V169	0.06502	0.01515	0.55158	0.19034	0.10469	0.07323
V170	0.3424	0.04158	0.1244	0.25065	0.14968	0.09129
V171	0.22095	0.31969	0.08284	0.05322	0.09835	0.22495
V172	0.11987	0.05804	0.43583	0.16905	0.09947	0.11774
V173	0.08003	0.01558	0.62663	0.04615	0.09636	0.13524
V174	0.44587	0.09621	0.07552	0.06259	0.22577	0.09405
V175	0.1503	0.45206	0.14632	0.06694	0.13763	0.04675
V176	0.04394	0.00916	0.72198	0.05566	0.1003	0.06896
V177	0.17561	0.05685	0.28768	0.06812	0.22601	0.18572
V178	0.08036	0.0273	0.07048	0.05466	0.71259	0.05461
V179	0.10282	0.00321	0.0619	0.47353	0.2186	0.13994
V180	0.24475	0.01671	0.18364	0.31668	0.09875	0.13948
V181	0.39506	0.09649	0.11342	0.09802	0.13254	0.16447
V182	0.06637	0.0764	0.60048	0.09319	0.08838	0.07519
V183	0.07653	0.01896	0.02342	0.67633	0.15264	0.05212
V184	0.31145	0.29166	0.07174	0.07325	0.17599	0.07591
V185	0.17852	0.35959	0.07995	0.0594	0.19525	0.1273
V186	0.04733	0.01045	0.49095	0.27839	0.11476	0.05813
V187	0.25997	0.349	0.06397	0.06756	0.19727	0.06223
V188	0.19801	0.40025	0.07364	0.07132	0.09022	0.16656
V189	0.09454	0.04623	0.17443	0.0699	0.50112	0.11377
V190	0.11387	0.12489	0.05597	0.06449	0.51681	0.12397
V191	0.17982	0.39809	0.06864	0.0599	0.1027	0.19085
V192	0.39109	0.17965	0.13163	0.07326	0.12276	0.1016
V193	0.25438	0.07037	0.08621	0.05735	0.08752	0.44417
V194	0.07425	0.01419	0.06023	0.12932	0.66681	0.05519
V195	0.05335	0.00685	0.56994	0.11561	0.19051	0.06374
V196	0.06624	0.01636	0.0377	0.63846	0.18637	0.05488
V197	0.19648	0.00428	0.06943	0.06064	0.60211	0.06707
V198	0.1577	0.28902	0.07916	0.14799	0.26934	0.05678
V199	0.09154	0.16805	0.11898	0.1198	0.45341	0.04822
V200	0.10644	0.01127	0.45866	0.20541	0.10321	0.11502
