Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V88	0	0.32469	0.08759	0.58772	0	0	0	0	0	0
V89	0	0.11057	0	0	0	0.2019	0.60315	0.08438	0	0
V90	0	0.03881	0.57191	0	0.05495	0	0	0	0	0.33433
V91	0	0	1	0	0	0	0	0	0	0
V92	0	0.13684	0	0	0	0.22286	0.63498	0.00339	0.00193	0
V93	0	0.20322	0	0	0	0	0.23937	0	0.55741	0
V94	0.98901	0.01093	0	0	0	0	6e-05	0	0	0
V95	0	0.08826	0	0	0	0.11251	0.48089	0.31833	0	0
V96	0	0.14625	0.44613	0.40761	0	0	0	0	0	0
V97	0	0.11761	0	0	0	0.21313	0.65506	0.00333	0.01086	0
V98	0	0.37329	0.08919	0	0.23997	0	0.13715	0	0.12136	0.03904
V99	0.52576	0.11617	0.03361	0	0	0	0.03781	0	0.28666	0
V100	0.0943	0.09139	0.17616	0.18659	0	0.33085	0.05045	0	0.07026	0
V101	0	0.03193	0.00234	0	0.05769	0.05518	0.23534	0	0.05334	0.56418
V102	0	0.27185	0.01218	0	0.08845	0.38812	0.20757	0.03184	0	0
V103	0	0.14078	0.00072	0	0	0	0	0	0.8585	0
V104	0	0	1	0	0	0	0	0	0	0
V105	0.26281	0.01464	0.20521	0	0	0.11861	0.03277	0.36595	0	0
V106	0	0.65505	0.34495	0	0	0	0	0	0	0
V107	0.14032	0.30221	0.15913	0	0.38458	0	0.01377	0	0	0
V108	0	0.00179	0.12251	0.07061	0	0.45049	0.05366	0	0.02278	0.27814
V109	0	0	0	0	0	1	0	0	0	0
V110	0	0.12619	0.09451	0	0.77305	0	0.00625	0	0	0
V111	0	0.16534	0	0	0	0.19952	0.63368	0	0.00145	0
V112	0	0.11606	0	0	0	0.14205	0.57879	0	0.09807	0.06503
V113	0	0.11022	0.00442	0	0	0	0.01695	0	0.86841	0
V114	0	0.11857	0	0	0	0	0	0	0.88143	0
V115	0	0.86292	0.10634	0	0.02684	0	0.0039	0	0	0
V116	0.42287	0.12829	0.05812	0	0	0	0	0.39072	0	0
V117	0	0.10611	0	0	0	0.24313	0.65076	0	0	0
V118	0	0	0	0	0	1	0	0	0	0
V119	0	0.1022	0.03121	0.63689	0	0.18976	0.03994	0	0	0
V120	0.71381	0	0.2808	0	0	0.00539	0	0	0	0
V121	0	0.18912	0.27538	0	0	0.16074	0.37476	0	0	0
V122	0	0.16526	0.07111	0	0	0	0.1598	0	0.60383	0
V123	0	0.13648	0.02084	0	0.38926	0	0.06154	0.39189	0	0
V124	0.80223	0.06521	0	0	0	0	0	0.13256	0	0
V125	0	0.20361	0.11171	0	0	0.0875	0.10355	0.49362	0	0
V126	0	0.17646	0.08647	0	0.73526	0	0.00181	0	0	0
V127	0	0.11768	0.58529	0	0	0	0.25609	0	0.04094	0
V128	0	0.20192	0.53957	0	0.24755	0	0.01097	0	0	0
V129	0	0.23193	0.21195	0.06268	0	0	0.01992	0	0.47351	0
V130	0	0.02236	0.55877	0	0	0	0.00219	0.41668	0	0
V131	0	0.39433	0.60567	0	0	0	0	0	0	0
V132	0	0.17211	0	0	0	0.17019	0.57845	0.07925	0	0
V133	0	0.0631	0	0.16649	0	0.13767	0.12926	0.50348	0	0
V134	0	0.12732	0.31335	0	0.25172	0	0.22767	0	0	0.07994
V135	0	0.2941	0.15658	0	0	0	0	0	0.54932	0
V136	0	0.6336	0.21288	0.05471	0	0	0.00607	0	0	0.09273
V137	0	0.08278	0	0	0	0.47491	0.39331	0	0.04899	0
V138	0	0.14758	0	0	0	0.11381	0.5281	0	0.0846	0.12591
V139	0.56514	0.12106	0.08021	0	0	0	0.02213	0	0.21146	0
V140	0	0.03412	0.41593	0.53767	0	0	0.01228	0	0	0
V141	0	0	0	1	0	0	0	0	0	0
V142	0	0.1358	0	0.13424	0	0.18836	0.5416	0	0	0
V143	0	0.83591	0.14775	0	0.0104	0	0.00594	0	0	0
V144	0	0.03985	0	0	0	0.5377	0.42245	0	0	0
V145	0	0.17157	0.03575	0.69793	0	0.01662	0.0558	0.02233	0	0
V146	0	0.03445	0.63067	0	0.04305	0	0.11109	0.03334	0.0023	0.1451
V147	0	0.10688	0.0181	0	0.16308	0	0	0	0.67085	0.04109
V148	0	0.15193	0	0	0	0	0	0	0.84807	0
V149	0	0.18055	0.01818	0.73405	0	0	0.06722	0	0	0
V150	0	0	0.0953	0	0.23775	0	0	0	0	0.66695
V151	0	0	0.09648	0	0.09508	0	0	0	0	0.80844
V152	0	0	0	0	0	0	0	0.9953	0	0.0047
V153	0	0.125	0.08589	0	0.76622	0	0.02289	0	0	0
V154	0	0	0.79522	0.20478	0	0	0	0	0	0
V155	0	0.08565	0	0	0	0.01344	0.0777	0.60352	0.21969	0
V156	0	0.04771	0.29366	0	0	0.50907	0.0686	0	0.08096	0
V157	0	0.4356	0.11311	0	0.19913	0.18813	0.06404	0	0	0
V158	0.25852	0.5943	0.11648	0	0.03071	0	0	0	0	0
V159	0	0.09778	0.42177	0	0.36841	0	0.07685	0	0	0.03519
V160	0	0.87476	0.11422	0	0.01102	0	0	0	0	0
V161	0	0	0	1	0	0	0	0	0	0
V162	0	0	0.03035	0	0.05994	0	0	0	0	0.90971
V163	0	0	1	0	0	0	0	0	0	0
V164	0	0	1	0	0	0	0	0	0	0
V165	0	0	0.44338	0	0.07248	0	0	0	0	0.48414
V166	0	0.18831	0.05897	0.72516	0	0	0.02756	0	0	0
V167	1	0	0	0	0	0	0	0	0	0
V168	0	0.07587	0	0	0	0.27377	0.06875	0.37577	0.20583	0
V169	0	0.02728	0.17536	0.0643	0	0.13678	0.08827	0	0.01106	0.49696
V170	0	0.10313	0	0	0	0	0	0	0.89687	0
V171	0	0.04314	0.29805	0	0	0.40507	0.13039	0	0.12336	0
V172	0	0.11785	0	0	0	0.34088	0.53896	0	0.00231	0
V173	0	0.09439	0	0	0	0.1257	0.50383	0	0.08398	0.1921
V174	0	0.17972	0.40869	0.34844	0	0	0.06315	0	0	0
V175	0.96006	0	0.03994	0	0	0	0	0	0	0
V176	0.10974	0	0.04952	0	0	0.83192	0	0	0.00883	0
V177	0.81781	0	0.01684	0.06245	0	0	0	0	0	0.10291
V178	0.13787	0	0.10124	0	0.0147	0.72398	0	0	0	0.02222
V179	0.03424	0.0567	0.20919	0	0.69987	0	0	0	0	0
V180	0.49202	0.10794	0.01731	0.38273	0	0	0	0	0	0
V181	0	0.18607	0.74309	0	0	0	0.07084	0	0	0
V182	0	0.14184	0.03237	0	0.31431	0	0.09954	0.41194	0	0
V183	0	0.2079	0.00279	0.67364	0	0.01748	0.0982	0	0	0
V184	0.11878	0	0.07626	0	0	0.66613	0	0	0	0.13883
V185	0.64389	0.08405	0.02561	0.24645	0	0	0	0	0	0
V186	0.94741	0	0	0.05259	0	0	0	0	0	0
V187	0.83728	0.02766	0.13506	0	0	0	0	0	0	0
V188	0	0.21602	0.22346	0	0.55974	0	0.00078	0	0	0
V189	0.99467	0	0	0.00533	0	0	0	0	0	0
V190	0	0.16187	0	0	0	0	0.01001	0	0.82812	0
V191	0	0.18429	0.3136	0.20884	0.17434	0	0.11893	0	0	0
V192	0	0	0.07035	0	0.33808	0	0	0	0	0.59156
V193	0	0.17321	0.34978	0.25516	0	0	0.22185	0	0	0
V194	0	0	0	0	0	0.89843	0.10157	0	0	0
V195	0	0.17265	0	0	0	0.29192	0.50343	0.01231	0.01969	0
V196	0.86252	0	0	0.13748	0	0	0	0	0	0
V197	0	0.15295	0.05935	0.12705	0	0	0.0788	0.40507	0.17678	0
V198	0	0.09162	0.06724	0	0.55313	0.19864	0.08938	0	0	0
V199	0	0.07841	0.12974	0	0.346	0	0.16145	0	0	0.28439
V200	0	0.13628	0	0	0.37411	0.15738	0.33223	0	0	0
V201	0.08831	0.18694	0.06831	0	0	0	0.0507	0	0.60574	0
V202	0	0.33569	0.57474	0	0	0	0.08957	0	0	0
V203	0	0.18877	0.49733	0.01707	0	0	0.16555	0	0.13128	0
V204	0	0.24647	0.36709	0.26028	0	0.02922	0.09694	0	0	0
V205	0	0.20121	0	0	0	0.16138	0.53409	0.04557	0.05775	0
V206	0.21751	0	0.78249	0	0	0	0	0	0	0
V207	0	0.19433	0.11962	0	0.11535	0	0	0	0.21791	0.35278
V208	0	0	0.03244	0	0	0.90054	0.00741	0	0.05961	0
V209	0	0.07586	0.21847	0	0.70568	0	0	0	0	0
V210	0	0.12308	0.18688	0	0.63218	0	0.05786	0	0	0
V211	0	0.13776	0.75982	0	0	0	0.10242	0	0	0
V212	0	0.21838	0.0229	0	0	0	0	0.32549	0.43323	0
V213	0.03273	0	0.10224	0	0.12178	0.73166	0.01159	0	0	0
V214	0	0.1548	0	0	0.20085	0.14224	0.50211	0	0	0
V215	0	0.10165	0	0	0	0.25049	0.64787	0	0	0
V216	0	0.67465	0.1002	0	0.22515	0	0	0	0	0
V217	0	0.23978	0.18652	0	0.1799	0.2358	0.10689	0	0	0.05112
V218	0	0	0	0	0	0.8036	0.19109	0	0.00531	0
V219	0	0	0	0	0	0	0.07281	0.92719	0	0
