CD19B	CD56NK	CD4MemoryT	CD14
V139	0.28574	0.21736	0.22555	0.27135
V140	0.08779	0.13485	0.13552	0.64184
V141	0.10726	0.18475	0.44463	0.26336
V142	0.61302	0.04164	0.24213	0.10321
V143	0.33381	0.25445	0.14188	0.26986
V144	0.17429	0.18352	0.20861	0.43358
V145	0.05463	0.60165	0.2425	0.10122
V146	0.10347	0.07861	0.12304	0.69488
V147	0.69839	0.05239	0.10788	0.14135
V148	0.1533	0.12287	0.47339	0.25044
V149	0.23202	0.42921	0.23635	0.10242
V150	0.1228	0.23947	0.47573	0.162
V151	0.19269	0.50682	0.11047	0.19002
V152	0.21142	0.38225	0.23363	0.1727
V153	0.12681	0.58996	0.10017	0.18306
V154	0.2186	0.38828	0.26888	0.12425
V155	0.36795	0.16696	0.28754	0.17754
V156	0.08958	0.1712	0.54369	0.19554
V157	0.25862	0.18332	0.30122	0.25684
V158	0.08005	0.0744	0.11744	0.7281
V159	0.67685	0.08955	0.08665	0.14695
V160	0.5228	0.05264	0.1435	0.28106
V161	0.20381	0.07132	0.12246	0.6024
V162	0.10544	0.286	0.15145	0.45712
V163	0.12436	0.41398	0.20433	0.25734
V164	0.27632	0.28972	0.16547	0.26849
V165	0.07081	0.26146	0.0929	0.57483
V166	0.07497	0.14235	0.14716	0.63552
V167	0.29298	0.05579	0.10179	0.54944
V168	0.24292	0.46837	0.14556	0.14316
V169	0.18898	0.1071	0.12711	0.57681
V170	0.14	0.08499	0.44102	0.33398
V171	0.15119	0.23753	0.47634	0.13494
V172	0.55405	0.0458	0.28937	0.11077
V173	0.08597	0.176	0.1277	0.61032
V174	0.07779	0.19268	0.15015	0.57938
V175	0.11202	0.07484	0.61443	0.19871
V176	0.05929	0.63463	0.20467	0.1014
V177	0.05784	0.74723	0.08697	0.10795
V178	0.05863	0.60414	0.09114	0.24609
V179	0.17708	0.07555	0.3507	0.39667
V180	0.07419	0.68864	0.14227	0.0949
V181	0.17395	0.16424	0.44565	0.21617
V182	0.25823	0.19658	0.39673	0.14847
V183	0.17802	0.63186	0.08986	0.10026
V184	0.7688	0.0292	0.0957	0.1063
V185	0.43856	0.3626	0.09543	0.10341
V186	0.14001	0.4058	0.26237	0.19182
V187	0.73638	0.03596	0.11492	0.11274
V188	0.10359	0.23815	0.09305	0.5652
V189	0.61521	0.06042	0.10263	0.22175
V190	0.51045	0.05632	0.32292	0.11031
V191	0.18785	0.21376	0.46369	0.13469
V192	0.25201	0.40003	0.12288	0.22508
V193	0.46002	0.08024	0.26062	0.19912
V194	0.07957	0.71404	0.09163	0.11477
V195	0.07364	0.08632	0.72857	0.11147
V196	0.07788	0.11969	0.11059	0.69184
V197	0.3295	0.09605	0.11758	0.45687
V198	0.10321	0.42042	0.33104	0.14532
V199	0.17657	0.0899	0.21771	0.51582
V200	0.14328	0.46563	0.10056	0.29053
V201	0.12412	0.45697	0.2144	0.20451
V202	0.07731	0.08437	0.60674	0.23159
V203	0.1709	0.36817	0.34358	0.11736
V204	0.06176	0.44922	0.09401	0.39502
V205	0.07909	0.1057	0.69619	0.11901
V206	0.10011	0.13457	0.65656	0.10876
V207	0.15186	0.20987	0.13429	0.50398
V208	0.23294	0.1106	0.54047	0.11599
V209	0.25129	0.39837	0.13834	0.212
V210	0.11325	0.598	0.15294	0.13581
V211	0.33776	0.06829	0.12258	0.47137
V212	0.40066	0.08542	0.39048	0.12344
V213	0.47966	0.07633	0.17574	0.26827
V214	0.27171	0.18691	0.20729	0.33409
V215	0.25002	0.13922	0.10947	0.5013
V216	0.09248	0.07309	0.11686	0.71757
V217	0.08913	0.41743	0.24192	0.25151
V218	0.12435	0.3845	0.20506	0.28609
V219	0.12834	0.51481	0.09559	0.26127
