CD19B	CD56NK	CD4MemoryT	CD14
V139	0.28344	0.24079	0.1937	0.28206
V140	0.04073	0.15281	0.09591	0.71055
V141	0.07591	0.2035	0.43654	0.28405
V142	0.66706	0.04018	0.22292	0.06983
V143	0.3371	0.2841	0.10113	0.27767
V144	0.14558	0.20411	0.17531	0.47499
V145	0.00162	0.70521	0.19253	0.10064
V146	0.05818	0.09165	0.08565	0.76452
V147	0.75153	0.0587	0.07992	0.10985
V148	0.13161	0.13018	0.47226	0.26594
V149	0.21964	0.49311	0.19575	0.0915
V150	0.09289	0.27147	0.47249	0.16316
V151	0.16694	0.58105	0.05328	0.19873
V152	0.19365	0.43624	0.19438	0.17573
V153	0.08678	0.68026	0.03763	0.19533
V154	0.20429	0.44389	0.23378	0.11804
V155	0.38517	0.18171	0.26417	0.16895
V156	0.05357	0.1888	0.55278	0.20484
V157	0.25426	0.20061	0.27743	0.2677
V158	0.03089	0.08804	0.07938	0.80169
V159	0.72643	0.09833	0.05714	0.1181
V160	0.5522	0.05473	0.116	0.27708
V161	0.17716	0.08174	0.08672	0.65438
V162	0.06426	0.32289	0.10631	0.50655
V163	0.08732	0.47335	0.15841	0.28093
V164	0.26941	0.3254	0.12382	0.28137
V165	0.02044	0.29527	0.04559	0.63871
V166	0.0267	0.1611	0.10713	0.70507
V167	0.2816	0.06511	0.06721	0.58608
V168	0.22914	0.53623	0.09317	0.14145
V169	0.16	0.12024	0.09083	0.62893
V170	0.1136	0.08726	0.43604	0.3631
V171	0.13	0.26885	0.47327	0.12788
V172	0.60454	0.04167	0.27459	0.07921
V173	0.03904	0.19822	0.08751	0.67524
V174	0.03064	0.2174	0.10854	0.64342
V175	0.08508	0.07199	0.63826	0.20466
V176	0.00637	0.74395	0.14793	0.10175
V177	0.00212	0.87154	0.01371	0.11263
V178	0.0031	0.69755	0.02404	0.27531
V179	0.1548	0.07696	0.33507	0.43317
V180	0.02103	0.80831	0.07669	0.09397
V181	0.15535	0.17966	0.43965	0.22534
V182	0.25937	0.21739	0.38377	0.13947
V183	0.14645	0.73311	0.02433	0.09611
