Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V126	0	0.22447	0	0	0	0.77553
V127	0.02082	0.02681	0.88073	0.07164	0	0
V128	0.40121	0.28895	0.09009	0.19598	0.02377	0
V129	0	0.03044	0.92319	0.04637	0	0
V130	0.58429	0.14803	0	0.26768	0	0
V131	0	0.01874	0	0.03453	0.83738	0.10935
V132	0	0.49483	0.50517	0	0	0
V133	0.00899	0.21655	0.69432	0.08014	0	0
V134	0.18563	0.76127	0	0	0.05311	0
V135	0.04828	0.02872	0.85057	0	0	0.07242
V136	0.05011	0.86397	0.08105	0.00486	0	0
V137	0	0.18056	0.66186	0.00382	0.15376	0
V138	0	0	0	0.51149	0.03783	0.45068
V139	0	0.04377	0.13466	0	0.49701	0.32456
V140	0.69664	0.25062	0	0.05274	0	0
V141	0.26614	0.29681	0.11812	0.31892	0	0
V142	0.07011	0.84507	0	0.03719	0	0.04762
V143	0.04943	0.08806	0.73873	0.07611	0.04768	0
V144	0	0.14339	0	0.09515	0	0.76146
V145	0	0	0	1	0	0
V146	0.14488	0.03833	0.01959	0.02012	0.77247	0.00461
V147	0.53493	0.09082	0.07782	0.00079	0	0.29565
V148	0	0.16356	0.83644	0	0	0
V149	0	0.49678	0	0	0	0.50322
V150	0	0.00275	0	0.99432	0.00292	0
V151	0	0.38944	0	0	0	0.61056
V152	0.02945	0.27096	0.55684	0.0266	0.1	0.01615
V153	0	0.03958	0.70517	0.25525	0	0
V154	0.40647	0.21079	0	0	0	0.38273
V155	0.00708	0.42048	0.0633	0	0.49597	0.01317
V156	0	0.50029	0	0	0.49971	0
V157	0	0.07603	0	0.32193	0	0.60203
V158	0	0.06646	0.93354	0	0	0
V159	0.12999	0.26699	0.40429	0.19873	0	0
V160	0.0083	0.01692	0.95412	0	0	0.02067
V161	0	0.51644	0	0.43336	0.05019	0
V162	0	0.61369	0	0.16358	0.22272	0
V163	0.00637	0.02094	0.97268	0	0	0
V164	0	0.37094	0.47104	0.12777	0.03025	0
V165	0	0.04278	0	0.03501	0.85509	0.06711
V166	0	0	0	0.17991	0.49871	0.32138
V167	0	0.00666	0.45908	0.53426	0	0
V168	0.72856	0.0494	0	0.22203	0	0
V169	0	0.02685	0.7797	0.19345	0	0
V170	0.49724	0.06834	0.06693	0.33736	0.03013	0
V171	0	0.50537	0	0	0	0.49463
V172	0.03528	0.08969	0.64512	0.16642	0	0.06349
V173	0	0.02406	0.88888	0	0	0.08705
V174	0.69772	0.13522	0	0	0.16705	0
V175	0.01461	0.8099	0.16083	0.00983	0.00483	0
V176	0	0.01211	0.98789	0	0	0
V177	0.06984	0.10367	0.39071	0.01014	0.15586	0.26979
V178	0	0.06329	0	0.01533	0.92138	0
V179	0	0	0.01719	0.77112	0.08225	0.12944
V180	0.28833	0.02878	0.18456	0.44031	0	0.05802
V181	0.65722	0.14627	0.02292	0.06814	0.02793	0.07751
V182	0	0.09881	0.87802	0.02317	0	0
V183	0	0.00264	0	0.99736	0	0
V184	0.44823	0.44535	0	0.01742	0.08899	0
V185	0.00994	0.64769	0	0	0.11497	0.22741
V186	0	0.00312	0.66739	0.32949	0	0
V187	0.30891	0.5614	0	0.00603	0.12365	0
V188	0	0.67182	0	0	0	0.32818
V189	0	0.08267	0.16815	0.03188	0.62678	0.09052
V190	0	0.18568	0	0.01422	0.67076	0.12934
V191	0	0.62556	0	0	0	0.37444
V192	0.64945	0.25937	0.05906	0.01714	0.01498	0
V193	0	0.04772	0	0	0	0.95228
V194	0	0.03567	0	0.15134	0.81299	0
V195	0	0.02065	0.80809	0.09934	0.07193	0
V196	0	0	0.00597	0.97685	0.01718	0
V197	0.21712	0.03297	0	0.01736	0.73254	0
V198	0.07711	0.46309	0.00328	0.20538	0.25115	0
V199	0	0.24254	0.07351	0.13407	0.54988	0
V200	0.03098	0.02804	0.66402	0.22822	0	0.04874
V201	0	6e-05	0	0.99994	0	0
V202	0	0.07873	0.53053	0.02329	0.11041	0.25704
V203	0.60138	0.0623	0	0.33632	0	0
V204	0	0.02914	0	0.16412	0	0.80674
V205	0	0.03523	0.96477	0	0	0
V206	0	0.04213	0.10712	0.85075	0	0
V207	0.47733	0.21359	0	0.29068	0	0.0184
V208	0.43517	0.11706	0.41804	0.02974	0	0
V209	0.24269	0.55255	0	0	0	0.20475
V210	0.08757	0.04023	0.8722	0	0	0
V211	0.65399	0.06359	0.06803	0	0.13536	0.07903
V212	0	0.27567	0.2379	0.48643	0	0
V213	0.00602	0.09813	0.27828	0.03578	0.58179	0
V214	0.89243	0.06588	0	0.04169	0	0
V215	0	0.71343	0	0	0	0.28657
V216	0.08566	0.55425	0.36009	0	0	0
V217	0.13728	0.00778	0	0.10549	0.29629	0.45317
V218	0	0.33138	0	0.66862	0	0
V219	0.95818	0.03475	0	0	0	0.00707
V220	0.04767	0.03281	0	0.91951	0	0
V221	0.03671	0.87462	0.00907	0.0796	0	0
V222	0.03195	0.32531	0	0.20801	0.43472	0
V223	0	0.30461	0.30331	0	0	0.39208
V224	0	0.02453	0.43142	0.00352	0.54052	0
V225	0	0	0	0	0	1
V226	0.30185	0.0806	0.21184	0.33239	0.07331	0
V227	0.74428	0.03193	0	0.22379	0	0
V228	0.12355	0.26594	0.5802	0.03031	0	0
V229	0.17017	0.03782	0.41038	0.28878	0.09285	0
V230	0	0.16976	0.83024	0	0	0
V231	0	0.03777	0	0.96223	0	0
V232	0.37285	0.02072	0	0.30234	0	0.30409
V233	0.90158	0.05533	0	0.04309	0	0
V234	0.5028	0.04037	0	0.01213	0.44471	0
V235	0.03171	0.02567	0.00598	0.93663	0	0
V236	0	0.01563	0.18459	0.02139	0.58585	0.19253
V237	0	0.01802	0.89531	0.08667	0	0
V238	0.73484	0.02787	0	0.08228	0	0.15502
V239	0.61817	0.06947	0.07606	0.14883	0.08746	0
V240	0	0.22906	0	0.14561	0.62533	0
V241	0.61726	0.1886	0	0.19415	0	0
V242	0.24114	0.06477	7e-05	0.22177	0.02977	0.44247
V243	0	0.40942	0.57652	0.01406	0	0
V244	0.07133	0.03335	0	0	0.62773	0.26758
V245	0.82568	0.02605	0	0	0	0.14827
V246	0	0.05224	0.23595	0.44172	0.27009	0
V247	0.17278	0.08452	0	0.18818	0	0.55453
V248	0.26197	0.05647	0	0.26662	0.41494	0
V249	0.24973	0.18748	0.4454	0.0446	0	0.07279
V250	0	0.01207	0	0.98793	0	0
V251	0	0.64047	0.15535	0.20418	0	0
V252	0	0.00768	0.0258	0.95557	0.01095	0
V253	0	0.04114	0	0.51307	0.08211	0.36368
V254	0	0.2999	0.05123	0.26277	0.37339	0.01271
V255	0.44167	0.35755	0.04547	0.07086	0.00874	0.07571
V256	0	1	0	0	0	0
V257	0	0.49072	0	0.03091	0.44375	0.03463
V258	0	0.23157	0.13353	0.6349	0	0
V259	0	0.60115	0.39885	0	0	0
V260	0.0933	0.06235	0	0.02538	0.74204	0.07692
V261	0.60285	0.05096	0	0.03077	0.21009	0.10534
V262	0.0664	0.04125	0.88781	0	0.00453	0
V263	0	0.06827	0.72678	0.20495	0	0
V264	0.71881	0.05533	0.07247	0.02663	0.01606	0.1107
V265	0.00355	0.03055	0	0.05592	0.90997	0
V266	0	0.01181	0	0	0	0.98819
V267	0.13412	0.80018	0	0.06569	0	0
V268	0.95933	0.04067	0	0	0	0
V269	0	0.05143	0.1209	0.82767	0	0
V270	0.3193	0.57569	0	0.00833	0.09667	0
V271	0	0.09395	0.26469	0	0	0.64136
V272	0	0.02086	0	0.11907	0.83714	0.02293
V273	0.04748	0.02815	0.00145	0.12549	0.79743	0
V274	0	0	0.1458	0.00212	0	0.85208
V275	0.78857	0.21143	0	0	0	0
V276	0	0.29603	0.05511	0.08057	0	0.56829
V277	0.47653	0.03515	0	0	0.09068	0.39765
V278	0.11743	0.14972	0.07033	0.31115	0.35137	0
V279	0.01908	0.05038	0.21561	0.01629	0	0.69864
V280	0.06442	0.02394	0	0.91164	0	0
V281	0	0.98265	0.00896	0.0084	0	0
V282	0	0.05418	0	0.09367	0.85215	0
V283	0	0.46517	0	0	0.53483	0
V284	0	0.11143	0.37957	0.41428	0	0.09473
V285	0	0.01246	0	0.98754	0	0
V286	0.71977	0.07026	0.02793	0.18203	0	0
V287	0	0.03633	0	0.12584	0.83783	0
V288	0	0.3037	0	0	0.06405	0.63225
V289	0	0.08964	0.82736	0.083	0	0
V290	0	0	0.2359	0.7641	0	0
V291	0	0.02973	0	0.97027	0	0
V292	0.10236	0.11383	0	0.69243	0.09139	0
V293	0	0.06003	0	0.02737	0.9126	0
V294	0.61847	0.06318	0	0.00504	0.29144	0.02186
V295	0	0	0	0	0	1
V296	0	0.42846	0.0774	0.3915	0	0.10265
V297	0	0	0	0	0	1
V298	0	0.84015	0.15985	0	0	0
V299	0.12707	0.09791	0.77502	0	0	0
V300	0.85925	0.13534	0	0	0	0.00541
V301	0.54881	0.44838	0.00281	0	0	0
V302	0	0.29017	0.04672	0.6631	0	0
V303	0	0.83002	0.05334	0.0102	0.10644	0
V304	0.00335	0.03173	0	0.02093	0.94398	0
V305	0	0.00421	0.19335	0.54489	0.04555	0.21201
V306	0.29773	0.09269	0	0	0	0.60958
V307	0.19217	0.03678	0	0.02709	0.73887	0.00509
V308	0	0.00094	0	0.99906	0	0
V309	0	0.55669	0	0.44331	0	0
V310	0	0.41646	0.30732	0	0	0.27623
V311	0.44562	0	0	0	0	0.55438
V312	0.10167	0.03585	0	0.42654	0.43593	0
V313	0.13274	0	0	0	0	0.86726
V314	0.22515	0.03618	0	0.73867	0	0
V315	0.13138	0.85014	0	0	0	0.01848
V316	0.05749	0	0	0.04899	0	0.89352
V317	0	0.00794	0	0.84387	0	0.14819
V318	0	0.00463	0.01017	0.98519	0	0
V319	0.40223	0.21036	0.2548	0.13261	0	0
V320	0.26641	0.22129	0.38215	0.09309	0	0.03706
V321	0	0.68175	0	0.31825	0	0
V322	0	0.02045	0.04961	0.03312	0.78079	0.11603
V323	0	0.29298	0	0.4793	0.22772	0
V324	0.00085	0.05759	0	0.28704	0.44122	0.2133
V325	0.03524	0.96476	0	0	0	0
V326	0.14428	0.85572	0	0	0	0
V327	0.07161	0.02327	0.90511	0	0	0
V328	0.16436	0.23511	0.18652	0.1765	0.2375	0
V329	0	0.02439	0.63023	0	0.34538	0
V330	0	0.02293	0.97707	0	0	0
V331	0.82257	0.106	0.00228	0.06914	0	0
V332	0	0.072	0.13856	0	0.41974	0.3697
V333	0	0.03264	0.53301	0.40263	0.03172	0
V334	0	0.42002	0.49131	0.08867	0	0
V335	0.11451	0.03489	0.81433	0	0	0.03626
V336	0.35481	0.64519	0	0	0	0
V337	0.0301	0.21814	0.00888	0.01896	0.72392	0
V338	0.82306	0.04804	0	0	0.1289	0
V339	0.05462	0.11228	0.46473	0.29115	0	0.07722
V340	0.69478	0.28643	0	0.01879	0	0
V341	0.25109	0.06862	0.01084	0.66667	0.00277	0
V342	0	0.01267	0	0.81201	0.00678	0.16855
V343	0	0.16087	0.09781	0	0	0.74132
V344	0	0.74502	0	0.01576	0.14468	0.09455
V345	0	0.02406	0	0.0377	0.93825	0
V346	0.1354	0.03659	0	0.5061	0.32191	0
V347	0.5279	0.16335	0	0.08946	0.2193	0
V348	0.09543	0.15682	0.74776	0	0	0
V349	0.80094	0.1106	0	0.08846	0	0
V350	0.47633	0.06514	0.10401	0.24938	0	0.10515
V351	0.06515	0.06435	0	0	0	0.8705
V352	0	0.34776	0	0	0.29644	0.3558
V353	0	0.16151	0.83849	0	0	0
V354	0.0841	0.06708	0.24947	0	0.31053	0.28882
V355	0	0.0405	0.9595	0	0	0
V356	0.58982	0.15191	0	0.25827	0	0
V357	0.34039	0.04448	0.4287	0.00386	0.18257	0
V358	0	0	0.01055	0	0	0.98945
V359	0.10712	0.11293	0	0.74722	0.03272	0
V360	0.54321	0.0367	0	0.22857	0.19152	0
V361	0	1	0	0	0	0
V362	0	0.58193	0	0.41807	0	0
V363	0.84843	0.10158	0	0	0.04999	0
V364	0	0.18146	0	0.02164	0.04244	0.75446
