CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V95	0.06868	0.01778	0.25959	0.11739	0.49764	0.03893
V96	0.15579	0.25321	0.06175	0.07447	0.33866	0.11612
V97	0.06444	0.02119	0.02859	0.08482	0.76062	0.04035
V98	0.09871	0.06935	0.04067	0.52851	0.22115	0.04161
V99	0.07991	0.03005	0.04018	0.64268	0.17051	0.03666
V100	0.08898	0.01561	0.38788	0.22356	0.22304	0.06092
V101	0.11311	0.25115	0.37022	0.11195	0.10354	0.05003
V102	0.52957	0.04914	0.17431	0.04925	0.0771	0.12062
V103	0.44323	0.05045	0.09751	0.15515	0.13618	0.11749
V104	0.09628	0.0144	0.20316	0.49185	0.14803	0.04628
V105	0.29786	0.00821	0.15172	0.03271	0.09279	0.41672
V106	0.16313	0.00557	0.52176	0.02887	0.08372	0.19695
V107	0.16388	0.41231	0.22276	0.04889	0.10338	0.04878
V108	0.23906	0.03123	0.0991	0.03971	0.27196	0.31894
V109	0.25453	0.01606	0.08525	0.03252	0.25721	0.35444
V110	0.1249	0.12218	0.57086	0.0345	0.08491	0.06264
V111	0.08065	0.02025	0.71522	0.04792	0.09004	0.04592
V112	0.11912	0.22331	0.04236	0.42166	0.1511	0.04245
V113	0.09781	0.07233	0.51429	0.06224	0.20477	0.04857
V114	0.16776	0.012	0.54008	0.14013	0.08271	0.05732
V115	0.36518	0.06698	0.09464	0.05833	0.20218	0.21269
V116	0.55374	0.04462	0.11055	0.08362	0.08233	0.12515
V117	0.37699	0.03905	0.07012	0.10691	0.3132	0.09373
V118	0.14096	0.42875	0.13264	0.07303	0.16856	0.05605
V119	0.1515	0.50649	0.07529	0.0811	0.12448	0.06114
V120	0.14682	0.14927	0.11997	0.32241	0.19979	0.06175
V121	0.31707	0.02681	0.08365	0.23074	0.10522	0.23651
V122	0.24407	0.03937	0.0587	0.43239	0.16095	0.06453
V123	0.33991	0.02607	0.08196	0.0705	0.21447	0.26709
V124	0.07349	0.01109	0.2463	0.04274	0.58179	0.04459
V125	0.11664	0.1145	0.52801	0.08208	0.08332	0.07545
V126	0.24898	0.18563	0.12004	0.04356	0.10473	0.29706
V127	0.10684	0.00775	0.6449	0.10443	0.08718	0.0489
V128	0.27695	0.19075	0.14105	0.15266	0.15772	0.08087
V129	0.08376	0.02039	0.66965	0.0905	0.087	0.04869
V130	0.36744	0.11266	0.0802	0.21333	0.13095	0.09542
V131	0.11241	0.01277	0.05146	0.04925	0.6688	0.1053
V132	0.12655	0.31354	0.33398	0.04326	0.13606	0.04662
V133	0.12757	0.14321	0.45302	0.09786	0.13136	0.04698
V134	0.21403	0.40685	0.07167	0.05642	0.17813	0.0729
V135	0.13819	0.01383	0.59403	0.03166	0.12004	0.10224
V136	0.17547	0.44654	0.11475	0.0632	0.1421	0.05794
V137	0.10854	0.12251	0.44192	0.05005	0.23508	0.04191
V138	0.20126	0.01229	0.07172	0.3126	0.1919	0.21024
V139	0.15107	0.04489	0.15705	0.04045	0.43173	0.17481
V140	0.40485	0.17781	0.1169	0.09596	0.09937	0.1051
V141	0.23105	0.19363	0.14748	0.2174	0.13592	0.0745
V142	0.19517	0.44305	0.07864	0.09122	0.11358	0.07833
V143	0.12801	0.05261	0.50119	0.09052	0.16723	0.06044
V144	0.25333	0.12783	0.09104	0.12329	0.10962	0.29489
V145	0.08516	0.01686	0.04745	0.64632	0.15696	0.04725
V146	0.14825	0.02295	0.08888	0.04295	0.61285	0.08412
V147	0.3852	0.07374	0.17034	0.07163	0.08642	0.21268
V148	0.10388	0.13424	0.59997	0.03532	0.07812	0.04846
V149	0.21689	0.32431	0.07408	0.06169	0.10582	0.21722
V150	0.08328	0.01763	0.03412	0.6429	0.1844	0.03767
V151	0.23345	0.27201	0.07679	0.04764	0.12261	0.24749
V152	0.13868	0.16998	0.35426	0.06387	0.19993	0.07328
V153	0.08204	0.03679	0.50356	0.21632	0.11908	0.04221
V154	0.37061	0.16529	0.09695	0.04035	0.09209	0.23471
V155	0.13345	0.24836	0.10472	0.04217	0.40405	0.06724
V156	0.10988	0.3174	0.04675	0.04739	0.43716	0.04142
V157	0.20849	0.08728	0.09825	0.22571	0.12512	0.25516
V158	0.09791	0.05013	0.69354	0.03356	0.0737	0.05115
V159	0.17889	0.17276	0.28728	0.15895	0.13401	0.06812
V160	0.103	0.00522	0.70095	0.03914	0.07252	0.07917
V161	0.11916	0.32584	0.04558	0.26122	0.20768	0.04051
V162	0.13287	0.35182	0.04789	0.13056	0.28191	0.05497
V163	0.09139	0.00666	0.74385	0.03334	0.07229	0.05246
V164	0.11292	0.24494	0.30589	0.11861	0.17067	0.04697
V165	0.10491	0.02646	0.05614	0.04993	0.67242	0.09015
V166	0.15623	0.01817	0.04509	0.13689	0.46252	0.1811
V167	0.08399	0.01151	0.34453	0.38141	0.13676	0.0418
V168	0.44775	0.04474	0.09117	0.20915	0.0963	0.11089
V169	0.09672	0.01425	0.55704	0.18182	0.09771	0.05245
V170	0.32307	0.04846	0.13922	0.24302	0.16011	0.08612
V171	0.23807	0.30795	0.08763	0.04322	0.11557	0.20756
V172	0.14716	0.05957	0.44084	0.15993	0.09784	0.09466
V173	0.11583	0.01942	0.63815	0.03102	0.08947	0.10612
V174	0.41663	0.10323	0.08561	0.04914	0.2458	0.0996
V175	0.16231	0.42371	0.14771	0.06201	0.15312	0.05114
V176	0.07875	0.00598	0.73891	0.04093	0.08885	0.04658
V177	0.19511	0.06855	0.29016	0.05391	0.23193	0.16033
V178	0.08305	0.04086	0.05068	0.03828	0.73466	0.05248
V179	0.11774	0.01379	0.07191	0.46149	0.2215	0.11357
V180	0.2445	0.0262	0.1966	0.30775	0.10585	0.1191
V181	0.37969	0.10447	0.127	0.08685	0.14795	0.15404
V182	0.0998	0.0718	0.60905	0.08251	0.08064	0.05621
V183	0.08847	0.01786	0.04112	0.65752	0.15678	0.03823
V184	0.30179	0.27787	0.07772	0.06543	0.19534	0.08185
V185	0.19113	0.34373	0.0799	0.05166	0.21275	0.12083
V186	0.07667	0.00898	0.49344	0.2736	0.10885	0.03846
V187	0.25765	0.32771	0.06625	0.06072	0.21801	0.06966
V188	0.21584	0.37995	0.07838	0.0649	0.10794	0.15299
V189	0.10848	0.05957	0.16431	0.05539	0.51207	0.10017
V190	0.12516	0.13325	0.04375	0.05149	0.53151	0.11484
V191	0.20012	0.37762	0.07144	0.05179	0.12028	0.17875
V192	0.37355	0.17627	0.14416	0.06254	0.13851	0.10497
V193	0.2844	0.09356	0.09739	0.04183	0.10485	0.37797
V194	0.07821	0.02736	0.0438	0.11719	0.68237	0.05108
V195	0.08255	0.00722	0.5764	0.10438	0.1845	0.04495
V196	0.08006	0.01682	0.05235	0.62147	0.18889	0.0404
V197	0.18793	0.0206	0.05827	0.0446	0.62187	0.06674
V198	0.16436	0.27156	0.07831	0.14343	0.2836	0.05874
V199	0.10302	0.16612	0.10938	0.11119	0.46405	0.04624
V200	0.13478	0.01524	0.46344	0.1964	0.09958	0.09057
V201	0.09185	0.01712	0.03573	0.6474	0.15625	0.05165
V202	0.16443	0.05216	0.36196	0.06006	0.20844	0.15294
V203	0.389	0.05404	0.08242	0.27381	0.10473	0.096
V204	0.26755	0.04642	0.11321	0.15141	0.109	0.3124
V205	0.08595	0.02076	0.7242	0.04769	0.07451	0.04688
V206	0.08534	0.04882	0.11826	0.53906	0.17154	0.03698
V207	0.30427	0.14636	0.10019	0.20602	0.12566	0.1175
V208	0.29858	0.07999	0.3468	0.07145	0.12389	0.07929
V209	0.27507	0.31987	0.07581	0.07029	0.11039	0.14857
V210	0.14622	0.0248	0.66833	0.03335	0.0709	0.0564
V211	0.37923	0.0496	0.15351	0.04433	0.21162	0.1617
V212	0.10874	0.19222	0.1888	0.29428	0.16823	0.04773
V213	0.101	0.06124	0.22852	0.05693	0.50571	0.0466
V214	0.51173	0.05588	0.11628	0.08322	0.11229	0.12059
V215	0.19516	0.40834	0.06997	0.0712	0.11027	0.14506
V216	0.18236	0.33208	0.26731	0.05146	0.11101	0.05578
V217	0.25118	0.01461	0.09686	0.09678	0.32041	0.22016
V218	0.13128	0.22473	0.04929	0.39805	0.15513	0.04153
V219	0.52969	0.04026	0.11853	0.04212	0.0877	0.1817
V220	0.13687	0.02624	0.05291	0.58596	0.1457	0.0523
V221	0.17629	0.45744	0.08644	0.1029	0.12203	0.0549
V222	0.13902	0.19884	0.07092	0.14307	0.38657	0.06158
V223	0.18906	0.21431	0.25246	0.04304	0.11261	0.18853
V224	0.07344	0.0098	0.33447	0.03537	0.50599	0.04093
V225	0.33042	0.01881	0.1115	0.04122	0.09438	0.40367
V226	0.23454	0.0556	0.20487	0.22984	0.19122	0.08394
V227	0.42707	0.0336	0.09075	0.1965	0.10328	0.14881
V228	0.175	0.17249	0.38222	0.07769	0.11639	0.0762
V229	0.17823	0.0222	0.3135	0.20993	0.20426	0.07189
V230	0.12302	0.12204	0.57711	0.04152	0.07773	0.05858
V231	0.10863	0.0317	0.04277	0.60399	0.17172	0.04119
V232	0.33679	0.0304	0.07681	0.23745	0.11196	0.20659
V233	0.51834	0.04809	0.11831	0.08941	0.09791	0.12793
V234	0.32773	0.0293	0.0612	0.05218	0.43943	0.09017
V235	0.12633	0.01895	0.05765	0.58551	0.16071	0.05084
V236	0.137	0.0102	0.1803	0.04738	0.49269	0.13243
V237	0.08482	0.00644	0.65479	0.1118	0.09656	0.04559
V238	0.435	0.02987	0.12456	0.10012	0.1163	0.19415
