Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V64	0.077	0	0.29223	0.24577	0.03673	0.01596	0.03012	0.21004	0.01172	0.08044
V65	0.07014	0.01565	0.11545	0.32966	0.04841	0.00861	0.08469	0.1976	0.09193	0.03785
V66	0	0.10806	0.03029	0.00852	0.49794	0.02183	0.05534	0.01066	0.02996	0.2374
V67	0.02324	0.17669	0.43367	0.08546	0.05377	0.03551	0.09125	0.00498	0.04708	0.04834
V68	0.02286	0.01041	0.0549	0.00814	0.08121	0.01284	0.03402	0.28618	0.48731	0.00213
V69	0.0455	0.02203	0.74898	0.0848	0.05613	0	0.02293	0	0.00728	0.01235
V70	0.69379	0.00457	0.12392	0.01189	0.0283	0.02298	0.05227	0	0.06229	0
V71	0.03623	0	0.02675	0.01013	0.04235	0.02908	0.05323	0.72226	0.03928	0.04069
V72	0.22107	0.01689	0.07655	0.22095	0.13035	0.0025	0.02986	0.00258	0.01331	0.28595
V73	0.0275	0.15288	0.04276	0.01912	0.67668	0.01479	0.04374	0	0.00936	0.01317
V74	0.00724	0	0.04882	0.14194	0	0.02915	0.02892	0.00489	0.01304	0.72599
V75	0.01312	0.0751	0.23332	0.4204	0.06936	0.01171	0.02358	0.00479	0.14861	0
V76	0	0.00277	0.0305	0.01874	0.06106	0.85175	0.02578	0.00092	0.00848	0
V77	0.00213	0	0.08957	0.29321	0.06694	0.24275	0.28727	0	0.00905	0.00907
V78	0.00084	0.46177	0.04896	0.0164	0.06321	0.00156	0.29002	0	0.01362	0.10362
V79	0.00404	0.01743	0.10345	0.28188	0.05884	0.25205	0.03028	0	0.20922	0.04281
V80	0.34537	0	0.03028	0.00922	0	0.00094	0.04975	0	0.04661	0.51784
V81	0	0.02836	0.0551	0.16585	0.17266	0.55066	0.024	0	0.00337	0
V82	0.05854	0.49919	0.0752	0.2375	0.0395	0.01709	0.01669	0.04637	0.00636	0.00357
V83	0.03251	0.05111	0.14352	0.44874	0.0633	0.01105	0.03079	0.20858	0.01041	0
V84	0.0227	0.00771	0.04253	0.04331	0.14777	0.51336	0.21464	0	0.00799	0
V85	0.19343	0	0.36195	0.04006	0.01032	0.00073	0.02659	0	0.01079	0.35613
V86	0.28607	0.00565	0.30213	0.31631	0.04162	0.00918	0.02605	0	0.00356	0.00944
V87	0.00833	0.03188	0.08056	0.02283	0.11239	0.00424	0.02591	0	0.7073	0.00657
V88	0.00549	0.32118	0.13591	0.45775	0.04491	0.00389	0.02569	0	0.00517	0
V89	0.00402	0	0.04843	0.04266	0.09589	0	0.71545	0.06846	0.02509	0
V90	0.01537	0.04859	0.30051	0.03575	0	0.01818	0.02511	0	0.01223	0.54427
V91	0.05514	0.01325	0.73476	0.07609	0.06017	0	0.02332	0	0.01269	0.02458
V92	0.00378	0.0024	0.04926	0.01357	0.09795	0	0.76469	0	0.06834	0
V93	0.00937	0.04263	0.11428	0.01662	0.09145	0	0.25546	0.00943	0.45635	0.0044
V94	0.78553	0	0.08096	0.00733	0.02104	0.02239	0.04349	0.01928	0.00646	0.01352
V95	0.00539	0.0025	0.03533	0.00897	0.09148	0.00144	0.55726	0.26186	0.03578	0
V96	0.03032	0.11531	0.35062	0.37264	0.0481	0.01716	0.0217	0.00913	0.02098	0.01404
V97	0.00215	0	0.03916	0.01108	0.0749	0	0.69459	0	0.03069	0.14743
V98	0.00072	0.28541	0.03322	0.05959	0.15828	0.01726	0.05788	0.0745	0.13807	0.17507
V99	0.58139	0	0.06766	0.00758	0.04405	0	0.09068	0.00056	0.19902	0.00906
V100	0.20517	0.00808	0.0854	0.20002	0.06454	0.27958	0.03616	0	0.09805	0.02301
V101	0	0	0.00936	0.00424	0	0.05755	0.14236	0.02336	0.01604	0.7471
V102	0.04734	0.22987	0.0178	0.01085	0.11347	0.29474	0.14629	0.09488	0.01601	0.02875
V103	0.08997	0.01266	0.07866	0.02051	0.07785	0.00408	0.02594	0.00445	0.66447	0.02141
V104	0.05609	0.01194	0.74387	0.07129	0.05157	0	0.023	0	0.02993	0.0123
V105	0.36448	0	0.1145	0.01743	0.03347	0.1358	0.03034	0.28766	0.01633	0
V106	0.01951	0.65668	0.19656	0.03145	0.03206	0.0203	0.0112	0	0.00807	0.02416
V107	0.28663	0.21988	0.04882	0.01684	0.23995	0.01494	0.03256	0.02482	0.11542	0.00013
V108	0	0	0.03898	0.13243	0.01332	0.33183	0.02543	0.01736	0.0136	0.42704
V109	0	0.02339	0.02958	0.025	0.06538	0.81213	0.03096	0.00027	0.01329	0
V110	0.00098	0.15181	0.03855	0.01053	0.67431	0	0.03883	0.05911	0.01222	0.01367
V111	0.00293	0.00606	0.04411	0.01995	0.16347	0	0.72685	0	0.02362	0.01301
V112	0.00133	0	0.03281	0.00968	0.05739	0	0.55529	0	0.06332	0.28018
V113	0.01757	0	0.05523	0.0092	0.05392	0.05285	0.04053	0.01883	0.52141	0.23048
V114	0.02293	0.01378	0.08869	0.01457	0.08348	0.00439	0.0259	0.00505	0.71797	0.02323
V115	0	0.84194	0.02779	0.02054	0.03258	0.00026	0.02876	0	0.02326	0.02488
V116	0.46754	0.07572	0.04548	0.00523	0.02737	0.01588	0.04139	0.30958	0.0118	0
V117	0.01683	0	0.0488	0.01314	0.09526	0	0.79861	0	0.02736	0
V118	0.02012	0	0.03011	0.01682	0.0569	0.83046	0.03151	0.00745	0.00663	0
V119	0.00509	0.02149	0.14172	0.49375	0.06239	0.16815	0.0435	3e-04	0.06361	0
V120	0.62442	0	0.22046	0.02075	0.02678	0.0716	0.02614	0	0.00202	0.00783
V121	0.04935	0.09429	0.24444	0.03485	0.07052	0.10195	0.30673	0.00554	0.01689	0.07544
V122	0.01148	0.02149	0.16091	0.02011	0.08535	0.05323	0.15032	0	0.47558	0.02152
V123	0.01787	0.05988	0.02565	0.01294	0.37169	0.01319	0.04327	0.40561	0.0499	0
V124	0.69348	0.03733	0.04648	0.00463	0.01826	0.00536	0.03461	0.15389	0.00596	0
V125	0.00787	0.17329	0.10639	0.03615	0.05283	0.13528	0.04588	0.41635	0.02596	0
V126	0.00107	0.19924	0.04015	0.0116	0.629	0	0.03611	0.04265	0.04019	0
V127	0.03012	0.01183	0.51881	0.0497	0.06273	0	0.21669	0	0.08901	0.02112
V128	0.02024	0.20779	0.39312	0.04103	0.2576	0.04518	0.02277	0	0.00554	0.00675
V129	0.0209	0.07648	0.12322	0.22099	0.12259	0.01162	0.02479	0	0.36715	0.03225
V130	0.03015	0.00959	0.44773	0.04022	0.0431	0.01266	0.03357	0.35983	0.01904	0.00412
V131	0.04225	0.37763	0.37257	0.10114	0.04009	0.00669	0.02152	0	0.02832	0.00979
V132	0.12145	0	0.04597	0.0101	0.12963	0	0.60761	0.06568	0.01956	0
V133	0.00562	0.02345	0.059	0.18843	0.05316	0.12978	0.09535	0.42488	0.02033	0
V134	0.02046	0.05236	0.19319	0.06194	0.19864	0	0.1765	0	0.02311	0.2738
V135	0.01338	0.19536	0.19741	0.02572	0.07422	0.00168	0.0352	0	0.44813	0.0089
V136	0	0.55477	0.04081	0.14397	0.02089	0.00149	0.01551	0	0.00975	0.21281
V137	0.00047	0.00477	0.04756	0.02196	0.10059	0.30845	0.45369	0	0.0625	0
V138	0.01196	0.01347	0.03523	0.00964	0.05894	0	0.48488	0	0.04847	0.33741
V139	0.59564	0.01345	0.06359	0.01335	0.07877	0.06634	0.0259	0	0.14297	0
V140	0.04099	0.0102	0.34015	0.43127	0.07202	0.04704	0.03058	0	0.00334	0.02441
