Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V119	0.33307	0.02346	0.41269	0.21578	0.015
V120	0.0035	0.01462	0.84073	0.09711	0.04404
V121	0.19376	0.71786	0.01234	0.01304	0.06299
V122	0.03978	0.38391	0.08951	0.22307	0.26374
V123	0.48655	0.03913	0.07902	0.18292	0.21238
V124	0.20287	0.10216	0.0621	0.2223	0.41057
V125	0.04761	0.4507	0.49522	0.00092	0.00555
V126	0.14931	0.17839	0.22188	0.11734	0.33309
V127	0.27767	0.00678	0.6744	0.03286	0.00829
V128	0.20523	0.75573	0.02196	0.0019	0.01518
V129	0.26043	0.03145	0.27827	0.16833	0.26152
V130	0.04074	0.5017	0.04809	0.21206	0.19741
V131	0.01134	0.00233	0.24664	0.67756	0.06214
V132	0.344	0.01208	0	0.33164	0.31228
V133	0	0.04967	0.55675	0.09134	0.30223
V134	0.06609	0.0312	0.79662	0.01661	0.08949
V135	0.01958	0.10367	0.73601	0.02205	0.1187
V136	0.96743	0.00525	0.01176	0	0.01556
V137	0.90239	0.03516	0.00907	0.01359	0.0398
V138	0.23787	0.13558	0.07955	0.14035	0.40665
V139	0.11666	0	0.16702	0.6505	0.06583
V140	0.0156	0	0.14383	0.07441	0.76616
V141	0.01849	0.22428	0.66103	0.08322	0.01298
V142	0.20141	0	0.33591	0.13089	0.33179
V143	0.01815	0.19375	0.49238	0.13541	0.16031
V144	0.49823	0.22622	0.07477	0.10724	0.09353
V145	0	0.03422	0.9407	0.00512	0.01997
V146	0.03905	0.34177	0.00961	0.29936	0.31021
V147	0.09193	0.07059	0.70656	0.09163	0.03929
V148	0.1598	0.77122	0.02214	0.02973	0.01712
V149	0.00724	0.00091	0	0.84941	0.14244
V150	0.14212	0.19539	0.59084	0	0.07165
V151	0.43461	0.00995	0.01033	0.38905	0.15606
V152	0.00955	0	0.11872	0.72427	0.14746
V153	0.16844	0.18452	0.46627	0.04454	0.13623
V154	0.12117	0.5805	0.03166	0.04162	0.22505
V155	0.03311	0	0.14194	0.74627	0.07868
V156	0.09195	0.02125	0.4078	0.15239	0.32661
V157	0.0853	0.03182	0.17064	0.27698	0.43526
