CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V120	0.35629	0.0109	0	0.28107	0.34855	0.00319
V121	0.39172	0	0	0.14264	0.13937	0.32627
V122	0.36626	0	0	0.28748	0.34442	0.00184
V123	0.37837	0	0	0	0.24232	0.3793
V124	0.01726	0	0.11009	0	0.87265	0
V125	0.23793	0	0.33697	0	0.42063	0.00447
V126	0.32404	0.16045	0	0.04022	0	0.47529
V127	0.0928	0	0.39441	0	0.51279	0
V128	0.4301	0.10551	0	0.14859	0.23478	0.08102
V129	0.07588	0	0.41997	0	0.50415	0
V130	0.5183	0	0	0.202	0.16132	0.11838
V131	0.087	0	0	0	0.86649	0.04651
V132	0.23655	0.32087	0.12336	0.0122	0.29697	0.01005
V133	0.26376	0	0.27051	0	0.46573	0
V134	0.24865	0.54206	0	0.12894	0	0.08035
V135	0.15286	0	0.38163	0	0.45029	0.01522
V136	0.20909	0.61295	0	0.1222	0	0.05577
V137	0.19523	0	0.2611	0	0.54367	0
V138	0.272	0	0	0.149	0.32263	0.25637
V139	0.18282	0	0.04213	0	0.58764	0.18741
V140	0.53688	0.10052	0	0.13663	0.07898	0.14699
V141	0.39562	0.10639	0	0.20914	0.22861	0.06024
V142	0.19026	0.62544	0	0.09228	0	0.09202
V143	0.17025	0	0.3078	0	0.52196	0
V144	0.37291	0.04499	0	0.11184	0	0.47026
V145	0.1776	0	0	0.43847	0.38393	0
V146	0.14082	0	0	0	0.83931	0.01987
V147	0.47138	0	0	0.04091	0.18094	0.30676
V148	0.20422	0	0.39271	0	0.40307	0
V149	0.21491	0.43037	0	0.02116	0	0.33357
V150	0.16378	0	0	0.43054	0.40568	0
V151	0.26293	0.32944	0	0.02636	0	0.38127
V152	0.29748	0.02585	0.18586	0	0.45699	0.03381
V153	0.12397	0	0.28962	0	0.58641	0
V154	0.45323	0.11354	0	0.05691	0	0.37631
V155	0.23838	0.19891	0	0	0.50794	0.05477
V156	0.18751	0.36011	0	0.01454	0.42695	0.01089
V157	0.34172	0	0	0.16494	0.12067	0.37267
V158	0.10817	0	0.44621	0	0.44562	0
V159	0.35118	0.05535	0.08099	0.08131	0.39722	0.03395
V160	0.0953	0	0.45956	0	0.44513	0
V161	0.23602	0.38712	0	0.30003	0.07683	0
V162	0.21662	0.43561	0	0.1575	0.1545	0.03577
V163	0.05704	0	0.47623	0	0.46673	0
V164	0.25674	0.17694	0.11019	0.0458	0.41033	0
V165	0.09118	0	0	0	0.88751	0.02131
V166	0.17746	0	0	0	0.61666	0.20588
V167	0.13688	0	0.13992	0.04333	0.67987	0
V168	0.52326	0	0	0.13806	0.1991	0.13958
V169	0.11697	0	0.34089	0	0.54214	0
V170	0.4207	0	0	0.10678	0.39945	0.07307
V171	0.25986	0.38832	0	0.03534	0	0.31649
V172	0.23644	0	0.25172	0	0.46753	0.04431
V173	0.13289	0	0.41841	0	0.43142	0.01728
V174	0.51869	0	0	0.00255	0.33503	0.14373
V175	0.22657	0.55912	0	0.15433	0.01957	0.04041
V176	0.03721	0	0.47584	0	0.48695	0
V177	0.26681	0	0.13636	0	0.42745	0.16937
V178	0.04461	0	0	0	0.95539	0
V179	0.21521	0	0	0.25825	0.46972	0.05682
V180	0.33889	0	0	0.1285	0.42617	0.10644
V181	0.49879	0	0	0.05877	0.22026	0.22218
V182	0.15305	0	0.39587	0	0.45107	0
V183	0.17484	0	0	0.45236	0.3728	0
