Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V64	0.08752	0.00369	0.29795	0.23782	0.02711	0.0137	0.02634	0.20392	0.01315	0.08881
V65	0.08147	0.0227	0.12692	0.31682	0.0368	0.00644	0.08095	0.1939	0.08673	0.04728
V66	0	0.13498	0.02356	0.00912	0.47205	0.02752	0.04728	0.00927	0.0166	0.25962
V67	0.02916	0.17958	0.43122	0.08826	0.04296	0.03586	0.08604	0.00476	0.04558	0.05658
V68	0.03083	0.01572	0.04721	0.00937	0.068	0.01503	0.0353	0.29057	0.47197	0.01598
V69	0.05405	0.02315	0.73465	0.09252	0.04386	0	0.01782	0	0.0161	0.01785
V70	0.70343	0.00882	0.12477	0.01116	0.02043	0.02394	0.05092	0.00115	0.05537	0
V71	0.0472	0	0.01106	0.0134	0.04078	0.03025	0.05292	0.73107	0.03013	0.04319
V72	0.22336	0.02601	0.08258	0.20625	0.119	0.00211	0.02616	0.00189	0.01009	0.30255
V73	0.02187	0.18824	0.03651	0.01877	0.63846	0.02104	0.03497	0	0	0.04013
V74	0.00914	0	0.04662	0.13103	0	0.02881	0.02617	0.00273	0.01062	0.74488
V75	0.02302	0.08428	0.24893	0.40338	0.05427	0.00953	0.02038	0.00265	0.14442	0.00913
V76	0	0.00489	0.02543	0.01495	0.05129	0.87781	0.02001	0.00132	0.00123	0.00305
V77	0.00863	0	0.09862	0.27776	0.0559	0.25607	0.27631	0	0.00827	0.01843
V78	0	0.47279	0.04589	0.01555	0.05653	0.00286	0.28584	0	0.00765	0.1129
V79	0.01154	0.02304	0.11246	0.26661	0.04313	0.26617	0.02631	0	0.19499	0.05576
V80	0.34375	0	0.0255	0.0072	0	0.00048	0.04754	0	0.03844	0.53709
V81	0.00173	0.03993	0.05716	0.15076	0.15985	0.56679	0.01731	0	0	0.00646
V82	0.06217	0.50887	0.08245	0.22321	0.03309	0.01737	0.01774	0.04642	0.00401	0.00467
V83	0.04426	0.06175	0.15806	0.42958	0.0539	0.00821	0.02715	0.20449	0.01259	0
V84	0.02474	0.01544	0.03923	0.03889	0.13688	0.53655	0.20041	0	0.00116	0.0067
V85	0.1969	0	0.35465	0.0437	0	0	0.02368	0	0.01149	0.36958
V86	0.29546	0.01146	0.31154	0.30139	0.02991	0.0062	0.02224	0	0.00784	0.01396
V87	0.01323	0.03865	0.07744	0.02299	0.09422	0.00684	0.02814	0	0.69024	0.02824
V88	0.01323	0.33144	0.1514	0.43282	0.0342	0.00133	0.0241	0	0.00806	0.00343
V89	0.00605	0	0.04436	0.04167	0.08775	0	0.72441	0.07012	0.01966	0.00597
V90	0.01815	0.0399	0.2902	0.03852	0	0.01729	0.02238	0	0.01173	0.56183
V91	0.06362	0.01474	0.72014	0.08403	0.04784	0	0.01821	0	0.02065	0.03077
V92	0.00455	0.00139	0.04422	0.01258	0.08855	0	0.77728	0	0.06129	0.01013
V93	0.01348	0.04724	0.1139	0.01747	0.0755	0	0.26029	0.00712	0.44312	0.02188
V94	0.79495	0.00119	0.08113	0.0059	0.01533	0.02328	0.04256	0.02052	0.00263	0.01249
V95	0.00916	0.00438	0.027	0.00942	0.08619	0.00074	0.56351	0.2671	0.02842	0.00408
V96	0.03945	0.12169	0.36087	0.35549	0.03572	0.0146	0.01792	0.00777	0.02554	0.02095
V97	0.00235	0	0.03356	0.0099	0.06318	0	0.69823	0	0.02464	0.16814
V98	0.00167	0.29805	0.0315	0.05678	0.14907	0.0203	0.05605	0.07214	0.12144	0.193
V99	0.59931	0.00206	0.06805	0.00644	0.0336	0.00017	0.09012	0.00094	0.18478	0.01454
V100	0.21081	0.01474	0.09197	0.18618	0.0523	0.29378	0.03171	0	0.08771	0.03081
V101	0	0	0.00125	0.00265	0	0.06005	0.13561	0.02111	0.01034	0.769
V102	0.0485	0.23675	0.01388	0.00931	0.10577	0.31146	0.13865	0.09249	0.00757	0.0356
V103	0.10048	0.01639	0.07657	0.02042	0.05823	0.0061	0.02809	0.00069	0.65077	0.04227
V104	0.06484	0.01278	0.7307	0.0799	0.03893	0	0.01808	0	0.03673	0.01804
V105	0.37499	0	0.11215	0.01859	0.0294	0.14399	0.02838	0.28207	0.01044	0
V106	0.01952	0.6621	0.19272	0.0326	0.02787	0.02215	0.01441	0	0.00475	0.02388
V107	0.28503	0.23778	0.04678	0.01609	0.23048	0.01853	0.03057	0.02465	0.09836	0.01174
V108	0.00125	0	0.03999	0.12179	0.00198	0.34656	0.02129	0.01598	0.00948	0.44169
V109	0	0.02585	0.02537	0.02079	0.05589	0.83689	0.02508	0.00073	0.00594	0.00346
V110	0	0.1875	0.03043	0.01151	0.63892	0.00589	0.03077	0.05462	0	0.04035
V111	0.00278	0.01006	0.03941	0.01891	0.15643	0	0.7282	0	0.01694	0.02728
V112	0.00165	0	0.02707	0.00855	0.04441	0	0.55365	0	0.05574	0.30893
V113	0.02218	0	0.05051	0.00881	0.03401	0.0595	0.04123	0.01559	0.50318	0.26499
V114	0.02954	0.0175	0.08631	0.01494	0.06341	0.00683	0.02855	8e-04	0.70626	0.04587
V115	0	0.85169	0.02343	0.01889	0.0313	0.00231	0.03421	0	0.01562	0.02255
V116	0.47948	0.08185	0.04213	0.00564	0.02345	0.01644	0.04086	0.30514	0.00502	0
V117	0.01796	0	0.04373	0.01209	0.08573	0	0.81154	0	0.02138	0.00757
V118	0.02361	0	0.02485	0.01312	0.04774	0.85589	0.02536	0.00762	0	0.00183
V119	0.01514	0.0304	0.1592	0.46691	0.0486	0.17526	0.03822	0	0.0633	0.00297
V120	0.62895	0.00324	0.21934	0.02147	0.01966	0.07445	0.02437	0	0.00063	0.00788
V121	0.05307	0.09639	0.24376	0.03716	0.06036	0.10777	0.2954	0.00577	0.01367	0.08666
V122	0.01636	0.02484	0.16135	0.02149	0.06759	0.05913	0.15084	0	0.45822	0.04018
V123	0.02067	0.08629	0.0163	0.01497	0.36598	0.01701	0.03867	0.39278	0.03572	0.01162
V124	0.70397	0.0421	0.0446	0.00382	0.01331	0.00518	0.03416	0.15236	0.00048	0
V125	0.01471	0.18091	0.10005	0.03763	0.0485	0.14419	0.04423	0.40992	0.01849	0.00136
V126	0	0.23169	0.03283	0.01241	0.59981	0.00557	0.02941	0.03984	0.02409	0.02435
V127	0.03732	0.01296	0.51754	0.05658	0.04953	0	0.20816	0	0.08667	0.03124
V128	0.02218	0.22047	0.3791	0.0453	0.2438	0.04755	0.01834	0	0.00347	0.0198
V129	0.02729	0.0873	0.1308	0.21419	0.10648	0.01233	0.02335	0	0.34829	0.04997
V130	0.04059	0.01246	0.44175	0.04834	0.03604	0.01086	0.03033	0.35326	0.01917	0.0072
V131	0.04638	0.38206	0.37041	0.10129	0.03215	0.006	0.02116	0	0.02785	0.01268
V132	0.12755	0.00365	0.04235	0.00951	0.12336	0	0.60762	0.06683	0.01337	0.00574
V133	0.01508	0.03015	0.05924	0.18232	0.0471	0.13779	0.09177	0.42111	0.01543	0
V134	0.02168	0.06194	0.18994	0.06187	0.18553	0	0.16561	0	0.01775	0.29568
V135	0.01767	0.20626	0.1986	0.02795	0.05858	0.00274	0.03659	0	0.42875	0.02287
V136	0	0.56029	0.04358	0.13516	0.01468	0.002	0.01791	0	0.0058	0.22058
V137	0.00235	0.00695	0.04319	0.01974	0.09059	0.33144	0.44415	0	0.05331	0.00828
V138	0.01261	0.01	0.02991	0.00886	0.04764	0	0.48067	0	0.04146	0.36886
V139	0.606	0.0215	0.06458	0.01179	0.06963	0.07151	0.02514	0	0.12917	0.00068
V140	0.05068	0.0181	0.35121	0.40844	0.058	0.04559	0.02495	0	0.00981	0.03321
V141	0.03092	0.01572	0.19183	0.6094	0.04024	0.02466	0.02148	0	0.01082	0.05493
V142	0.00892	0	0.09556	0.20577	0.06892	0	0.56844	0	0.01549	0.0369
V143	0	0.81116	0.02915	0.06174	0.03685	0.01034	0.01595	0	0.02581	0.009
V144	0.00181	0	0.03449	0.01923	0.07081	0.34434	0.50276	0.00993	0.01149	0.00514
V145	0.05319	0.09692	0.14798	0.44697	0.04122	0.03003	0.02393	0.14458	0.01517	0
V146	0.027	0	0.38601	0.04164	0.01037	0.01434	0.05575	0.08413	0.01721	0.36355
V147	0.00697	0.02079	0.04555	0.01637	0.13105	0.00539	0.02922	0.0141	0.40484	0.32571
V148	0.02691	0.0273	0.07043	0.01271	0.06398	0.05626	0.05848	0	0.65787	0.02607
V149	0.01975	0.02164	0.16562	0.50747	0.04042	0.0047	0.02397	0.08133	0.11701	0.01808
V150	0.0573	0	0.01088	0.00497	0.02763	0.00839	0.03437	0.00257	0.03091	0.823
V151	0.00501	0	0.02083	0.00437	0	0.05459	0.02925	0	0.0133	0.87264
V152	0.01522	0	0.0041	0.00494	0.03084	0.02518	0.05433	0.63571	0.02649	0.20317
V153	0	0.17674	0.0306	0.01154	0.63965	0.00687	0.03181	0.07863	0	0.02415
V154	0.09524	0.02175	0.52103	0.27187	0.03682	0.01263	0.01881	0	0.01206	0.00981
V155	0.0701	0	0.02402	0.00632	0.04005	0.12644	0.03783	0.46798	0.20813	0.01913
V156	0.12556	0.02458	0.17289	0.03505	0.0388	0.45129	0.03589	0.02936	0.06675	0.01982
V157	0	0.46515	0.03162	0.05235	0.17525	0.21884	0.01583	0	0.01418	0.02678
V158	0.29025	0.54321	0.03363	0.01739	0.05655	0.00179	0.02993	0.02298	1e-05	0.00426
V159	0.03649	0.08402	0.22041	0.05826	0.24549	0.02557	0.03079	0.06466	0.00467	0.22966
V160	0.01737	0.86334	0.01817	0.01872	0.02997	0.00306	0.01686	0	0.01069	0.02183
V161	0.0215	0.01883	0.20352	0.64162	0.0458	0.00987	0.02205	0	0.02274	0.01408
V162	0	0	0.01663	0.00524	0	0.00263	0.03432	0	0.02009	0.92108
V163	0.13457	0.01749	0.65342	0.06954	0.03291	0.0111	0.01865	0.0097	0.01267	0.03995
V164	0.05247	0.01102	0.72412	0.08413	0.03796	0.01032	0.02916	0	0.02022	0.03059
