CD19B	CD56NK	CD4MemoryT	CD14
V139	0.28368	0.23525	0.19917	0.2819
V140	0.04232	0.13839	0.08844	0.73085
V141	0.06694	0.19382	0.46178	0.27746
V142	0.67203	0.04301	0.22412	0.06085
V143	0.3418	0.28012	0.09756	0.28052
V144	0.14664	0.19373	0.17691	0.48272
V145	0.00318	0.69913	0.21639	0.08131
V146	0.06055	0.07657	0.07397	0.78891
V147	0.76655	0.06146	0.06442	0.10756
V148	0.12147	0.12279	0.49672	0.25902
V149	0.22184	0.49007	0.21152	0.07657
V150	0.0833	0.26383	0.50454	0.14832
V151	0.1748	0.57596	0.05775	0.19149
V152	0.19542	0.43069	0.20857	0.16532
V153	0.09355	0.67809	0.04251	0.18586
V154	0.20501	0.43897	0.25225	0.10377
V155	0.38317	0.18112	0.27408	0.16163
V156	0.04063	0.18004	0.58736	0.19197
V157	0.2507	0.19504	0.28843	0.26583
V158	0.03214	0.07124	0.06836	0.82826
V159	0.74254	0.10164	0.04061	0.1152
V160	0.55674	0.05442	0.10524	0.2836
V161	0.17786	0.06981	0.07581	0.67652
V162	0.06786	0.31013	0.10652	0.51549
V163	0.08946	0.46332	0.17065	0.27657
V164	0.27321	0.31902	0.12595	0.28182
V165	0.02402	0.27995	0.0391	0.65693
V166	0.02765	0.14628	0.10192	0.72415
V167	0.28367	0.05525	0.05286	0.60822
V168	0.23598	0.535	0.09893	0.13009
V169	0.16232	0.10909	0.08001	0.64858
V170	0.10511	0.07884	0.45461	0.36145
V171	0.12039	0.26245	0.50514	0.11202
V172	0.60497	0.04559	0.27913	0.07031
V173	0.04127	0.18433	0.07909	0.69531
V174	0.03178	0.20247	0.10528	0.66047
V175	0.0694	0.06594	0.67268	0.19197
V176	0.01052	0.73936	0.16765	0.08248
V177	0.01038	0.87544	0.01937	0.09481
V178	0.01015	0.68997	0.03044	0.26944
V179	0.149	0.06809	0.34768	0.43523
V180	0.02723	0.80739	0.09013	0.07524
V181	0.14684	0.1728	0.46414	0.21622
V182	0.25223	0.2135	0.40654	0.12772
V183	0.15616	0.73615	0.0273	0.08039
V184	0.84897	0.03792	0.05078	0.06234
V185	0.47144	0.41343	0.0413	0.07383
V186	0.10705	0.45723	0.24335	0.19238
V187	0.81056	0.0441	0.07395	0.0714
V188	0.06303	0.25413	0.0399	0.64294
V189	0.66564	0.0673	0.05888	0.20817
V190	0.55361	0.05571	0.32007	0.0706
V191	0.16437	0.23465	0.48978	0.11121
V192	0.24545	0.4482	0.07447	0.23188
V193	0.48849	0.08164	0.24418	0.18569
V194	0.03487	0.83604	0.02677	0.10231
V195	0.01813	0.07934	0.82472	0.07781
V196	0.0299	0.1214	0.05941	0.7893
V197	0.32787	0.10104	0.07089	0.5002
V198	0.06177	0.47883	0.32698	0.13243
V199	0.14828	0.08679	0.18697	0.57796
V200	0.11378	0.52162	0.04711	0.3175
V201	0.08892	0.51741	0.18346	0.21022
V202	0.02416	0.07556	0.66416	0.23611
V203	0.14388	0.41666	0.34396	0.0955
V204	0.01502	0.49972	0.03717	0.44809
V205	0.02515	0.10297	0.78277	0.08911
V206	0.05346	0.13814	0.7331	0.0753
V207	0.12123	0.22395	0.08686	0.56796
V208	0.22077	0.11169	0.58396	0.08359
V209	0.24496	0.44734	0.09277	0.21493
V210	0.07682	0.69171	0.10627	0.1252
V211	0.33699	0.06838	0.07792	0.51671
V212	0.42229	0.08483	0.40287	0.09001
V213	0.50848	0.07918	0.14322	0.26912
V214	0.2661	0.19985	0.176	0.35805
V215	0.23551	0.14671	0.06109	0.55669
V216	0.04585	0.0707	0.06667	0.81678
V217	0.04595	0.46698	0.2173	0.26977
V218	0.0899	0.42795	0.17143	0.31072
V219	0.09609	0.58135	0.03873	0.28383
V220	0.01059	0.74091	0.02865	0.21985
V221	0.66346	0.04799	0.04803	0.24052
V222	0.26012	0.17661	0.33163	0.23165
V223	0.01356	0.18175	0.65484	0.14985
V224	0.83681	0.03774	0.06346	0.06199
V225	0.05269	0.79005	0.07501	0.08226
V226	0.26356	0.12802	0.5258	0.08262
V227	0.66148	0.04436	0.21407	0.08009
V228	0.62781	0.1091	0.10397	0.15912
V229	0.02522	0.0782	0.79862	0.09796
V230	0.03168	0.08518	0.06758	0.81556
V231	0.02844	0.29373	0.13097	0.54686
V232	0.0442	0.59582	0.02482	0.33516
V233	0.45268	0.13492	0.20948	0.20292
V234	0.03462	0.82165	0.05016	0.09357
V235	0.31512	0.1065	0.47674	0.10164
V236	0.05056	0.11946	0.68104	0.14894
V237	0.13926	0.07088	0.07769	0.71217
V238	0.11591	0.5188	0.24224	0.12305
V239	0.06635	0.39209	0.0523	0.48926
V240	0.40392	0.08346	0.3953	0.11731
V241	0.02392	0.07017	0.76421	0.1417
V242	0.11398	0.69178	0.10619	0.08805
V243	0.21059	0.09364	0.5496	0.14617
V244	0.18533	0.06005	0.59897	0.15566
V245	0.48173	0.31082	0.08189	0.12556
V246	0.05912	0.18869	0.65604	0.09615
