Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.00894	0.01285	0.03185	0.00419	0.14091	0.00316	0.03526	0	0.00375	0.75908
V2	0.58166	0.01605	0.05744	0.00042	0.0726	0.20673	0.06254	0	0.00256	0
V3	0.09917	0.06908	0.11324	0.02173	0.40643	0.01803	0.13165	0.11069	0.02793	0.00204
V4	0	0.08298	0.04586	0.00299	0.09349	0.05826	0.02973	0.00441	0.47856	0.20371
V5	0	0.09886	0.02907	0.05458	0.03644	0.04703	0.03058	0	0.00255	0.70088
V6	0.00253	0.09165	0.20692	0.03092	0.54141	0.03103	0.03413	0.04508	0.01634	0
V7	0	0.50969	0.03433	0.01113	0.26796	0.0164	0.0799	0.05202	0.02856	0
V8	0	0.5521	0.07475	0.00773	0.0765	0.02427	0.02201	0.20357	0.03908	0
V9	0	0.01653	0.10435	0.1269	0.10416	0.0253	0.23672	0.35319	0.03286	0
V10	0	0.09579	0.03018	0.01277	0.6234	0.06316	0.04685	0.11174	0.0161	0
V11	0.00175	0.54097	0.03891	0.00407	0.07747	0.04255	0.02236	0.1867	0.07224	0.01297
V12	0	0.05365	0.1721	0.39057	0.07306	0.01194	0.1158	0	0.01496	0.16792
V13	0.07153	0.01918	0.1238	0.02016	0.11752	0.09989	0.42451	0	0.1234	0
V14	0.05289	0.43088	0.14572	0.05483	0.09236	0.04694	0.14064	0.00515	0.03059	0
V15	0.19532	0.04632	0.15316	0.45055	0.05683	0.02238	0.05468	0	0.02076	0
V16	0	0.0923	0.21489	0.44392	0.07333	0.04326	0.02775	0	0.10456	0
V17	0.00847	0.10405	0.00589	0.00463	0.04753	0.05245	0.0527	0	0.01159	0.71271
V18	0.04233	0.08429	0.06505	0.21591	0.02646	0.01131	0.027	0	0.00909	0.51856
V19	0	0	0.0154	0.04616	0.00893	0.05206	0.02791	0	0	0.84953
V20	0	0.20086	0.03143	0.01964	0.08973	0.01972	0.48995	0.02449	0.02393	0.10026
V21	0.08126	0.43464	0.04987	0.00508	0.07927	0.25684	0.03826	0.02049	0.0343	0
V22	0	0	0.00663	0.00346	0.02718	0.01021	0.03096	0.1675	0.03417	0.7199
V23	0.2226	0.04694	0.47332	0.03428	0.04798	0.00993	0.02314	0	0.0069	0.13491
V24	0.01262	0.57326	0.06879	0.00426	0.08431	0.00994	0.08708	0.05051	0.10922	0
V25	0.0108	0.10046	0.02933	0.0187	0.09314	0.08613	0.04622	0	0.13651	0.47872
V26	0.00357	0.01619	0.10085	0.03072	0.10468	0.02322	0.05779	0.6538	0.00919	0
V27	0.00033	0.04741	0.01257	0.00443	0.30039	0.00513	0.0503	0	0.01005	0.56938
V28	0.20235	0	0.01795	0	0.00952	0.01424	0.04668	0.00935	0	0.69991
V29	0.00032	0.63353	0.03394	0.00588	0.07176	0.0791	0.02339	0.01302	0.02933	0.10972
V30	0	0.02049	0.1167	0.02651	0.10498	0.2118	0.28815	0	0.23136	0
V31	0	0.3612	0.21113	0.02035	0.11786	0.0129	0.02556	0.22476	0.02625	0
V32	0.43716	0.04092	0.05805	0.00059	0.26434	0.03529	0.06594	0	0.09772	0
V33	0.01753	0.05119	0.22055	0.39474	0.07254	0.01458	0.20921	0	0.01965	0
V34	0	0.03772	0.01008	0.00209	0.17558	0.00344	0.03556	0.00197	0.03692	0.69664
