mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V113	0.21564	0.12009	0.11172	0.18031	0.37224
V114	0.47331	0.15573	0.05959	0.21238	0.09899
V115	0.67836	0.10884	0.02152	0.0981	0.09318
V116	0.0193	0.12931	0.02095	0.10111	0.72933
V117	0.04773	0.19779	0.60246	0.12033	0.03168
V118	0.04367	0.08033	0.01545	0.82573	0.03482
V119	0.26773	0.15029	0.31784	0.24842	0.01571
V120	0.01503	0.19349	0.61219	0.14131	0.03798
V121	0.18786	0.62734	0.02105	0.09165	0.0721
V122	0.03439	0.38883	0.0977	0.27016	0.20892
V123	0.41363	0.13644	0.08166	0.22117	0.1471
V124	0.19433	0.18583	0.07506	0.24469	0.30008
V125	0.0416	0.44568	0.41608	0.0736	0.02304
V126	0.13995	0.25053	0.20812	0.15316	0.24825
V127	0.22363	0.17196	0.48081	0.10305	0.02055
V128	0.1978	0.6522	0.02908	0.08691	0.03401
V129	0.22737	0.15516	0.24104	0.19679	0.17963
V130	0.03084	0.47594	0.05767	0.27268	0.16287
V131	0.01806	0.11507	0.21457	0.63544	0.01686
V132	0.31634	0.10977	0.01504	0.34713	0.21172
V133	0.00963	0.19639	0.46249	0.12122	0.21027
V134	0.06454	0.20136	0.58526	0.07715	0.07169
V135	0.02639	0.2421	0.56081	0.07875	0.09196
V136	0.72852	0.11555	0.02344	0.10194	0.03055
V137	0.69042	0.12932	0.02192	0.11603	0.04232
V138	0.22303	0.2112	0.08959	0.17406	0.30213
V139	0.11358	0.09955	0.15436	0.61013	0.02238
V140	0.03101	0.13092	0.15867	0.07988	0.59952
V141	0.02266	0.30219	0.51313	0.14038	0.02164
V142	0.18325	0.13875	0.28968	0.15942	0.22891
V143	0.02213	0.27499	0.41316	0.17219	0.11753
V144	0.42457	0.25045	0.0757	0.17376	0.07552
V145	0.00842	0.21954	0.67008	0.07361	0.02835
V146	0.03495	0.35248	0.02564	0.34357	0.24336
V147	0.08458	0.21235	0.52403	0.14196	0.03707
V148	0.15218	0.67187	0.02915	0.11316	0.03364
V149	0.01482	0.08179	0.0161	0.82994	0.05735
V150	0.12568	0.2815	0.46186	0.06377	0.06719
V151	0.37684	0.10244	0.02731	0.3958	0.09762
V152	0.01905	0.09208	0.11871	0.6979	0.07226
V153	0.14798	0.26295	0.38058	0.10204	0.10644
V154	0.11389	0.54144	0.04188	0.1012	0.2016
V155	0.03815	0.09984	0.13385	0.70456	0.02359
V156	0.0897	0.1652	0.3469	0.17347	0.22473
V157	0.08734	0.1509	0.1676	0.28289	0.31127
V158	0.16808	0.15353	0.37053	0.09541	0.21246
V159	0.10894	0.2452	0.03074	0.5707	0.04443
V160	0.38656	0.22026	0.09787	0.10801	0.1873
V161	0.19569	0.13352	0.07411	0.08134	0.51534
V162	0.00922	0.22628	0.68313	0.06319	0.01817
V163	0.0553	0.12238	0.0341	0.11321	0.67501
V164	0.70218	0.14278	0.02851	0.10258	0.02395
V165	0.49518	0.24713	0.08656	0.12088	0.05026
V166	0.05391	0.11351	0.22468	0.53318	0.07471
V167	0.03757	0.58466	0.03553	0.19435	0.14789
V168	0.00922	0.22628	0.68313	0.06319	0.01817
V169	0.05517	0.60516	0.16262	0.14654	0.0305
V170	0.22331	0.37033	0.06827	0.23537	0.10272
V171	0.25658	0.18761	0.3031	0.20338	0.04934
V172	0.16629	0.27205	0.08414	0.09173	0.38578
V173	0.19227	0.17537	0.0982	0.3945	0.13966
V174	0.18313	0.13852	0.30592	0.21513	0.1573
V175	0.07381	0.22046	0.12788	0.2087	0.36915
V176	0.32625	0.09615	0.02119	0.53733	0.01908
V177	0.16442	0.17772	0.44203	0.19536	0.02047
V178	0.2306	0.1748	0.36954	0.15257	0.07249
V179	0.09457	0.12758	0.026	0.09107	0.66079
V180	0.02813	0.16222	0.31078	0.07042	0.42845
V181	0.06373	0.31183	0.0188	0.12115	0.4845
V182	0.47136	0.24954	0.0221	0.21027	0.04673
V183	0.07279	0.78291	0.02453	0.08977	0.03001
V184	0.26711	0.13231	0.25502	0.3134	0.03216
V185	0.09956	0.45536	0.04102	0.19817	0.2059
V186	0.12735	0.23341	0.04615	0.27592	0.31717
V187	0.0794	0.60094	0.02047	0.27259	0.0266
V188	0.64798	0.12798	0.04404	0.15492	0.02507
V189	0.38887	0.25619	0.04902	0.28217	0.02375
V190	0.34618	0.17136	0.19426	0.0845	0.2037
V191	0.19984	0.24795	0.02311	0.42389	0.10521
V192	0.28017	0.23875	0.12678	0.24147	0.11283
V193	0.06564	0.28641	0.43232	0.09484	0.12079
V194	0.23742	0.15139	0.09595	0.15236	0.36288
V195	0.45668	0.23388	0.19995	0.08685	0.02263
V196	0.01556	0.12243	0.07432	0.11206	0.67563
V197	0.07052	0.76013	0.02366	0.11682	0.02886
V198	0.20995	0.26186	0.05253	0.2379	0.23776
V199	0.58851	0.13521	0.17754	0.08006	0.01868
V200	0.60832	0.1074	0.04396	0.1015	0.13883
V201	0.04071	0.08202	0.03799	0.67754	0.16173
V202	0.7024	0.14665	0.01755	0.10399	0.02941
V203	0.44997	0.27116	0.0416	0.12443	0.11284
V204	0.30176	0.16683	0.05034	0.08198	0.39909
V205	0.1077	0.14589	0.12402	0.12577	0.49661
V206	0.04579	0.15171	0.01568	0.73982	0.047
V207	0.0247	0.09424	0.0158	0.83678	0.02848
V208	0.13913	0.28492	0.3932	0.102	0.08074
V209	0.14577	0.13746	0.10584	0.09871	0.51223
V210	0.00847	0.21821	0.68186	0.06822	0.02324
V211	0.14247	0.14896	0.19412	0.09303	0.42142
V212	0.06076	0.66838	0.09144	0.11405	0.06537
V213	0.09919	0.1057	0.07697	0.27568	0.44246
V214	0.02837	0.50934	0.34443	0.08227	0.03559
V215	0.22229	0.26878	0.13667	0.13489	0.23736
V216	0.05512	0.17039	0.29678	0.09526	0.38245
V217	0.01277	0.07858	0.03908	0.7859	0.08366
V218	0.07009	0.25041	0.26242	0.33629	0.08079
V219	0.11663	0.30749	0.33117	0.22321	0.0215
V220	0.18474	0.62711	0.07271	0.08917	0.02627
