Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.35826	0.1101	0.26033	0.12261	0.1487
V2	0.06744	0.76573	0.05532	0.04873	0.06278
V3	0.08111	0.00963	0.44279	0.41078	0.05569
V4	0.02092	0.00081	0.24526	0.04781	0.68519
V5	0.02476	0	0.05692	0.09518	0.82313
V6	0.37187	0.00132	0.282	0.21519	0.12961
V7	0.01499	0.03175	0.43351	0.06595	0.4538
V8	0.00863	0.03606	0.85245	0.05858	0.04428
V9	0.07637	0	0.25823	0.60809	0.05731
V10	0.48573	0.01164	0.46088	0	0.04175
V11	0.04827	0.0039	0.10613	0.05999	0.78171
V12	0.09993	0	0.22587	0.29723	0.37697
V13	0.15777	0.02796	0.03672	0.41383	0.36371
V14	0.18252	0	0.06749	0.62503	0.12497
V15	0.04961	0.0116	0	0.84908	0.08971
V16	0.60182	0.04667	0.01137	0.3032	0.03694
V17	0.08235	0.24417	0.01476	0.05278	0.60594
V18	0.09973	0.41042	0.25615	0.19325	0.04044
V19	0.04155	0	0	0.10985	0.8486
V20	0.00452	0.01128	0.7181	0.21115	0.05494
V21	0.03619	0.25628	0.13415	0.15472	0.41866
V22	0.83972	0.05541	0.06506	0	0.03982
V23	0.09702	0	0.0197	0.12982	0.75346
V24	0.49372	0.09864	0.01911	0.03263	0.35591
V25	0.04543	0.01285	0.01267	0.41963	0.50943
V26	0.50774	0.18482	0.06271	0.02718	0.21754
V27	0.13456	0.49437	0.18547	0.00053	0.18506
V28	0.05145	0.06404	0.20109	0.60246	0.08095
V29	0.0208	0	0.32732	0.58345	0.06844
V30	0.77062	0.08092	0.02739	0.00735	0.11372
V31	0.45646	0.12252	0.0119	0.2173	0.19182
V32	0.93486	0	0.00037	0	0.06476
V33	0.03874	0.19504	0.01455	0.11107	0.6406
V34	0.12735	0.82511	0.01103	0.00491	0.0316
V35	0.10168	0.60241	0.24966	0.01839	0.02785
V36	0.04093	0.16908	0.17296	0.08397	0.53307
V37	0.76986	0	0	0	0.23014
V38	0.13714	0.0187	0.48569	0.18754	0.17093
V39	0.35714	0.0155	0.34043	0	0.28693
V40	0.23519	0.59888	0.02132	0.08937	0.05524
V41	0.06231	0.82473	0.01855	0.0037	0.09072
V42	0.89522	0.00821	0.01947	0	0.07709
V43	0.50693	0.10836	0.34911	0.00447	0.03113
V44	0.03769	0.28637	0.54752	0	0.12842
V45	0.05377	0.65802	0.09618	0.12605	0.06597
V46	0.12303	0.74313	0.07021	0.0228	0.04083
V47	0	0.03634	0.90913	0	0.05453
V48	0.18909	0.11466	0.2248	0.31682	0.15463
V49	0.49412	0.12319	0.22802	0.12066	0.034
V50	0.01771	0.05348	0.88545	0	0.04336
V51	0.11925	0.25812	0.20158	0.05572	0.36532
V52	0.06576	0.87988	0.0121	0.00816	0.0341
V53	0.05348	0.16202	0.00727	0.71022	0.06701
V54	0.2421	0	0.00528	0.53752	0.2151
V55	0.09861	0	0	0.82506	0.07633
V56	0.09459	0	0	0.7402	0.16521
V57	0.16548	0.12253	0.56312	0.0109	0.13797
V58	0.08344	0	0.13526	0.19894	0.58236
V59	0.88444	0	0.08717	0	0.02839
V60	0.45517	0.18336	0.12689	0.10871	0.12588
V61	0.21969	0	0.02293	0.21843	0.53895
V62	0.07345	0.01029	0.31052	0.13049	0.47525
V63	0.4246	0.24235	0.06432	0.02358	0.24515
V64	0.94741	0	0.01975	0	0.03284
V65	0.11272	0.06325	0.03795	0.60683	0.17925
V66	0.04933	0	0.12947	0.74694	0.07427
V67	0.01751	0.00562	0.34992	0.09261	0.53434
V68	0.48973	0	0.39714	0.01601	0.09711
V69	0.62613	0.09335	0.20155	0.00117	0.0778
V70	0.07584	0.69295	0.04706	0.13857	0.04558
V71	0.1054	0.75909	0.04714	0.05258	0.03579
V72	0.05594	0.39973	0.02657	0.03333	0.48443
V73	0.08054	0	0.09933	0.56946	0.25067
V74	0.03939	0.04988	0.00643	0.76645	0.13786
V75	0.49111	0.16698	0.30592	0	0.03598
V76	0.03499	0	0.01401	0.82221	0.12879
V77	0.0178	0.029	0.88377	0.0248	0.04463
V78	0	0.04461	0.9013	0	0.05409
V79	0.09853	0.39668	0.04324	0.13323	0.32833
V80	0.13451	0.71571	0.00893	0.04401	0.09684
V81	0.00614	0.03702	0.91041	0	0.04643
V82	0.26332	0.14154	0.02926	0.51078	0.0551
V83	0.12481	0.06168	0.02036	0.53623	0.25693
V84	0.11329	0.15753	0.00472	0.05841	0.66605
V85	0	0.03725	0.9144	0	0.04835
V86	0.04102	0.24451	0.29998	0.36251	0.05198
V87	0.48835	0	0.03831	0.41866	0.05468
V88	0.34134	0.14032	0.05486	0.18611	0.27736
V89	0.04462	0.11322	0.78182	0.02181	0.03853
V90	0.03588	0.17472	0.05846	0.10758	0.62336
V91	0.03258	0	0.07641	0.81553	0.07548
V92	0.27059	0.01175	0.02684	0.05559	0.63524
V93	0.03198	0.07302	0.1635	0.50794	0.22356
V94	0.05932	0.16061	0.02201	0.242	0.51606
V95	0.08165	0.22394	0.02283	0.10799	0.56359
V96	0.82256	0	0.02053	0.00781	0.1491
V97	0.1896	0.00391	0.04497	0.12136	0.64016
V98	0.0697	0.36896	0.18235	0.11658	0.26241
V99	0.54437	0.10798	0.00424	0.20504	0.13837
V100	0.56818	0.13831	0.05283	0.0402	0.20047
V101	0.07381	0.86744	0.01906	0.00685	0.03283
V102	0.33697	0.22344	0.13954	0.09522	0.20483
V103	0.14368	0	0	0.06087	0.79546
V104	0.06381	0.40769	0.08701	0.03236	0.40913
V105	0.02819	0	0.04	0.10568	0.82614
V106	0.06233	0.73577	0.14427	0.00292	0.05472
V107	0.05258	0.21914	0.65644	0.03033	0.04151
V108	0.01624	0.18642	0.7592	0	0.03813
V109	0.08104	0.20646	0.0578	0.27417	0.38053
V110	0.18889	0.49126	0.18373	0.09492	0.0412
V111	0.2954	0.21499	0.46392	0	0.02569
V112	0.20295	0	0.10272	0.4623	0.23203
V113	0.26231	0	0.10222	0.15179	0.48368
V114	0.6115	0.04493	0.05103	0.15816	0.13439
V115	0.8825	0	0	0	0.1175
V116	0.02919	0	0	0.08033	0.89049
V117	0.052	0.02525	0.79691	0.06472	0.06112
V118	0.06739	0	0	0.8376	0.095
V119	0.35674	0	0.39293	0.21634	0.03399
V120	0.01005	0.01787	0.80343	0.09511	0.07354
V121	0.20101	0.70471	0.00859	0.00493	0.08076
V122	0.05459	0.38325	0.08788	0.22384	0.25044
V123	0.53623	0.00734	0.07793	0.17966	0.19884
V124	0.24279	0.08985	0.06376	0.2222	0.38141
V125	0.04718	0.44181	0.47319	0	0.03782
V126	0.17632	0.17029	0.22412	0.11078	0.31849
V127	0.29267	0	0.64181	0.02864	0.03687
V128	0.2091	0.73426	0.01622	0	0.04043
V129	0.2974	0.01289	0.27614	0.16475	0.24882
V130	0.05143	0.49864	0.04574	0.2126	0.19158
V131	0.03649	0	0.22781	0.67171	0.06399
V132	0.38614	0	0	0.33354	0.28033
V133	0.01106	0.05132	0.55784	0.08377	0.29601
V134	0.07427	0.03229	0.77166	0.00953	0.11226
V135	0.02535	0.10703	0.71593	0.01454	0.13716
V136	0.96095	0	0.00339	0	0.03566
V137	0.92761	0.00256	0.00583	0.01005	0.05395
V138	0.27806	0.12226	0.08216	0.13453	0.38299
V139	0.14188	0	0.1522	0.64298	0.06294
V140	0.03815	0	0.15827	0.05463	0.74895
V141	0.02305	0.22023	0.63188	0.08115	0.04369
V142	0.23261	0	0.33297	0.12298	0.31144
V143	0.02949	0.19157	0.4816	0.13156	0.16579
V144	0.53164	0.19511	0.07125	0.1033	0.09869
V145	0	0.04248	0.89379	0.00231	0.06142
V146	0.0573	0.3413	0.00877	0.30381	0.28882
V147	0.10283	0.06668	0.67737	0.08864	0.06449
V148	0.16395	0.75357	0.01671	0.0238	0.04197
V149	0.03724	0	0	0.83809	0.12467
V150	0.15024	0.18541	0.57175	0	0.0926
V151	0.46707	0	0.00567	0.38625	0.14101
V152	0.03748	0	0.10927	0.72295	0.1303
V153	0.18525	0.17249	0.45887	0.03704	0.14635
V154	0.13322	0.58363	0.02957	0.03124	0.22234
V155	0.05955	0	0.12891	0.73836	0.07318
V156	0.11638	0.01457	0.40976	0.14757	0.31173
V157	0.11597	0.02359	0.17452	0.28075	0.40516
V158	0.21333	0	0.45077	0.04057	0.29533
V159	0.13905	0.20952	0.01443	0.55514	0.08186
V160	0.48994	0.13557	0.09786	0.03644	0.24019
V161	0.24365	0	0.0608	0.04047	0.65507
V162	0	0.04795	0.90489	0	0.04717
V163	0.06989	0	0.00821	0.09369	0.82821
V164	0.93007	0.0279	0.01431	0	0.02772
V165	0.62988	0.18838	0.0859	0.03256	0.06328
V166	0.07375	0	0.23707	0.56249	0.12669
V167	0.05642	0.63395	0.02355	0.1219	0.16418
V168	0	0.04795	0.90489	0	0.04717
V169	0.06937	0.6668	0.15466	0.06686	0.04231
V170	0.26588	0.37078	0.05896	0.17506	0.12931
V171	0.3379	0.06168	0.36651	0.15848	0.07543
V172	0.20286	0.20931	0.07404	0.04006	0.47373
V173	0.24323	0.08201	0.09186	0.3899	0.19301
V174	0.23281	0	0.35593	0.18964	0.22162
V175	0.09681	0.13142	0.12329	0.18732	0.46116
V176	0.39999	0	1e-05	0.5489	0.0511
V177	0.21232	0.02269	0.56942	0.1545	0.04107
V178	0.30565	0.02393	0.46539	0.09811	0.10691
V179	0.11707	0	0.00072	0.06419	0.81803
V180	0.03715	0.00476	0.35889	0.03252	0.56668
V181	0.08447	0.27414	0	0.08314	0.55825
V182	0.5842	0.20648	0.00675	0.13933	0.06324
V183	0.08346	0.86524	0.01147	0.00038	0.03945
V184	0.34673	0	0.29532	0.30025	0.05769
V185	0.12256	0.47551	0.02784	0.13841	0.23569
V186	0.16089	0.16827	0.02969	0.25337	0.38778
V187	0.09633	0.66701	0.00885	0.18596	0.04185
V188	0.86974	0	0.03342	0.06438	0.03246
V189	0.47934	0.21631	0.03838	0.22687	0.0391
V190	0.45215	0.0381	0.22299	0.01315	0.27362
V191	0.24383	0.20589	0.0056	0.3994	0.14528
V192	0.3518	0.16787	0.12973	0.1989	0.15169
V193	0.08003	0.20173	0.51926	0.03321	0.16578
V194	0.29829	0.02319	0.08962	0.11543	0.47346
V195	0.5908	0.14712	0.23358	0	0.0285
V196	0.02223	0	0.05525	0.09566	0.82686
V197	0.08188	0.84048	0.01097	0.02773	0.03894
V198	0.25739	0.20804	0.03876	0.20023	0.29557
V199	0.77527	0	0.20571	0	0.01902
V200	0.7879	0	0.02406	0.00958	0.17845
V201	0.06118	0	0.01665	0.68991	0.23226
V202	0.92701	0.0375	2e-05	0	0.03548
V203	0.55489	0.23057	0.03004	0.0435	0.141
V204	0.37421	0.0506	0.03506	0.02444	0.5157
V205	0.13852	0.00845	0.12213	0.10139	0.62951
V206	0.07204	0.08812	0	0.73961	0.10023
V207	0.04961	0.0116	0	0.84908	0.08971
V208	0.17197	0.20669	0.47587	0.03377	0.1117
V209	0.18488	0	0.0999	0.06604	0.64918
V210	0	0.03511	0.90981	0	0.05508
V211	0.18118	0.00067	0.21081	0.05312	0.55422
V212	0.07512	0.7361	0.07895	0.03426	0.07557
V213	0.12042	0	0.05709	0.27098	0.55151
V214	0.03568	0.53664	0.37091	0.00568	0.0511
V215	0.27663	0.2031	0.14065	0.08015	0.29946
V216	0.07178	0.02239	0.34063	0.05971	0.5055
V217	0.03179	0	0.02078	0.79666	0.15077
V218	0.09384	0.17742	0.28644	0.32113	0.12117
V219	0.14509	0.25731	0.38187	0.17565	0.04008
V220	0.19871	0.70663	0.0614	0	0.03326
V221	0.05474	0.05641	0.50693	0.01948	0.36244
V222	0.03827	0	0.00188	0.0847	0.87516
V223	0.55373	0	0.30902	0.09844	0.03881
V224	0.06215	0.54298	0.02966	0.08617	0.27905
V225	0.71733	0.13428	0.12222	0	0.02618
V226	0.45717	0.50578	0.00507	0	0.03199
V227	0.11885	0.25187	0.00736	0.54029	0.08163
V228	0.62097	0	0.26974	0.05118	0.05811
V229	0.28405	0.37694	0.25734	0.02922	0.05245
V230	0.03582	0	0.00028	0.08516	0.87873
V231	0.08295	0.59409	0.06291	0.15566	0.10439
V232	0.80833	0	0.17214	0	0.01953
V233	0.07939	0.00198	0.1534	0.12301	0.64222
V234	0.0388	0.3675	0.20959	0.32075	0.06335
V235	0.96436	0	0	0.0034	0.03224
V236	0.09361	0.0082	0.63907	0.17463	0.08448
V237	0.1499	0.06222	0.26879	0.30594	0.21315
V238	0.02906	0	0.00178	0.30998	0.65918
V239	0.08837	0.39886	0.05201	0.17315	0.28761
V240	0.07998	0.80988	0.01791	0.01553	0.0767
V241	0.06582	0.88036	0.01204	0.00141	0.04038
V242	0.05307	0.31138	0.29221	0.25189	0.09145
V243	0.508	0	0.32472	0.0138	0.15348
V244	0.04934	0.4001	0.19092	0.08384	0.2758
V245	0.06305	0.85099	0.03367	0.02008	0.03221
V246	0.62253	0.24246	0.03007	0	0.10494
V247	0.20721	0.09095	0.60936	0.03396	0.05852
V248	0.11289	0.59349	0.02986	0.01881	0.24495
V249	0.2852	0.04166	0.21065	0.10261	0.35987
V250	0.02658	0.03368	0.65028	0.03381	0.25565
V251	0.24864	0	0.08947	0.56486	0.09703
V252	0.03458	0.1177	0.54848	0.13953	0.1597
V253	0.30409	0.54339	0.08326	0.03109	0.03818
V254	0.52499	0.36552	0.0031	0.06614	0.04023
V255	0.8385	0.05324	0	0.00756	0.10071
V256	0.05861	0.73874	0.02489	0.01535	0.16242
V257	0.46318	0.276	0.14321	0.02292	0.0947
V258	0.18438	0.30675	0.04967	0.40914	0.05006
V259	0.54375	0.24558	0.17051	0	0.04016
V260	0.29662	0.00254	0.10827	0.09913	0.49343
V261	0.03482	0.01434	0.51224	0.27702	0.16157
