Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V65	0.10041	0.02908	0.12314	0.28475	0.01527	0.00876	0.08943	0.19715	0.10406	0.04793
V66	0	0.1502	0	0	0.52517	0.02917	0.02707	0.00599	0.02741	0.23499
V67	0.03332	0.18865	0.44066	0.07728	0.01129	0.04312	0.09118	0.00074	0.06087	0.0529
V68	0.02381	0.02205	0.03289	0	0.06091	0.02105	0.03968	0.27983	0.50011	0.01968
V69	0.05454	0.02732	0.75918	0.08543	0.00839	0.0055	0.00518	0	0.02824	0.02621
V70	0.6914	0.02384	0.13316	0.00611	0.01272	0.02821	0.03798	0.00607	0.0605	0
V71	0.03571	0	0.00871	0	0.02129	0.03047	0.09151	0.73554	0.03639	0.04038
V72	0.2513	0.04817	0.06732	0.18921	0.13655	0.00295	0.00405	0.00101	0.01495	0.2845
V73	0.01194	0.1919	0	0	0.68589	0.0227	0.00837	0	0.01525	0.06396
V74	0.02828	0	0.02365	0.13294	0	0.03633	0.01529	0.00262	0.00884	0.75206
V75	0.04629	0.09594	0.24663	0.37358	0.03537	0.01364	0.00215	0	0.17373	0.01267
V76	0	0.00928	0.01057	0	0.02395	0.8802	0.076	0	0	0
V77	0.02241	0.00267	0.07856	0.24181	0.02018	0.27711	0.32737	0	0.00606	0.02382
V78	0	0.49052	0.02633	0.01754	0.02428	0.00258	0.3179	0	0.01827	0.10257
V79	0.02615	0.03124	0.10026	0.22685	0.02433	0.29039	0.03347	0	0.21843	0.04889
V80	0.3806	0	0.01513	0.00365	0	0.00267	0.0372	0.00188	0.04042	0.51843
V81	0.00921	0.04669	0.04017	0.11065	0.16236	0.58048	0.0439	0	0.00137	0.00517
V82	0.07424	0.54462	0.06828	0.20505	0.01196	0.0168	0.01529	0.03973	0.02404	0
V83	0.06883	0.07004	0.15301	0.40125	0.0377	0.00935	0.02294	0.21072	0.0239	0.00225
V84	0.02324	0.02106	0.02531	0.01527	0.1203	0.53685	0.24801	0	0	0.00996
V85	0.20879	0	0.38757	0.04104	0	0.00353	0.00875	0	0.01593	0.33439
V86	0.32366	0.0191	0.32729	0.27949	0.00771	0.00978	0.00218	0	0.01495	0.01584
V87	0.01013	0.04929	0.05505	0.0014	0.09177	0.01523	0.01025	0	0.73263	0.03425
V88	0.03769	0.37035	0.13383	0.41359	0.00979	0	0.00987	0	0.02488	0
V89	0.00211	0	0.01783	0.0347	0.03422	0	0.79081	0.07712	0.01068	0.03252
V90	0.02735	0.0529	0.31246	0.03638	0	0.02305	0.01231	0	0.01711	0.51844
V91	0.06318	0.01951	0.74301	0.07751	0.01431	0.00598	0.00608	0	0.03294	0.03748
V92	0	0.00309	0.0136	0.01068	0.03344	0	0.84609	0.0016	0.05374	0.03776
V93	0.01048	0.05501	0.09667	0.00343	0.05164	0.00645	0.27219	0.01042	0.46108	0.03261
V94	0.79007	0.01802	0.08521	2e-05	0.01005	0.02708	0.02889	0.02561	0.00471	0.01034
V95	0.00135	0.00504	0.01015	0	0.0428	0.00141	0.62739	0.26415	0.02329	0.02442
V96	0.06166	0.13528	0.37512	0.33089	0.00795	0.01957	0.00436	0.00159	0.04129	0.02228
V97	0.00031	0	0.00572	0.00914	0.01213	0	0.77957	0.00173	0.01454	0.17687
V98	0.00477	0.32151	0.00941	0.04257	0.15916	0.0227	0.05569	0.06675	0.14472	0.17274
V99	0.58388	0.01645	0.06867	0	0.02838	0.00427	0.07879	0.00653	0.19727	0.01575
V100	0.21966	0.02382	0.08896	0.15274	0.04001	0.31236	0.04147	0	0.09633	0.02466
V101	0	0	0	0	0	0.07194	0.16626	0.02456	0.00179	0.73545
V102	0.04323	0.24167	0.00386	0	0.091	0.31548	0.17934	0.08287	0.01275	0.02981
V103	0.09559	0.02763	0.06005	0	0.05194	0.01469	0.0111	0.00282	0.69231	0.04387
V104	0.0638	0.01686	0.75498	0.0741	0.00304	0.00594	0.00532	0	0.04961	0.02634
V105	0.36341	0.00523	0.12953	0.00184	0.01716	0.15202	0.04548	0.27136	0.01397	0
V106	0.01913	0.67846	0.1864	0.03425	0.00114	0.02222	0.01535	0	0.03026	0.01279
V107	0.2665	0.24989	0.02736	0.00631	0.25762	0.02058	0.01662	0.02186	0.11473	0.01853
V108	0.01374	0	0.02781	0.10255	0	0.39232	0.0386	0.01289	0.00781	0.40428
V109	0	0.03078	0.01429	0	0.03097	0.83978	0.08016	0	0.00402	0
V110	0	0.18836	0	0	0.67616	0.00787	0.0065	0.04456	0.01448	0.06207
V111	0	0.01419	0.00631	0.01595	0.11925	0	0.77999	0	0.00938	0.05492
V112	0.00226	0.00322	0.00174	0.00623	0.00203	0	0.6308	0.00146	0.05103	0.30122
V113	0.02329	0.00935	0.03106	0	0.02618	0.07069	0.03465	0.01716	0.54885	0.23878
V114	0.02549	0.02788	0.06499	0	0.05512	0.01549	0.01196	0.00267	0.74833	0.04808
V115	0	0.87783	0	0.02313	0.00904	0	0.03752	0	0.04652	0.00596
V116	0.46574	0.09414	0.05059	0	0.01516	0.01758	0.0493	0.2977	0.00979	0
V117	0.0125	0	0.01284	0.01124	0.02808	0	0.88606	0.00204	0.01046	0.03678
V118	0.02151	0	0.01262	0	0.02297	0.86046	0.08129	0.00114	0	0
V119	0.04294	0.0362	0.14553	0.4317	0.02748	0.19757	0.03676	0	0.07794	0.00388
V120	0.62009	0.01683	0.23496	0.01626	0.00733	0.08155	0.01311	0	0.0036	0.00627
V121	0.05167	0.10381	0.24006	0.0289	0.02313	0.11538	0.3306	0.00629	0.01599	0.08419
V122	0.01437	0.03364	0.14973	0.00506	0.04839	0.06863	0.15606	0	0.47974	0.04438
V123	0.00889	0.09123	0	0	0.40239	0.01787	0.04149	0.36002	0.04897	0.02913
V124	0.69166	0.0573	0.05191	0	0.00838	0.00647	0.0279	0.15414	0.00224	0
V125	0.00946	0.18824	0.10619	0.01769	0.02809	0.15133	0.07733	0.39123	0.03043	0
V126	0	0.22971	0	0	0.6375	0.00763	0.006	0.03156	0.04014	0.04745
V127	0.0375	0.01699	0.52807	0.04927	0.01071	0.00203	0.21823	0	0.09649	0.04071
V128	0.02199	0.2226	0.35889	0.03512	0.25172	0.05185	0.00808	0	0.02121	0.02856
V129	0.03805	0.10078	0.11122	0.18086	0.1075	0.01787	0.0047	0	0.38742	0.05158
