cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V137	0.63992	0.03328	0.26672	0.06008
V138	0.19664	0.40421	0.19877	0.20038
V139	0.34149	0.19113	0.222	0.24537
V140	0.02692	0.08337	0.06653	0.82318
V141	0.05333	0.13023	0.59211	0.22433
V142	0.76411	0.01865	0.21695	0.00029
V143	0.42387	0.25741	0.07736	0.24135
V144	0.15201	0.13564	0.1918	0.52055
V145	0.00089	0.76329	0.23011	0.00571
V146	0.05502	0.01395	0.04678	0.88425
V147	0.91603	0.02891	0.02014	0.03491
V148	0.11168	0.05824	0.63094	0.19914
V149	0.2435	0.52314	0.22825	0.00511
V150	0.07294	0.21963	0.63603	0.07141
V151	0.18899	0.6537	0.03812	0.11918
V152	0.21651	0.45223	0.23894	0.09232
V153	0.09236	0.77943	0.02178	0.10643
V154	0.22393	0.45992	0.28905	0.0271
V155	0.46327	0.13094	0.31478	0.09101
V156	0.0271	0.11727	0.73879	0.11685
V157	0.28854	0.13876	0.35206	0.22064
V158	0.026	0.00316	0.05443	0.91641
V159	0.88551	0.07135	0	0.04314
V160	0.68767	0.00864	0.07258	0.23111
V161	0.19967	0.00787	0.04253	0.74993
V162	0.05705	0.29403	0.09385	0.55506
V163	0.08428	0.49838	0.18607	0.23127
V164	0.32841	0.30644	0.12069	0.24446
V165	0.00938	0.27039	0.00895	0.71128
V166	0.00858	0.09395	0.08686	0.81062
V167	0.33857	0.00254	0.01423	0.64466
V168	0.26741	0.59477	0.08506	0.05275
V169	0.17621	0.04621	0.04905	0.72853
V170	0.09174	0.01953	0.56804	0.32069
V171	0.11396	0.22345	0.62685	0.03574
V172	0.69154	0.01525	0.2876	0.0056
V173	0.02496	0.13983	0.05357	0.78163
V174	0.01509	0.157	0.09058	0.73734
V175	0.05375	0.0222	0.81126	0.1128
V176	0.00663	0.81649	0.1713	0.00559
V177	0.01001	0.97312	0.00348	0.01339
V178	0.00585	0.7857	0.00912	0.19933
V179	0.14408	0.01114	0.42162	0.42316
V180	0.02598	0.89301	0.08083	0.00019
V181	0.14554	0.11246	0.59121	0.15079
V182	0.28076	0.16737	0.49854	0.05332
V183	0.16493	0.82111	0.00834	0.00561
V184	0.96357	0.02107	0.01505	0.00031
V185	0.54653	0.43426	0.01389	0.00532
V186	0.10475	0.48644	0.28627	0.12254
V187	0.94147	0.02107	0.03141	0.00605
V188	0.0526	0.23427	0.00812	0.70502
V189	0.81671	0.0232	0.01973	0.14036
V190	0.63189	0.02187	0.34071	0.00552
V191	0.1673	0.19092	0.6062	0.03559
V192	0.28593	0.48275	0.05702	0.17431
V193	0.59192	0.03099	0.26018	0.11692
V194	0.03115	0.94004	0.00901	0.0198
V195	0.01176	0.0492	0.93053	0.00851
V196	0.01377	0.08327	0.02594	0.87702
V197	0.40005	0.04212	0.03329	0.52455
V198	0.05444	0.50237	0.39035	0.05283
V199	0.1498	0.02033	0.20188	0.62799
V200	0.11486	0.58544	0.02284	0.27687
V201	0.08363	0.56877	0.20523	0.14237
V202	0.01294	0.02658	0.80201	0.15847
V203	0.14652	0.42586	0.40842	0.0192
V204	0.00627	0.54808	0.01124	0.43441
V205	0.01616	0.06427	0.90531	0.01426
V206	0.0411	0.09597	0.85612	0.00681
V207	0.12007	0.18231	0.06503	0.6326
V208	0.22757	0.06472	0.69533	0.01239
V209	0.28606	0.48384	0.07643	0.15367
V210	0.07308	0.79002	0.0937	0.04319
V211	0.40759	0.01288	0.04295	0.53658
V212	0.48262	0.04094	0.45734	0.0191
V213	0.63262	0.02782	0.12301	0.21654
V214	0.31716	0.14633	0.18837	0.34814
V215	0.27612	0.08832	0.02694	0.60862
V216	0.04457	0.0021	0.04557	0.90777
V217	0.03569	0.49383	0.25258	0.2179
V218	0.0847	0.44969	0.18763	0.27797
V219	0.09333	0.66199	0.01494	0.22973
V220	0.00594	0.84572	0.00856	0.13978
V221	0.80764	0.01114	0.00615	0.17508
V222	0.29813	0.11971	0.40756	0.17459
V223	0.00547	0.12381	0.80102	0.06969
V224	0.95018	0.0199	0.02965	0.00028
V225	0.04857	0.88732	0.05862	0.00548
V226	0.28293	0.07963	0.6253	0.01214
V227	0.76931	0.01201	0.20664	0.01205
V228	0.77771	0.06366	0.07171	0.08693
V229	0.01685	0.04125	0.92004	0.02186
V230	0.01814	0.03631	0.04332	0.90223
V231	0.01296	0.26889	0.12611	0.59205
V232	0.03793	0.6738	0.00362	0.28466
V233	0.55928	0.07927	0.22184	0.13961
V234	0.03076	0.92461	0.03231	0.01232
V235	0.35028	0.05795	0.56465	0.02712
V236	0.03648	0.06274	0.83121	0.06957
V237	0.14893	0.00873	0.0455	0.79683
V238	0.11471	0.56343	0.2778	0.04407
V239	0.05726	0.40766	0.0263	0.50879
V240	0.46518	0.03767	0.45392	0.04323
V241	0.01551	0.02884	0.89497	0.06068
V242	0.11376	0.78071	0.09379	0.01174
V243	0.21585	0.04065	0.67384	0.06966
V244	0.18101	0.01907	0.72262	0.07729
V245	0.59067	0.30263	0.05456	0.05215
V246	0.04682	0.14026	0.7928	0.02012
V247	0.15038	0.0419	0.80669	0.00103
V248	0.02288	0.03525	0.0663	0.87557
V249	7e-04	0.04996	0.88845	0.0609
V250	0.74381	0.01411	0.23652	0.00556
V251	0.93098	0.05608	0.00681	0.00613
V252	0.00978	0.83675	0.15319	0.00028
V253	0.34718	0.05812	0.18612	0.40859
V254	0.00777	0.93468	0.05171	0.00584
V255	0.03901	0.92326	0.00269	0.03504
V256	0.15696	0.19739	0.56393	0.08173
V257	0.40861	0.08712	0.26451	0.23977
V258	0.15936	0.24991	0.46764	0.12309
V259	0.02805	0.27603	0.66043	0.03549
V260	9e-04	0.27686	0.71575	0.0065
V261	0.6068	0.02935	0.21762	0.14623
V262	0.087	0.0556	0.02853	0.82887
V263	0.01637	0.96029	0.00308	0.02026
V264	0.14441	0.02973	0.47401	0.35185
V265	0.02928	0.0045	0.16347	0.80275
V266	0.61802	0.37343	0.00844	0.00011
V267	0.00041	0.15841	0.31393	0.52725
V268	0.36442	0.01886	0.16229	0.45443
V269	0.00533	0.55045	0.40087	0.04334
V270	0.62981	0.02516	0.26711	0.07792
V271	0.8047	0.06376	0.03573	0.09581
V272	0.04555	0.84436	0.01469	0.09539
V273	0.05217	0.0231	0.05375	0.87098
V274	0.68964	0.00697	0.19949	0.1039
V275	0.0016	0.05436	0.93492	0.00912
V276	0.49315	0.34555	0.01261	0.1487
V277	0.02915	0.19167	0.18148	0.59771
V278	0.02927	0.04584	0.32542	0.59946
V279	0.68883	0.05314	0.12176	0.13627
V280	0.026	0.00316	0.05443	0.91641
V281	0.53122	0.02634	0.15743	0.28501
V282	0.04567	0.06444	0.83761	0.05228
V283	0.19133	0.60104	0.0665	0.14114
V284	0.02288	0.91205	0.05941	0.00566
V285	0.06923	0.03966	0.88978	0.00132
V286	0.2253	0.56657	0.11684	0.0913
V287	0.0842	0.88114	0.01522	0.01943
V288	0.01151	0.25454	0.46457	0.26938
V289	0.2603	0.20745	0.45976	0.07249
V290	0.80135	0.18269	0.01585	0.00011
V291	0.46197	0.06695	0.45926	0.01182
V292	0.93185	0.0171	0	0.05105
V293	0.26593	0.02411	0.67483	0.03513
V294	0.07844	0.37293	0.00556	0.54307
V295	0.013	0.16051	0.21457	0.61192
V296	0.15463	0.10784	0.65729	0.08024
V297	0.06852	0.00255	0.09163	0.83729
V298	0.27287	0.09709	0.61794	0.0121
V299	0.05924	0.27394	0.02089	0.64594
V300	0.00083	0.03052	0.26125	0.7074
V301	0.10184	0.09711	0.69276	0.10829
V302	0.6288	0.35842	0.00044	0.01234
V303	0.00046	0.58981	0.38272	0.02701
V304	0.04431	0.02825	0.77555	0.1519
V305	0.10367	0.13913	0.50674	0.25045
V306	0.80953	0.09406	0.05352	0.04288
V307	0.01515	0.95481	0.01732	0.01273
V308	0.20831	0.21384	0.33202	0.24583
V309	0.31314	0.31518	0.03089	0.3408
V310	0.06562	0.30448	0.16818	0.46172
V311	0.49028	0.49731	0.00699	0.00541
V312	0.08375	0.75383	0.14333	0.01909
V313	0.00102	0.11797	0.03327	0.84774
V314	0.01217	0.47601	0.12176	0.39007
V315	0.10382	0.64517	0.03942	0.21159
V316	0.28522	0.12022	0.43045	0.16411
V317	0.07304	0.72099	0.04811	0.15786
V318	0.02897	0.56558	0.017	0.38845
V319	0.04722	0.06177	0.86284	0.02817
V320	0.06256	0.12554	0.69366	0.11824
V321	0.60805	0.38345	0.00841	9e-05
V322	0.17434	0.31751	0.08129	0.42686
V323	0.04694	0.01902	0.10941	0.82463
V324	0.64663	0.26083	0.07361	0.01894
V325	0.28174	0.65614	0.05696	0.00516
V326	0.00049	0.56373	0.0987	0.33708
V327	0.01473	0.13406	0.12105	0.73016
V328	0.03593	0.02842	0.77488	0.16077
V329	0.15168	0.09597	0.19211	0.56023
V330	0.35675	0.01053	0.37097	0.26176
V331	0.32413	0.07676	0.05221	0.5469
V332	0.00752	0.04278	0.20994	0.73976
V333	0.39634	0.0653	0.42899	0.10936
V334	0.32193	0.01095	0.3948	0.27231
V335	0.01897	0.31492	0.54662	0.11948
V336	0.15425	0.72658	0.02127	0.0979
V337	0.25811	0.40278	0.31199	0.02712
