CD19B	CD56NK	CD4MemoryT	CD14
V139	0.27508	0.22819	0.22521	0.27153
V140	0.07999	0.14171	0.13571	0.64259
V141	0.10428	0.1881	0.44107	0.26655
V142	0.59576	0.05136	0.25326	0.09962
V143	0.32007	0.27006	0.14072	0.26914
V144	0.165	0.1896	0.20908	0.43632
V145	0.0488	0.62297	0.221	0.10724
V146	0.09499	0.08538	0.12599	0.69363
V147	0.67281	0.07177	0.11947	0.13595
V148	0.15023	0.12364	0.47312	0.25302
V149	0.22171	0.4474	0.22551	0.10538
V150	0.11932	0.24745	0.46795	0.16528
V151	0.1797	0.52973	0.09682	0.19374
V152	0.19979	0.39783	0.22603	0.17635
V153	0.11415	0.61532	0.08302	0.18751
V154	0.20878	0.40372	0.26026	0.12725
V155	0.35758	0.17726	0.2882	0.17696
V156	0.08852	0.17412	0.53869	0.19867
V157	0.25024	0.1908	0.30133	0.25763
V158	0.07358	0.08077	0.11978	0.72587
V159	0.6505	0.11041	0.09741	0.14168
V160	0.50781	0.06093	0.15458	0.27668
V161	0.19446	0.07605	0.12843	0.60106
V162	0.09599	0.29773	0.14547	0.46081
V163	0.11553	0.43008	0.19292	0.26147
V164	0.26508	0.3041	0.16133	0.2695
V165	0.06246	0.27196	0.08896	0.57662
V166	0.06756	0.14898	0.14649	0.63697
V167	0.2809	0.06348	0.10947	0.54616
V168	0.23063	0.49011	0.13318	0.14608
V169	0.17729	0.11311	0.13231	0.5773
V170	0.13602	0.08266	0.44399	0.33732
V171	0.14802	0.24624	0.46787	0.13787
V172	0.53976	0.05282	0.29934	0.10808
V173	0.07774	0.18368	0.12745	0.61113
V174	0.06962	0.20124	0.14689	0.58224
V175	0.11228	0.06829	0.61748	0.20196
V176	0.05251	0.65834	0.1818	0.10736
V177	0.04965	0.77408	0.06205	0.11422
V178	0.04917	0.6286	0.07112	0.25112
V179	0.17125	0.07385	0.35544	0.39945
V180	0.06348	0.71725	0.11855	0.10072
V181	0.16969	0.16816	0.44339	0.21876
V182	0.25126	0.20546	0.39334	0.14995
V183	0.16388	0.65955	0.07195	0.10461
V184	0.73786	0.04864	0.11286	0.10064
V185	0.4217	0.38382	0.09134	0.10314
V186	0.13105	0.42143	0.25177	0.19575
V187	0.70784	0.05608	0.12873	0.10734
V188	0.09433	0.24895	0.09043	0.56629
V189	0.59464	0.07548	0.11398	0.2159
V190	0.49854	0.0626	0.3307	0.10816
V191	0.18217	0.22247	0.45775	0.13761
V192	0.23986	0.41938	0.11389	0.22686
V193	0.44892	0.08681	0.26755	0.19671
V194	0.06839	0.74334	0.06796	0.12031
V195	0.07702	0.08302	0.72514	0.11482
V196	0.07095	0.12735	0.11071	0.69098
V197	0.31758	0.10652	0.12247	0.45343
V198	0.09798	0.43543	0.31683	0.14975
V199	0.16748	0.09015	0.22355	0.51882
V200	0.13239	0.4856	0.08802	0.29399
V201	0.11532	0.47448	0.20146	0.20874
V202	0.07885	0.07817	0.60779	0.23519
V203	0.16353	0.38218	0.33349	0.12081
V204	0.05184	0.46744	0.08149	0.39923
V205	0.08227	0.10383	0.69156	0.12234
V206	0.10177	0.13438	0.65224	0.11161
V207	0.14194	0.2191	0.13281	0.50615
V208	0.22962	0.11257	0.54029	0.11751
V209	0.23922	0.41684	0.13044	0.21351
V210	0.10269	0.6219	0.13438	0.14103
V211	0.32688	0.07548	0.12922	0.46842
V212	0.39372	0.08927	0.39475	0.12226
V213	0.46688	0.08457	0.18409	0.26446
