Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V64	0.07223	0.00147	0.29629	0.24881	0.01816	0.01941	0.03272	0.21471	0.01801	0.07819
V65	0.0677	0.02043	0.11164	0.32951	0.02526	0.01032	0.0988	0.2026	0.09507	0.03867
V66	0	0.14036	0.00295	0.00883	0.51307	0.01852	0.04781	0.00976	0.02326	0.23544
V67	0.01188	0.1812	0.43308	0.0864	0.03396	0.04028	0.10321	0.00639	0.05233	0.05128
V68	0.01879	0.0157	0.04647	0.00753	0.05284	0.01525	0.04517	0.29342	0.49304	0.0118
V69	0.02798	0.01973	0.75784	0.09076	0.04101	0.00581	0.0182	0	0.02201	0.01666
V70	0.69143	0.01195	0.12595	0.01214	0.01633	0.02455	0.05494	0.0039	0.05881	0
V71	0.03524	0	0.02449	0.01199	0.02803	0.03392	0.07486	0.72501	0.03399	0.03246
V72	0.2235	0.03223	0.0677	0.22345	0.12442	0.0015	0.02457	0.00415	0.01493	0.28355
V73	0.0183	0.1856	0.0097	0.0142	0.68483	0.01142	0.03173	0	0.00425	0.03997
V74	0.00911	0	0.0358	0.15806	0	0.02792	0.02662	0.00186	0.01534	0.72529
V75	0.00567	0.08237	0.22707	0.43027	0.0491	0.0136	0.0198	0.00661	0.16099	0.00452
V76	0	0.00633	0.03248	0.0137	0.03049	0.8714	0.03567	0.00763	0.0023	0
V77	0	0	0.077	0.28167	0.03313	0.24654	0.33431	0.00231	0.01138	0.01366
V78	0	0.4662	0.03291	0.01427	0.03987	0.00253	0.33185	0	0.01069	0.10167
V79	0	0.0221	0.09945	0.28596	0.02834	0.26636	0.03272	0.00113	0.21524	0.0487
V80	0.35763	0	0.02543	0.01677	0	0	0.05159	0	0.04362	0.50497
V81	0	0.04133	0.0498	0.15619	0.16634	0.55324	0.02552	0.00338	0.00132	0.00286
V82	0.0564	0.51788	0.06609	0.23492	0.03192	0.0179	0.01547	0.05102	0.00781	0.00058
V83	0.02864	0.05774	0.13574	0.44995	0.04946	0.01297	0.03209	0.21605	0.01736	0
V84	0.01965	0.01718	0.03731	0.03604	0.12546	0.5078	0.247	0.00141	0.00352	0.00463
V85	0.19389	0	0.36943	0.04878	0	0.00228	0.02296	0	0.01515	0.3475
V86	0.28975	0.00905	0.30056	0.31929	0.02593	0.01156	0.02139	0.00055	0.012	0.00992
V87	0.00197	0.03963	0.06348	0.02245	0.07856	0.00447	0.02848	0	0.73437	0.02658
V88	0.00073	0.33921	0.12299	0.46445	0.03163	0.00427	0.02199	0.00183	0.01289	0
V89	0.00176	0	0.02469	0.03361	0.04905	0	0.79494	0.0673	0.02145	0.00721
V90	0.01048	0.04243	0.30238	0.04632	0	0.01912	0.02218	0	0.01646	0.54064
V91	0.03819	0.01144	0.74235	0.08186	0.0452	0.00592	0.01907	0	0.02691	0.02905
V92	0.00149	0.00268	0.02188	0.00621	0.04677	0	0.84852	0	0.06087	0.01159
V93	0.00328	0.04613	0.09916	0.01367	0.05074	0	0.30476	0.007	0.45516	0.02011
