B_cells	NK_cells	T_cells_CD4.	Monocytes
V145	0.01032	0.70079	0.28889	0
V146	0.15016	0	0.09143	0.7584
V147	0.86993	0.00886	0.06202	0.0592
V148	0.16431	0.07332	0.59649	0.16589
V149	0.2877	0.45704	0.25527	0
V150	0.11799	0.23567	0.59692	0.04941
V151	0.2534	0.58336	0.06849	0.09476
V152	0.26678	0.40713	0.25984	0.06624
V153	0.15591	0.70295	0.05785	0.08328
V154	0.27403	0.41486	0.31111	0
V155	0.48792	0.12668	0.31127	0.07413
V156	0.05906	0.14863	0.69825	0.09407
V157	0.33809	0.14189	0.34205	0.17797
V158	0.10498	0	0.1138	0.78122
V159	0.88069	0.05501	0	0.0643
V160	0.70871	0	0.09073	0.20056
V161	0.28659	0	0.0656	0.64781
V162	0.11651	0.29462	0.11896	0.46991
V163	0.1364	0.46625	0.21173	0.18562
V164	0.38317	0.28825	0.12923	0.19935
V165	0.06357	0.26994	0	0.66649
V166	0.05606	0.0979	0.1273	0.71874
V167	0.41539	0	0.03019	0.55442
V168	0.32452	0.52074	0.12278	0.03196
V169	0.26683	0.035	0.0735	0.62467
V170	0.14722	0.0164	0.55875	0.27763
V171	0.16239	0.23424	0.59173	0.01164
V172	0.70241	0	0.29063	0.00696
V173	0.08918	0.1439	0.07901	0.68791
V174	0.06376	0.16254	0.12412	0.64958
V175	0.09902	0.01784	0.78824	0.0949
V176	0.04118	0.72806	0.23076	0
V177	0.06544	0.90394	0.01143	0.01919
V178	0.0474	0.72995	0.05442	0.16823
V179	0.21073	0	0.42406	0.36521
V180	0.06554	0.78925	0.14521	0
V181	0.19635	0.1297	0.55273	0.12122
V182	0.32398	0.1713	0.47246	0.03227
V183	0.22159	0.72637	0.05204	0
V184	0.91231	0	0.08769	0
V185	0.58937	0.35893	0.05169	0
V186	0.15477	0.44775	0.30581	0.09167
V187	0.88384	0	0.09291	0.02325
V188	0.12146	0.23464	0	0.64391
V189	0.81617	0	0.05042	0.1334
V190	0.64957	0.00156	0.34097	0.00789
V191	0.21597	0.20207	0.57034	0.01161
V192	0.34596	0.43442	0.07698	0.14264
V193	0.61382	0.01209	0.26812	0.10598
V194	0.08779	0.84644	0.04843	0.01735
V195	0.05578	0.05883	0.8679	0.01748
V196	0.07794	0.08854	0.04098	0.79254
V197	0.48095	0.01966	0.05012	0.44928
V198	0.10024	0.46872	0.4065	0.02454
V199	0.23124	0	0.23168	0.53707
V200	0.17865	0.54148	0.04526	0.23462
V201	0.13473	0.5189	0.23559	0.11078
V202	0.04811	0.03768	0.78026	0.13396
V203	0.19368	0.391	0.41532	0
V204	0.05094	0.52262	0.04161	0.38483
V205	0.05524	0.08398	0.8444	0.01639
V206	0.07888	0.11302	0.8081	0
V207	0.19989	0.18797	0.07682	0.53532
