Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V120	0.00248	0.00531	0.84393	0.09342	0.05486
V121	0.1958	0.71172	0.01408	0.00895	0.06944
V122	0.03917	0.37795	0.08924	0.21226	0.28138
V123	0.49714	0.01458	0.08169	0.1768	0.2298
V124	0.2048	0.08852	0.06242	0.20979	0.43447
V125	0.04771	0.44565	0.49534	0	0.0113
V126	0.15066	0.16317	0.22138	0.10835	0.35644
V127	0.28059	0	0.67362	0.03057	0.01521
V128	0.20784	0.74999	0.02299	0	0.01918
V129	0.26534	0.01241	0.27962	0.16039	0.28224
V130	0.04008	0.49765	0.04841	0.20235	0.21151
V131	0.0096	0	0.24763	0.67134	0.07143
V132	0.34798	0	0	0.31983	0.33219
V133	0	0.04049	0.55376	0.08273	0.32301
V134	0.06662	0.02002	0.7981	0.01302	0.10224
V135	0.01908	0.09543	0.73538	0.01769	0.13241
V136	0.96677	0	0.01161	0	0.02163
V137	0.91326	0.01495	0.01121	0.01425	0.04633
V138	0.23996	0.11909	0.08017	0.12971	0.43107
V139	0.11665	0	0.16672	0.64257	0.07406
V140	0.01472	0	0.13824	0.05848	0.78857
V141	0.01822	0.21763	0.66398	0.07969	0.02047
V142	0.20004	0	0.32953	0.11986	0.35057
V143	0.01809	0.18503	0.49319	0.12829	0.1754
V144	0.50982	0.20619	0.07704	0.10356	0.10338
V145	0	0.02811	0.93847	0.00321	0.03021
V146	0.03832	0.33774	0.00972	0.28572	0.32851
V147	0.09371	0.05869	0.71081	0.088	0.0488
V148	0.16203	0.76741	0.02329	0.02585	0.02141
V149	0.0064	0.00206	0	0.8359	0.15564
V150	0.14372	0.18038	0.59364	0	0.08225
V151	0.43968	0	0.01037	0.3808	0.16916
V152	0.00795	0	0.11859	0.71298	0.16048
V153	0.1711	0.16768	0.47046	0.03982	0.15094
V154	0.12229	0.57278	0.03191	0.03442	0.2386
V155	0.03163	0	0.14196	0.73832	0.08809
V156	0.09285	0.00895	0.40675	0.14249	0.34896
V157	0.08565	0.02199	0.1693	0.26255	0.46051
V158	0.18517	0	0.44543	0.0444	0.32501
V159	0.11643	0.22517	0.01778	0.54723	0.09338
V160	0.45123	0.1383	0.10015	0.04176	0.26856
V161	0.19343	0	0.05381	0.04775	0.70501
V162	0	0.03444	0.95593	0	0.00963
V163	0.03918	0	0.00348	0.09096	0.86637
V164	0.92698	0.04059	0.02094	0	0.0115
V165	0.61347	0.19947	0.09321	0.03614	0.05771
V166	0.04698	0	0.25142	0.55203	0.14957
V167	0.0501	0.63185	0.02685	0.11725	0.17395
V168	0	0.03444	0.95593	0	0.00963
V169	0.06849	0.67819	0.16387	0.06596	0.02349
V170	0.2479	0.37865	0.06331	0.17022	0.13992
V171	0.32073	0.06248	0.38681	0.15741	0.07257
V172	0.16946	0.19587	0.06985	0.0453	0.51952
V173	0.21343	0.08674	0.0959	0.37713	0.2268
V174	0.20457	0	0.36165	0.18364	0.25013
V175	0.07043	0.12288	0.11721	0.17539	0.51408
V176	0.38435	0	0.00508	0.55137	0.0592
V177	0.20004	0.01735	0.60414	0.15307	0.0254
V178	0.28755	0.02041	0.48592	0.09828	0.10785
V179	0.07944	0	0	0.0665	0.85407
V180	0.01817	0	0.33211	0.03946	0.61026
V181	0.06137	0.25223	0	0.08246	0.60393
V182	0.56715	0.22258	0.01127	0.13789	0.06112
V183	0.08635	0.87929	0.01813	0.00304	0.0132
V184	0.32822	0	0.31662	0.29817	0.05699
V185	0.10758	0.46893	0.02967	0.13289	0.26092
V186	0.12984	0.16379	0.02893	0.2372	0.44024
V187	0.09138	0.68707	0.01391	0.17955	0.02808
V188	0.86137	0.00776	0.04096	0.06713	0.02278
