Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V128	0.07982	0.41654	0.23553	0	0	0.26811
V129	0	0.08319	0.83578	0	0.0019	0.07913
V130	0.34946	0.3284	0.03259	0	0	0.28954
V131	0	0.07012	0.07834	0	0.41036	0.44118
V132	0	0.49674	0.32205	0	0.03538	0.14583
V133	0	0.24892	0.61863	0	0	0.13245
V134	0.06197	0.64032	0	0	0	0.29772
V135	0	0.07083	0.51438	0	0	0.41479
V136	0.03712	0.70155	0	0	0	0.26133
V137	0	0.22577	0.64854	0	0.07322	0.05247
V138	0	0.06789	0	0	0	0.93211
V139	0	0.08193	0.04515	0	0.19057	0.68234
V140	0.25424	0.44415	0	0	0	0.3016
V141	0.0329	0.40326	0.29319	0	0.00362	0.26703
V142	0	0.67144	0	0	0	0.32856
V143	0	0.14045	0.59879	0	0.06999	0.19077
V144	0	0.12241	0	0	0	0.87759
V145	0	0.15805	0.27487	0.47086	0.01851	0.07771
V146	0	0.10348	0.14382	0	0.43818	0.31452
V147	0	0.16428	0	0	0	0.83572
V148	0	0.2196	0.65096	0	0	0.12944
V149	0	0.27156	0	0	0	0.72844
V150	0	0.1537	0.23452	0.55032	0.06147	0
V151	0	0.22944	0	0	0	0.77056
V152	0	0.25834	0.42399	0	0.00091	0.31676
V153	0	0.12663	0.77207	0	0.07028	0.03102
V154	0	0.20636	0	0	0	0.79364
V155	0	0.36232	0.08308	0	0.23707	0.31753
V156	0	0.47591	0	0	0.41411	0.10997
V157	0	0.09545	0	0	0	0.90455
V158	0	0.11834	0.78623	0	0	0.09543
V159	0	0.2851	0.34581	0	0.04121	0.32788
V160	0	0.05168	0.62448	0	0	0.32384
V161	0	0.58461	0.0886	0.00032	0.19205	0.13442
V162	0	0.56113	0.01346	0	0.21457	0.21083
V163	0	0.05986	0.85808	0	0	0.08206
V164	0	0.39169	0.33325	0	0.09336	0.1817
V165	0	0.08495	0.13926	0	0.426	0.3498
V166	0	0.06695	0	0	0.23603	0.69702
V167	0	0.11361	0.68084	0	0.16902	0.03653
V168	0.41906	0.35433	0	0	0	0.22661
V169	0	0.09187	0.77189	0	0.02554	0.11069
V170	0.10992	0.27636	0.31762	0	0	0.29611
V171	0	0.25958	0	0	0	0.74042
V172	0	0.12924	0.43699	0	6e-05	0.43371
V173	0	0.06232	0.51664	0	0	0.42105
V174	0.35001	0.38878	0.05896	0	0	0.20226
V175	0.02108	0.69335	0.03904	0	0.04898	0.19755
V176	0	0.0564	0.91385	0	0	0.02975
V177	0	0.12478	0.21037	0	0.05458	0.61027
V178	0	0.11405	0.13668	0	0.66114	0.08813
V179	0	0.0858	0.17327	0	0.16995	0.57097
V180	0	0.13928	0.32348	0	0	0.53725
V181	0.12927	0.25506	0.06928	0	0	0.54639
V182	0	0.13961	0.68022	0	0	0.18016
V183	0	0.16368	0.27807	0.55824	0	0
V184	0.24141	0.53798	0.01527	0	0	0.20534
V185	0	0.44198	0	0	0	0.55802
V186	0	0.09399	0.88959	0	0.01642	0
V187	0.20315	0.60136	0	0	0.03094	0.16455
V188	0	0.4665	0	0	0	0.5335
V189	0	0.11121	0.16496	0	0.28733	0.4365
V190	0	0.18049	0	0	0.32124	0.49827
V191	0	0.33948	0	0	0	0.66052
V192	0.30685	0.44584	0	0	0	0.24732
V193	0	0.08322	0	0	0	0.91678
V194	0	0.10325	0.16747	0	0.65577	0.07352
V195	0	0.07624	0.8992	0	0	0.02456
V196	0	0.16403	0.26028	0.45258	0.12311	0
V197	0	0.14289	0.27493	0	0.42182	0.16036
V198	0	0.45219	0.05296	0	0.27442	0.22043
V199	0	0.28253	0.22943	0	0.36028	0.12776
V200	0	0.08942	0.50332	0	0	0.40726
V201	0	0.16067	0.25888	0.4612	0.00204	0.11722
V202	0	0.09924	0.26981	0	0.03413	0.59682
V203	0.39718	0.2962	0.04916	0	0	0.25746
V204	0	0.07592	0	0	0	0.92408
V205	0	0.07995	0.87904	0	0	0.04101
V206	0	0.19089	0.3827	0.3337	0.09271	0
V207	0.09071	0.3223	0.11919	0	0	0.46781
V208	0	0.27365	0.42205	0	0.03868	0.26562
V209	0	0.43201	0	0	0	0.56799
V210	0	0.11244	0.79155	0	0.00023	0.09578
V211	0	0.22034	0.20681	0	0.01675	0.5561
V212	0	0.33718	0.31343	0	0.13675	0.21264
V213	0	0.14748	0.40748	0	0.39011	0.05494
V214	0.34907	0.36598	0	0	0	0.28495
V215	0	0.50095	0	0	0	0.49905
V216	0	0.56422	0.23816	0	0.00694	0.19068
V217	0	0.07333	0	0	0	0.92667
V218	0	0.44378	0.19295	0.20363	0.05214	0.10751
V219	0.12788	0.28181	0	0	0	0.5903
V220	0	0.186	0.27079	0.44118	0	0.10202
V221	0.03308	0.73435	0	0	0	0.23258
V222	0	0.31334	0.06379	0	0.34338	0.27949
V223	0	0.19148	0	0	0	0.80852
V224	0	0.07163	0.55291	0	0.37546	0
V225	0	0.06092	0	0	0	0.93908
V226	0	0.18914	0.30451	0	0.14866	0.35769
V227	0.21353	0.22554	0.01395	0	0	0.54697
V228	0	0.27091	0.35276	0	0.03615	0.34017
V229	0	0.1355	0.3687	0	0.25	0.2458
V230	0	0.20114	0.56037	0	0	0.23848
V231	0	0.19238	0.24403	0.51356	0.05003	0
V232	0	0.10116	0	0	0	0.89884
V233	0.27028	0.33919	0	0	0	0.39053
V234	0	0.23204	0.20914	0	0.26901	0.2898
V235	0	0.17417	0.24261	0.44551	0.05285	0.08486
V236	0	0.06709	0.13537	0	0.25647	0.54108
V237	0	0.07155	0.90136	0	0	0.02709
V238	0.04419	0.19022	0	0	0	0.76559
V239	0.02587	0.2371	0.30734	0	0.00041	0.42928
V240	0	0.29219	0.224	0	0.41317	0.07063
V241	0.3608	0.35943	0.00016	0	0	0.27962
V242	0	0.10071	0	0	0	0.89929
V243	0	0.41949	0.31706	0	0.0948	0.16865
V244	0	0.08888	0	0	0.24097	0.67015
V245	0	0.24011	0	0	0	0.75989
V246	0	0.13843	0.37594	0	0.41285	0.07278
V247	0	0.11326	0	0	0	0.88674
V248	0	0.16121	0.24031	0	0.26525	0.33323
V249	0	0.20555	0.26481	0	0	0.52964
V250	0	0.19121	0.26172	0.54707	0	0
V251	0	0.59156	0.14741	0	0.03169	0.22933
V252	0	0.16761	0.25207	0.42467	0.1162	0.03945
V253	0	0.08554	0	0	0	0.91446
V254	0	0.29315	0.0391	0	0.37427	0.29347
V255	0.01974	0.371	0.07946	0	0	0.5298
V256	0	0.77265	0	0	0	0.22735
V257	0	0.40194	0	0	0.24222	0.35584
V258	0	0.33825	0.29974	0.07615	0.08512	0.20074
V259	0	0.5635	0.21774	0	0.00554	0.21322
V260	0	0.11178	0.0873	0	0.3761	0.42481
V261	0	0.19701	0.15969	0	0.0815	0.56179
V262	0	0.10167	0.86064	0	0	0.03768
V263	0	0.13652	0.73071	0	0	0.13277
V264	0.15663	0.28103	0.00061	0	0	0.56174
V265	0	0.08876	0.17351	0	0.72546	0.01228
V266	0	0.06994	0	0	0	0.93006
V267	0.03888	0.71976	0	0	0	0.24136
V268	0.20202	0.30619	0	0	0	0.49179
V269	0	0.19754	0.42139	0.2942	0.05073	0.03614
V270	0.19771	0.59375	0	0	0.01966	0.18888
V271	0	0.09496	0	0	0	0.90504
V272	0	0.07767	0.01266	0	0.61449	0.29519
V273	0	0.09012	0.21397	0	0.46599	0.22993
V274	0	0.05188	0	0	0	0.94812
V275	0.15277	0.39292	0	0	0	0.45431
V276	0	0.17139	0	0	0	0.82861
V277	0	0.12472	0	0	0	0.87528
V278	0	0.20574	0.17379	0	0.34795	0.27252
V279	0	0.07543	0	0	0	0.92457
V280	0	0.17571	0.2545	0.4157	0.01082	0.14326
V281	0	0.80544	0	0	0	0.19456
V282	0	0.11968	0.14892	0	0.68023	0.05118
V283	0	0.44867	0.00489	0	0.39206	0.15438
V284	0	0.15051	0.29339	0	0.08252	0.47358
V285	0	0.19144	0.27007	0.53848	0	0
V286	0.44033	0.3699	0	0	0	0.18977
V287	0	0.09044	0.20054	0	0.49889	0.21013
V288	0	0.16997	0	0	0	0.83003
V289	0	0.14774	0.71852	0	0.03447	0.09926
V290	0	0.12868	0.5145	0.15615	0.10848	0.09218
V291	0	0.19169	0.23938	0.499	0.00728	0.06266
V292	0	0.23998	0.25591	0.20878	0.15686	0.13847
V293	0	0.11969	0.14807	0	0.68957	0.04268
V294	0	0.21147	0.12098	0	0.16316	0.50439
V295	0	0.05854	0	0	0	0.94146
V296	0	0.38859	0.09357	0	0.08771	0.43013
V297	0	0.06813	0	0	0	0.93187
V298	0.06733	0.7915	0	0	0	0.14117
V299	0	0.17599	0.68465	0	0	0.13936
V300	0.10857	0.33491	0	0	0	0.55652
V301	0.22872	0.59163	0	0	0	0.17965
V302	0	0.36302	0.22896	0.07686	0.12157	0.2096
V303	0	0.68684	0	0	0.08689	0.22628
V304	0	0.08559	0.18625	0	0.72046	0.0077
V305	0	0.07798	0.17291	0	0.11694	0.63217
V306	0	0.10366	0	0	0	0.89634
V307	0	0.11811	0.15749	0	0.37054	0.35386
V308	0	0.16424	0.27375	0.56201	0	0
V309	0	0.60363	0.0859	0.00705	0.06672	0.2367
V310	0	0.32193	0.00973	0	0.01736	0.65098
V311	0	0.08173	0	0	0	0.91827
V312	0	0.13399	0.26015	0	0.41866	0.1872
V313	0	0.07194	0	0	0	0.92806
V314	0	0.21179	0.25329	0.37551	0	0.1594
V315	0.02107	0.70263	0	0	0	0.2763
V316	0	0.06947	0	0	0	0.93053
V317	0	0.09831	0.16532	0	0.13859	0.59777
V318	0	0.1635	0.25102	0.47171	0.03312	0.08065
V319	0	0.32248	0.31437	0	0	0.36316
V320	0	0.25733	0.28006	0	0	0.46261
V321	0.15846	0.73441	0	0	0.00035	0.10678
V322	0	0.07331	0.14329	0	0.32408	0.45932
V323	0	0.35885	0.11889	0	0.37904	0.14322
V324	0	0.09961	0.04235	0	0.26975	0.58828
V325	0	0.80709	0	0	0	0.19291
V326	0	0.70193	0	0	0	0.29807
V327	0	0.08821	0.82705	0	0	0.08473
V328	0	0.28043	0.23132	0	0.25504	0.23321
V329	0	0.06946	0.69051	0	0.15126	0.08877
V330	0	0.05885	0.86561	0	0	0.07554
V331	0.19772	0.32796	0	0	0	0.47432
V332	0	0.09073	0	0	0.18144	0.72783
V333	0	0.10978	0.5139	0	0.18022	0.1961
V334	0	0.44597	0.3901	0	0	0.16393
V335	0	0.09643	0.4883	0	0	0.41528
V336	0.05808	0.62466	0	0	0	0.31726
V337	0	0.25193	0.24321	0	0.44036	0.06451
V338	0.32995	0.32201	0.03544	0	0	0.31259
V339	0	0.15325	0.36851	0	0.03076	0.44748
V340	0.17422	0.44535	0	0	0	0.38044
V341	0	0.22691	0.30893	0.1977	0.03248	0.23398
V342	0	0.09817	0.16375	0	0.13823	0.59986
V343	0	0.09885	0	0	0	0.90115
V344	0	0.53509	0	0	0.0329	0.43201
V345	0	0.06955	0.10442	0	0.82603	0
V346	0	0.15435	0.16368	0	0.43135	0.25062
V347	0.01813	0.29254	0.24317	0	0.11405	0.3321
V348	0	0.20152	0.6163	0	0	0.18218
V349	0.39631	0.39955	0	0	0	0.20414
V350	0	0.2213	0.15869	0	0	0.62001
V351	0	0.08412	0	0	0	0.91588
V352	0	0.27347	0	0	0.0669	0.65963
V353	0	0.2265	0.68746	0	0	0.08604
V354	0	0.10539	0.08256	0	0.12674	0.68531
V355	0	0.09052	0.90828	0	0	0.0012
V356	0.17335	0.29997	0.11015	0	0	0.41653
V357	0	0.15991	0.52254	0	0.05953	0.25802
V358	0	0.05092	0	0	0	0.94908
V359	0	0.23797	0.3096	0.18201	0.02867	0.24174
V360	0	0.22062	0.25215	0	0.09278	0.43445
V361	0	0.83671	0	0	0	0.16329
V362	0	0.6286	0.12317	0.0293	0.06777	0.15116
V363	0.26314	0.34478	0	0	0	0.39209
V364	0	0.1212	0	0	0	0.8788
V365	0.19261	0.52067	0	0	0	0.28671
V366	0	0.29643	0.44386	0	0.01963	0.24008
V367	0	0.11511	0.2001	0.03179	0.47815	0.17485
V368	0	0.09962	0	0	0	0.90038
V369	0	0.09554	0.01511	0	0.58769	0.30166
V370	0	0.13062	0.53667	0	0	0.33271
V371	0	0.2723	0.05406	0	0.05663	0.61701
V372	0	0.63307	0	0	0.02469	0.34225
V373	0.04376	0.25999	0	0	0	0.69625
V374	0	0.17996	0.60631	0.08547	0.01188	0.11638
V375	0	0.21237	0.32805	0	0.13455	0.32503
V376	0	0.06658	0	0	0	0.93342
V377	0	0.0996	0.52913	0	0.26877	0.1025
V378	0	0.07553	0	0	0	0.92447
V379	0	0.08404	0	0	0	0.91596
V380	0	0.11405	0.1488	0	0.69283	0.04431
V381	0	0.20333	0.56664	0	0	0.23003
V382	0	0.12066	0.26109	0	0.60449	0.01376
V383	0	0.1739	0.56263	0	0.03141	0.23206
V384	0	0.09583	0.84242	0	0	0.06175
V385	0	0.05495	0	0	0	0.94505
V386	0.06613	0.25906	0.29072	0	0	0.38409
V387	0	0.20967	0.34625	0.30321	0	0.14087
V388	0.39648	0.37355	0	0	0	0.22997
V389	0	0.09786	0	0	0	0.90214
V390	0	0.14508	0.20731	0.02523	0.12928	0.49311
V391	0	0.12873	0.21408	0	0.4009	0.25629
V392	0	0.07126	0.18836	0	0	0.74038
V393	0	0.15642	0.26487	0	0	0.57871
V394	0	0.16995	0.25599	0.44467	0.12938	0
V395	0	0.11713	0.88159	0	0	0.00128
V396	0.29086	0.30673	0.15544	0	0	0.24697
V397	0	0.10166	0	0	0	0.89834
V398	0	0.66196	0	0	0.10902	0.22902
V399	0	0.0619	0.78911	0	0	0.14899
V400	0	0.06956	0	0	0	0.93044
V401	0	0.11256	0.52053	0	0.03246	0.33444
V402	0	0.17648	0.25908	0.44402	0.00242	0.118
V403	0	0.04529	0	0	0	0.95471
V404	0	0.06863	0.93137	0	0	0
V405	0.10323	0.47969	0.14859	0	0.03537	0.23312
V406	0	0.09043	0	0	0	0.90957
V407	0	0.06605	0.39729	0	0	0.53666
V408	0	0.20369	0.21548	0.04733	0.09262	0.44087
V409	0.23677	0.33325	0	0	0	0.42998
V410	0.31034	0.34736	0	0	0	0.3423
V411	0	0.05755	0	0	0	0.94245
V412	0.33984	0.4437	0.01779	0	0	0.19867
V413	0	0.26261	0.25396	0.36124	0.07437	0.04783
V414	0	0.22005	0.24213	0.17694	0.22056	0.14032
V415	0	0.09219	0.30197	0	0.15288	0.45297
V416	0	0.19224	0.04126	0	0.31515	0.45135
V417	0	0.06355	0	0	0	0.93645
V418	0	0.13287	0.4747	0	0.19483	0.1976
V419	0	0.05682	0	0	0	0.94318
V420	0	0.05065	0	0	0	0.94935
V421	0	0.12779	0.26693	0	0.46767	0.13761
V422	0	0.39375	0.10599	0	0.30502	0.19525
V423	0	0.3257	0.20199	0.36367	0.02363	0.085
V424	0.25683	0.38038	0	0	0	0.36278
V425	0	0.16614	0.12629	0	0.6535	0.05407
V426	0	0.05838	0	0	0	0.94162
V427	0.08178	0.28978	0.18842	0	0	0.44002
V428	0	0.23467	0.23864	0.3623	0	0.16438
V429	0	0.13269	0.2883	0.03619	0.4392	0.10361
V430	0	0.13515	0.50648	0	0	0.35837
V431	0	0.0667	0.9333	0	0	0
V432	0	0.51008	0.11872	0.0671	0.12139	0.18272
V433	0	0.15457	0.28424	0.52765	0.03354	0
V434	0	0.39174	0.33202	0.05608	0.09683	0.12332
V435	0	0.06089	0.0526	0	0.36894	0.51757
V436	0.28206	0.40057	0	0	0	0.31736
V437	0	0.34605	0.26767	0	0.00043	0.38586
V438	0	0.41964	0.03758	0	0.3708	0.17198
V439	0	0.08617	0.22363	0	0.68642	0.00378
V440	0	0.12982	0.41127	0	0.01417	0.44474
V441	0	0.10148	0.28367	0	0	0.61485
V442	0	0.24166	0.18944	0	0	0.5689
V443	0	0.14741	0.29557	0.30341	0.11248	0.14112
V444	0.22776	0.31959	0	0	0	0.45265
V445	0.30876	0.3479	0	0	0	0.34334
V446	0	0.5484	0.16157	0	0.05625	0.23379
V447	0	0.16984	0	0	0	0.83016
V448	0	0.0903	0.90699	0	0	0.00271
V449	0.22381	0.25691	0.05865	0	0	0.46063
V450	0	0.10904	0.80034	0	0.01198	0.07863
