Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V72	0.20736	0	0.08715	0.27569	0.26448	0	0.00405	0.00993	0	0.15133
V73	0.02021	0	0.06395	0	0.88979	0.01364	0.00366	0.00874	0	0
V74	0	0	0.10502	0.21288	0.12914	0.03404	0.00539	0.00816	0	0.50536
V75	0.01063	0.05917	0.20898	0.45717	0.0253	0.00814	0.01889	0.00965	0.20207	0
V76	0	0	0.01573	0.00182	0	0.87231	0.07859	0	0.03156	0
V77	0	0.01263	0.04273	0.33036	0	0.34504	0.25351	0.00303	0.0127	0
V78	0.00458	0.39844	0.06277	0	0.17111	0.07465	0.23554	0.00654	0	0.04639
V79	0.00241	0.01705	0.07046	0.30662	0.00232	0.26282	0.0411	0	0.28646	0.01077
V80	0.43387	0	0.02862	0	0.09828	0.00268	0.01929	0	0.03975	0.37752
V81	0	0	0.044	0.15611	0.17551	0.56838	0.05174	0	0.00426	0
V82	0.05038	0.38696	0.06648	0.25558	0.13909	0.00618	0.00474	0.09058	0	0
V83	0.02251	0.0405	0.0954	0.47572	0.02005	0	0.00584	0.33997	0	0
V84	0.01228	6e-04	0.04486	0.01953	0.11262	0.60039	0.19735	0	0.01236	0
V85	0.21597	0	0.54326	0	0.03815	0	0	0	0	0.20262
V86	0.27608	0.00084	0.35918	0.34471	0	0.00792	0.01041	0.00086	0	0
V87	0.02777	0.01386	0.0341	0.02382	0.0525	0.00249	0.01085	0	0.83462	0
V88	0	0.26457	0.08972	0.54112	0.07903	0.00015	0.02305	0.00236	0	0
V89	0.00073	0.03474	0.02429	0.02257	0	0.16991	0.57935	0.15383	0.01457	0
V90	0.02143	0.04283	0.49786	0	0.10471	0.0131	0	0	0	0.32007
V91	0.07507	0	0.90045	0	0.00112	0	0	0.00389	0.01947	0
V92	0	0.04667	0.01024	0	0	0.20068	0.63726	0.01443	0.09073	0
V93	0.02374	0.04044	0.0958	0	0.01087	0.04923	0.17243	0.0225	0.58498	0
V94	0.89469	0	0	0	0	0.03519	0.0082	0.0578	0	0.00412
V95	0.0106	0.03013	0.01549	0	0	0.10447	0.38154	0.4517	0.00607	0
V96	0.02803	0.093	0.40728	0.37837	0.01899	0.01422	0.01453	0.02205	0.02354	0
V97	0	0.04223	0.01554	0	0	0.18647	0.62651	0.01471	0.02939	0.08515
V98	0.00811	0.19306	0.0649	0.04037	0.30865	0.01287	0.02597	0.1326	0.14284	0.07062
V99	0.58839	0	0	0	0	0.01745	0.05666	0.01055	0.32695	0
V100	0.17352	0.00642	0.06454	0.22008	0.02094	0.32488	0.04358	0	0.141	0.00503
V101	0	0.00357	0.04814	0	0.1294	0.12235	0.12984	0.05811	0	0.50859
V102	0.03804	0.15616	0.02251	0	0.15259	0.34203	0.11939	0.1614	0	0.00788
V103	0.08556	0.00596	0.03402	0.01944	0.01345	0.00222	0.00997	0.00507	0.82432	0
V104	0.07415	0	0.88627	0	0	0	0	0	0.03958	0
V105	0.30445	0	0.0937	0	0	0.10943	0	0.49242	0	0
V106	0.02958	0.51378	0.24798	0	0.19523	0.01343	0	0	0	0
V107	0.24712	0.12683	0.03876	0	0.397	0.01036	0.00312	0.05362	0.1232	0
V108	0	0	0.05953	0.15912	0.05984	0.42488	0.03729	0.02571	0	0.23362
V109	0	0.01112	0.01947	0.00811	0.00775	0.83608	0.07996	0	0.03753	0
V110	0.00407	0	0.05507	0	0.84556	0	0	0.0953	0	0
V111	0	0.0478	0.02307	0	0.08673	0.18255	0.61443	0.01511	0.0214	0.00891
V112	0	0.04419	0.02622	0	0.01374	0.15231	0.51087	0.01331	0.07717	0.16218
V113	0.03063	0	0.04398	0.00764	0.03491	0.05268	0.02115	0.02728	0.69146	0.09027
V114	0.03909	0.00694	0.04314	0.01569	0.01515	0.00282	0.01139	0.00504	0.86073	0
V115	0.00928	0.67358	0.03926	0	0.26032	0	0.01368	0.00203	0	0.00185
V116	0.3935	0.0478	0.00137	0	0.01197	0	0	0.54536	0	0
V117	0.00945	0.04088	0.00699	0	0	0.20599	0.6905	0.01673	0.02945	0
V118	0.01046	0	0.02016	0	0	0.85964	0.08188	0.00153	0.02632	0
V119	0	0.02532	0.07549	0.56728	0	0.18753	0.05259	0	0.09178	0
V120	0.68207	0	0.22057	0	0	0.09736	0	0	0	0
