Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V127	0.01462	0.01796	0.89939	0.06803	0	0
V128	0.4009	0.28884	0.10129	0.18942	0.01956	0
V129	0	0.01955	0.93827	0.04218	0	0
V130	0.58959	0.146	0	0.26441	0	0
V131	0	0.01085	0	0.00949	0.85988	0.11978
V132	0	0.48662	0.51338	0	0	0
V133	0.00196	0.20965	0.71453	0.07386	0	0
V134	0.18246	0.77174	0	0	0.04424	0.00155
V135	0.04436	0.02532	0.86867	0	0	0.06166
V136	0.04188	0.87046	0.08766	0	0	0
V137	0	0.1667	0.67359	0	0.15971	0
V138	0	0.00462	0	0.50721	0.03683	0.45134
V139	0	0.04411	0.13643	0	0.49035	0.32911
V140	0.70114	0.25071	0	0.04815	0	0
V141	0.26068	0.29632	0.12995	0.31306	0	0
V142	0.05968	0.85469	0	0.0344	0	0.05123
V143	0.04167	0.07953	0.75388	0.06297	0.06196	0
V144	0	0.16725	0	0.08287	0	0.74988
V145	0	0	0.00726	0.99274	0	0
V146	0.13846	0.02865	0.03024	0	0.78751	0.01513
V147	0.51724	0.10041	0.08261	0	0	0.29974
V148	0	0.15097	0.84903	0	0	0
V149	0	0.50875	0	0	0	0.49125
V150	0	0	0	0.98504	0.01496	0
V151	0	0.40467	0	0	0	0.59533
V152	0.0239	0.26957	0.5753	0.0152	0.10748	0.00855
V153	0	0.02938	0.72125	0.24937	0	0
V154	0.39105	0.22473	0	0	0	0.38422
V155	0	0.41906	0.07068	0	0.49355	0.0167
V156	0	0.49863	0	0	0.50137	0
V157	0	0.09514	0	0.31107	0	0.59379
V158	0	0.05341	0.94659	0	0	0
V159	0.12177	0.26491	0.42053	0.1928	0	0
V160	0.0051	0.01123	0.97575	0	0	0.00792
V161	0	0.51979	0	0.43265	0.04756	0
V162	0	0.6198	0	0.15738	0.22282	0
V163	0	0.01157	0.98843	0	0	0
V164	0	0.36668	0.48364	0.11756	0.03212	0
V165	0	0.0336	0	0.01017	0.87938	0.07685
V166	0	0	0	0.16207	0.50767	0.33026
V167	0	0	0.47381	0.52619	0	0
V168	0.73351	0.04659	0	0.2199	0	0
V169	0	0.01631	0.7951	0.1886	0	0
V170	0.4975	0.06366	0.07973	0.32875	0.03036	0
V171	0	0.51656	0	0	0	0.48344
V172	0.0324	0.08748	0.66638	0.16395	0	0.04978
V173	0	0.02029	0.90741	0	0	0.07231
V174	0.7044	0.12918	0	0	0.16641	0
V175	0.00731	0.81792	0.17051	0.00426	0	0
V176	0	0.00151	0.99849	0	0	0
V177	0.06229	0.10769	0.40088	0	0.15713	0.27202
V178	0	0.05214	0	0	0.94786	0
V179	0	0	0.02885	0.76438	0.08642	0.12034
V180	0.28296	0.02941	0.19966	0.4366	0	0.05137
V181	0.64436	0.15164	0.0305	0.06153	0.02185	0.09012
V182	0	0.08749	0.8938	0.01871	0	0
V183	0	0	0.00101	0.99899	0	0
V184	0.45396	0.44861	0	0.0106	0.08683	0
