CD19B	CD56NK	CD4MemoryT	CD14
V139	0.29186	0.24698	0.19191	0.26925
V140	0.10464	0.16585	0.09652	0.63299
V141	0.1069	0.21946	0.41452	0.25913
V142	0.62574	0.05434	0.21374	0.10619
V143	0.3419	0.28441	0.10511	0.26857
V144	0.18413	0.21507	0.17271	0.42808
V145	0.04565	0.65227	0.20489	0.09719
V146	0.12331	0.10709	0.08531	0.68429
V147	0.71736	0.06529	0.07393	0.14342
V148	0.15376	0.15346	0.44563	0.24716
V149	0.23009	0.46853	0.20176	0.09962
V150	0.1177	0.2767	0.44798	0.15761
V151	0.19305	0.55098	0.07032	0.18564
V152	0.2104	0.42084	0.19902	0.16973
V153	0.1242	0.63815	0.05962	0.17803
V154	0.21636	0.42623	0.23655	0.12086
V155	0.374	0.19241	0.25737	0.17623
V156	0.08472	0.20624	0.51739	0.19166
V157	0.26357	0.21281	0.26907	0.25455
V158	0.10103	0.10372	0.07803	0.71723
V159	0.69514	0.10346	0.05242	0.14899
V160	0.54048	0.06942	0.10905	0.28105
V161	0.22262	0.09771	0.08397	0.5957
V162	0.11451	0.32323	0.11199	0.45027
V163	0.12507	0.45612	0.16651	0.25231
V164	0.28264	0.32248	0.12895	0.26592
V165	0.08385	0.29704	0.05272	0.56639
V166	0.09098	0.17471	0.10813	0.62618
V167	0.31176	0.08021	0.06441	0.54362
V168	0.24354	0.50984	0.10769	0.13893
V169	0.20504	0.1338	0.08984	0.57132
V170	0.14393	0.1151	0.41114	0.32982
V171	0.14642	0.27392	0.44953	0.13014
V172	0.56436	0.06012	0.26209	0.11343
V173	0.10079	0.20838	0.08928	0.60156
V174	0.09113	0.22634	0.11071	0.57182
V175	0.10847	0.10579	0.59102	0.19472
V176	0.05091	0.68647	0.16493	0.09769
V177	0.05054	0.80017	0.04591	0.10339
V178	0.05676	0.65356	0.04967	0.24001
V179	0.18485	0.1037	0.31899	0.39246
V180	0.06608	0.74179	0.10172	0.09041
V181	0.1738	0.19613	0.41724	0.21283
V182	0.259	0.22692	0.36841	0.14567
V183	0.17357	0.67918	0.05046	0.09679
V184	0.78807	0.03817	0.06322	0.11054
V185	0.44496	0.39253	0.05868	0.10383
V186	0.138	0.44746	0.22723	0.18732
V187	0.75602	0.04614	0.08145	0.11639
V188	0.118	0.27217	0.05327	0.55656
V189	0.63424	0.07505	0.06831	0.2224
V190	0.5192	0.07314	0.29548	0.11218
V191	0.18447	0.24756	0.43643	0.13153
V192	0.25632	0.43805	0.08408	0.22154
V193	0.47147	0.09982	0.23	0.1987
V194	0.07244	0.76684	0.05056	0.11017
