Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V69	0.0086	0.02325	0.7386	0.16575	0	0.01745	0.01999	0	0.02637	0
V70	0.60592	0.04261	0.11482	0.07479	0	0.04721	0.05503	0	0.05963	0
V71	0	0.02954	0.00244	0.0219	0.01123	0.03189	0.1709	0.66017	0.07192	0
V72	0.16014	0.06122	0.09738	0.268	0.08855	0.00485	0.06202	0.00595	0.08364	0.16823
V73	0	0.15877	0	0	0.58202	0.01252	0.05861	0.01106	0.17702	0
V74	0.00096	0	0.06108	0.23489	0	0.00677	0.08842	0.00352	0	0.60436
V75	0	0.09267	0.21339	0.40043	0	0.00701	0.07754	0.01071	0.19825	0
V76	0	0.05123	0.01307	0.02777	0.00926	0.68047	0.1931	0.02508	0	0
V77	0	0.02403	0.08426	0.2851	0.00593	0.18792	0.34474	0.02837	0.03964	0
V78	0	0.45544	0.00932	0.05002	0.01273	0	0.33558	0.02564	0.09035	0.02092
V79	0	0.05891	0.09047	0.26385	0.00738	0.19434	0.1275	0.02034	0.2372	0
V80	0.36523	0.02173	0.03648	0.06217	0	0	0.08996	0.00203	0.0014	0.421
V81	0	0.06774	0.03516	0.1546	0.10905	0.42241	0.14193	0.01422	0.0549	0
V82	0	0.47969	0.06112	0.25075	0	0.0084	0.0689	0.05039	0.08074	0
V83	0	0.06427	0.13978	0.41387	0	0.00813	0.10198	0.20032	0.07165	0
V84	0	0.04898	0.03069	0.06259	0.09243	0.39323	0.30545	0.03091	0.03572	0
V85	0.16899	0.00601	0.4191	0.1193	0	0.01075	0.03482	0	0	0.24103
V86	0.22169	0.00971	0.31281	0.38022	0	0.01532	0.03996	0	0.02029	0
V87	0	0.08923	0.02757	0.0235	0.0927	0.00124	0.10389	0.04507	0.6168	0
V88	0	0.29725	0.11428	0.45881	0	0	0.06814	0	0.06153	0
V89	0	0.01828	0.02599	0.08543	0.0463	0	0.66018	0.12796	0.03585	0
V90	0	0.0738	0.35342	0.10406	0	0.01523	0.06533	0	0	0.38816
V91	0.01558	0.02046	0.72393	0.15695	0	0.02002	0.02276	0	0.03722	0.00308
V92	0	0.02734	0.02557	0.06109	0.0526	0	0.70768	0.06282	0.06291	0
V93	0	0.08773	0.0681	0.04412	0.05368	8e-05	0.28456	0.05676	0.40496	0
V94	0.76094	0.01787	0.05484	0.07278	0	0.04692	0.03543	0.01122	0	0
V95	0	0.03082	0.00603	0.04959	0.04173	0.00361	0.53169	0.27994	0.05658	0
V96	0	0.11221	0.34232	0.39788	0	0.01659	0.06077	0.00243	0.0678	0
V97	0	0.01847	0.02765	0.05956	0.04458	0	0.68297	0.06156	0.03007	0.07515
V98	0	0.2921	0	0.0683	0.11787	0.01508	0.1231	0.09664	0.23017	0.05675
V99	0.42359	0.06143	0.07023	0.04975	0.01177	0.02082	0.10993	0.01788	0.23458	0
V100	0.10727	0.0583	0.10059	0.2155	0.01334	0.23311	0.11653	0.01196	0.14338	0
V101	0	0.01027	0.00669	0.04868	0	0.04777	0.26003	0.05614	0	0.57041
V102	0	0.23749	0.00736	0.03752	0.06237	0.23416	0.2331	0.11375	0.07425	0
V103	0	0.08149	0.0665	0.03034	0.0643	0.00455	0.09797	0.04972	0.60513	0
V104	0.01594	0.01436	0.73144	0.15481	0	0.01807	0.02038	0	0.045	0
V105	0.21809	0.04274	0.11392	0.05727	0	0.13607	0.1026	0.2741	0.05522	0
V106	0	0.65702	0.14326	0.05899	0	0.01393	0.04628	0	0.08051	0
V107	0.15291	0.25005	0.02917	0.02927	0.19429	0.02369	0.06227	0.0398	0.21855	0
V108	0	0.03518	0.05547	0.16676	0	0.30615	0.1452	0.03715	0.02057	0.23353
V109	0	0.0687	0.01373	0.03349	0.01596	0.6425	0.19376	0.02512	0.00673	0
V110	0	0.14613	0	0	0.55585	0	0.05772	0.06806	0.17224	0
V111	0	0.0286	0.017	0.06527	0.11495	0	0.66893	0.05755	0.04768	0
V112	0	0.03313	0.02681	0.05434	0.03247	0	0.57951	0.05634	0.06392	0.15347
V113	0	0.06263	0.03352	0.02334	0.04864	0.04285	0.12741	0.06403	0.50166	0.09592
V114	0	0.07691	0.04453	0.01964	0.07003	0.00308	0.1055	0.05321	0.62709	0
V115	0	0.85157	0	0	0	0	0.06373	0	0.0847	0
V116	0.30726	0.11755	0.04491	0.03959	0	0.03672	0.09517	0.30506	0.05374	0
V117	0	0.0167	0.03127	0.06379	0.05222	0	0.74592	0.06444	0.02567	0
V118	0	0.04464	0.02471	0.02888	0.00913	0.66551	0.19542	0.0317	0	0
V119	0	0.04127	0.13756	0.45391	0	0.13165	0.12211	0.00777	0.10573	0
V120	0.56179	0.01685	0.21768	0.08952	0	0.09355	0.02061	0	0	0
V121	0	0.12046	0.23046	0.08971	0.00752	0.09158	0.33994	0.03619	0.06464	0.0195
V122	0	0.07431	0.11263	0.04725	0.04861	0.04393	0.20464	0.03802	0.4306	0
V123	0	0.08435	0	0	0.27545	0.01694	0.11639	0.35654	0.15032	0
V124	0.5818	0.07398	0.02902	0.05616	0	0.02999	0.05375	0.1675	0.0078	0
V125	0	0.17617	0.06192	0.05439	0.00097	0.10878	0.14834	0.36879	0.08065	0
V126	0	0.18853	0	0	0.51487	0	0.05669	0.05472	0.18519	0
V127	0	0.03669	0.46986	0.11534	0	0.01114	0.2322	0.00761	0.12715	0
V128	0	0.21821	0.32122	0.07431	0.17456	0.04909	0.04666	0	0.11595	0
V129	0	0.11525	0.09291	0.20642	0.07593	0.0077	0.08803	0.0239	0.38987	0
V130	0	0.02633	0.36868	0.09017	0	0.02783	0.09743	0.32716	0.06239	0
V131	0	0.36523	0.33802	0.15232	0	0.00816	0.04748	0	0.0888	0
V132	0.03184	0.03336	0.05342	0.06274	0.07976	0	0.57425	0.11789	0.04673	0
V133	0	0.05262	0.03654	0.16842	0.00295	0.10078	0.19466	0.37622	0.06782	0
V134	0	0.09037	0.1728	0.09923	0.15316	0.00099	0.21055	0.02248	0.10619	0.14423
V135	0	0.22017	0.13661	0.04303	0.02951	0.00308	0.09418	0.02593	0.44749	0
V136	0	0.59038	0.00491	0.16986	0	0	0.06197	0	0.09182	0.08107
V137	0	0.03935	0.025	0.05587	0.05085	0.23551	0.48056	0.04607	0.0668	0
V138	0	0.05536	0.03517	0.05428	0.03186	0	0.52322	0.05094	0.05699	0.19218
V139	0.44511	0.07706	0.06383	0.05031	0.04169	0.08185	0.05077	0.00375	0.18564	0
V140	0	0.02544	0.35359	0.45376	0	0.0409	0.07208	0	0.05423	0
V141	0	0.00587	0.19176	0.65581	0	0.01372	0.08032	0	0.03984	0.01267
V142	0	0.0171	0.07987	0.23198	0.0262	0	0.55394	0.04546	0.04229	0.00318
V143	0	0.80236	0	0.0456	0	0	0.05185	0	0.10019	0
V144	0	0.02529	0.01996	0.05979	0.03265	0.24965	0.53411	0.06263	0.01592	0
V145	0	0.09119	0.13628	0.44035	0	0.02179	0.09712	0.1452	0.06806	0
V146	0	0.02142	0.4017	0.10384	0	0.02688	0.10923	0.09982	0.03612	0.201
V147	0	0.07607	0.01604	0.02204	0.136	0.00149	0.10161	0.05769	0.45154	0.13752
V148	0	0.08337	0.03406	0.02218	0.06499	0.03698	0.13492	0.04545	0.57805	0
