CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V95	0.07548	0.02757	0.28727	0.09326	0.48144	0.03498
V96	0.16268	0.25038	0.08382	0.05423	0.34316	0.10573
V97	0.08014	0.03112	0.07634	0.07038	0.70628	0.03574
V98	0.11438	0.06773	0.05543	0.49591	0.22734	0.03921
V99	0.09466	0.0292	0.05176	0.60896	0.18042	0.035
V100	0.08614	0.02483	0.39514	0.18852	0.25043	0.05493
V101	0.11874	0.23829	0.36937	0.07731	0.14874	0.04755
V102	0.54129	0.05278	0.15517	0.02755	0.13443	0.08877
V103	0.46274	0.05517	0.08953	0.12633	0.17473	0.09149
V104	0.10417	0.01802	0.21202	0.45225	0.17123	0.04231
V105	0.26156	0.036	0.14043	0.02715	0.16859	0.36626
V106	0.14055	0.02407	0.50316	0.00782	0.15398	0.17042
V107	0.18111	0.37932	0.22696	0.02058	0.14597	0.04607
V108	0.21566	0.05396	0.10467	0.03156	0.30965	0.2845
V109	0.22694	0.04142	0.08835	0.02693	0.30049	0.31586
V110	0.11987	0.12162	0.55034	0.00595	0.14674	0.05549
V111	0.07724	0.02937	0.68147	0.01581	0.15608	0.04004
V112	0.13581	0.21773	0.05509	0.38273	0.16713	0.04151
V113	0.09606	0.07729	0.50961	0.03248	0.24109	0.04347
V114	0.16487	0.02173	0.52059	0.10287	0.14186	0.04808
V115	0.36602	0.07797	0.0933	0.04275	0.24014	0.17982
V116	0.56846	0.04884	0.09375	0.05953	0.13697	0.09244
V117	0.39702	0.04718	0.07617	0.08483	0.32172	0.07309
V118	0.15973	0.39894	0.14723	0.04519	0.19518	0.05372
V119	0.17401	0.46289	0.09233	0.05289	0.15882	0.05906
V120	0.15796	0.14775	0.13288	0.28767	0.21723	0.05651
V121	0.31264	0.04126	0.0772	0.20719	0.1552	0.20652
V122	0.26539	0.04157	0.06259	0.39529	0.18145	0.05371
V123	0.33007	0.04499	0.08064	0.05797	0.25523	0.23109
V124	0.08113	0.02276	0.27815	0.02444	0.55434	0.03918
V125	0.10934	0.11617	0.5143	0.05011	0.14287	0.0672
V126	0.2264	0.19518	0.11804	0.03106	0.16592	0.26341
V127	0.10253	0.01827	0.61871	0.06802	0.15033	0.04214
V128	0.29276	0.18384	0.14472	0.12158	0.18917	0.06792
V129	0.07895	0.02936	0.6428	0.05491	0.15119	0.04279
V130	0.3891	0.11069	0.07787	0.18019	0.16576	0.07639
V131	0.11659	0.02753	0.08971	0.03718	0.6353	0.0937
V132	0.13606	0.29383	0.33446	0.01512	0.17607	0.04446
V133	0.1282	0.14093	0.44722	0.06449	0.17632	0.04283
V134	0.23459	0.37709	0.08644	0.03176	0.20476	0.06536
V135	0.12581	0.02754	0.57325	0.0054	0.18043	0.08756
V136	0.19669	0.41054	0.12804	0.0361	0.17441	0.05422
V137	0.11116	0.12256	0.44362	0.02233	0.26211	0.03823
V138	0.1894	0.02828	0.07475	0.29179	0.22479	0.19099
V139	0.1412	0.06126	0.17797	0.02656	0.43622	0.15678
V140	0.4215	0.17004	0.1107	0.06918	0.14583	0.08275
V141	0.24503	0.18715	0.15256	0.18288	0.16758	0.06481
V142	0.21457	0.4094	0.09073	0.06268	0.15127	0.07134
V143	0.12469	0.05997	0.49363	0.05886	0.20992	0.05293
V144	0.2324	0.14244	0.08776	0.10717	0.16621	0.26402
V145	0.09775	0.0176	0.05754	0.6127	0.16972	0.0447
V146	0.15739	0.03537	0.12241	0.02882	0.58338	0.07263
V147	0.38126	0.08364	0.15824	0.05252	0.14637	0.17797
V148	0.10047	0.13199	0.57697	0.00551	0.14123	0.04382
V149	0.21082	0.31612	0.07956	0.04335	0.1568	0.19334
V150	0.09835	0.01765	0.0461	0.60921	0.1932	0.03548
V151	0.22125	0.27186	0.08023	0.03237	0.17468	0.21961
V152	0.13926	0.16782	0.35852	0.03659	0.23197	0.06584
V153	0.08049	0.04293	0.49722	0.17517	0.1657	0.03849
V154	0.36864	0.16592	0.09099	0.02498	0.15107	0.1984
V155	0.14616	0.24241	0.13129	0.02236	0.39596	0.06183
V156	0.12883	0.30696	0.07949	0.02651	0.41759	0.04062
V157	0.19141	0.10152	0.09842	0.20497	0.17167	0.232
V158	0.09345	0.05614	0.66034	0.00322	0.14246	0.04438
V159	0.18407	0.16899	0.28922	0.12507	0.17229	0.06035
V160	0.09335	0.01828	0.66724	0.00922	0.14431	0.0676
V161	0.13875	0.31335	0.06424	0.22501	0.21819	0.04047
V162	0.15186	0.33623	0.071	0.10231	0.28596	0.05264
V163	0.08781	0.01778	0.70318	0.00279	0.14395	0.04449
V164	0.12105	0.23369	0.3134	0.08545	0.20157	0.04484
V165	0.11114	0.03943	0.09558	0.03682	0.63687	0.08015
V166	0.14932	0.03495	0.06759	0.12296	0.46105	0.16412
V167	0.08687	0.01682	0.3496	0.33735	0.17103	0.03833
V168	0.46927	0.0489	0.08134	0.17585	0.1389	0.08575
V169	0.0916	0.02365	0.54307	0.14214	0.15309	0.04644
V170	0.33946	0.05343	0.1372	0.2096	0.19092	0.06939
V171	0.23465	0.29971	0.09215	0.02558	0.16521	0.1827
V172	0.13822	0.06803	0.43316	0.12557	0.15164	0.08337
V173	0.10207	0.03209	0.61286	0.00408	0.15737	0.09154
V174	0.43785	0.10245	0.08792	0.0293	0.26596	0.07651
V175	0.18187	0.3923	0.15964	0.03437	0.18337	0.04845
V176	0.07537	0.01716	0.70125	0.00944	0.15657	0.04021
V177	0.18379	0.08091	0.2941	0.03361	0.26635	0.14124
V178	0.0962	0.05081	0.09589	0.02516	0.68554	0.04641
V179	0.11931	0.0214	0.08336	0.43383	0.23783	0.10427
V180	0.24737	0.03475	0.1936	0.2735	0.14789	0.10289
V181	0.38844	0.10802	0.12235	0.06428	0.18993	0.12699
V182	0.09435	0.07577	0.58777	0.04857	0.1433	0.05023
V183	0.10394	0.0176	0.05129	0.62257	0.16862	0.03598
V184	0.32166	0.26285	0.08616	0.04159	0.21993	0.06781
V185	0.20031	0.32814	0.09466	0.03043	0.23814	0.10833
V186	0.07634	0.01626	0.48731	0.22903	0.15594	0.03512
V187	0.27757	0.30775	0.08036	0.03683	0.23738	0.06011
V188	0.22018	0.36037	0.08636	0.04296	0.15402	0.13611
V189	0.1086	0.06994	0.1939	0.03814	0.49934	0.09008
V190	0.12914	0.1404	0.0762	0.03679	0.51269	0.10477
V191	0.20074	0.36127	0.08062	0.03213	0.1653	0.15993
V192	0.38855	0.16971	0.14061	0.03891	0.17839	0.08383
V193	0.25304	0.11379	0.09059	0.03418	0.17388	0.33451
V194	0.09026	0.0375	0.08618	0.10064	0.64	0.04542
V195	0.0802	0.01813	0.565	0.07076	0.22625	0.03966
V196	0.09331	0.01748	0.06481	0.58735	0.19903	0.03803
V197	0.205	0.03196	0.09102	0.03008	0.58679	0.05517
V198	0.1806	0.26236	0.09807	0.11505	0.28976	0.05416
V199	0.11524	0.16593	0.13998	0.08822	0.4474	0.04323
V200	0.12505	0.02664	0.45533	0.15999	0.15342	0.07957
V201	0.10502	0.01798	0.04535	0.61424	0.16908	0.04834
V202	0.15083	0.06512	0.36362	0.0375	0.24794	0.13499
V203	0.41112	0.05711	0.07548	0.23825	0.14246	0.07557
V204	0.24465	0.06592	0.10685	0.13553	0.16764	0.2794
V205	0.08254	0.02968	0.6878	0.01536	0.14405	0.04056
V206	0.0977	0.04884	0.1308	0.50196	0.18553	0.03518
V207	0.31779	0.14481	0.10054	0.1749	0.16239	0.09958
V208	0.30499	0.08306	0.33353	0.0437	0.17143	0.06328
V209	0.28485	0.30316	0.08086	0.04737	0.1552	0.12857
V210	0.14239	0.03346	0.63381	0.00344	0.14006	0.04685
V211	0.38603	0.05985	0.1504	0.02662	0.24478	0.13232
V212	0.1184	0.187	0.20158	0.25645	0.19077	0.0458
V213	0.10977	0.06861	0.2567	0.03593	0.4877	0.04129
V214	0.5284	0.05857	0.10356	0.05906	0.15996	0.09045
V215	0.20193	0.3856	0.08002	0.04828	0.15423	0.12993
V216	0.19468	0.30963	0.26735	0.02337	0.15429	0.05069
V217	0.24239	0.03372	0.1057	0.08183	0.34207	0.19429
V218	0.14853	0.21883	0.06203	0.35902	0.17165	0.03994
