Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V124	0.19365	0.15108	0.05383	0.12707	0.47437
V125	0.05049	0.4383	0.50815	0	0.00306
V126	0.13861	0.2146	0.2188	0.05149	0.3765
V127	0.26899	0.02831	0.68709	0.01561	0
V128	0.17484	0.80858	0	0	0.01658
V129	0.24926	0.08202	0.27994	0.09328	0.2955
V130	0.0255	0.54838	0.02586	0.14801	0.25225
V131	0.01621	0	0.33562	0.63961	0.00856
V132	0.32882	0.09052	0	0.22474	0.35592
V133	0.01647	0.03232	0.55774	0.04105	0.35242
V134	0.08396	0.01248	0.79922	0.00072	0.10362
V135	0.03545	0.07674	0.74323	0.00247	0.1421
V136	0.88251	0.11749	0	0	0
V137	0.82654	0.14603	0	0	0.02744
V138	0.21891	0.1934	0.06706	0.06167	0.45897
V139	0.14742	0.00741	0.22854	0.59742	0.01922
V140	0.01505	0	0.1447	0	0.84025
V141	0.03131	0.20137	0.70288	0.05986	0.00458
V142	0.20281	0.00888	0.35023	0.0625	0.37557
V143	0.0251	0.17889	0.5098	0.08801	0.1982
V144	0.47719	0.30706	0.05401	0.06141	0.10033
V145	0.01516	0	0.97007	0	0.01476
V146	0.02445	0.37793	0	0.21454	0.38308
V147	0.11012	0.04937	0.74326	0.06226	0.03499
V148	0.13323	0.8353	0	0.01156	0.0199
V149	0	0	0	0.88798	0.11202
V150	0.14057	0.20609	0.5744	0	0.07894
V151	0.42222	0.13505	0	0.28671	0.15602
V152	0.00776	0	0.16422	0.68866	0.13935
V153	0.16483	0.21083	0.4559	0.01268	0.15575
V154	0.0995	0.60432	0.00148	0.00258	0.29212
V155	0.04354	0	0.2007	0.72735	0.02841
V156	0.09806	0.02768	0.41344	0.08291	0.37791
V157	0.08642	0.0504	0.18709	0.17373	0.50235
V158	0.18784	0	0.46061	0.0064	0.34515
V159	0.1222	0.31254	0.00304	0.50107	0.06115
V160	0.39658	0.23653	0.07769	0.00362	0.28558
V161	0.16747	0.0376	0.04809	0	0.74684
V162	0.01548	0	0.98452	0	0
V163	0.03772	0	0.00615	0.01828	0.93786
V164	0.84384	0.15616	0	0	0
V165	0.58952	0.28426	0.06501	0.01196	0.04925
V166	0.05907	0	0.32822	0.47884	0.13387
V167	0.02903	0.66978	0	0.0815	0.2197
V168	0.01548	0	0.98452	0	0
V169	0.04891	0.74079	0.14482	0.04653	0.01895
V170	0.23188	0.4581	0.04096	0.11832	0.15074
V171	0.29589	0.15509	0.39276	0.1029	0.05335
V172	0.14437	0.24856	0.05097	0	0.5561
V173	0.21754	0.15154	0.10022	0.28876	0.24194
V174	0.21278	0.00572	0.39356	0.11918	0.26875
V175	0.06593	0.14482	0.12184	0.10194	0.56547
V176	0.40953	0.11552	0	0.47222	0.00272
V177	0.20882	0.03923	0.64085	0.11037	0.00073
V178	0.26765	0.09404	0.4862	0.05614	0.09597
V179	0.07214	0.00996	0	0	0.9179
V180	0.02418	0.00267	0.3207	0	0.65246
V181	0.04612	0.26169	0	0.01913	0.67306
V182	0.56227	0.29931	0	0.09267	0.04576
V183	0.05372	0.93585	0	0	0.01043
V184	0.32957	0.07553	0.34484	0.2246	0.02547
V185	0.09163	0.51182	0.004	0.08368	0.30887
V186	0.12107	0.20851	0.01803	0.15844	0.49394
V187	0.06811	0.77055	0	0.14799	0.01334
V188	0.81681	0.13131	0.01372	0.03816	0
V189	0.44273	0.36834	0.01586	0.16708	0.00599
V190	0.35161	0.13469	0.20315	0	0.31055
V191	0.21546	0.31471	0	0.30456	0.16527
V192	0.30014	0.27284	0.12604	0.12705	0.17394
V193	0.07549	0.19799	0.52631	0.01023	0.18998
V194	0.22506	0.08729	0.07731	0.03718	0.57315
V195	0.55436	0.20105	0.24459	0	0
V196	0	0	0.04801	0.01836	0.93363
V197	0.05332	0.91946	0	0.01549	0.01173
V198	0.20818	0.28679	0.01907	0.11873	0.36722
V199	0.71364	0.06294	0.22341	0	0
V200	0.71174	0.06434	0.01234	0	0.21159
V201	0.03269	0	0.02684	0.61777	0.32271
V202	0.84329	0.15671	0	0	0
V203	0.50587	0.3082	0.00616	0.01342	0.16635
V204	0.25353	0.14216	0.01237	0	0.59194
V205	0.0945	0.0357	0.11147	0.02433	0.73399
V206	0.04604	0.14465	0	0.72809	0.08122
V207	0.01751	0.02677	0	0.91216	0.04356
V208	0.15659	0.24068	0.48014	0.01365	0.10894
V209	0.12826	0.03056	0.08832	0	0.75286
V210	0.01124	0	0.98718	0	0.00158
V211	0.13043	0.03144	0.19239	0	0.64574
V212	0.04865	0.79892	0.05778	0.0189	0.07575
V213	0.0884	0	0.06273	0.15483	0.69405
V214	0.03009	0.5501	0.39172	0.00014	0.02794
V215	0.21843	0.26916	0.12581	0.02882	0.35778
V216	0.05206	0.0313	0.31477	0.00737	0.59449
V217	0	0	0.03223	0.79714	0.17064
V218	0.0767	0.21104	0.33597	0.24803	0.12826
V219	0.13533	0.32391	0.40731	0.12872	0.00473
V220	0.16532	0.79668	0.03122	0	0.00678
V221	0.05015	0.04362	0.48736	0	0.41887
V222	0.01042	0	0	0.01046	0.97912
V223	0.50926	0.08032	0.34411	0.06008	0.00623
V224	0.03428	0.55384	0.00494	0.04218	0.36475
V225	0.67193	0.21309	0.11498	0	0
V226	0.41732	0.58187	0	0	0.00081
V227	0.09644	0.3551	0	0.48711	0.06134
V228	0.57248	0.0786	0.28873	0.02491	0.03528
V229	0.25242	0.4347	0.26501	0.01443	0.03344
V230	0.00609	0	0	0.01048	0.98343
V231	0.05885	0.65478	0.049	0.11718	0.12019
V232	0.72694	0.09731	0.17574	0	0
V233	0.05021	0.01774	0.1447	0.04158	0.74577
V234	0.01904	0.42762	0.25514	0.26143	0.03676
V235	0.87661	0.12339	0	0	0
V236	0.09968	0.00389	0.70441	0.1295	0.06252
V237	0.12841	0.09109	0.30406	0.2126	0.26384
V238	0.00065	0	0	0.17882	0.82054
V239	0.05745	0.43023	0.0341	0.10604	0.37217
V240	0.0508	0.8722	0	0.00354	0.07346
V241	0.03712	0.95182	0	0	0.01106
V242	0.03529	0.35849	0.32756	0.19473	0.08393
V243	0.43069	0.07116	0.3377	0	0.16044
V244	0.02861	0.40199	0.18959	0.03822	0.3416
V245	0.03773	0.9501	0	0.01065	0.00152
V246	0.5635	0.33201	0	0	0.10449
V247	0.19569	0.11134	0.64533	0.01878	0.02886
V248	0.07951	0.59643	0.00298	0	0.32108
V249	0.226	0.10596	0.20151	0.03974	0.42679
V250	0.03371	0.01346	0.64674	0.00721	0.29887
V251	0.25137	0.05496	0.11954	0.48858	0.08555
V252	0.03533	0.10156	0.58489	0.09463	0.18359
V253	0.26681	0.63733	0.06271	0.0168	0.01636
V254	0.49268	0.45552	0	0.03796	0.01384
V255	0.74821	0.15592	0	0	0.09586
V256	0.03051	0.76566	0	0	0.20383
V257	0.41079	0.35243	0.13541	0.00445	0.09692
V258	0.16688	0.44744	0.03619	0.33691	0.01257
V259	0.50776	0.31461	0.16309	0	0.01455
