cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V138	0.21569	0.40135	0.19488	0.18808
V139	0.36846	0.18851	0.21556	0.22746
V140	0.03001	0.10773	0.06366	0.7986
V141	0.05909	0.1331	0.59518	0.21263
V142	0.77668	0.01788	0.205	0.00044
V143	0.45359	0.25133	0.07287	0.22222
V144	0.16877	0.14498	0.18967	0.49657
V145	0.00213	0.76524	0.22752	0.00511
V146	0.06091	0.04075	0.04317	0.85518
V147	0.92353	0.02679	0.019	0.03068
V148	0.12223	0.06105	0.62967	0.18706
V149	0.26058	0.51236	0.22256	0.0045
V150	0.08028	0.21766	0.63529	0.06677
V151	0.20627	0.64748	0.0355	0.11075
V152	0.23537	0.44469	0.2344	0.08554
V153	0.1022	0.77891	0.01959	0.0993
V154	0.24159	0.45055	0.28322	0.02464
V155	0.48856	0.12507	0.30381	0.08256
V156	0.0301	0.11837	0.74157	0.10997
V157	0.31207	0.13766	0.34516	0.20512
V158	0.02805	0.03157	0.05053	0.88985
V159	0.89558	0.06638	0	0.03804
V160	0.71307	0.01197	0.06741	0.20755
V161	0.21952	0.02677	0.03947	0.71424
V162	0.06425	0.30889	0.09166	0.5352
V163	0.09428	0.50254	0.18385	0.21933
V164	0.35552	0.30171	0.11582	0.22695
V165	0.01057	0.29546	0.00604	0.68793
V166	0.00952	0.11859	0.08469	0.7872
V167	0.36662	0.01742	0.01218	0.60378
V168	0.28767	0.58258	0.08147	0.04828
V169	0.19467	0.06387	0.04603	0.69543
V170	0.10079	0.0258	0.56946	0.30395
V171	0.12411	0.22007	0.6228	0.03302
V172	0.70721	0.01474	0.27296	0.00509
V173	0.02801	0.16319	0.05067	0.75813
V174	0.01701	0.17856	0.08857	0.71586
V175	0.05857	0.02527	0.81044	0.10572
V176	0.0086	0.81797	0.16848	0.00495
V177	0.01223	0.97413	0.00148	0.01215
V178	0.00749	0.79638	0.00717	0.18896
V179	0.15845	0.01954	0.42129	0.40072
V180	0.0293	0.89266	0.07804	0
V181	0.15871	0.1124	0.58776	0.14113
V182	0.30036	0.16211	0.48874	0.04878
V183	0.17675	0.81161	0.00673	0.00491
V184	0.96502	0.01972	0.01477	0.00049
V185	0.56672	0.41588	0.01274	0.00466
V186	0.11603	0.48474	0.28434	0.11488
V187	0.94512	0.01945	0.02998	0.00545
V188	0.05856	0.25616	0.00549	0.6798
V189	0.83409	0.02349	0.01804	0.12438
V190	0.64971	0.0209	0.32436	0.00503
V191	0.18093	0.187	0.59936	0.03272
V192	0.30941	0.47504	0.05373	0.16183
V193	0.61604	0.03079	0.2481	0.10508
V194	0.0354	0.93948	0.00701	0.01812
V195	0.01291	0.05155	0.92728	0.00826
V196	0.01502	0.1129	0.02217	0.84991
V197	0.43013	0.05138	0.03052	0.48797
V198	0.0607	0.50072	0.38931	0.04927
V199	0.16593	0.03396	0.20054	0.59956
V200	0.12748	0.58989	0.02049	0.26214
V201	0.0933	0.56957	0.20306	0.13407
V202	0.01436	0.03069	0.80531	0.14964
V203	0.15927	0.4196	0.40366	0.01747
V204	0.00758	0.56589	0.00907	0.41745
V205	0.01788	0.06573	0.9028	0.01359
V206	0.04491	0.0966	0.852	0.00649
V207	0.13386	0.19685	0.06232	0.60698
V208	0.24274	0.06375	0.68205	0.01146
V209	0.3095	0.47533	0.07265	0.14252
V210	0.08102	0.78814	0.0909	0.03993
V211	0.4378	0.02341	0.03977	0.49901
V212	0.50303	0.03945	0.44034	0.01718
V213	0.65946	0.02965	0.11551	0.19537
V214	0.34384	0.14771	0.18264	0.32581
V215	0.3019	0.09969	0.02444	0.57396
V216	0.04885	0.02982	0.04171	0.87962
V217	0.04054	0.49972	0.25231	0.20743
V218	0.09484	0.45494	0.18572	0.2645
V219	0.10389	0.66626	0.0129	0.21695
V220	0.00774	0.85374	0.0067	0.13182
V221	0.82559	0.01337	0.00557	0.15546
V222	0.32082	0.11786	0.39969	0.16163
V223	0.00643	0.12447	0.80348	0.06562
V224	0.95234	0.01869	0.02852	0.00045
V225	0.05411	0.88507	0.05604	0.00479
V226	0.30032	0.07756	0.61097	0.01115
V227	0.7825	0.01156	0.19522	0.01072
V228	0.79643	0.05985	0.06663	0.07709
V229	0.01853	0.0433	0.91752	0.02065
V230	0.01965	0.06641	0.03941	0.87453
V231	0.01486	0.28629	0.12503	0.57381
V232	0.0428	0.68453	0.00199	0.27068
V233	0.58595	0.07643	0.21143	0.12619
V234	0.03501	0.9239	0.02998	0.01111
V235	0.36976	0.05629	0.54939	0.02456
V236	0.04004	0.06401	0.8307	0.06525
V237	0.16442	0.02974	0.04243	0.76341
V238	0.12607	0.55851	0.27473	0.04069
V239	0.06437	0.4231	0.02383	0.4887
V240	0.4866	0.03658	0.43787	0.03895
V241	0.01683	0.03125	0.89478	0.05714
V242	0.12403	0.77463	0.09084	0.01051
V243	0.23157	0.04121	0.6629	0.06432
V244	0.19467	0.02095	0.71275	0.07162
V245	0.61502	0.28732	0.05098	0.04668
V246	0.05136	0.13963	0.79021	0.0188
V247	0.16008	0.04313	0.79558	0.00122
V248	0.02504	0.06278	0.06315	0.84902
V249	0.00113	0.0524	0.88915	0.05732
V250	0.75781	0.01353	0.22363	0.00503
V251	0.93562	0.05193	0.00692	0.00552
V252	0.01162	0.83811	0.15019	7e-05
V253	0.3755	0.06345	0.18021	0.38084
V254	0.01003	0.93566	0.04918	0.00513
V255	0.04389	0.92266	0.00113	0.03232
V256	0.17081	0.19401	0.55921	0.07597
V257	0.43644	0.087	0.25591	0.22065
V258	0.17413	0.24668	0.46446	0.11473
V259	0.03137	0.27497	0.66054	0.03311
V260	0.00155	0.2776	0.71474	0.00611
V261	0.63194	0.0297	0.20661	0.13175
V262	0.09654	0.07956	0.02534	0.79856
V263	0.01909	0.96105	0.00131	0.01855
V264	0.15851	0.03594	0.473	0.33255
V265	0.03226	0.02655	0.16348	0.7777
V266	0.63518	0.35698	0.00774	9e-05
V267	0.00065	0.17175	0.31784	0.50976
V268	0.39353	0.02687	0.15657	0.42304
V269	0.00676	0.5516	0.40117	0.04047
V270	0.65165	0.02468	0.25403	0.06965
V271	0.82221	0.06007	0.03285	0.08487
V272	0.05128	0.8468	0.01267	0.08924
V273	0.05791	0.04924	0.05036	0.84249
V274	0.71062	0.00826	0.18842	0.0927
V275	0.00207	0.05706	0.93202	0.00885
V276	0.52069	0.33296	0.01105	0.1353
V277	0.03299	0.207	0.18143	0.57858
V278	0.03278	0.05979	0.32915	0.57828
V279	0.71266	0.05132	0.11413	0.12189
V280	0.02805	0.03157	0.05053	0.88985
V281	0.56065	0.02971	0.14938	0.26027
V282	0.04995	0.0654	0.83564	0.04901
V283	0.20921	0.59585	0.06339	0.13155
V284	0.02643	0.91183	0.0568	0.00494
V285	0.07365	0.04127	0.88353	0.00155
V286	0.24467	0.55797	0.11288	0.08448
V287	0.09237	0.8767	0.01326	0.01767
V288	0.01323	0.25945	0.46979	0.25752
V289	0.27998	0.20167	0.45167	0.06668
V290	0.81258	0.17221	0.01503	0.00018
V291	0.4824	0.06401	0.44292	0.01067
V292	0.9381	0.01659	0.00034	0.04496
V293	0.2828	0.02478	0.66028	0.03214
V294	0.08715	0.38839	0.00364	0.52082
V295	0.01478	0.17628	0.21592	0.59302
V296	0.16766	0.10643	0.65133	0.07458
V297	0.07606	0.02584	0.0894	0.8087
V298	0.29001	0.09439	0.6045	0.0111
V299	0.06645	0.29276	0.0183	0.62249
V300	0.00095	0.04971	0.26425	0.68509
V301	0.11125	0.09726	0.6902	0.10129
V302	0.6476	0.34125	0.00021	0.01094
V303	0.00132	0.59145	0.38222	0.02501
V304	0.04853	0.03164	0.77687	0.14296
V305	0.11439	0.14152	0.50731	0.23678
V306	0.82516	0.08709	0.04992	0.03783
V307	0.01809	0.95533	0.01509	0.01149
V308	0.22804	0.21329	0.32799	0.23069
V309	0.33943	0.31372	0.02824	0.31861
V310	0.0738	0.31552	0.16677	0.44392
V311	0.51044	0.47874	0.00609	0.00473
V312	0.09229	0.74999	0.1404	0.01732
V313	0.00131	0.14654	0.02964	0.82252
V314	0.0142	0.49005	0.11994	0.3758
V315	0.11537	0.64828	0.03678	0.19958
V316	0.30716	0.11837	0.42252	0.15195
V317	0.08163	0.72428	0.04537	0.14871
V318	0.033	0.57987	0.01486	0.37228
V319	0.05158	0.06278	0.85926	0.02639
V320	0.06885	0.12592	0.69416	0.11107
V321	0.6251	0.36711	0.00773	7e-05
V322	0.19302	0.32362	0.07811	0.40525
V323	0.0523	0.0422	0.10771	0.79779
V324	0.66768	0.2463	0.0693	0.01672
V325	0.29929	0.64205	0.05417	0.0045
V326	0.00114	0.57815	0.09649	0.32422
V327	0.01661	0.15436	0.11991	0.70911
V328	0.03939	0.03208	0.77695	0.15157
V329	0.1682	0.10661	0.19004	0.53515
V330	0.38183	0.01486	0.36161	0.2417
V331	0.35198	0.08569	0.04887	0.51345
V332	0.00838	0.06264	0.2117	0.71728
V333	0.4201	0.06395	0.41615	0.09981
V334	0.34565	0.01558	0.38634	0.25242
V335	0.02157	0.3159	0.5498	0.11273
V336	0.1686	0.72136	0.01915	0.09089
V337	0.27721	0.39276	0.30544	0.02459
V338	0.00292	0.98124	0.01	0.00584
V339	0.11629	0.03328	0.84358	0.00684
V340	0.04951	0.20511	0.57274	0.17264
V341	0.02354	0.05872	0.08193	0.83582
V342	0.22918	0.01805	0.63817	0.11459
V343	0.95773	0.029	0.00752	0.00575
V344	0.66839	0.1481	0.18329	0.00021
V345	0.01908	0.06555	0.91373	0.00164
V346	0.22629	0.10064	0.31536	0.35771
V347	0.04109	0.03218	0.14997	0.77676
V348	0.05036	0.67268	0.14548	0.13148
V349	0.34315	0.14752	0.41576	0.09358
V350	0.02821	0.80226	0.16947	6e-05
V351	0.01466	0.03847	0.43726	0.50961
V352	0.04119	0.03239	0.86173	0.0647
V353	0.88965	0.02465	0.03352	0.05217
V354	0.04124	0.70149	0.22502	0.03225
V355	0.26552	0.06504	0.5008	0.16864
V356	0.0319	0.04434	0.12028	0.80348
V357	0.10609	0.32048	0.30713	0.26631
V358	0.55719	0.09589	0.05282	0.2941
V359	0.58397	0.05337	0.03561	0.32704
V360	0.544	0.42614	0.01946	0.0104
V361	0.00146	0.4407	0.55225	0.00559
V362	0.00298	0.97389	0.01746	0.00567
V363	0.1607	0.1016	0.51408	0.22362
V364	0.14286	0.05705	0.71793	0.08217
V365	0.26512	0.03976	0.01986	0.67525
V366	0.07104	0.7053	0.08312	0.14054
V367	0.58403	0.1333	0.00563	0.27703
V368	0.08118	0.75381	0.08209	0.08292
V369	0.01558	0.3889	0.59014	0.00538
V370	0.28846	0.2583	0.42848	0.02476
V371	0.17893	0.73777	0.02725	0.05605
V372	0.1564	0.05881	0.13637	0.64841
V373	0.06995	0.12262	0.51903	0.2884
V374	0.76048	0.02344	0.21571	0.00037
V375	0.03786	0.05396	0.16683	0.74134
V376	0.0311	0.0523	0.11855	0.79806
V377	0.79765	0.00846	0.01221	0.18168
V378	0.00691	0.03976	0.44706	0.50627
V379	0.33926	0.19475	0.0142	0.45179
V380	0.14265	0.07165	0.22451	0.56119
V381	0.74448	0.01672	0.09406	0.14475
V382	0.07498	0.04922	0.86892	0.00687
V383	0.84028	0.01182	0.04901	0.09889
V384	0.56844	0.06801	0.14001	0.22354
V385	0.86249	0.01834	0.07464	0.04452
V386	0.29632	0.02352	0.1611	0.51905
V387	0.59563	0.13238	0.19971	0.07227
V388	0.3769	0.32267	0.15665	0.14378
V389	0.41083	0.52212	0.01149	0.05556
V390	0.28281	0.24267	0.46968	0.00485
V391	0.42245	0.10272	0.02169	0.45314
V392	0.43029	0.20771	0.17834	0.18365
V393	0.27408	0.21101	0.38033	0.13457
V394	0.08604	0.22829	0.12457	0.5611
V395	0.21534	0.38954	0.21773	0.17739
V396	0.01003	0.96379	0.00781	0.01837
V397	0.78652	0.0795	0.10341	0.03056
V398	0.45383	0.12596	0.10345	0.31677
V399	0.18556	0.5637	0.15618	0.09457
V400	0.00121	0.60083	0.06658	0.33138
V401	0.03043	0.14106	0.76264	0.06586
V402	0.78338	0.17855	0.03792	0.00015
V403	0.02403	0.04999	0.09319	0.8328
V404	0.07984	0.17525	0.66068	0.08423
V405	0.21332	0.03895	0.18724	0.56048
V406	0.65246	0.24134	0.01787	0.08834
V407	0.00292	0.98124	0.01	0.00584
V408	0.0821	0.22668	0.44005	0.25117
V409	0.00152	0.06468	0.05052	0.88328
V410	0.08196	0.87173	0.02878	0.01753
V411	0.4446	0.02202	0.00385	0.52953
V412	0.1473	0.0675	0.54365	0.24155
V413	0.05094	0.49051	0.19643	0.26212
V414	0.03084	0.50463	0.35121	0.11332
V415	0.44149	0.0304	0.25155	0.27656
V416	0.01459	0.0972	0.88675	0.00146
V417	0.37043	0.61861	0.00619	0.00476
V418	0.06555	0.10651	0.16143	0.66651
V419	0.02504	0.0321	0.05938	0.88347
V420	0.00204	0.90511	0.01345	0.0794
V421	0.14221	0.04127	0.71743	0.09909
V422	0.04702	0.09333	0.0196	0.84006
V423	0.0723	0.0372	0.87082	0.01968
V424	0.00061	0.05291	0.65997	0.28651
V425	0.0493	0.21687	0.6399	0.09393
V426	0.07949	0.04796	0.81583	0.05672
V427	0.06174	0.3958	0.21109	0.33137
V428	0.0813	0.79141	0.05363	0.07366
V429	0.02249	0.03191	0.06773	0.87787
V430	0.76079	0.15996	0.01778	0.06147
V431	0.1691	0.02899	0.49288	0.30903
V432	0.10217	0.10505	0.05777	0.73501
V433	0.0521	0.75611	0.00148	0.1903
V434	0.33928	0.0769	0.05848	0.52533
V435	0.51162	0.01835	0.1307	0.33933
V436	0.38077	0.02179	0.12587	0.47157
V437	0.22776	0.23519	0.00865	0.52841
V438	0.62441	0.15027	0.03422	0.19111
V439	0.03415	0.12937	0.01815	0.81833
V440	0.4891	0.04161	0.03788	0.43142
V441	0.05873	0.11418	0.64794	0.17914
V442	0.31666	0.33769	0.14845	0.19719
V443	0.75105	0.01158	0.0937	0.14367
V444	0.01908	0.06555	0.91373	0.00164
V445	0.60147	0.0232	0.35156	0.02377
V446	0.03181	0.85019	0.05362	0.06438
V447	0.63895	0.08505	0.18696	0.08903
V448	0.01627	0.07525	0.21973	0.68874
V449	0.55819	0.03884	0.31448	0.0885
V450	0.13838	0.84505	0.01657	0
V451	0.9259	0.0559	0.00032	0.01788
V452	0.03558	0.03821	0.09394	0.83228
V453	0.8182	0.06934	0.06706	0.0454
V454	0.00245	0.93798	0.0482	0.01137
V455	0.59457	0.03304	0.31839	0.054
V456	0.31871	0.10872	0.42112	0.15145
V457	0.00152	0.08391	0.03419	0.88037
V458	0.26376	0.23243	0.00822	0.4956
V459	0.01466	0.81235	0.09126	0.08174
V460	0.94295	0.01715	0.02867	0.01123
V461	0.06134	0.0647	0.02131	0.85265
V462	0.34801	0.24846	0.00205	0.40148
V463	0.24803	0.47973	0.1676	0.10465
V464	0.51341	0.10023	0.00669	0.37967
V465	0.40272	0.43169	0.02654	0.13905
V466	0.59437	0.1818	0.00522	0.2186
V467	0.30886	0.57839	0.08087	0.03188
V468	0.50075	0.4004	0.05164	0.04721
V469	0.01396	0.17004	0.31965	0.49635
V470	0.55665	0.11305	0.19272	0.13758
V471	0.26546	0.10942	0.04211	0.58301
V472	0.32155	0.33607	0.00167	0.34071
V473	0.09276	0.54291	0.34681	0.01751
V474	0.11485	0.02238	0.12279	0.73999
V475	0.17945	0.40575	0.08686	0.32795
V476	0.16082	0.0353	0.06834	0.73554
V477	0.60178	0.03654	0.2192	0.14249
V478	0.12675	0.60863	0.00651	0.25811
V479	0.01381	0.08156	0.8308	0.07383
V480	0.07567	0.3214	0.05199	0.55094
V481	0.13373	0.03532	0.81841	0.01253
V482	0.70166	0.15281	0.11464	0.03089
V483	0.12279	0.1167	0.08459	0.67592
V484	0.02348	0.10091	0.03896	0.83665
V485	0.11303	0.75714	0.01226	0.11756
V486	0.26943	0.25978	0.14054	0.33025
V487	0.07008	0.06264	0.10193	0.76534
V488	0.00328	0.03295	0.87497	0.0888
V489	0.20008	0.09821	0.69029	0.01142
V490	0.34236	0.3134	0.07467	0.26957
V491	0.44041	0.46912	0.03465	0.05582
V492	0.02547	0.83968	0.13006	0.0048
V493	0.04922	0.03183	0.01256	0.90639
V494	0.18285	0.14131	0.5631	0.11275
V495	0.21498	0.62736	0.14053	0.01713
V496	0.26458	0.69551	0.00043	0.03949
V497	0.01449	0.04076	0.9361	0.00866
V498	0.3161	0.10509	0.05879	0.52002
V499	0.60754	0.26185	0.12616	0.00446
V500	0.0907	0.11454	0.76164	0.03312
V501	0.00304	0.03732	0.07767	0.88196
V502	0.54941	0.26945	0.1573	0.02384
V503	0.19141	0.09524	0.22319	0.49016
V504	0.22273	0.70955	0.01193	0.05579
V505	0.19173	0.2046	0.28265	0.32103
V506	0.08128	0.23712	0.4959	0.1857
V507	0.62487	0.0933	0.12778	0.15405
V508	0.75876	0.16131	0.04178	0.03815
V509	0.21667	0.05852	0.54666	0.17815
V510	0.21548	0.51437	0.26559	0.00456
V511	0.04263	0.43471	0.05053	0.47214
V512	0.24009	0.05689	0.09122	0.6118
V513	0.07128	0.65259	0.21852	0.05761
V514	0.019	0.11258	0.01022	0.8582
V515	0.78062	0.05869	0.04959	0.1111
V516	0.89686	0.09688	0.00068	0.00558
V517	0.03468	0.04048	0.28371	0.64113
V518	0.94562	0.0477	0.00075	0.00593
V519	0.02385	0.8816	0.00632	0.08823
V520	0.02252	0.02154	0.65318	0.30276
V521	0.55274	0.04421	0.37911	0.02394
V522	0.0058	0.11596	0.62099	0.25724
V523	0.35131	0.11747	0.28473	0.24649
V524	0.00743	0.77767	0.19031	0.02459
V525	0.25321	0.21012	0.03153	0.50514
V526	0.65678	0.07558	0.07827	0.18937
V527	0.19424	0.02863	0.43499	0.34213
V528	0.09188	0.86755	0.00087	0.0397
V529	0.05414	0.06893	0.25029	0.62664
V530	0.00603	0.18869	0.71289	0.09239
V531	0.02015	0.86629	0.11356	0
V532	0.16785	0.33704	0.03113	0.46398
V533	0.27959	0.35206	0.14956	0.21879
V534	0.00696	0.02917	0.74026	0.22361
V535	0.55538	0.0119	0.01512	0.4176
V536	0.18066	0.01537	0.40594	0.39803
V537	0.58422	0.24977	0.15583	0.01019
V538	0.46028	0.05504	0.0936	0.39108
V539	0.26267	0.43364	0.16891	0.13478
V540	0.19093	0.70522	0.0719	0.03196
V541	0.0146	0.52577	0.06815	0.39149
V542	0.19068	0.1218	0.28198	0.40554
V543	0.88517	0.01346	0.01154	0.08983
V544	0.09752	0.09201	0.19311	0.61736
V545	0.36783	0.1398	0.07622	0.41615
V546	0.0445	0.88585	0.06486	0.00479
V547	0.03287	0.63931	0.31695	0.01087
V548	0.14561	0.76772	0.08214	0.00454
V549	0.30729	0.03967	0.64171	0.01134
V550	0.59181	0.03565	0.00187	0.37067
V551	0.1676	0.74905	0.03558	0.04776
V552	0.00128	0.55468	0.00963	0.43441
V553	0.21345	0.14036	0.62842	0.01778
V554	0.05228	0.10954	0.0346	0.80358
V555	0.08309	0.21733	0.36917	0.33041
V556	0.00152	0.05268	0.91776	0.02804
V557	0.82517	0.03053	0.01117	0.13312
V558	0.06068	0.80311	0.02787	0.10833
V559	0.01119	0.80041	0.1883	1e-04
V560	0.67092	0.32356	0.00045	0.00507
V561	0.00207	0.05706	0.93202	0.00885
V562	0.78379	0.01213	0.12008	0.08401
V563	0.2301	0.02795	0.73585	0.0061
V564	0.05286	0.08284	0.8517	0.0126
V565	0.11665	0.24864	0.4148	0.2199
V566	0.70884	0.09415	0.00497	0.19204
V567	0.21394	0.45944	0.02853	0.2981
V568	0.24038	0.02383	0.06457	0.67123
V569	0.68561	0.03345	0.00114	0.2798
V570	0.02184	0.27309	0.64736	0.05771
V571	0.82212	0.12494	0	0.05295
V572	0.42837	0.01736	0.46639	0.08787
V573	0.05947	0.1948	0.01359	0.73214
V574	0.03307	0.7868	0.1694	0.01073
V575	0.01748	0.09895	0.1448	0.73877
V576	0.14411	0.80843	0.03683	0.01063
V577	0.03487	0.05626	0.24051	0.66836
V578	0.04811	0.06453	0.72233	0.16503
V579	0.00828	0.88291	0.09111	0.0177
V580	0.14605	0.02522	0.12892	0.69981
V581	0.06745	0.10831	0.00846	0.81578
V582	0.59065	0.14198	0.03468	0.23269
V583	0.00621	0.05044	0.63337	0.30997
V584	0.51422	0.14749	0.30676	0.03153
V585	0.00766	0.02824	0.48667	0.47743
V586	0.21812	0.0233	0.67823	0.08034
V587	0.25016	0.02687	0.69783	0.02515
V588	0.63584	0.04507	0.02701	0.29209
V589	0.0507	0.83059	0.0627	0.05602
V590	0.04384	0.76198	0.18945	0.00473
V591	0.00099	0.05714	0.23353	0.70834
