Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V127	0.01394	0.02773	0.88002	0.07831	0	0
V128	0.39587	0.2986	0.08336	0.20367	0.01851	0
V129	0	0.02842	0.92029	0.05129	0	0
V130	0.57638	0.15503	0	0.26859	0	0
V131	0	0.01818	0	0.0405	0.83073	0.11059
V132	0	0.50721	0.49279	0	0	0
V133	0.00177	0.22411	0.68481	0.08931	0	0
V134	0.17647	0.77546	0	0	0.04808	0
V135	0.04181	0.03012	0.84761	0	0	0.08047
V136	0.03918	0.88112	0.07379	0.00591	0	0
V137	0	0.1842	0.65516	0.01392	0.14672	0
V138	0	0	0	0.52197	0.03062	0.44741
V139	0	0.04732	0.13158	0.00518	0.48992	0.326
V140	0.68829	0.25926	0	0.05245	0	0
V141	0.26011	0.30605	0.10894	0.3249	0	0
V142	0.05741	0.85933	0	0.03463	0	0.04863
V143	0.04543	0.09128	0.73354	0.08864	0.0411	0
V144	0	0.15594	0	0.09195	0	0.7521
V145	0	0	0	1	0	0
V146	0.13842	0.04013	0.01962	0.02729	0.76488	0.00966
V147	0.5371	0.099	0.07067	0	0	0.29323
V148	0	0.16842	0.83158	0	0	0
V149	0	0.50954	0	0	0	0.49046
V150	0	0.0034	0	0.9966	0	0
V151	0	0.40245	0	0	0	0.59755
V152	0.02163	0.27984	0.54704	0.03831	0.09166	0.02152
V153	0	0.03885	0.69498	0.26617	0	0
V154	0.40253	0.21995	0	0	0	0.37752
V155	0	0.4338	0.06074	0.00093	0.4884	0.01613
V156	0	0.51059	0	0	0.48941	0
V157	0	0.08563	0	0.32309	0	0.59128
V158	0	0.06703	0.93297	0	0	0
V159	0.12538	0.2755	0.39153	0.20759	0	0
V160	0	0.01698	0.95483	0	0	0.02819
V161	0	0.52147	0	0.43924	0.03929	0
V162	0	0.62074	0	0.17008	0.20918	0
V163	6e-05	0.02191	0.97803	0	0	0
V164	0	0.37982	0.45849	0.1403	0.02138	0
V165	0	0.04262	0	0.04169	0.84779	0.0679
V166	0	0	0	0.18826	0.49001	0.32173
V167	0	0.0061	0.44651	0.54739	0	0
V168	0.72296	0.05548	0	0.22156	0	0
V169	0	0.02546	0.77181	0.20273	0	0
V170	0.49466	0.07336	0.06065	0.34517	0.02615	0
V171	0	0.51673	0	0	0	0.48327
V172	0.02835	0.09362	0.63404	0.17494	0	0.06906
V173	0	0.0233	0.88578	0	0	0.09092
V174	0.6939	0.14228	0	0	0.16382	0
V175	0.00412	0.82781	0.15318	0.01489	0	0
V176	0	0.0096	0.9904	0	0	0
V177	0.06729	0.1089	0.3833	0.01952	0.14789	0.27311
V178	0	0.06272	0	0.02166	0.91562	0
V179	0	0	0.01094	0.7872	0.0738	0.12806
V180	0.28617	0.03287	0.17409	0.44707	0	0.05981
V181	0.65664	0.15375	0.01697	0.07217	0.02256	0.07792
