cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V137	0.663	0.0338	0.24735	0.05584
V138	0.21079	0.41174	0.18871	0.18876
V139	0.36526	0.19361	0.21081	0.23032
V140	0.03098	0.09267	0.06514	0.81121
V141	0.06007	0.1393	0.58283	0.2178
V142	0.78198	0.0192	0.19811	7e-04
V143	0.44687	0.25817	0.07155	0.22341
V144	0.169	0.14366	0.18763	0.49972
V145	0.00094	0.77874	0.21476	0.00556
V146	0.06421	0.01728	0.04448	0.87403
V147	0.9229	0.02779	0.01765	0.03166
V148	0.12415	0.06408	0.61911	0.19265
V149	0.25585	0.52664	0.2124	0.00511
V150	0.08073	0.23006	0.61952	0.06968
V151	0.19884	0.65659	0.034	0.11057
V152	0.23018	0.45718	0.22536	0.08728
V153	0.09747	0.78519	0.01856	0.09878
V154	0.23733	0.4653	0.2715	0.02587
V155	0.48772	0.13137	0.29551	0.0854
V156	0.03092	0.1273	0.72726	0.11452
V157	0.31042	0.1432	0.33747	0.20891
V158	0.02985	0.00499	0.05229	0.91287
V159	0.89176	0.06927	0	0.03897
V160	0.71276	0.00893	0.06687	0.21144
V161	0.22407	0.00982	0.04039	0.72571
V162	0.0638	0.31165	0.0911	0.53345
V163	0.09147	0.51258	0.17715	0.21879
V164	0.3492	0.30985	0.11315	0.2278
V165	0.01013	0.29326	0.0067	0.68991
V166	0.00968	0.10458	0.08653	0.79921
V167	0.3717	0.00365	0.01258	0.61207
V168	0.27905	0.5937	0.07791	0.04934
V169	0.19755	0.05119	0.04713	0.70414
V170	0.10297	0.02312	0.56245	0.31146
V171	0.12484	0.23332	0.60685	0.035
V172	0.71282	0.01665	0.26493	0.0056
V173	0.02851	0.15325	0.05175	0.76649
V174	0.0171	0.17153	0.08962	0.72174
V175	0.06067	0.02839	0.80045	0.1105
V176	0.00704	0.82918	0.15839	0.00539
V177	0.00999	0.97691	7e-04	0.01241
V178	0.00608	0.80134	0.00683	0.18575
V179	0.1605	0.014	0.41726	0.40825
