Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V62	0.02091	0	0.03647	0.02296	0.03757	0.0044	0.38486	0.00282	0.04888	0.44112
V63	0	0.23566	0.05403	0.01355	0.16203	0.45003	0.03334	0	0.02616	0.02519
V64	0.06096	0.00779	0.29799	0.23271	0.04638	0.02069	0.03826	0.20506	0.02086	0.06931
V65	0.05535	0.02616	0.12691	0.30455	0.05154	0.01557	0.09741	0.19076	0.09955	0.03218
V66	0.00019	0.09949	0.04988	0.01277	0.47459	0.02982	0.06086	0.01711	0.05163	0.20366
V67	0.01276	0.16835	0.43231	0.0813	0.05639	0.03985	0.10216	0.00664	0.05911	0.04113
V68	0.01654	0.02619	0.05824	0.01181	0.08591	0.01804	0.04592	0.26728	0.46793	0.00214
V69	0.02944	0.02787	0.73596	0.08726	0.0621	0.00159	0.02917	0	0.01989	0.00673
V70	0.66871	0.00609	0.11223	0.01459	0.03869	0.02539	0.06225	0.00031	0.07176	0
V71	0.03183	0.00386	0.0348	0.02003	0.06818	0.03552	0.06359	0.67815	0.02966	0.03438
V72	0.20492	0.02162	0.08558	0.21469	0.14079	0.00628	0.03447	0.00394	0.02627	0.26143
V73	0.02571	0.13348	0.0643	0.02358	0.63068	0.02445	0.04983	0.00423	0.03704	0.0067
V74	0.00895	0	0.0606	0.14186	0.00192	0.03296	0.02971	0.00375	0.01951	0.70074
V75	0.00233	0.08095	0.24543	0.38878	0.06772	0.01737	0.03244	0.00505	0.15994	0
V76	0	0.01636	0.05167	0.0197	0.06964	0.78969	0.03345	0.00303	0.01647	0
V77	0	0.00997	0.10743	0.26203	0.05959	0.23701	0.29631	0.00106	0.02009	0.00651
V78	0.00228	0.42097	0.06533	0.01369	0.06129	0.01203	0.30793	0	0.02429	0.09219
V79	0	0.03016	0.1175	0.2552	0.05931	0.24793	0.03936	9e-05	0.21395	0.0365
V80	0.34215	0	0.02591	0.01028	0.01086	0.00158	0.05605	0	0.0548	0.49835
V81	0	0.03497	0.07594	0.14903	0.16601	0.5221	0.03121	0.00179	0.01895	0
V82	0.05053	0.47109	0.0931	0.21674	0.04711	0.02334	0.02508	0.04765	0.02013	0.00524
V83	0.02098	0.05714	0.15839	0.41552	0.06714	0.0178	0.04031	0.20186	0.02087	0
V84	0.01797	0.01879	0.06217	0.044	0.13651	0.48007	0.21948	8e-04	0.0202	0
V85	0.18013	0.00187	0.37037	0.04319	0.02679	0.0012	0.02942	0	0.0184	0.32864
V86	0.25977	0.01181	0.30874	0.30563	0.04713	0.01276	0.03297	0	0.01467	0.0065
V87	0.0035	0.04754	0.08138	0.02151	0.10841	0.00847	0.03711	0	0.68522	0.00686
V88	0	0.30689	0.15668	0.42431	0.04723	0.01028	0.03458	0	0.01989	0.00015
V89	0.00615	0.00898	0.06391	0.04959	0.07365	0.01103	0.69398	0.06439	0.02832	0
V90	0.01191	0.05406	0.31375	0.03609	0.01636	0.0197	0.02645	0	0.01971	0.50197
