Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.00261	0.00299	0.04661	0.00509	0.17173	0.00384	0.03285	0	0	0.73427
V2	0.56481	0	0.0652	0	0.08594	0.22467	0.05938	0	0	0
V3	0.0963	0.04483	0.1284	0.01933	0.43884	0.01946	0.11825	0.10864	0.01502	0.01093
V4	0	0.07169	0.05722	0.00279	0.11499	0.06365	0.02357	0.00426	0.45721	0.20461
V5	0	0.0866	0.0427	0.04923	0.05802	0.05069	0.02773	0	0	0.68503
V6	0.00016	0.06397	0.22675	0.02737	0.57638	0.03327	0.02641	0.04304	0.00266	0
V7	0	0.48509	0.04601	0.00968	0.29917	0.0191	0.07339	0.05166	0.0159	0
V8	0	0.52871	0.08941	0.00684	0.09034	0.02782	0.01591	0.20593	0.02714	0.00791
V9	0	0.0057	0.12803	0.12087	0.11514	0.02685	0.22005	0.36226	0.0211	0
V10	0	0.06593	0.03909	0.00982	0.67094	0.06694	0.03586	0.10949	0.00193	0
V11	0	0.51998	0.04952	0.00294	0.0913	0.04793	0.01616	0.18941	0.06108	0.02169
V12	0	0.04514	0.20593	0.36364	0.09053	0.01259	0.10722	0	0.00626	0.1687
V13	0.07124	0.00754	0.14697	0.01876	0.11975	0.11255	0.41043	0	0.11135	0.0014
V14	0.04949	0.41244	0.1714	0.05134	0.10399	0.05377	0.13384	0.00435	0.01938	0
V15	0.18812	0.03602	0.18664	0.42175	0.07666	0.02462	0.05158	0	0.0146	0
V16	0	0.08215	0.25069	0.40947	0.09258	0.04668	0.02291	0	0.09552	0
V17	0.00351	0.09185	0.01821	0.00424	0.06924	0.05738	0.04906	0	0.00185	0.70466
V18	0.03575	0.07532	0.08688	0.19937	0.05003	0.01282	0.02558	0	0.00101	0.51325
V19	0	0	0.02898	0.04172	0.03172	0.05473	0.02532	0	0	0.81753
V20	0	0.1948	0.04458	0.01947	0.08707	0.02205	0.49	0.02457	0.00817	0.10929
V21	0.07829	0.41015	0.05893	0.001	0.088	0.28519	0.03097	0.01913	0.02294	0.00541
