Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V123	0.50072	0.05326	0.07192	0.15446	0.21964
V124	0.20838	0.11594	0.05537	0.18413	0.43618
V125	0.05051	0.44479	0.49958	0	0.00512
V126	0.15273	0.185	0.21913	0.08956	0.35358
V127	0.28141	0	0.6903	0.02717	0.00111
V128	0.19987	0.78551	0	0	0.01462
V129	0.27118	0.02722	0.28445	0.13978	0.27737
V130	0.03613	0.53782	0.03003	0.18528	0.21074
V131	0.01025	0	0.28043	0.67882	0.0305
V132	0.35656	0.02273	0	0.29391	0.32681
V133	0.0068	0.02584	0.56775	0.07277	0.32685
V134	0.07454	0	0.8168	0.01312	0.09554
V135	0.02738	0.07033	0.75587	0.01708	0.12933
V136	0.99767	0.00233	0	0	0
V137	0.92745	0.03837	0	0.00521	0.02897
V138	0.24153	0.15023	0.07083	0.10701	0.43039
V139	0.12891	0	0.18879	0.64568	0.03662
V140	0.01779	0	0.14224	0.04192	0.79805
V141	0.02406	0.20307	0.68735	0.07696	0.00856
V142	0.20502	0	0.34136	0.10301	0.3506
V143	0.02153	0.18364	0.50362	0.11907	0.17214
V144	0.51119	0.24696	0.06129	0.08854	0.09203
V145	0	0	0.97516	0.00684	0.01799
V146	0.03538	0.36826	0	0.26475	0.33161
V147	0.10428	0.03564	0.74039	0.08369	0.036
V148	0.1555	0.80545	0	0.02163	0.01742
V149	0.00289	0	0	0.8798	0.11732
V150	0.1506	0.1765	0.59871	0	0.0742
V151	0.45965	0.02894	0	0.36056	0.15085
V152	0.00739	0	0.13319	0.72625	0.13317
V153	0.17649	0.17619	0.47053	0.03244	0.14435
V154	0.11634	0.60491	0.00916	0.02486	0.24473
V155	0.03495	0	0.16214	0.75532	0.04759
V156	0.09935	0.00564	0.41828	0.12607	0.35067
V157	0.09021	0.03216	0.17661	0.23769	0.46332
V158	0.1876	0	0.45552	0.03288	0.32399
V159	0.12179	0.26742	0.00586	0.53982	0.06511
V160	0.44527	0.17563	0.08618	0.02775	0.26518
V161	0.19394	0.01249	0.05165	0.02652	0.71541
V162	0	0	1	0	0
V163	0.04298	0	0.00373	0.07292	0.88037
V164	0.93879	0.05786	0.00334	0	0
V165	0.6196	0.23114	0.07635	0.0267	0.04621
V166	0.05058	0	0.28031	0.54278	0.12633
V167	0.04242	0.66989	0.0049	0.10619	0.1766
V168	0	0	1	0	0
V169	0.06316	0.71312	0.14531	0.06031	0.01809
V170	0.24776	0.42401	0.04493	0.15215	0.13115
V171	0.32636	0.08095	0.39713	0.14022	0.05535
V172	0.16829	0.22569	0.05741	0.02655	0.52206
V173	0.22256	0.11344	0.09433	0.35355	0.21613
V174	0.21089	0	0.37801	0.16554	0.24556
V175	0.07224	0.13906	0.11588	0.15297	0.51985
