B_cells	NK_cells	T_cells_CD4.	Monocytes
V159	0.92231	0.07769	0	0
V160	0.76609	0	0.12273	0.11118
V161	0.26963	0	0.02966	0.70071
V162	0.06396	0.34711	0.09724	0.49169
V163	0.09972	0.55413	0.23993	0.10621
V164	0.40612	0.36116	0.11584	0.11688
V165	0	0.2802	0	0.7198
V166	0	0.12167	0.09269	0.78564
V167	0.40104	0	0.01819	0.58077
V168	0.3145	0.5959	0.08959	0
V169	0.25669	0.03647	0.01773	0.68911
V170	0.095	0.02921	0.6615	0.21429
V171	0.08102	0.24211	0.67687	0
V172	0.69574	0	0.30426	0
V173	0.01511	0.17993	0.04	0.76495
V174	0	0.19993	0.08578	0.71429
V175	0.03899	0	0.96101	0
V176	0	0.77712	0.22288	0
V177	0.00402	0.99598	0	0
V178	0.0233	0.83902	0.04517	0.09252
V179	0.15991	0	0.51303	0.32706
V180	0.00403	0.84585	0.15013	0
V181	0.15525	0.17068	0.6687	0.00537
V182	0.28106	0.18512	0.53382	0
V183	0.1917	0.80107	0.00723	0
V184	0.92294	0	0.07706	0
V185	0.59657	0.39552	0.00791	0
V186	0.11128	0.52037	0.36835	0
V187	0.93207	0	0.06793	0
V188	0.04333	0.24997	0	0.7067
V189	0.89395	0.04193	0.05229	0.01182
V190	0.64259	0	0.35741	0
V191	0.14141	0.20853	0.65006	0
V192	0.37419	0.53662	0.04347	0.04571
V193	0.64293	0.02202	0.33505	0
V194	0.0605	0.93745	0.00205	0
V195	0	0.05263	0.94737	0
V196	0	0.11852	0	0.88148
V197	0.4969	0.0383	0.01259	0.45221
V198	0.02523	0.51641	0.45836	0
V199	0.19494	0	0.24736	0.5577
V200	0.16649	0.64636	0.00457	0.18258
V201	0.10301	0.6247	0.26671	0.00558
V202	0	0.06495	0.91457	0.02048
V203	0.12206	0.41578	0.46216	0
V204	0.00916	0.59524	0.01216	0.38344
V205	0	0.07711	0.92289	0
V206	0	0.11225	0.88775	0
V207	0.17024	0.22594	0.02942	0.5744
V208	0.19654	0.06036	0.7431	0
V209	0.36658	0.53135	0.08449	0.01758
V210	0.08929	0.76564	0.14508	0
V211	0.48734	0	0.0568	0.45587
V212	0.47564	0.02577	0.4986	0
V213	0.70549	0.02333	0.17992	0.09126
V214	0.378	0.18368	0.21498	0.22334
V215	0.36055	0.09243	0	0.54703
V216	0.08499	0	0.05598	0.85903
V217	0.02459	0.55262	0.33255	0.09025
V218	0.09846	0.51293	0.22878	0.15983
V219	0.14011	0.71581	0.01614	0.12794
V220	0.02526	0.898	0.05774	0.01899
V221	0.89401	0.02632	0.0267	0.05297
V222	0.33219	0.15643	0.48452	0.02687
V223	0	0.16426	0.83574	0
V224	0.92203	0	0.07797	0
V225	0.05415	0.84006	0.10579	0
V226	0.25473	0.07225	0.67302	0
V227	0.76795	0	0.23205	0
V228	0.81653	0.08313	0.10034	0
V229	0	0.03173	0.96827	0
V230	0.00334	0.04323	0.05552	0.89791
V231	0	0.32116	0.14405	0.53479
V232	0.06316	0.73773	0	0.19911
V233	0.61444	0.10229	0.28327	0
V234	0.03903	0.87966	0.0813	0
V235	0.3401	0.04981	0.6101	0
V236	0	0.10389	0.89611	0
V237	0.21884	0	0.02504	0.75612
