mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V112	0.15745	0.09222	0.10577	0.46022	0.18434
V113	0.20647	0.11039	0.10612	0.19718	0.37984
V114	0.4558	0.14945	0.05728	0.22425	0.11322
V115	0.67152	0.09628	0.02009	0.10648	0.10562
V116	0.02726	0.09895	0.01965	0.13139	0.72274
V117	0.04524	0.23039	0.56417	0.11748	0.04271
V118	0.04691	0.05925	0.01378	0.8176	0.06246
V119	0.25143	0.16649	0.30221	0.25022	0.02966
V120	0.0154	0.22527	0.57183	0.13832	0.04918
V121	0.17919	0.62797	0.01892	0.09339	0.08053
V122	0.03537	0.38078	0.09101	0.27596	0.21687
V123	0.39649	0.12955	0.07853	0.23385	0.16158
V124	0.18539	0.17478	0.07096	0.25944	0.30944
V125	0.03949	0.46503	0.39264	0.07026	0.03257
V126	0.1329	0.25527	0.19546	0.16161	0.25477
V127	0.20932	0.20027	0.45795	0.10144	0.03101
V128	0.18843	0.65604	0.02662	0.08658	0.04232
V129	0.21494	0.16177	0.22776	0.20489	0.19063
V130	0.03182	0.46394	0.05357	0.2779	0.17277
V131	0.02187	0.11278	0.19705	0.6278	0.0405
V132	0.30199	0.09164	0.01369	0.36487	0.22781
V133	0.01129	0.2169	0.43158	0.12545	0.21477
V134	0.06087	0.23306	0.54987	0.07584	0.08036
V135	0.02563	0.27081	0.52595	0.07795	0.09966
V136	0.72633	0.10388	0.02203	0.10796	0.0398
V137	0.68374	0.11924	0.0204	0.12361	0.05302
V138	0.21294	0.20362	0.08518	0.18745	0.31081
V139	0.10863	0.09397	0.14253	0.60943	0.04545
V140	0.03564	0.11927	0.15015	0.10193	0.59301
V141	0.02198	0.32773	0.48041	0.1368	0.03308
V142	0.17363	0.14817	0.27326	0.16775	0.23718
V143	0.02227	0.29406	0.38492	0.17252	0.12624
V144	0.40793	0.24963	0.07272	0.18183	0.08789
V145	0.00885	0.25495	0.62821	0.0696	0.03839
V146	0.03699	0.33521	0.0237	0.35208	0.25202
V147	0.07912	0.24083	0.492	0.13967	0.04837
V148	0.1448	0.67245	0.0265	0.11349	0.04275
V149	0.02135	0.05977	0.01438	0.821	0.0835
V150	0.11735	0.3086	0.43672	0.06205	0.07528
V151	0.35956	0.08733	0.02539	0.41207	0.11565
V152	0.02399	0.08089	0.10844	0.69141	0.09527
V153	0.13888	0.28326	0.35959	0.10338	0.1149
V154	0.10918	0.53578	0.03911	0.10774	0.20819
V155	0.04059	0.09095	0.1225	0.69713	0.04883
V156	0.08582	0.17813	0.32459	0.17996	0.23151
V157	0.08547	0.14593	0.15637	0.29466	0.31757
V158	0.15867	0.17056	0.35059	0.10127	0.21891
V159	0.10487	0.2282	0.02803	0.57364	0.06526
V160	0.37147	0.2187	0.09444	0.11664	0.19875
V161	0.19004	0.11883	0.07111	0.10054	0.51949
V162	0.00961	0.26223	0.64122	0.05857	0.02837
V163	0.05993	0.0966	0.03209	0.14084	0.67053
V164	0.69707	0.13445	0.02715	0.10818	0.03315
V165	0.47926	0.24927	0.0841	0.12612	0.06125
V166	0.05385	0.11329	0.20698	0.53181	0.09407
V167	0.03769	0.57325	0.03272	0.19974	0.15661
V168	0.00961	0.26223	0.64122	0.05857	0.02837
V169	0.05279	0.60686	0.15296	0.1462	0.04119
V170	0.21142	0.36747	0.06442	0.2417	0.11498
V171	0.2411	0.20321	0.28754	0.2061	0.06205
V172	0.16018	0.2648	0.08016	0.10529	0.38958
V173	0.1819	0.16659	0.09193	0.4042	0.15538
V174	0.17279	0.14984	0.28808	0.22092	0.16837
V175	0.07301	0.21263	0.11968	0.22221	0.37247
V176	0.30914	0.07995	0.01924	0.55166	0.04001
V177	0.15364	0.20172	0.41687	0.19443	0.03335
V178	0.2165	0.19514	0.35061	0.15437	0.08338
V179	0.09644	0.10228	0.02447	0.11738	0.65942
V180	0.03055	0.16771	0.29247	0.08355	0.42573
V181	0.06512	0.29384	0.01761	0.13925	0.48418
V182	0.45569	0.24361	0.02032	0.22069	0.0597
V183	0.07051	0.78103	0.02165	0.08876	0.03805
V184	0.25192	0.14036	0.24152	0.31805	0.04814
V185	0.09563	0.44607	0.03837	0.20618	0.21374
V186	0.12308	0.21879	0.04325	0.29043	0.32445
V187	0.07643	0.59061	0.01824	0.27479	0.03993
V188	0.63659	0.11994	0.04258	0.16443	0.03646
