Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V70	0.76434	0.00238	0.07155	0	0	0.04018	0.02335	0.01208	0.08612	0
V71	0.01414	0	0	0.03133	0.0012	0	0	0.943	0	0.01032
V72	0.21204	0	0.04593	0.32759	0.2581	0.00018	0.00442	0.00682	0	0.14492
V73	0.04169	0	0.03148	0.00386	0.90474	0.01225	0	0.00598	0	0
V74	0.00682	0.00104	0.07355	0.26173	0.12803	0.0363	0.00376	0.00692	0	0.48184
V75	0.00399	0.05475	0.17566	0.50598	0.04198	0.01209	0.0165	0.00674	0.18232	0
V76	0	0.00357	0	0.00735	0.00815	0.91098	0.05731	0.00063	0.01202	0
V77	0	0.03631	0.02835	0.39042	0	0.3207	0.20399	0.00115	0.01476	0.00432
V78	0.01457	0.45601	0.07925	0	0.15491	0.0431	0.20055	0	0	0.05162
V79	0.0102	0.01857	0.04114	0.34784	0.01578	0.25961	0.03145	0	0.26172	0.01369
V80	0.45001	0.00195	0.023	0.00488	0.08583	0.0028	0.0197	0	0.06525	0.34657
V81	0	0	0.0154	0.19085	0.18661	0.57556	0.03158	0	0	0
V82	0.05168	0.3806	0.05816	0.29347	0.12289	0.00657	0.00055	0.08607	0	0
V83	0.00899	0.02728	0.05856	0.52343	0.03766	0	0.00747	0.33661	0	0
V84	0.02386	0.01509	0.01704	0.03927	0.1268	0.61364	0.15785	0.00203	0.00441	0
V85	0.20012	0	0.5493	0	0.05061	0.00178	0	0	0	0.19819
V86	0.24908	0.00098	0.3137	0.40625	0.00278	0.01508	0.01213	0	0	0
V87	0.04861	0.02884	0.00998	0.03154	0.05313	0.00307	0.01447	0	0.81036	0
V88	0	0.24615	0.07698	0.57941	0.08082	0.00046	0.01618	0	0	0
V89	0.00242	0.09918	0.01641	0.04982	0	0.10808	0.52209	0.17097	0.03103	0
V90	0.00816	0.04974	0.49907	0	0.10523	0.02209	0	0	0	0.31572
V91	0.01937	0	0.92735	0	0.02395	0.00633	0.00217	0.01622	0.00461	0
V92	0.0071	0.12757	0.01647	0.00088	0	0.1347	0.58889	0.01115	0.11324	0
V93	0.03804	0.06977	0.0823	0.00696	0.01234	0.03119	0.15409	0.02829	0.57701	0
V94	0.89209	0	0	0	0	0.03659	0.0124	0.05822	0	7e-04
V95	0.005	0.06603	0.00663	0.01116	0	0.0648	0.32918	0.503	0.0142	0
V96	0.00674	0.08592	0.36643	0.43447	0.03578	0.01995	0.01212	0.02017	0.01843	0
V97	0.00528	0.11549	0.02518	0	0	0.12006	0.57789	0.01106	0.05463	0.09041
V98	0.01999	0.19881	0.03801	0.06468	0.28743	0.01179	0.02039	0.14193	0.14514	0.07182
