Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.00362	0	0.09648	0	0.38852	0	0	0	0	0.51138
V2	0.64469	0	0	0	0	0.31913	0.03618	0	0	0
V3	0.1015	0	0.13106	0	0.49309	0.01174	0.05223	0.20729	0	0.00309
V4	0.02479	0.05042	0.04715	0	0.05922	0.06599	0.00509	0.01851	0.62631	0.10252
V5	0	0.09727	0.09292	0.06823	0.19114	0.06917	0.00514	0	0	0.47612
V6	0.01526	0	0.23829	0	0.64504	0.01147	0	0.08993	0	0
V7	0.00653	0.37397	0.03347	0	0.43602	0.00808	0.03497	0.10696	0	0
V8	0.01949	0.41307	0.06504	0	0.13142	0	0	0.37072	0	0.00026
V9	0.0241	0.00573	0.10224	0.09408	0	0.01956	0.12214	0.62679	0.00395	0.00141
V10	0.00551	0	0.04181	0	0.72407	0.04282	0	0.18579	0	0
V11	0.02513	0.42523	0.0279	0	0.13939	0.01258	0	0.35373	0.00685	0.00919
V12	0	0.02602	0.17717	0.54313	0.03538	0.01867	0.0874	0.01227	0	0.09995
V13	0.09386	0.0168	0.12354	0	0.00388	0.24028	0.34899	0.01615	0.15458	0.00191
V14	0.07426	0.37906	0.19701	0.01634	0.13123	0.07679	0.10097	0.02434	0	0
V15	0.20842	0.00589	0.09295	0.62161	0	0.02272	0.03699	0.01143	0	0
V16	0.00863	0.046	0.18635	0.57785	2e-04	0.04227	0.02079	0	0.11792	0
V17	0.01175	0.10579	0.05671	0	0.22296	0.08782	0.02608	0.0075	0	0.48138
V18	0.04716	0.06911	0.09398	0.34919	0.08977	0.00131	0.00291	0	0	0.34657
V19	0	0	0.07634	0.06131	0.14681	0.08793	0.00167	0.00678	0	0.61917
V20	0.00545	0.21842	0.01644	0	0.05214	0.13467	0.43474	0.07374	0	0.0644
V21	0.08995	0.35925	0.02391	0	0.1045	0.35318	0.02704	0.03954	0	0.00263
V22	0.00839	0	0.05113	0	0.1072	0	0	0.38909	0	0.44418
V23	0.27379	0.00561	0.63098	0	0.00729	0	0	0.01075	0	0.07158
V24	0.0346	0.49523	0.06481	0	0.17159	0.00395	0.05082	0.11349	0.0655	0
V25	0.02183	0.08119	0.08049	0.00422	0.20192	0.12913	0.02218	0	0.16323	0.2958
V26	0.03416	0	0.06638	0	0	0	0	0.89946	0	0
V27	0	0	0.05356	0	0.60185	0	0.00816	0	0	0.33644
V28	0.27737	0	0.0379	0	0.09119	0.01935	0.00883	0.04348	0	0.5219
V29	0.01236	0.55283	0.02915	0	0.21239	0.09567	0.00783	0.03172	0	0.05806
V30	0.01656	0.00526	0.10948	0	0	0.35123	0.2246	0	0.29286	0
V31	0.02876	0.23395	0.21937	0	0.13136	0	0	0.38656	0	0
V32	0.46249	0	0.01987	0	0.34187	0.04771	0.02369	0.00139	0.09579	0.00718
V33	0.02681	0.01579	0.21782	0.52073	0	0.04548	0.17005	0.00332	0	0
V34	0	0	0.06444	0	0.4578	0	0	0.02031	0	0.45744
V35	0.01717	0.68051	0.01952	0	0.23526	0.00177	0.00914	0.03663	0	0
V36	0.05111	0.04429	0	0	0	0.19981	0.64595	0.05182	0.00701	0
V37	0.00763	0.47234	0.01404	0	0.15743	0.0603	0.23055	0.0536	0	0.00411
V38	0.11729	0.01711	0.04667	0.17811	0	0.14226	0.4851	0.00882	0.00466	0
V39	0.07217	0.0252	0.06713	0.16816	0.01675	0.13523	0.46764	0.03419	0.00909	0.00445
V40	0.1338	0	0.75034	0	0.10321	0	0	0.01266	0	0
V41	0.61847	0.04041	0.01095	0	0.00338	0.00032	0	0.012	0.30777	0.0067
V42	0.00403	0.44386	0.03373	0	0.4881	0	0	0.01044	0	0.01985
V43	0.12651	0.01046	0.16022	0.03949	0.21063	0.08505	0.17327	0.03845	0.15592	0
V44	0.05351	0	0.5271	0	0	0	0	0.41939	0	0
V45	0.02681	0.00388	0.03507	0.00927	0	0.05667	0.19214	0.00051	0.65566	0.02
V46	0.14655	0.07326	0.10127	0.25098	0.11772	0	0	0.01928	0	0.29094
V47	0.00373	0.02465	0	0	0	0.22264	0.71654	0.00932	0.01443	0.00868
V48	0.00559	0.00406	0.07308	0	0.19985	0	0.00066	0	0.06207	0.65469
V49	0.15485	0	0.01296	0	0	0	0	0.83219	0	0
V50	0.28663	0.13732	0.007	0	0.05066	0.49701	0.02137	0	0	0
V51	0.16607	0	0.63062	0	0.06067	0	0	0.09135	0.05059	7e-04
V52	0.0081	0.01157	0.19643	0.34663	0	0.0918	0.32305	0.01715	0.00527	0
V53	0.42278	0	0.16939	0.0304	0.02745	0	0	0.20983	0	0.14015
V54	0	0	0.02259	0	0.21288	0.71693	0.04483	0	0.00277	0
V55	0	0.01951	0.08105	0.77819	0.04845	0.01579	0.04686	5e-04	0.00182	0.00783
V56	0.15216	0	0.6206	0	0.07691	0.14459	0.0049	0	0	0.00083
V57	0.0454	0	0.6639	0.11879	0	0.00475	0.00872	0.04788	0.10482	0.00574
V58	0.00758	0.14896	0.09794	0.14124	0.03968	0.51829	0.04454	0	0.00178	0
V59	0.02712	0.08049	0	0	0	0.20775	0.66723	0.00858	0.00882	0
V60	0.77084	0	0	0	0.06416	0	0	0.001	0.16365	0.00035
V61	0	0	0.05417	0.01396	0	0.8527	0.05685	0	0.01872	0.0036
V62	0.02029	0.00527	0.04761	0	0.08236	0.10393	0.36824	0.01717	0.01756	0.33757
V63	0	0.16279	0.04294	0	0.24525	0.50702	0.03404	0	0	0.00794
V64	0.0726	0	0.35145	0.19189	0	0	0	0.35889	0	0.02516
V65	0.0598	0.01656	0.09444	0.3524	0	0	0.03731	0.33564	0.0927	0.01115
V66	0.00067	0	0.0658	0	0.76409	0.02136	0.01359	0.03349	0	0.10098
V67	0.03795	0.13379	0.58047	0	0.04102	0.05582	0.06277	0.02364	0.05488	0.00966
V68	0.04409	0.00065	0.03579	0	0.00609	0	0	0.39652	0.51686	0
V69	0.07303	0	0.92423	0	0	0	0	0.0024	0.00035	0
V70	0.76174	0	0.07114	0	0	0.04035	0.02117	0.01267	0.09293	0
V71	0.04591	0	0.02672	0	0.00013	0	0	0.9157	0	0.01153
V72	0.20262	0	0.09667	0.28055	0.249	0	0.00033	0.00983	0	0.161
V73	0.01941	0	0.06852	0	0.88366	0.01335	0.00318	0.01187	0	0
V74	0	0	0.10134	0.21538	0.11059	0.03329	0.002	0.00771	0	0.52969
V75	0.01526	0.05893	0.21477	0.46091	0.01104	0.00681	0.0145	0.0107	0.20708	0
V76	0	0	0.01353	0	0	0.90287	0.06161	0	0.02199	0
V77	0	0.00761	0.04167	0.33942	0	0.35271	0.25311	0	0.00422	0.00126
V78	0.00688	0.40287	0.05523	0	0.15739	0.07665	0.24734	0.00418	0	0.04945
V79	0.00626	0.01394	0.07085	0.30937	0	0.26612	0.03065	0	0.29201	0.01079
V80	0.43527	0	0.02753	0	0.08257	0.00168	0.01822	0.00021	0.02541	0.40912
V81	0	0.00122	0.04476	0.16004	0.17127	0.58384	0.03887	0	0	0
V82	0.0506	0.3953	0.06667	0.2648	0.12075	0.00492	0.00272	0.09424	0	0
V83	0.02581	0.04153	0.1026	0.47537	0.01081	0	0	0.34387	0	0
V84	0.01543	0	0.04369	0.01601	0.1108	0.61696	0.19197	0	0.00513	0
V85	0.21338	0	0.55546	0	0.0225	0	0	0	0	0.20866
V86	0.26896	0	0.3818	0.3333	0	0.00623	0.00696	0.00275	0	0
V87	0.03523	0.01316	0.03596	0.01739	0.03101	0.00288	0.00507	0	0.8593	0
V88	3e-04	0.26773	0.08786	0.55891	0.06378	0	0.0206	0.00082	0	0
V89	0.00841	0.02212	0.01878	0.01934	0	0.17194	0.60105	0.15546	0.00289	0
V90	0.02743	0.0354	0.50397	0	0.08981	0.01254	0	0	0	0.33086
V91	0.0809	0	0.8959	0	0	0	0	0.01329	0.00991	0
V92	0.00725	0.0312	0	0	0	0.20732	0.66487	0.00828	0.08108	0
V93	0.03085	0.03387	0.0934	0	0	0.04862	0.16956	0.02382	0.59988	0
V94	0.88687	0	0	0	0	0.03586	0.00722	0.06179	0	0.00825
V95	0.0182	0.02119	0.01034	0	0	0.09913	0.38682	0.46433	0	0
V96	0.03299	0.09313	0.4227	0.37483	0.00783	0.01285	0.01182	0.02455	0.0193	0
V97	0.00392	0.026	0.0055	0	0	0.19257	0.65687	0.00841	0.01541	0.09131
V98	0.01035	0.19732	0.06708	0.03876	0.29053	0.01081	0.02293	0.13922	0.14785	0.07515
V99	0.57757	0	0.00061	0	0	0.01717	0.05508	0.01249	0.33709	0
V100	0.17215	0.00736	0.07337	0.22034	0.00994	0.3331	0.03344	0	0.1447	0.0056
V101	0	0	0.03989	0	0.11693	0.12429	0.13082	0.05893	0	0.52915
V102	0.0404	0.15844	0.01789	0	0.14302	0.35138	0.11462	0.1663	0	0.00795
V103	0.09034	0.00298	0.03726	0.01081	0	0.00231	0.00385	0.00877	0.84368	0
V104	0.08051	0	0.8886	0	0	0	0	0.00165	0.02924	0
V105	0.29752	0	0.10052	0	0	0.09876	0	0.5032	0	0
V106	0.03133	0.5209	0.25413	0	0.17741	0.01523	0	0.00101	0	0
V107	0.24478	0.1301	0.04266	0	0.3847	0.00954	0.00098	0.0576	0.12964	0
V108	0	0	0.05843	0.16063	0.0485	0.43745	0.02459	0.02424	0	0.24617
V109	0	0.01336	0.01981	0.00299	0.00466	0.86486	0.06414	0	0.03018	0
V110	0.00425	0	0.0589	0	0.83531	0	0	0.10154	0	0
V111	0.00457	0.03191	0.01363	0	0.09311	0.18761	0.64142	0.00912	0.00974	0.00889
V112	0.00456	0.02856	0.01655	0	0.01375	0.15593	0.53369	0.0082	0.06676	0.17201
V113	0.03705	0	0.04523	0.00045	0.01373	0.05301	0.01472	0.0306	0.71248	0.09273
V114	0.04655	0.00416	0.04548	0.00788	0	0.00274	0.00511	0.00906	0.87902	0
V115	0.00868	0.69247	0.03382	0	0.24337	0	0.01637	0.00141	0	0.00388
V116	0.38031	0.04604	0.00736	0	0.00748	0	0	0.55881	0	0
V117	0.01523	0.02414	0	0	0	0.21347	0.72372	0.00985	0.01359	0
V118	0.0137	0	0.0154	0	0	0.88815	0.06589	0	0.01688	0
V119	0	0.02177	0.07602	0.57744	0	0.19061	0.04487	0	0.0893	0
V120	0.67284	0	0.22818	0	0	0.09897	0	0	0	0
V121	0.05285	0.08153	0.31395	0	0.02937	0.20593	0.25888	0.02643	0	0.03107
V122	0.03335	0.01378	0.14637	0	0	0.08104	0.09717	0	0.6283	0
V123	0.02683	0	0.0403	0	0.38785	0	0	0.54503	0	0
V124	0.66386	0.01382	0	0	0	0	0	0.32232	0	0
V125	0.02552	0.10376	0.12885	0	0.03909	0.08324	0	0.61954	0	0
V126	0.00553	0.03567	0.06242	0	0.81558	0	0	0.0808	0	0
V127	0.05033	0	0.62103	0	0	0.04459	0.15998	0.003	0.12106	0
V128	0.02948	0.09882	0.45849	0	0.36331	0.04035	0	0.00955	0	0
V129	0.02982	0.04483	0.09548	0.22488	0.08885	0.00718	0.0084	0	0.49863	0.00192
V130	0.0475	0	0.42995	0	0	0	0	0.52255	0	0
V131	0.05531	0.30378	0.53305	0	0.0847	0.00322	0.00618	0.00251	0.01126	0
V132	0.11015	0.01918	0.01065	0	0.0492	0.14627	0.51137	0.15318	0	0
V133	0.01785	0.01654	0.04951	0.16205	0	0.08831	0.03026	0.63548	0	0
V134	0.02284	0.01603	0.31435	0	0.33519	0.0321	0.12681	0.01437	0	0.13832
V135	0.03705	0.12832	0.19475	0	0.03865	0.00169	0.01112	0	0.58843	0
V136	0	0.47964	0.05551	0.1629	0.19336	0	0	0	0	0.10859
V137	0.00379	0.02156	0.02798	0	0.00346	0.4758	0.38303	0.00046	0.0839	0
V138	0.01354	0.03892	0.03161	0	0.05479	0.13691	0.47244	0.00693	0.03356	0.2113
