Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V128	0.40985	0.35063	0.06579	0.17373	0	0
V129	0	0.07362	0.92638	0	0	0
V130	0.56886	0.22642	0	0.20472	0	0
V131	0	0.06333	0	0.05221	0.75938	0.12507
V132	0	0.54017	0.45983	0	0	0
V133	0	0.2826	0.6818	0.0356	0	0
V134	0.22736	0.75228	0	0	0.02036	0
V135	0	0.08034	0.81046	0	0	0.1092
V136	0.10134	0.8395	0.05601	0.00315	0	0
V137	0	0.24332	0.69718	0.01343	0.04607	0
V138	0	0.05335	0	0.49899	0	0.44765
V139	0	0.09662	0.08478	0.01379	0.44532	0.35949
V140	0.68737	0.31263	0	0	0	0
V141	0.2717	0.36163	0.07537	0.2913	0	0
V142	0.15759	0.82296	0	0.01945	0	0
V143	0.00339	0.16076	0.76704	0.0531	0	0.01571
V144	0	0.21071	0	0.07157	0	0.71772
V145	0	0.03242	0	0.96758	0	0
V146	0.08105	0.1007	0	0.03431	0.71252	0.07142
V147	0.51338	0.1517	0.03187	0	0	0.30305
V148	0	0.21325	0.78675	0	0	0
V149	0	0.53703	0	0	0	0.46297
V150	0	0.03247	0	0.96753	0	0
V151	0	0.43822	0	0	0	0.56178
V152	0.01264	0.33351	0.55665	0.04004	0.00735	0.0498
V153	0	0.0883	0.69012	0.22158	0	0
V154	0.38938	0.26049	0	0	0	0.35013
V155	0.0427	0.46544	0.02004	0.01235	0.43741	0.02206
V156	0	0.5616	0	0.00671	0.43169	0
V157	0	0.14164	0	0.28859	0	0.56977
V158	0	0.104	0.896	0	0	0
V159	0.13315	0.3309	0.36685	0.16692	0	0.00217
V160	0	0.05633	0.92004	0	0	0.02363
V161	0	0.56123	0	0.43877	0	0
V162	0	0.65695	0	0.18575	0.1573	0
V163	0	0.05224	0.94776	0	0	0
V164	0	0.42915	0.44733	0.12352	0	0
V165	0	0.08749	0	0.05444	0.77714	0.08092
V166	0	0.05384	0	0.20522	0.40177	0.33917
V167	0	0.05072	0.3998	0.54948	0	0
V168	0.7199	0.13621	0	0.14389	0	0
V169	0	0.07785	0.77935	0.1428	0	0
V170	0.4924	0.14772	0.03373	0.32615	0	0
V171	0.03824	0.52463	0	0	0	0.43713
V172	0	0.15492	0.6131	0.1198	0	0.11217
V173	0	0.06639	0.84143	0	0	0.09218
V174	0.70558	0.20971	0	0	0.08471	0
V175	0.0585	0.79883	0.13424	0.00843	0	0
V176	0	0.03794	0.96206	0	0	0
V177	0.044	0.16579	0.38019	0.01666	0.08206	0.31129
V178	0	0.10633	0	0.03378	0.85989	0
V179	0	0.05214	0	0.82822	0	0.11964
V180	0.22593	0.10782	0.12593	0.41532	0	0.12501
V181	0.66643	0.20566	0.00598	0.03036	0	0.09156
V182	0	0.14868	0.85132	0	0	0
V183	0	0.03663	0	0.96337	0	0
V184	0.46789	0.49051	0	0	0.0416	0
V185	0.10732	0.63965	0	0.00013	0.08758	0.16531
V186	0	0.0471	0.64711	0.30579	0	0
V187	0.33	0.59551	0	0	0.07449	0
V188	0.05642	0.67201	0	0	0	0.27157
V189	0	0.13257	0.11152	0.05869	0.57359	0.12363
V190	0	0.24522	0	0.03482	0.57607	0.1439
V191	0	0.65426	0	0	0	0.34574
V192	0.65373	0.31356	0.03271	0	0	0
V193	0	0.12018	0	0	0	0.87982
V194	0	0.07507	0	0.18612	0.73881	0
V195	0	0.06163	0.85938	0.07899	0	0
V196	0	0.03067	0	0.96933	0	0
V197	0.19302	0.10486	0	0.02238	0.67974	0
V198	0.09835	0.50483	0	0.21662	0.1802	0
V199	0	0.30916	0.01551	0.17305	0.50227	0
V200	0	0.08986	0.63675	0.1849	0	0.08849
V201	0	0.03878	0	0.96122	0	0
V202	0	0.13435	0.52628	0.03263	0.02114	0.2856
V203	0.57737	0.15144	0	0.27119	0	0
V204	0	0.09699	0	0.12938	0	0.77364
V205	0	0.06529	0.93471	0	0	0
V206	0	0.09066	0	0.90934	0	0
V207	0.4572	0.27718	0	0.2309	0	0.03472
