CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V95	0.06938	0.02029	0.28615	0.10121	0.48685	0.03613
V96	0.16238	0.25539	0.06725	0.05563	0.34578	0.11357
V97	0.0689	0.02517	0.05983	0.07769	0.72939	0.03901
V98	0.10735	0.064	0.04277	0.5097	0.23619	0.03999
V99	0.0865	0.02318	0.04011	0.62491	0.1901	0.03521
V100	0.08707	0.01615	0.39676	0.19502	0.24866	0.05634
V101	0.11212	0.24136	0.36843	0.08261	0.14873	0.04675
V102	0.56386	0.03956	0.15169	0.02391	0.12047	0.10051
V103	0.48315	0.04373	0.08226	0.12362	0.16524	0.102
V104	0.10124	0.01016	0.20794	0.46155	0.1761	0.04301
V105	0.29446	0.02248	0.12671	0.01901	0.14871	0.38863
V106	0.15644	0.01344	0.49893	0.00929	0.14208	0.17982
V107	0.17098	0.39119	0.21999	0.02421	0.14712	0.0465
V108	0.24149	0.04281	0.08967	0.02626	0.2941	0.30566
V109	0.25586	0.02917	0.07335	0.02045	0.28246	0.33871
V110	0.12207	0.11563	0.5552	0.01136	0.13996	0.05578
V111	0.07682	0.02038	0.6907	0.02371	0.14859	0.03979
V112	0.12659	0.22268	0.03991	0.39428	0.17518	0.04135
V113	0.09576	0.0706	0.5149	0.03884	0.2365	0.04339
V114	0.17162	0.01141	0.52494	0.10764	0.13507	0.04932
V115	0.38905	0.06698	0.08235	0.03826	0.22684	0.19652
V116	0.59272	0.0352	0.08933	0.05492	0.12296	0.10487
V117	0.41687	0.03607	0.06666	0.0837	0.31431	0.08238
V118	0.14709	0.41443	0.13509	0.04909	0.19949	0.05482
V119	0.15895	0.48513	0.07589	0.05657	0.16253	0.06093
V120	0.15626	0.14722	0.12225	0.2947	0.22104	0.05854
V121	0.3359	0.02944	0.06656	0.20024	0.14514	0.22272
V122	0.27357	0.03323	0.05258	0.39991	0.18263	0.05809
V123	0.35659	0.03251	0.06869	0.05178	0.23962	0.25082
V124	0.07532	0.01504	0.27647	0.0306	0.56118	0.04139
V125	0.11245	0.1101	0.51725	0.05498	0.13718	0.06804
V126	0.24737	0.18796	0.10404	0.02599	0.15354	0.28111
V127	0.10523	0.00832	0.62617	0.07459	0.14335	0.04234
V128	0.30052	0.1817	0.13564	0.12307	0.18627	0.0728
V129	0.08007	0.02021	0.65084	0.06204	0.14429	0.04256
V130	0.40417	0.10301	0.06875	0.17964	0.16035	0.08408
V131	0.11793	0.0197	0.0745	0.04011	0.64411	0.10366
V132	0.12772	0.30057	0.33214	0.01972	0.17629	0.04356
V133	0.12808	0.13703	0.44954	0.06971	0.17332	0.04231
V134	0.23	0.38883	0.07146	0.0335	0.2065	0.06972
V135	0.13428	0.01731	0.57615	0.00993	0.17076	0.09157
V136	0.18617	0.42666	0.11499	0.03918	0.17712	0.05588
V137	0.10866	0.11882	0.44678	0.02816	0.25979	0.03779
V138	0.20845	0.01741	0.06285	0.28761	0.2187	0.20498
V139	0.15252	0.05332	0.16655	0.02685	0.43129	0.16947
V140	0.43687	0.16399	0.10275	0.06719	0.13771	0.09149
V141	0.24941	0.18629	0.14296	0.18601	0.16706	0.06826
V142	0.20706	0.42377	0.07557	0.06514	0.15298	0.07549
V143	0.12827	0.05178	0.49736	0.06419	0.20439	0.05401
V144	0.25568	0.13305	0.07474	0.10064	0.15475	0.28114
V145	0.09156	0.01052	0.04658	0.62698	0.17835	0.04602
V146	0.16064	0.02761	0.11029	0.03179	0.58978	0.07989
V147	0.40443	0.07174	0.14994	0.04771	0.13296	0.19322
V148	0.09952	0.12688	0.58348	0.01178	0.13534	0.04301
V149	0.21958	0.31766	0.06385	0.04077	0.1511	0.20705
V150	0.09091	0.01081	0.03392	0.6254	0.20297	0.03599
V151	0.23502	0.26953	0.06517	0.02872	0.16622	0.23534
V152	0.13981	0.16631	0.35638	0.0407	0.22936	0.06743
V153	0.07941	0.03503	0.50255	0.18223	0.16308	0.0377
V154	0.38894	0.15776	0.07999	0.02038	0.13868	0.21425
V155	0.13997	0.24944	0.11796	0.02542	0.40228	0.06493
V156	0.11503	0.32162	0.06177	0.03052	0.43	0.04106
V157	0.21103	0.09259	0.08554	0.20008	0.16439	0.24636
V158	0.09419	0.04775	0.6685	0.01036	0.13485	0.04436
V159	0.1866	0.167	0.28484	0.12885	0.17047	0.06224
V160	0.09784	0.0084	0.67299	0.01582	0.13528	0.06967
V161	0.12548	0.32515	0.04803	0.23499	0.22645	0.03989
V162	0.14047	0.35008	0.05381	0.10796	0.29374	0.05394
V163	0.08867	0.00813	0.71209	0.01048	0.13552	0.04511
V164	0.11364	0.23773	0.31001	0.09114	0.20335	0.04412
V165	0.11002	0.03281	0.08077	0.0404	0.64774	0.08826
V166	0.1618	0.02594	0.05238	0.12357	0.45801	0.17831
V167	0.08477	0.00854	0.35059	0.34553	0.17251	0.03805
V168	0.48916	0.03708	0.07457	0.17289	0.13053	0.09577
