mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V112	0.16238	0.07205	0.10033	0.48226	0.18298
V113	0.21536	0.08882	0.10153	0.19595	0.39835
V114	0.47816	0.13417	0.056	0.2193	0.11236
V115	0.69919	0.09072	0.02094	0.08309	0.10607
V116	0.02213	0.07373	0.01729	0.11622	0.77064
V117	0.04985	0.197	0.59723	0.121	0.03492
V118	0.04533	0.04489	0.01315	0.84842	0.04821
V119	0.27354	0.14099	0.30046	0.26373	0.02127
V120	0.01527	0.1903	0.60624	0.14627	0.04191
V121	0.20068	0.61264	0.02568	0.07698	0.08403
V122	0.03665	0.34942	0.09314	0.29136	0.22943
V123	0.41616	0.11321	0.07559	0.23182	0.16322
V124	0.19401	0.15031	0.06858	0.26451	0.32259
V125	0.04399	0.44688	0.42385	0.05986	0.02542
V126	0.14332	0.22569	0.19579	0.16241	0.27279
V127	0.23496	0.17138	0.47314	0.09724	0.02327
V128	0.21261	0.64425	0.03433	0.06825	0.04057
V129	0.23134	0.13475	0.22456	0.21069	0.19866
V130	0.0328	0.43517	0.05763	0.29286	0.18153
V131	0.02117	0.08685	0.19036	0.6743	0.02732
V132	0.31023	0.07744	0.01325	0.36992	0.22916
V133	0.01024	0.18217	0.44555	0.12814	0.23389
V134	0.068	0.19982	0.58179	0.07046	0.07994
V135	0.02721	0.23917	0.55814	0.07283	0.10266
V136	0.76066	0.09912	0.02351	0.08072	0.036
V137	0.71451	0.11247	0.02175	0.10101	0.05026
V138	0.22492	0.1785	0.08322	0.18574	0.32762
V139	0.11169	0.07296	0.13603	0.64563	0.0337
V140	0.03342	0.09038	0.14587	0.09211	0.63822
V141	0.02326	0.29991	0.51001	0.1427	0.02412
V142	0.18705	0.11945	0.27067	0.17064	0.25218
V143	0.02334	0.26299	0.39871	0.18325	0.1317
V144	0.43558	0.22874	0.07297	0.17552	0.08719
V145	0.00731	0.21987	0.68092	0.06291	0.02898
V146	0.03742	0.30267	0.02532	0.37076	0.26383
V147	0.0886	0.20945	0.51421	0.14583	0.0419
V148	0.1634	0.66045	0.03417	0.10135	0.04063
V149	0.01883	0.04445	0.01366	0.8533	0.06976
V150	0.13289	0.28196	0.45835	0.05154	0.07525
V151	0.36994	0.07544	0.02461	0.41943	0.11057
V152	0.02262	0.05999	0.10292	0.72989	0.08458
V153	0.15498	0.25568	0.37021	0.09944	0.11969
V154	0.11965	0.51273	0.04451	0.09643	0.22668
V155	0.04022	0.06962	0.11663	0.73779	0.03574
V156	0.09249	0.14581	0.32566	0.18811	0.24793
V157	0.08856	0.11739	0.15157	0.30916	0.33331
V158	0.17384	0.14047	0.3533	0.09678	0.23562
V159	0.10852	0.20141	0.02865	0.60534	0.05609
V160	0.39714	0.19701	0.09333	0.10464	0.20788
V161	0.19723	0.09651	0.06761	0.08821	0.55045
V162	0.00793	0.22725	0.6998	0.04857	0.01645
V163	0.05772	0.07296	0.02945	0.13008	0.7098
V164	0.73221	0.1269	0.02866	0.08305	0.02918
V165	0.51313	0.23023	0.08471	0.11241	0.05953
V166	0.05519	0.08692	0.19983	0.57167	0.08639
V167	0.04007	0.54937	0.0384	0.20425	0.1679
V168	0.00793	0.22725	0.6998	0.04857	0.01645
V169	0.05922	0.59181	0.16578	0.14629	0.03689
V170	0.22843	0.3408	0.06667	0.24749	0.11661
V171	0.26355	0.17756	0.28734	0.21388	0.05767
V172	0.17027	0.23642	0.07964	0.09475	0.41893
V173	0.19001	0.1429	0.08883	0.42372	0.15455
V174	0.18672	0.12093	0.28568	0.23201	0.17465
V175	0.07563	0.18228	0.11732	0.22827	0.3965
V176	0.31599	0.06848	0.01897	0.56657	0.02998
V177	0.17071	0.17181	0.42579	0.20686	0.02483
V178	0.2394	0.16759	0.35368	0.15717	0.08216
