mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V113	0.21019	0.07571	0.0972	0.20479	0.41211
V114	0.48541	0.13305	0.05268	0.21623	0.11263
V115	0.73567	0.0831	0.01207	0.06181	0.10735
V116	0.02259	0.03652	0.01393	0.14271	0.78425
V117	0.04446	0.22516	0.59116	0.10455	0.03467
V118	0.03358	0.03894	0.00894	0.88199	0.03656
V119	0.26872	0.15852	0.30343	0.25466	0.01467
V120	0.00953	0.21869	0.5985	0.13116	0.04211
V121	0.21175	0.63381	0.03578	0.05655	0.06212
V122	0.03697	0.35109	0.09628	0.2929	0.22275
V123	0.41728	0.11035	0.07265	0.23199	0.16773
V124	0.19149	0.14067	0.06542	0.27312	0.32929
V125	0.04563	0.47534	0.42752	0.03836	0.01315
V126	0.14146	0.22754	0.1939	0.16048	0.27661
V127	0.22964	0.19494	0.47681	0.07762	0.02099
V128	0.22408	0.67274	0.04543	0.04347	0.01427
V129	0.22761	0.1376	0.22111	0.20888	0.20479
V130	0.03558	0.44052	0.0633	0.29167	0.16893
V131	0.01066	0.09372	0.18954	0.6891	0.01698
V132	0.30837	0.06638	0.00754	0.38292	0.2348
V133	0.00661	0.19315	0.4355	0.12307	0.24167
V134	0.06367	0.22504	0.57452	0.05459	0.08219
V135	0.02355	0.26554	0.54754	0.05854	0.10484
V136	0.81168	0.09454	0.01381	0.05186	0.02811
V137	0.7546	0.11031	0.01328	0.0775	0.04431
V138	0.22386	0.17073	0.08098	0.18861	0.33582
V139	0.10289	0.07621	0.13453	0.66251	0.02386
V140	0.03261	0.06854	0.14005	0.10989	0.6489
V141	0.02009	0.33145	0.50504	0.12562	0.0178
V142	0.18245	0.12061	0.26588	0.16906	0.262
V143	0.02041	0.28104	0.3944	0.17394	0.13021
V144	0.44172	0.23753	0.07297	0.16588	0.0819
V145	0.00238	0.25269	0.67282	0.04303	0.02907
V146	0.03686	0.29826	0.02747	0.37845	0.25897
V147	0.08384	0.23714	0.50805	0.13084	0.04014
V148	0.17462	0.68602	0.04635	0.07936	0.01365
V149	0.00645	0.03734	0.00957	0.88724	0.0594
