CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V95	0.0885	0.04038	0.26401	0.119	0.45213	0.03598
V96	0.17104	0.26104	0.06486	0.07215	0.31904	0.11187
V97	0.09352	0.04369	0.05811	0.09194	0.67442	0.03831
V98	0.12846	0.07997	0.03569	0.52531	0.19016	0.04042
V99	0.11033	0.04305	0.03219	0.6362	0.14179	0.03643
V100	0.09839	0.03817	0.36335	0.21745	0.22593	0.05672
V101	0.12893	0.2472	0.33989	0.10209	0.13608	0.0458
V102	0.536	0.06318	0.13605	0.04877	0.12618	0.08982
V103	0.46147	0.06605	0.07091	0.14941	0.1585	0.09366
V104	0.11826	0.03197	0.18437	0.48204	0.13982	0.04354
V105	0.24999	0.0481	0.11626	0.04766	0.15262	0.38538
V106	0.14405	0.03685	0.46341	0.03233	0.14301	0.18035
V107	0.18969	0.38437	0.20477	0.04169	0.13665	0.04282
V108	0.21327	0.06532	0.08342	0.05008	0.28325	0.30466
V109	0.22218	0.0532	0.06767	0.04555	0.27429	0.33711
V110	0.12812	0.13228	0.51525	0.03163	0.1378	0.05492
V111	0.08674	0.04208	0.63833	0.04597	0.14775	0.03914
V112	0.14879	0.22541	0.03535	0.41057	0.1388	0.04108
V113	0.10658	0.08927	0.47784	0.05862	0.22491	0.04279
V114	0.17229	0.03455	0.48465	0.13215	0.12883	0.04753
V115	0.36259	0.08848	0.07365	0.06168	0.22163	0.19196
V116	0.5625	0.05917	0.07629	0.08106	0.12727	0.09372
V117	0.4018	0.05835	0.05761	0.10625	0.30085	0.07513
V118	0.16952	0.40368	0.1277	0.06555	0.18172	0.05184
V119	0.18322	0.46445	0.07472	0.07368	0.14734	0.05659
V120	0.16932	0.15888	0.11002	0.31456	0.18946	0.05776
V121	0.30856	0.05337	0.05716	0.22811	0.13347	0.21932
V122	0.27181	0.054	0.04264	0.42474	0.15217	0.05463
V123	0.3242	0.05658	0.06118	0.07671	0.23359	0.24773
V124	0.09326	0.03531	0.25678	0.04658	0.52718	0.04089
V125	0.11818	0.12705	0.47874	0.07683	0.13143	0.06777
V126	0.22289	0.20131	0.09618	0.04994	0.15136	0.27832
V127	0.11188	0.03129	0.57807	0.09795	0.13928	0.04154
V128	0.29829	0.19389	0.12366	0.14428	0.17201	0.06785
V129	0.08884	0.04227	0.60076	0.08509	0.14073	0.04231
V130	0.39131	0.12139	0.05897	0.20426	0.14706	0.07701
V131	0.12704	0.04018	0.07043	0.05521	0.60418	0.10296
V132	0.14532	0.30238	0.30787	0.0371	0.16562	0.04172
V133	0.13773	0.15162	0.41561	0.09065	0.16282	0.04156
V134	0.24195	0.38176	0.06936	0.05092	0.19155	0.06446
V135	0.13218	0.0404	0.53562	0.03101	0.16959	0.09121
V136	0.20552	0.4146	0.10931	0.05643	0.16274	0.0514
V137	0.12138	0.13396	0.41549	0.04612	0.24586	0.03718
V138	0.19326	0.04143	0.05352	0.31366	0.19413	0.20399
V139	0.14835	0.0735	0.15522	0.0447	0.40831	0.16992
V140	0.42143	0.17896	0.09214	0.08996	0.13406	0.08344
V141	0.25236	0.19702	0.13008	0.20729	0.14839	0.06487
V142	0.22188	0.41254	0.07307	0.08292	0.13932	0.07027
V143	0.13395	0.07207	0.46078	0.08528	0.19453	0.05338
V144	0.22964	0.14999	0.06729	0.12604	0.14802	0.27902
V145	0.11305	0.03182	0.03769	0.63915	0.13162	0.04667
V146	0.16809	0.04778	0.10327	0.04678	0.55584	0.07825
V147	0.37548	0.0939	0.13578	0.07294	0.13339	0.18851
V148	0.10937	0.14228	0.54077	0.03215	0.1332	0.04223
V149	0.21222	0.31832	0.06132	0.06202	0.14345	0.20268
V150	0.11391	0.03173	0.02686	0.63656	0.15383	0.03712
V151	0.22059	0.2755	0.06156	0.05094	0.15982	0.23159
V152	0.14824	0.17898	0.33124	0.05954	0.2153	0.06669
V153	0.09267	0.05561	0.46032	0.2055	0.14792	0.03799
V154	0.3624	0.17338	0.07247	0.04435	0.1393	0.2081
V155	0.15644	0.2547	0.11197	0.03967	0.37382	0.0634
V156	0.14048	0.31939	0.0614	0.04394	0.39554	0.03925
V157	0.19349	0.11183	0.07619	0.22487	0.14847	0.24516
V158	0.10187	0.06813	0.6195	0.03211	0.13491	0.04348
V159	0.19259	0.17941	0.26238	0.1495	0.15542	0.06068
V160	0.10123	0.03138	0.62409	0.03844	0.13577	0.06909
V161	0.15135	0.32059	0.04554	0.25002	0.19383	0.03869
V162	0.1631	0.34471	0.05311	0.12326	0.26392	0.0519
V163	0.09655	0.03071	0.6586	0.03317	0.13703	0.04393
V164	0.1318	0.24347	0.28655	0.1096	0.18539	0.04321
V165	0.12214	0.05209	0.07644	0.05487	0.60694	0.0875
V166	0.15685	0.04779	0.04795	0.14358	0.4257	0.17814
V167	0.10013	0.03068	0.3166	0.36783	0.14592	0.03884
V168	0.46708	0.05974	0.06286	0.20053	0.12261	0.08717
V169	0.10243	0.03692	0.50378	0.17242	0.13788	0.04657
V170	0.34352	0.0652	0.11565	0.23532	0.16958	0.07073
V171	0.23534	0.30369	0.0735	0.04418	0.15214	0.19114
V172	0.14643	0.08005	0.39913	0.15236	0.13563	0.08639
V173	0.10907	0.04502	0.57233	0.0307	0.14739	0.0955
V174	0.44011	0.11326	0.07049	0.04849	0.25036	0.07729
V175	0.1909	0.39743	0.13975	0.0546	0.17146	0.04586
V176	0.08488	0.03013	0.65607	0.04017	0.14936	0.03939
V177	0.18896	0.09266	0.26668	0.05459	0.24684	0.15027
V178	0.10852	0.06351	0.0777	0.04344	0.65707	0.04976
V179	0.13074	0.03519	0.06162	0.46115	0.20086	0.11046
V180	0.25175	0.04767	0.16799	0.29953	0.12541	0.10766
V181	0.38738	0.11813	0.1023	0.08454	0.17469	0.13296
V182	0.10383	0.0875	0.54945	0.07697	0.13245	0.0498
V183	0.11902	0.03175	0.03187	0.64901	0.1308	0.03754
V184	0.32638	0.27176	0.06843	0.06065	0.20537	0.06741
V185	0.20666	0.33482	0.07615	0.04867	0.22126	0.11244
V186	0.08891	0.02983	0.44903	0.25988	0.13757	0.03477
V187	0.28409	0.31656	0.06289	0.05566	0.22206	0.05873
V188	0.224	0.36239	0.06826	0.06194	0.14161	0.1418
V189	0.11929	0.08263	0.17212	0.0576	0.47112	0.09724
V190	0.1393	0.15319	0.05697	0.05352	0.48434	0.11268
V191	0.20468	0.36318	0.06267	0.05078	0.15249	0.16619
V192	0.38988	0.17921	0.12103	0.05913	0.16633	0.08442
V193	0.24415	0.12155	0.07061	0.05353	0.15743	0.35272
V194	0.10332	0.05022	0.06712	0.12355	0.60695	0.04883
V195	0.09077	0.03117	0.52868	0.09991	0.21007	0.0394
